time,ax,ay,az,gx,gy,gz,mx,my,mz
1.4666242611254136E18,-0.9924469,5.0654297,7.730667,-0.50553894,-0.009521484,-0.5415344,-17.652893,-17.376709,-38.274384
1.46662426114052E18,-1.1389923,4.9886627,8.116684,-0.72450256,-0.56173706,-0.2104187,-17.422995,-17.148336,-37.49237
1.4666242611656968E18,-0.854599,4.772812,8.229691,-0.5738983,-0.70806885,-0.19439697,-17.99736,-16.69197,-37.93907
1.466624261180803E18,-0.7348938,4.723404,7.9029236,-0.5920563,-0.6215515,-0.1473999,-18.479614,-16.418152,-37.80487
1.4666242612009446E18,-0.5324402,4.76297,7.7399445,-0.6977997,-0.50405884,-0.059814453,-19.031015,-16.349792,-37.938946
1.4666242612261217E18,-0.2780609,4.8467712,8.355423,-0.6710968,-0.45812988,-0.029907227,-19.129507,-16.007559,-38.03471
1.4666242612412278E18,-0.15411377,4.7892914,8.314697,-0.6443939,-0.52648926,-0.059814453,-19.547844,-15.750885,-37.771416
1.4666242612613693E18,-0.1207428,4.7126617,8.462433,-0.6070099,-0.5905762,-0.12176514,-19.978523,-15.151978,-37.520027
1.4666242612815112E18,-0.063812256,4.4047546,8.23671,-0.6059418,-0.62475586,-0.11001587,-20.667648,-14.724159,-37.35237
1.4666242613016527E18,0.20010376,4.137909,8.256393,-0.6582794,-0.5777588,-0.088653564,-21.270752,-14.039803,-37.35237
1.4666242613217943E18,0.40904236,3.8812714,8.483841,-0.5931244,-0.3256836,-0.10787964,-21.356773,-13.612175,-36.933517
1.466624261341936E18,0.1836853,3.8505402,8.342453,-0.58457947,-0.16973877,-0.08544922,-21.61522,-13.184547,-36.849785
1.466624261367113E18,-0.12872314,3.7738953,8.510605,-0.58457947,-0.042633057,0.021362305,-21.70124,-12.414551,-36.598396
1.466624261382219E18,-0.26905823,3.6736603,8.273422,-0.60487366,0.04815674,0.09719849,-22.045708,-11.730194,-36.514664
1.4666242614023606E18,-0.36889648,3.4058533,8.1271515,-0.6796417,0.14962769,0.16983032,-22.13192,-11.216927,-36.598396
1.4666242614225024E18,-0.5817108,3.3210297,8.33223,-0.73625183,0.15176392,0.27236938,-22.218132,-10.789299,-36.68213
1.466624261442644E18,-0.5101776,3.0762482,8.487122,-0.756546,0.13040161,0.34072876,-21.959686,-10.019493,-36.68213
1.4666242614627855E18,-0.52282715,3.0543823,8.892883,-0.75761414,0.100494385,0.3375244,-22.13192,-9.335136,-36.849594
1.466624261482927E18,-0.50964355,2.7946167,9.034241,-0.72450256,0.0524292,0.26275635,-22.218132,-8.736229,-37.01706
1.4666242615030687E18,-0.6522217,2.583908,9.247147,-0.6721649,-0.10031128,0.33111572,-22.304344,-7.9662323,-37.01706
1.4666242615232102E18,-0.38165283,2.5100403,10.0251465,-0.53544617,-0.28723145,0.4144287,-22.476578,-7.452965,-36.933327
1.4666242615433518E18,0.04689026,2.448822,10.473007,-0.21821594,-0.20605469,0.463562,-22.476578,-7.025337,-36.76567
1.4666242615634934E18,0.075790405,2.4960785,10.214935,0.08085632,-0.0063171387,0.5543518,-22.304344,-6.1698914,-36.933327
1.4666242615836352E18,0.22904968,2.5132751,9.169159,0.21757507,0.24789429,0.6013489,-22.390366,-5.570984,-36.76586
