time,ax,ay,az,gx,gy,gz,mx,my,mz
1.4666233611080113E18,-0.8463745,3.1467743,9.116791,7.1005096,7.058197,7.1136475,-5.519104,-23.684692,-57.962036
1.4666233611130465E18,-0.84381104,3.1190948,9.119339,-0.08149719,-0.16973877,0.20507813,-5.1750183,-23.342896,-57.962036
1.466623361133188E18,-0.8629608,3.1416779,9.159454,-0.20326233,-0.4656067,0.050201416,-5.9789023,-22.544352,-57.514954
1.4666233611533297E18,-0.98480225,3.2338715,9.263641,-0.15626526,-0.5563965,0.058746338,-6.20842,-22.31636,-57.626724
1.4666233611734715E18,-0.8128052,3.3420715,9.5746,0.01676941,-0.774292,0.0769043,-6.48407,-22.316284,-57.559814
1.466623361193613E18,-0.47099304,3.2315826,8.902039,-0.0056610107,-0.7529297,0.06088257,-7.127126,-22.316233,-57.738495
1.4666233612137546E18,-0.09889221,3.1128845,8.324234,-0.19258118,-0.6365051,0.054473877,-7.3896136,-22.21854,-57.674736
1.4666233612338962E18,0.2297821,2.9315186,8.102783,-0.35920715,-0.6567993,0.019226074,-7.6726913,-21.974182,-57.54299
1.4666233612540378E18,1.1885986,3.0650482,8.209412,-0.40299988,-0.6770935,-0.4272461,-8.448029,-21.289825,-57.45926
1.4666233612741793E18,0.36135864,2.9554749,9.328293,-0.087905884,-0.3395691,-0.57037354,-9.223175,-21.033096,-57.375526
1.466623361294321E18,0.22467041,2.6980286,9.472961,0.27204895,0.026794434,-0.36636353,-9.740067,-21.118736,-57.375526
1.4666233613144627E18,0.60202026,2.4234314,8.6298065,0.45256042,0.56192017,-0.2531433,-10.170746,-21.204185,-57.291794
1.4666233613346043E18,0.13929749,2.8865662,8.32869,0.19514465,0.3547058,-0.24887085,-10.342979,-21.033096,-57.291794
1.4666233613547459E18,-0.38401794,2.9392395,8.074738,-0.524765,0.34402466,-0.111083984,-10.256958,-20.776558,-57.20806
1.4666233613799227E18,0.09449768,2.1739502,9.100632,-0.97550964,0.2350769,0.030975342,-10.084724,-20.43438,-57.375526
1.466623361395029E18,-0.04333496,1.9859467,9.238464,-0.9990082,0.34402466,0.086517334,-9.912491,-20.092201,-57.710648
1.4666233614151706E18,-0.082092285,1.9492493,9.445038,-0.8889923,0.37072754,0.064086914,-9.395599,-19.921112,-57.961845
1.466623361435312E18,0.06907654,2.0055847,9.28508,-0.80888367,0.22866821,-0.05340576,-8.792686,-19.236755,-58.12931
1.4666233614554537E18,-0.085617065,1.9366302,9.195023,-0.82810974,-0.031951904,-0.12176514,-8.275795,-18.29567,-58.3807
1.4666233614755955E18,-0.17326355,1.6558228,8.7977295,-0.89860535,-0.09603882,-0.14205933,-7.8451157,-17.098045,-58.631897
1.466623361495737E18,-0.40316772,1.4221802,8.230103,-1.2136993,-0.09176636,-0.090789795,-7.672882,-15.814972,-58.883095
1.466623361520914E18,-0.5372772,1.2026825,10.856522,-0.83451843,-0.07147217,0.048065186,-7.5006485,-14.617348,-59.218216
1.4666233615360202E18,-0.32417297,1.1539612,10.947861,-0.33784485,0.0022277832,0.07156372,-7.4144363,-13.505173,-59.469604
1.4666233615561618E18,-0.21203613,1.1954651,9.928192,-0.14237976,-0.171875,0.08972168,-7.500458,-12.564087,-59.804916
1.4666233615763034E18,0.005126953,1.1875305,10.0455475,-0.049453735,-0.27868652,0.070495605,-7.500458,-11.623192,-60.056305
1.466623361596445E18,0.06816101,1.1951447,9.9318695,0.035995483,-0.255188,0.021362305,-7.844925,-10.682297,-60.391426
1.4666233616165865E18,0.08433533,1.2258453,9.477249,-0.03236389,-0.09603882,-0.0074768066,-7.844925,-10.169029,-60.47516
1.4666233616367283E18,-0.22381592,1.213623,9.087967,-0.18190002,0.025726318,0.034179688,-7.931137,-9.826851,-60.642815
1.46662336165687E18,-0.42886353,1.1705475,9.089737,-0.2502594,0.07272339,0.12069702,-8.103371,-9.484673,-60.81047
1.4666233616770115E18,-0.2110138,1.1878204,9.733307,-0.13917542,0.07272339,0.1965332,-8.275604,-9.313583,-60.894203
1.466623361697153E18,-0.06611633,1.2173004,9.526627,-0.012069702,-0.013793945,0.14312744,-8.620262,-9.228134,-60.894203
1.4666233617172946E18,0.026473999,1.132721,9.184998,-0.033432007,-0.09710693,0.057678223,-8.620262,-9.142685,-60.642815
1.4666233617374362E18,-0.14590454,0.9959564,9.401932,-0.076156616,-0.11312866,0.0074768066,-8.878708,-8.971596,-60.559082
1.4666233617575777E18,-0.51867676,0.94776917,9.618561,-0.0398407,-0.062927246,0.04486084,-9.050941,-9.142685,-60.726738
1.4666233617777196E18,-0.5244293,0.9193115,9.500336,-0.015274048,9.1552734E-5,0.12496948,-9.309387,-8.886147,-60.978127
1.466623361797861E18,-0.27941895,0.94584656,9.306534,-0.065475464,0.017181396,0.16555786,-9.223175,-8.715057,-60.978127
1.466623361823038E18,0.109298706,1.0151062,9.397156,-0.10179138,-0.0063171387,0.13778687,-9.050941,-8.715057,-60.978127
1.4666233618381443E18,0.15032959,1.0192566,9.483353,-0.10606384,-0.019134521,0.10787964,-9.050941,-8.629417,-60.978127
1.4666233618582858E18,0.10481262,1.0296173,9.583191,-0.1103363,-0.03302002,0.059814453,-8.878708,-8.629417,-61.06186
