time,ax,ay,az,gx,gy,gz,mx,my,mz
1.4666233235489672E18,0.19073486,2.2340546,9.210358,-0.1733551,-0.05331421,0.04699707,-20.162392,21.996307,-41.45527
1.4666233235691087E18,0.07533264,2.1837616,9.377319,-0.10926819,-0.050109863,0.04272461,-20.07618,22.253036,-41.622925
1.4666233235892503E18,-0.043167114,2.0225067,9.130524,-0.10713196,-0.018066406,0.08544922,-19.989967,22.338486,-41.622925
1.466623323609392E18,-0.06941223,2.0032501,9.207062,-0.15306091,0.027862549,0.12176514,-19.903946,22.338486,-41.706657
1.4666233236295334E18,-0.20632935,2.2220764,9.5408325,-0.090042114,0.07165527,0.17303467,-19.903946,22.424126,-41.958046
1.466623323649675E18,-0.15174866,2.4351807,9.380432,0.048812866,-0.038360596,0.17410278,-19.989967,22.680664,-42.04178
1.4666233236698168E18,-0.062072754,2.673935,9.172638,0.054153442,-0.099243164,0.13244629,-19.989967,22.680664,-42.3769
1.4666233236899584E18,-0.15411377,2.7393494,9.259842,-0.006729126,-0.11206055,0.0630188,-20.07618,22.937393,-42.04178
1.4666233237101E18,-0.18225098,2.5489502,9.454025,-0.092178345,-0.0736084,0.050201416,-20.1622,23.108482,-41.874123
1.4666233237302415E18,-0.21560669,2.1757355,9.648209,-0.15733337,0.041748047,0.056610107,-20.334435,23.108482,-41.79039
1.466623323750383E18,-0.30065918,2.1003876,9.733459,-0.1242218,0.16564941,0.12924194,-20.506668,23.023033,-41.958046
1.4666233237705247E18,-0.30044556,2.2760773,9.417145,-0.06227112,0.19448853,0.1612854,-20.420456,23.108673,-41.70685
1.4666233237906662E18,-0.38372803,2.5100555,8.830185,0.007156372,0.14108276,0.17730713,-20.334435,23.365211,-41.623116
1.4666233238108078E18,-0.400177,2.5417786,8.464981,0.033859253,0.05456543,0.18157959,-20.248413,23.365211,-41.539383
1.4666233238309496E18,-0.46064758,2.7179565,8.410492,0.024246216,-0.031951904,0.21255493,-20.07618,23.450851,-41.20426
1.4666233238510912E18,-0.24990845,2.870758,8.342102,-0.013137817,-0.123809814,0.19226074,-19.903755,23.70739,-41.371727
1.4666233238712328E18,-0.017486572,2.8409271,8.388824,-0.10499573,-0.17828369,0.14205933,-19.559288,23.70739,-41.45565
1.4666233238913743E18,-8.392334E-4,2.5713196,8.619232,-0.23744202,-0.13449097,0.1260376,-19.473267,23.79284,-41.45565
1.466623323911516E18,-0.009567261,2.363144,8.9939575,-0.3196869,-0.0052490234,0.1473999,-19.301033,24.049377,-41.371727
1.4666233239316575E18,-0.11871338,2.3207855,9.269699,-0.348526,0.13146973,0.20401001,-19.21482,24.049377,-41.70685
1.466623323951799E18,0.02067566,2.4711304,9.397232,-0.27268982,0.10369873,0.22323608,-19.042397,23.963928,-41.45546
1.4666233239719406E18,0.023208618,2.5718231,9.138077,-0.2086029,0.0663147,0.18798828,-18.869972,24.220657,-41.45546
1.4666233239920824E18,-0.1615448,2.6818848,8.809692,-0.21607971,0.14215088,0.14846802,-18.78376,24.562836,-41.539192
1.466623324012224E18,-0.54841614,2.6334534,8.706924,-0.2224884,0.16992188,0.15914917,-18.78376,24.648476,-41.70685
1.4666233240323656E18,-0.64779663,2.5595703,8.890976,-0.21394348,0.11010742,0.2243042,-18.78376,25.076294,-41.79058
1.4666233240525071E18,-0.4683838,2.6013794,9.283905,-0.20005798,0.11010742,0.24673462,-18.611336,25.247383,-41.958046
1.4666233240726487E18,-0.41882324,2.58609,9.676498,-0.121017456,0.16137695,0.24673462,-18.439102,25.589561,-42.209435
