time,ax,ay,az,gx,gy,gz,mx,my,mz
1.466623749543855E18,2.910324,-9.014496,-0.06681824,0.089401245,0.15176392,0.10040283,-15.424919,71.442795,9.488106
1.4666237495639967E18,3.1044922,-8.919312,-0.081970215,0.022109985,0.21798706,0.095062256,-15.252495,71.442795,9.404373
1.4666237495841382E18,3.289383,-8.939163,-0.013031006,-0.008865356,0.22225952,0.09185791,-15.166283,71.613884,9.152985
1.46662374960428E18,3.3901672,-9.019821,0.023712158,-0.03236389,0.21157837,0.05126953,-14.994049,71.442795,8.901596
1.4666237496244216E18,3.447647,-9.041809,0.03892517,-0.017410278,0.2211914,0.016021729,-15.0800705,71.442795,8.482742
1.4666237496445632E18,3.4252014,-8.883194,0.12475586,0.01890564,0.24789429,-0.035247803,-15.166092,71.528244,8.398819
1.4666237496647048E18,3.4344177,-8.661163,0.15325928,0.062698364,0.24789429,-0.06942749,-15.424538,71.528244,8.315086
1.4666237496848463E18,3.4668121,-8.581116,-0.07243347,0.0861969,0.24789429,-0.0769043,-15.424538,71.528244,8.147621
1.466623749704988E18,3.6452026,-8.796936,-0.33676147,0.11717224,0.25964355,-0.09185791,-15.3383255,71.78478,8.147621
1.4666237497251295E18,3.9968414,-8.730087,-0.22988892,0.14387512,0.24789429,-0.1121521,-15.424538,71.95587,7.979965
1.466623749745271E18,4.175659,-8.38092,-0.013504028,0.1769867,0.16137695,-0.11856079,-15.252304,72.04132,7.896042
1.466623749770448E18,3.8203278,-8.5902405,-0.25263977,0.19087219,0.073791504,-0.16448975,-15.424538,72.21241,7.8123093
1.4666237497855544E18,3.6823273,-8.90889,-0.6968689,0.13212585,0.07485962,-0.18692017,-15.166283,72.3835,7.6446533
1.466623749805696E18,3.8933258,-8.639648,-0.5303345,0.08833313,0.115448,-0.2168274,-15.166283,72.3835,7.5609207
1.4666237498258376E18,4.0990295,-8.288193,-0.41758728,0.12892151,0.024658203,-0.22750854,-15.0800705,72.55459,7.728386
1.4666237498459791E18,4.143585,-8.180878,-0.639801,0.12464905,-0.03942871,-0.24353027,-14.994049,72.72568,7.6446533
1.4666237498661207E18,4.0798645,-8.168945,-0.6560974,0.10115051,-0.083221436,-0.25741577,-14.994049,72.72568,7.477188
1.4666237498862623E18,3.987793,-8.345886,-0.45178223,0.08299255,-0.11312866,-0.24246216,-14.994049,72.72568,7.2259903
1.466623749906404E18,4.1295624,-8.429932,-0.5058899,0.10862732,-0.18255615,-0.19439697,-15.252495,72.89677,7.058525
1.4666237499265457E18,4.0637054,-8.409271,-0.47595215,0.09580994,-0.22634888,-0.115356445,-15.338707,73.238945,7.058525
1.4666237499466872E18,3.882492,-8.349152,-0.35568237,0.066970825,-0.2765503,-0.033111572,-15.769386,73.153496,7.058525
1.4666237499668288E18,3.6449127,-8.34761,-0.20399475,0.07551575,-0.31072998,0.045928955,-15.941811,73.410225,6.8071365
1.4666237499869704E18,3.5915527,-8.449081,-0.31632996,0.0861969,-0.20605469,0.10040283,-16.114044,73.581314,6.388283
1.466623750007112E18,3.6704102,-8.504349,-0.067276,0.10221863,-0.14624023,0.16342163,-16.200066,73.92349,6.136894
1.4666237500272535E18,3.9776764,-8.602356,-0.1915741,0.06376648,-0.06826782,0.22216797,-16.113853,74.43676,5.8855057
1.466623750047395E18,4.031555,-8.525726,-0.11187744,0.04347229,-0.047973633,0.25421143,-15.94162,74.86458,5.634117
1.466623750067537E18,4.099762,-8.433655,-0.36401367,0.015701294,-0.025543213,0.27557373,-15.94162,75.2924,5.466461
1.4666237500876785E18,4.5868835,-8.657761,-1.0516205,0.0231781,0.078063965,0.23284912,-15.510941,75.548935,4.963684
1.46662375010782E18,4.8785706,-8.965042,-0.91825867,0.055221558,0.15924072,0.2104187,-15.338516,76.14765,4.628563
1.4666237501279616E18,5.119156,-8.92804,-0.9473572,0.16630554,0.19876099,0.16769409,-15.0800705,76.66092,4.4610977
1.4666237501481032E18,5.16066,-9.148666,-1.1336212,0.24641418,0.2628479,0.08758545,-14.994049,77.17419,4.209709
1.4666237501682447E18,4.7437286,-9.611496,-1.4118805,0.27418518,0.37820435,0.064086914,-14.8218155,77.687454,4.042053
1.4666237501883863E18,4.6703644,-9.729294,-1.5935364,0.26350403,0.49142456,0.068359375,-14.735794,78.02963,3.706932
1.466623750208528E18,4.9633484,-9.867401,-1.5699463,0.24534607,0.58755493,0.06515503,-14.649582,78.79944,3.371811
1.4666237502286697E18,6.1788025,-10.56987,-0.35598755,0.22612,0.4102478,-0.037384033,-14.477348,79.14162,2.9529572
1.4666237502488113E18,5.612381,-10.915268,0.48434448,0.0039520264,0.30664063,-0.13458252,-14.649582,79.740524,2.8692245
1.4666237502689528E18,4.359665,-11.461395,1.9696045,-0.28337097,0.15710449,-0.20614624,-14.822006,80.0827,2.617836
1.4666237502890944E18,2.9680786,-10.6936035,3.0165405,-0.56321716,-0.19003296,-0.21148682,-14.99424,80.51033,2.617836
1.466623750309236E18,1.2250671,-8.609741,2.333664,-0.9167633,-0.26586914,-0.2659607,-15.080261,81.10924,2.785492
1.4666237503293775E18,0.54182434,-8.059097,0.6307373,-1.0214386,-0.58309937,-0.18051147,-15.510941,81.451416,3.120613
1.466623750349519E18,3.7158508,-10.334106,0.050827026,-1.0385284,-0.63864136,-0.13244629,-15.683174,81.793594,3.7908554
1.466623750369661E18,6.323181,-13.799652,0.35443115,-1.2425385,-0.46881104,-0.09399414,-16.027832,81.879234,4.796219
1.4666237503898025E18,6.403366,-11.988937,2.4406738,-1.1132965,-0.811676,0.10467529,-16.458511,82.22141,5.7178497
1.466623750409944E18,3.4209137,-7.9068756,1.1245575,-0.8793793,-0.9975281,0.4208374,-16.716957,82.30686,6.890869
1.4666237504300856E18,1.6175079,-6.916733,-0.29716492,-0.8622894,-1.1844482,0.68573,-16.458511,82.47795,8.3992
1.4666237504502272E18,2.1613617,-7.582962,-0.66651917,-0.7351837,-1.0658875,0.5030823,-16.3723,82.47795,9.655952
1.4666237504703688E18,2.625763,-8.072174,-1.3727112,-0.73625183,-0.9163513,0.36636353,-16.113853,82.39231,11.08036
1.4666237504905103E18,2.6979675,-7.751343,-1.3546753,-0.6849823,-0.9366455,0.005340576,-15.769386,82.30686,12.672424
1.466623750510652E18,2.2706757,-6.826294,-1.301712,-0.7127533,-1.1064758,-0.09399414,-15.597153,82.05032,14.180756
1.4666237505307937E18,2.1364899,-6.1680603,-0.71842957,-0.6294403,-1.0755005,-0.06515503,-15.338707,81.96468,15.353775
1.4666237505509353E18,2.0878448,-6.1692505,-0.14033508,-0.30473328,-1.172699,-0.16769409,-14.994049,82.05013,16.526794
1.4666237505710769E18,1.5995331,-5.6751556,-0.9320679,-0.07936096,-1.1107483,-0.1399231,-14.735603,82.13577,17.532349
1.4666237505912184E18,1.4167175,-5.0695953,-1.7666016,-0.04838562,-0.8992615,-0.04699707,-14.821625,82.05032,18.537712
1.46662375061136E18,1.7857208,-6.179886,-2.22052,-0.034500122,-0.5371704,-0.14312744,-14.477158,82.22141,19.459343
1.4666237506315016E18,2.1539764,-6.411606,-2.8253632,7.4768066E-4,-0.33636475,-0.21469116,-14.477158,82.13596,20.129585
1.4666237506516431E18,2.5286255,-6.7257385,-2.8740387,-0.08149719,-0.32354736,-0.2029419,-14.563179,82.30705,20.632362
1.466623750671785E18,2.8907013,-7.097763,-2.797104,-0.14024353,-0.2701416,-0.17410278,-14.6492,82.90596,20.799828
1.4666237506919265E18,3.1436615,-7.680664,-2.3061829,-0.15733337,-0.31607056,-0.20828247,-14.735222,83.24814,21.134949
1.466623750712068E18,3.1103668,-8.889145,-1.5163269,-0.23744202,-0.90567017,-0.23605347,-14.6492,83.59051,21.637726
1.4666237507322097E18,4.06398,-10.301651,-3.2098236,-0.52156067,-0.49017334,-0.37490845,-14.735222,83.67596,22.05658
1.4666237507523512E18,3.5520782,-11.169647,-5.2561493,-0.36134338,-0.07147217,-0.18051147,-14.6492,83.932495,22.559357
1.4666237507724928E18,4.16362,-11.575012,-5.9684753,-0.11567688,-0.17614746,0.13458252,-14.993668,84.189224,22.978401
1.466623750787599E18,4.877701,-11.3185425,-7.070572,-0.08149719,-0.3117981,0.22323608,-14.907646,84.5314,23.481178
1.466623750812776E18,3.3602295,-13.767609,-7.1026306,-1.0919342,-0.6973877,0.2937317,-14.735413,84.5314,24.319077
1.4666237508329178E18,4.799637,-16.714401,-1.9427643,-1.2585602,0.042816162,0.24353027,-14.649391,84.103584,25.408363
1.4666237508530593E18,5.5761414,-14.5155945,1.8285065,-0.002456665,0.20730591,0.28198242,-14.56337,83.932495,26.330185
1.466623750873201E18,2.517868,-7.809387,-1.0114899,0.60850525,0.45617676,-0.27450562,-14.735603,83.590126,27.168083
1.4666237508933425E18,0.7717285,-2.8290405,-0.6700897,0.40556335,0.44122314,-0.43258667,-14.735603,83.761215,27.67086
1.466623750913484E18,-0.2088623,-2.2944489,1.7522736,0.46751404,0.15496826,-0.014953613,-14.907837,83.675766,28.173637
1.4666237509336256E18,0.7654724,-6.2194214,1.1221466,0.9054413,-0.3117981,0.5265808,-14.8218155,83.50468,28.173637
1.4666237509537672E18,3.5358582,-11.924622,-0.8537903,0.9919586,0.47433472,0.81710815,-14.735603,83.50468,28.173637
