time,ax,ay,az,gx,gy,gz,mx,my,mz
1.4666225774133985E18,-1.5191498,3.6972656,9.058289,4.685501,-1.5358582,4.2596436,12.047577,-36.067963,-66.15219
1.4666225774436111E18,-1.423645,3.4881592,8.5952,-0.37202454,-0.375885,0.07476807,11.4730835,-35.72591,-65.81726
1.4666225774637527E18,-0.8629608,3.177063,8.936783,-0.26094055,-0.35879517,0.068359375,10.84137,-35.383606,-65.81726
1.4666225774838943E18,-1.0561981,3.1416779,8.24614,-0.33143616,-0.37374878,0.0982666,10.324402,-35.315247,-65.81726
1.4666225775040358E18,-1.3324127,3.296463,8.065643,-0.3634796,-0.1643982,0.25741577,10.094707,-34.92737,-66.15244
1.4666225775241774E18,-1.0677795,2.7100525,9.162735,-0.38056946,-0.015930176,0.37490845,9.832109,-34.357124,-66.008865
1.4666225775493545E18,1.0574646,1.9011383,9.627274,-0.3410492,-0.12594604,0.023498535,9.97982,-34.100533,-66.15257
1.4666225775644605E18,0.6346588,2.1207428,9.119339,-0.36561584,-0.171875,-0.30975342,9.376717,-33.416176,-66.15257
1.466622577584602E18,-0.8951874,2.8159943,8.769897,-0.43611145,-0.20819092,-0.36956787,9.204483,-32.90291,-66.40396
1.466622577604744E18,-1.8838348,3.0119324,10.406784,-0.3282318,-0.1302185,-0.15808105,8.946037,-32.64618,-66.822815
1.4666225776248855E18,-1.1827087,2.3585968,11.585953,0.08299255,-0.2979126,-0.119628906,8.773804,-32.38964,-66.90655
1.466622577645027E18,-0.47598267,2.2565613,10.916397,0.46644592,-0.21780396,-0.0982666,8.60157,-32.21855,-66.99028
1.4666225776651686E18,0.3009796,2.3060608,9.227188,0.5433502,-0.085357666,-0.13031006,8.429337,-31.962013,-66.822624
1.466622577680275E18,0.08268738,2.8946686,8.026093,0.29234314,0.019317627,-0.16021729,8.429337,-32.21855,-67.07401
1.4666225777054518E18,-0.7111969,3.1078033,7.912369,0.08833313,-0.0105896,-0.12283325,8.084679,-32.38964,-66.99009
1.4666225777255933E18,-0.824646,3.2180023,7.9429016,-3.2043457E-4,-0.052246094,-0.08224487,8.170891,-32.56073,-66.822624
1.4666225777457352E18,-0.6079407,2.9500885,7.7782593,-0.13703918,-0.07147217,-0.052337646,7.9984665,-32.56073,-66.73889
1.4666225777658767E18,-0.6408844,2.9344482,8.089096,-0.32929993,-0.2284851,-0.055541992,7.9984665,-32.47528,-66.32004
1.4666225777860183E18,-1.1361084,2.9309387,8.792709,-0.44465637,-0.4656067,-0.02029419,7.9984665,-32.47528,-66.236305
1.46662257780616E18,-0.87590027,2.726654,9.385269,-0.4756317,-0.7272949,0.0982666,7.9984665,-32.133102,-66.40396
1.4666225778263014E18,-0.6979065,2.5742798,9.794342,-0.3132782,-0.7176819,0.22323608,8.084488,-31.962013,-66.73908
1.466622577846443E18,-0.51498413,2.415451,9.828659,-0.21287537,-0.5158081,0.27450562,7.826233,-31.705475,-66.822815
1.4666225778665846E18,-0.28822327,2.6083527,9.656235,-0.10820007,-0.27120972,0.22964478,7.309532,-31.277657,-66.822815
1.4666225778867261E18,-0.2824402,2.6186066,8.865845,-0.24705505,-0.23168945,0.13671875,6.7066193,-31.020927,-67.409325
1.466622577906868E18,0.2367096,2.3446808,8.230408,-0.5450592,-0.21673584,0.10253906,6.017685,-30.764389,-67.744446
1.4666225779270095E18,0.81759644,2.4547882,9.114304,-0.51194763,0.13574219,0.11001587,5.414772,-30.33657,-68.49842
1.466622577947151E18,-0.13494873,2.4750366,10.08873,-0.19685364,0.22973633,0.09933472,4.9840927,-29.823303,-68.83354
1.4666225779723282E18,0.20484924,2.356186,10.236038,0.32652283,0.25216675,0.036315918,4.7258377,-29.566574,-68.83354
1.4666225779924698E18,-0.17835999,2.1786652,9.12085,0.374588,0.5768738,0.12924194,4.4675827,-29.309845,-68.66608
1.4666225780075758E18,-0.26669312,2.0976257,8.55426,0.20048523,0.81185913,0.15594482,4.4675827,-28.967667,-68.83354
1.4666225780277174E18,-0.6472931,2.370407,8.9765625,0.031723022,1.1045227,0.22003174,4.81205,-28.882217,-68.917465
1.4666225780478592E18,-0.44833374,2.2617493,9.399887,0.12037659,1.181427,0.07476807,5.3287506,-28.882217,-68.582344
