time,ax,ay,az,gx,gy,gz,mx,my,mz
1.4666217253934707E18,-1.0945892,2.6069489,9.525787,-0.6625519,-0.33422852,0.008544922,2.9708862,-26.083374,-73.25134
1.4666217254035415E18,-0.87809753,2.4398499,9.532761,-0.24705505,-0.625824,-0.090789795,2.9708862,-25.399017,-72.91565
1.4666217254136123E18,-0.77001953,2.3088837,9.478882,-0.20219421,-0.5788269,-0.090789795,2.740987,-25.627136,-73.02755
1.4666217254337539E18,-0.5510254,2.1714783,9.286362,-0.10713196,-0.4378357,-0.08758545,2.2815704,-25.227737,-72.748184
1.4666217254538954E18,-0.38755798,2.070572,9.00264,-0.088974,-0.30966187,-0.11001587,2.0059204,-25.125122,-73.25104
1.466621725474037E18,-0.59117126,2.1646118,8.861923,-0.116744995,-0.2135315,-0.11642456,1.9371033,-25.056711,-73.13919
1.4666217254941786E18,-0.61390686,2.1138,9.0298,-0.12208557,-0.13876343,-0.0982666,1.4940535,-25.105503,-73.0593
1.4666217255143204E18,-0.475708,2.0263824,9.191879,-0.07829285,-0.06719971,-0.08117676,1.3341904,-24.971008,-73.25077
1.466621725534462E18,-0.46064758,2.051834,9.283295,-0.057998657,-0.05545044,-0.08544922,0.8172989,-24.54319,-73.3345
1.4666217255546035E18,-0.50683594,2.0270844,9.135101,-0.04197693,-0.025543213,-0.086517334,0.47283173,-24.45755,-73.50216
1.466621725574745E18,-0.54571533,2.0519562,9.084839,-0.07295227,0.023590088,-0.09399414,0.30059814,-24.20082,-73.3345
1.4666217255948867E18,-0.55644226,2.087967,9.330688,-0.06333923,0.06951904,-0.095062256,0.12836456,-24.115372,-73.50216
1.4666217256150282E18,-0.58747864,2.0909271,9.368408,-0.056930542,0.078063965,-0.09185791,0.21457672,-23.858643,-73.3345
1.4666217256351698E18,-0.6713867,2.0552826,9.360535,-0.04197693,0.024658203,-0.05340576,0.04234314,-23.773003,-73.3345
1.4666217256553114E18,-0.6330719,2.0188599,9.414261,-0.035568237,0.033203125,-0.059814453,0.30078888,-23.601913,-73.50216
1.4666217256754532E18,-0.7671814,2.0251007,9.437271,-0.002456665,0.073791504,-0.048065186,0.30078888,-23.430824,-73.334694
1.4666217256955948E18,-0.71183777,1.9815369,9.291779,-0.009933472,0.100494385,-0.052337646,0.5592346,-23.516464,-73.25096
1.4666217257157363E18,-0.73999023,2.0385284,9.412903,-0.0013885498,0.06738281,-0.055541992,0.8174896,-23.431015,-73.083305
1.4666217257409134E18,-0.6905365,2.0928955,9.359131,0.006088257,0.01184082,-0.048065186,0.64525604,-23.345566,-73.16704
1.4666217257560195E18,-0.6480408,2.124176,9.381287,0.02104187,0.0032958984,-0.036315918,0.9037018,-23.516655,-73.16704
1.466621725776161E18,-0.6043396,2.0783844,9.306152,0.025314331,0.07272339,-0.050201416,0.9897232,-23.431206,-73.083305
1.4666217257963026E18,-0.62384033,2.107132,9.277588,0.040267944,0.1015625,-0.055541992,1.1619568,-23.345757,-73.25096
1.4666217258164444E18,-0.77978516,2.0773773,9.28775,0.04988098,0.04067993,-0.06088257,1.248169,-23.345757,-73.083305
1.466621725836586E18,-0.7504425,2.041275,9.240265,0.07551575,-0.019134521,-0.054473877,1.506424,-23.516846,-72.99938
1.4666217258567276E18,-0.84381104,2.0270996,9.081024,0.08299255,-0.020202637,-0.02029419,1.7648697,-23.687935,-72.74799
1.4666217258819044E18,-0.8695526,1.9921875,9.030151,0.0723114,0.008636475,0.02243042,1.7648697,-23.859024,-72.74799
1.4666217258970107E18,-0.7453308,2.031845,8.990646,0.04560852,0.017181396,0.011749268,1.9371033,-24.030113,-72.91565
1.4666217259171523E18,-0.6522217,2.0305023,8.981216,0.031723022,-0.0020446777,-0.013885498,1.7648697,-24.030113,-72.99938
1.4666217259372938E18,-0.5947571,2.0724792,9.100189,0.025314331,-0.01272583,-0.028839111,1.7648697,-24.115562,-72.831726
1.4666217259574354E18,-0.6905365,2.090149,9.157669,0.02104187,-0.015930176,-0.035247803,1.7648697,-24.115562,-72.74799
1.4666217259775772E18,-0.81918335,2.0989075,9.067352,0.01890564,-0.018066406,-0.0074768066,1.8508911,-24.030113,-72.74799
1.4666217259977188E18,-0.7756653,2.0581207,9.068481,0.011428833,-0.007385254,0.02456665,1.7648697,-24.201202,-72.496796
1.4666217260178604E18,-0.5947571,2.049652,9.0961,-0.024887085,-0.016998291,0.005340576,1.5926361,-24.030113,-72.58053
1.466621726038002E18,-0.49838257,1.9921875,9.404358,-0.0056610107,-0.023406982,-0.013885498,1.5926361,-23.944473,-72.58053
1.4666217260581435E18,-0.5404358,2.0656586,9.314087,0.008224487,0.0032958984,-0.037384033,1.6788483,-23.944473,-72.41287
1.466621726078285E18,-0.5947571,2.107132,9.241867,0.012496948,-0.018066406,-0.037384033,1.8510818,-23.858833,-72.16148
1.4666217260984266E18,-0.5219574,2.1377716,9.157669,0.0039520264,-0.022338867,-0.032043457,1.8510818,-23.858833,-72.41287
1.4666217261185682E18,-0.4899292,2.2029266,9.120453,-0.029159546,-0.003112793,-0.02243042,1.8510818,-23.944283,-72.24522
1.46662172613871E18,-0.44148254,2.192215,9.225845,-0.022750854,-0.0063171387,-0.02456665,1.937294,-23.944283,-72.07775
1.4666217261588516E18,-0.37272644,2.1375732,9.341385,-0.0013885498,0.008636475,-0.04699707,2.0233154,-23.773193,-72.16148
1.4666217261840284E18,-0.54745483,2.131363,9.29567,0.02104187,-0.007385254,-0.048065186,2.0233154,-23.687553,-72.32914
1.4666217261991347E18,-0.59239197,2.1813812,9.219894,0.012496948,-0.029815674,-0.032043457,2.1095276,-23.687553,-72.41306
1.4666217262192763E18,-0.5657196,2.2029266,9.24852,0.007156372,-0.03942871,-0.02243042,2.0233154,-23.687553,-72.2456
1.4666217262394179E18,-0.52349854,2.1385498,9.291779,0.0135650635,-0.028747559,-0.021362305,2.3677826,-23.773193,-72.32933
1.4666217262595594E18,-0.5181122,2.1262817,9.2534485,0.02104187,-0.022338867,-0.02456665,2.540207,-24.115372,-72.2456
1.4666217262797012E18,-0.58543396,2.1651,9.329086,0.026382446,-0.038360596,-0.018157959,2.540207,-24.201012,-72.32933
