time,ax,ay,az,gx,gy,gz,mx,my,mz
1.4666223078734676E18,-1.4359436,3.9439392,9.622513,0.606369,-2.053894,1.0499573,-6.3316345,-26.42517,-60.51483
1.466622307888574E18,-1.2346497,3.5248413,10.583038,-0.39979553,-0.8928528,-0.28625488,-6.2169394,-26.31124,-60.738117
1.466622307913751E18,-1.0218048,3.2826538,9.230209,-0.002456665,-0.5916443,-0.16448975,-6.504059,-26.42517,-61.01761
1.466622307928857E18,-0.6962433,3.2374725,9.262146,0.14707947,-0.26159668,-0.08117676,-6.538391,-26.630554,-60.917053
1.4666223079489987E18,-0.5885315,3.2067108,8.233612,-0.18190002,-0.028747559,-0.052337646,-7.020823,-26.539358,-60.738373
1.4666223079691402E18,-0.9988861,3.601471,8.7426605,-0.11567688,0.3333435,-0.048065186,-6.971523,-26.571873,-60.70644
1.466622307989282E18,-0.9116974,3.447647,9.330093,0.18553162,0.375,-0.108947754,-6.9345474,-26.42517,-60.515022
1.4666223080094236E18,-0.97792053,3.4865265,8.786102,0.093673706,0.2617798,-0.095062256,-6.9345474,-26.51062,-60.347557
1.4666223080295652E18,-1.0707092,3.297943,8.835907,-0.17121887,0.16992188,-0.009613037,-6.848526,-26.33953,-60.263824
1.4666223080547423E18,-1.1552582,3.2806854,9.123367,0.01890564,-0.06826782,0.12496948,-7.106781,-26.33953,-60.012627
1.4666223080698483E18,-1.0692749,3.2735443,8.407379,0.0018157959,-0.19644165,0.2243042,-6.762123,-26.168442,-59.593582
1.46662230808999E18,-0.81507874,3.251831,7.8213806,-0.17015076,-0.2701416,0.23925781,-6.762123,-25.740623,-59.50985
1.4666223081101315E18,-0.6330719,3.0883026,8.221649,-0.431839,-0.31393433,0.26062012,-6.417465,-25.740623,-59.426117
1.466622308130273E18,-0.49040222,2.7842255,8.815338,-0.5995331,-0.29577637,0.27450562,-6.589699,-25.398445,-59.25865
1.4666223081504148E18,-0.5957031,3.025772,8.781723,-0.5536041,-0.39083862,0.18798828,-6.8481445,-25.227356,-59.593773
1.4666223081705564E18,-0.8140564,2.871399,8.546661,-0.54078674,-0.35986328,0.119628906,-7.1926117,-24.799728,-59.928894
1.4666223081957332E18,-1.088562,2.7201996,9.307068,-0.5589447,-0.30645752,-0.0064086914,-7.623291,-24.45755,-60.09636
1.4666223082108396E18,-0.8288574,2.6052399,9.685425,-0.5301056,-0.3972473,-0.0630188,-7.7957153,-23.944283,-60.18009
1.466622308230981E18,-0.20321655,2.7052155,9.707275,-0.3421173,-0.62368774,-0.22537231,-8.657074,-23.431015,-60.515213
1.4666223082511227E18,0.07536316,2.579834,9.157669,-0.2641449,-0.6151428,-0.32684326,-9.087753,-23.003387,-60.850334
1.4666223082712643E18,0.1436615,2.5565186,9.318054,-0.265213,-0.34170532,-0.42190552,-9.432411,-22.40448,-61.269188
1.466622308291406E18,0.045532227,2.7040405,9.697113,-0.20753479,-0.13342285,-0.42297363,-9.690857,-22.147942,-61.35292
1.4666223083115476E18,-0.18417358,2.826889,9.913101,-0.118881226,-0.08215332,-0.315094,-9.690857,-21.805763,-61.268997
1.4666223083316892E18,-0.34849548,3.0923767,10.386597,0.024246216,-0.3256836,-0.17089844,-9.777069,-21.634674,-61.268997
1.4666223083518308E18,-0.20890808,2.738449,9.897659,0.17378235,-0.3406372,-0.032043457,-9.949303,-21.463585,-61.436653
