time,ax,ay,az,gx,gy,gz,mx,my,mz
1.4677388665606687E18,-8.9328,2.854309,-0.21672058,-0.46150208,0.15054321,0.46142578,52.941513,-26.051521,7.831764
1.4677388665808102E18,-8.81366,2.9894562,-0.8269348,-0.54267883,0.1078186,0.53512573,52.76928,-26.650238,7.99942
1.4677388666009518E18,-8.81366,3.2175598,-0.8919678,-0.74028015,0.17190552,0.56396484,52.252388,-27.676773,8.167076
1.4677388666210934E18,-8.987274,3.5291443,-0.38938904,-0.8908844,0.22424316,0.5693054,52.080154,-28.617859,8.418465
1.467738866641235E18,-9.283264,3.620636,0.21520996,-0.90049744,0.1986084,0.58425903,52.080154,-29.558754,8.753777
1.4677388666613765E18,-9.32782,3.7899323,0.4023285,-0.80970764,0.18685913,0.59173584,51.994133,-30.32875,9.256554
1.467738866681518E18,-9.157928,4.2345886,0.28707886,-0.69862366,0.16442871,0.5895996,51.90792,-31.013107,9.340477
1.46773886670166E18,-8.827087,4.488495,0.092926025,-0.62705994,0.17404175,0.5340576,51.735687,-31.868553,9.591675
1.4677388667218015E18,-8.390549,4.64122,-0.22990417,-0.6473541,0.269104,0.42938232,51.563454,-32.63855,10.010529
1.467738866741943E18,-8.097168,4.559387,-0.25683594,-0.6826019,0.36523438,0.34500122,51.305008,-33.579636,10.34565
1.4677388667620846E18,-8.28981,4.5605774,0.068862915,-0.59181213,0.29367065,0.28305054,51.563454,-34.092903,10.597038
1.4677388667822262E18,-8.596497,4.693344,0.27450562,-0.46897888,0.18151855,0.27023315,51.563454,-34.77726,10.932159
1.4677388668023677E18,-8.843964,4.7701263,0.536438,-0.31303406,0.12384033,0.21469116,51.39122,-35.290527,11.015892
1.4677388668225093E18,-9.12616,4.956436,0.28141785,-0.18486023,0.0864563,0.11642456,51.47724,-35.974884,11.015892
1.4677388668426511E18,-9.530914,5.2905426,-0.07872009,-0.11116028,0.049072266,0.02670288,51.305008,-36.74488,11.099625
1.4677388668627927E18,-9.986679,5.6557617,0.15762329,-0.019302368,0.0063476563,-0.04699707,51.305008,-37.34379,11.015892
1.4677388668829343E18,-10.370697,6.008438,0.33787537,0.11955261,0.049072266,-0.10681152,51.218796,-37.771416,10.932159
1.4677388669030758E18,-10.850891,6.2964935,0.37882996,0.22209167,0.059753418,-0.13031006,51.39122,-38.199043,10.848427
