time,ax,ay,az,gx,gy,gz,mx,my,mz
1.4666217310532608E18,0.57211304,2.144989,8.848022,-0.10606384,-0.085357666,0.033111572,-2.1110535,-20.693779,-73.083496
1.4666217310734024E18,0.25239563,2.158615,8.442825,-0.23103333,-0.05117798,0.02029419,-2.1110535,-20.26596,-72.91584
1.466621731093544E18,0.08364868,2.0901947,8.479263,-0.3965912,-0.0063171387,0.06515503,-2.025032,-19.495964,-72.99957
1.4666217311136855E18,-0.020004272,2.0113373,8.629471,-0.4745636,0.01184082,0.12496948,-2.1972656,-19.324875,-72.83211
1.466621731133827E18,0.026626587,2.0630188,8.842819,-0.50019836,0.03427124,0.15060425,-2.2834778,-19.068336,-72.99957
1.4666217311539686E18,-0.083496094,2.1837616,8.985245,-0.49378967,0.05029297,0.19973755,-2.3694992,-18.726158,-72.83192
1.4666217311741102E18,-0.24810791,2.1556244,9.422882,-0.51194763,0.035339355,0.22216797,-2.5417328,-18.12725,-73.083305
1.466621731194252E18,-0.5917053,2.4136658,10.023682,-0.60380554,0.10369873,0.27236938,-2.7139664,-17.699623,-73.58608
1.4666217312143936E18,-0.17105103,1.9427185,10.051437,-0.635849,0.27352905,0.34820557,-2.8001785,-17.186356,-73.83747
1.4666217312345352E18,-0.5130768,1.9967804,9.852127,-0.45640564,0.27352905,0.44754028,-2.7139664,-16.24546,-74.17259
1.4666217312546767E18,-0.6491089,2.3667297,9.8133545,-0.2011261,-9.765625E-4,0.5874634,-2.7139664,-15.732193,-74.256325
1.4666217312748183E18,0.06111145,2.5960999,9.655777,-0.02381897,-0.24984741,0.43792725,-2.8862,-14.962196,-74.34006
1.46662173129496E18,0.48545837,2.5624847,9.602753,-0.034500122,-0.3043213,0.1473999,-3.0584335,-14.534378,-74.34006
1.4666217313151014E18,0.32484436,2.24794,9.751572,-0.009933472,-0.25946045,-0.017089844,-2.8862,-13.935661,-74.591446
1.466621731335243E18,-0.115875244,1.9257507,9.4513855,0.13319397,-0.1088562,-0.057678223,-2.972412,-13.679123,-74.842834
1.4666217313553848E18,-0.6317444,1.9333649,8.903259,0.13746643,-0.07467651,0.12924194,-2.972412,-13.251305,-74.75891
1.4666217313755264E18,-0.27624512,2.0688171,8.755341,0.03919983,-0.076812744,0.24353027,-2.8862,-13.336754,-74.591255
1.466621731395668E18,0.67666626,2.1968231,8.935196,-0.027023315,0.11331177,0.14633179,-3.230667,-13.593292,-74.67518
1.4666217314158095E18,0.50909424,2.5642242,9.195084,-0.059066772,0.14108276,0.02029419,-3.5751343,-13.593292,-74.7591
1.466621731435951E18,0.23646545,2.340149,9.115051,-0.065475464,0.026794434,-0.05340576,-3.5751343,-13.593292,-75.01049
1.4666217314560927E18,-0.22332764,2.197052,9.29686,-0.036636353,-0.105651855,-0.030975342,-3.7473679,-13.422203,-75.09441
1.4666217314762342E18,-0.31071472,2.199585,9.604141,-0.036636353,-0.2348938,-0.027770996,-4.178047,-13.764381,-75.26207
1.4666217314963758E18,0.23173523,2.2403412,10.271545,-0.034500122,-0.23382568,-0.0064086914,-4.2640686,-13.764381,-75.3458
1.4666217315165176E18,0.65353394,2.0053406,10.61969,0.05949402,-0.11312866,-0.052337646,-4.5223236,-13.764381,-75.26207
1.4666217315366592E18,0.55682373,2.022705,10.663391,0.12571716,-0.06933594,-0.117492676,-5.039215,-13.678932,-75.429726
1.4666217315568008E18,0.48641968,2.0330048,10.583694,0.15348816,-0.09817505,-0.1687622,-5.039215,-13.678932,-75.59719
1.4666217315769423E18,0.49456787,1.9839478,10.682098,0.13746643,-0.11740112,-0.22964478,-4.953003,-13.850021,-75.59719
1.466621731597084E18,0.2995758,1.85849,10.995621,0.15562439,-0.13876343,-0.28198242,-4.953003,-14.1067505,-75.429535
1.4666217316172255E18,0.09907532,1.6022644,11.36087,0.3457489,-0.1366272,-0.27877808,-4.953003,-14.448929,-75.17815
1.4666217316424026E18,-0.33529663,1.6369324,10.326614,0.6950226,-0.12701416,-0.16769409,-5.039215,-14.620018,-74.92676
1.4666217316575089E18,-0.20935059,1.57518,9.582596,0.689682,-0.1932373,-0.115356445,-5.2116394,-15.218735,-74.59164
1.4666217316776504E18,0.06642151,1.8103943,9.119339,0.40022278,-0.30218506,-0.231781,-5.470085,-16.07418,-74.59164
1.466621731697792E18,0.35476685,1.870636,9.482468,0.091537476,-0.30966187,-0.41549683,-5.5561066,-16.843987,-74.17259
1.4666217317179336E18,0.49726868,1.1945038,9.858505,0.030654907,-0.083221436,-0.5169678,-5.728531,-17.528343,-73.58608
1.4666217317380751E18,0.20544434,0.8088074,9.666061,0.057357788,-0.023406982,-0.5276489,-6.073189,-18.2127,-73.41843
1.4666217317582167E18,-0.21916199,0.7200012,9.456482,0.069107056,-0.11099243,-0.491333,-6.159401,-18.897057,-73.41843
1.4666217317783583E18,-0.41212463,0.652359,9.437378,0.22718811,-0.3117981,-0.41229248,-6.159401,-19.752502,-73.41843
1.4666217317984998E18,-0.42233276,0.71125793,9.116653,0.41838074,-0.42929077,-0.36102295,-6.3316345,-20.35122,-73.16704
1.4666217318186417E18,-0.29223633,0.80436707,8.7504425,0.57325745,-0.4303589,-0.32363892,-6.5898895,-20.950127,-72.83192
1.4666217318387832E18,-0.325943,0.9899597,8.077621,0.5401459,-0.3609314,-0.23712158,-6.8483353,-21.206856,-72.66426
1.4666217318589248E18,-0.0016021729,1.1867828,7.6073303,0.2624359,-0.24130249,-0.15487671,-7.020569,-21.463585,-72.66426
1.4666217318790664E18,0.27635193,1.5531769,7.6987915,0.025314331,-0.08642578,-0.119628906,-7.1928024,-21.805763,-72.58053
1.466621731899208E18,0.59265137,1.9281769,8.256058,-0.1242218,0.05670166,-0.1121521,-7.1065903,-22.233582,-72.161674
1.4666217319193495E18,0.68144226,2.141739,9.004395,-0.065475464,0.09408569,-0.11642456,-7.278824,-22.49012,-71.910286
1.466621731939491E18,0.4968109,2.241684,8.866699,0.23252869,0.20303345,-0.09719849,-7.365036,-22.57576,-71.910286
1.466621731959633E18,0.5993347,2.4262238,8.1840515,0.21116638,0.098358154,0.008544922,-7.278824,-22.832489,-71.910286
1.4666217319797745E18,1.0185547,2.7299805,8.088821,-0.087905884,0.05883789,0.035247803,-7.278824,-23.003578,-72.07775
1.466621731999916E18,1.2827606,2.9884186,8.916626,-0.3143463,0.07165527,-0.06729126,-7.1065903,-23.089027,-71.74263
1.4666217320200576E18,1.0525665,2.6872253,9.787369,-0.20753479,0.12612915,-0.22216797,-7.1928024,-23.260117,-71.6589
1.4666217320401992E18,0.32511902,2.4009705,9.949631,-0.02809143,0.10903931,-0.17623901,-7.1065903,-23.260117,-71.575165
1.4666217320603407E18,0.35746765,2.238388,9.721802,0.06376648,0.001159668,-0.009613037,-6.9343567,-23.089027,-71.575165
