time,ax,ay,az,gx,gy,gz,mx,my,mz
1.4666222723336197E18,-1.1641083,-9.732285,-0.7088623,-0.14665222,0.1293335,-0.068359375,2.8844833,48.342323,-35.12726
1.4666222723587968E18,-0.90605164,-9.692017,-0.6873169,-0.2566681,0.14749146,-0.023498535,2.8844833,48.256874,-34.959602
1.4666222723789384E18,-0.6753998,-9.531021,-0.62716675,-0.32609558,0.13360596,0.014953613,3.2291412,48.085785,-34.959602
1.46662227239908E18,-0.56781006,-9.181152,-0.49047852,-0.3196869,0.084472656,0.059814453,3.056717,48.085785,-35.127068
1.4666222724192215E18,-0.66256714,-8.5802,-0.7030182,-0.32929993,0.09729004,0.10360718,3.2291412,48.256874,-34.708214
1.466622272439363E18,-0.815506,-8.386612,-1.1786499,-0.44892883,0.14855957,0.1538086,3.142929,48.599052,-34.373093
1.4666222724595046E18,-1.2354584,-8.784592,-1.7567596,-0.54826355,0.18914795,0.23391724,3.3153534,48.599052,-33.70266
1.4666222724796462E18,-0.9406128,-9.81546,-1.9414978,-0.5931244,0.33654785,0.28945923,3.4877777,48.599052,-33.367348
1.466622272499788E18,-0.24571228,-10.354141,-1.5763702,-0.4457245,0.40490723,0.1473999,4.004669,49.02668,-32.948303
1.4666222725199296E18,-1.1788635,-10.145279,-2.2370605,-0.42436218,0.4935608,-0.018157959,4.4353485,49.36886,-32.52945
1.4666222725400712E18,-2.4553375,-10.163986,-2.352005,-0.48417664,0.5448303,-0.005340576,4.4353485,49.711037,-32.110405
1.4666222725602127E18,-1.7130585,-9.616409,-1.7892914,-0.40727234,0.6292114,-0.057678223,5.0382614,49.882126,-31.523895
1.4666222725803543E18,-0.9111786,-9.432907,-1.6972961,-0.3837738,0.6185303,-0.1965332,5.210495,50.138855,-31.272507
1.466622272600496E18,-0.6391907,-9.758713,-2.2134705,-0.54719543,0.49035645,-0.21148682,5.296707,50.395584,-30.853462
1.4666222726206374E18,-0.19242859,-10.250885,-2.6784973,-0.6849823,0.36431885,-0.19012451,5.6411743,50.90885,-30.350685
1.4666222726458145E18,-0.45117188,-9.54718,-1.9251251,-0.72343445,0.15390015,-0.08224487,5.813408,51.33648,-29.680443
1.4666222726609208E18,-0.7137146,-8.893448,-1.7205353,-0.5920563,0.098358154,-0.0074768066,5.813408,51.50776,-29.093933
1.4666222726810624E18,-1.1634216,-8.749542,-2.2167053,-0.47776794,0.07485962,0.10253906,5.813408,51.76449,-28.4235
1.466622272701204E18,-1.1971283,-8.6605835,-2.4898224,-0.3965912,0.087677,0.1399231,5.7271957,52.106667,-27.669525
1.4666222727213455E18,-1.380249,-8.313339,-2.282669,-0.23744202,0.09301758,0.117492676,5.6411743,52.534485,-26.999283
1.466622272741487E18,-1.3798523,-7.881256,-2.4771423,-0.02168274,0.046020508,0.041656494,5.7271957,52.619934,-26.32885
1.4666222727616287E18,-1.523941,-7.5550385,-2.9535522,0.09901428,0.09088135,-0.039520264,5.8994293,52.962112,-25.826073
1.4666222727817702E18,-1.687973,-7.4881897,-3.2185974,0.15989685,0.25216675,-0.08331299,5.8994293,53.047752,-25.490952
1.466622272801912E18,-1.5428009,-7.248703,-3.3916016,0.22291565,0.3055725,-0.068359375,5.9854507,53.133392,-25.407219
1.4666222728220536E18,-1.1001587,-7.5208893,-3.9776306,0.23680115,0.35256958,-0.058746338,5.8992386,52.962112,-25.239754
1.4666222728421952E18,-1.223114,-7.966278,-4.1506653,0.21650696,0.45724487,-0.06088257,5.8992386,53.04756,-25.239754
1.4666222728623368E18,-1.8307648,-8.233719,-3.9578247,0.20796204,0.49569702,0.009613037,6.071472,52.876472,-25.491142
1.4666222728824783E18,-1.9483337,-8.500748,-4.305191,0.09901428,0.4177246,0.10360718,6.071472,52.962112,-25.74253
1.46662227290262E18,-2.1124268,-8.590698,-4.7208405,-0.049453735,0.33441162,0.18798828,6.2437057,53.133392,-25.74253
1.466622272927797E18,-2.1739044,-8.049438,-4.357086,-0.08576965,0.05456543,0.43579102,6.2437057,52.791214,-25.826454
1.466622272942903E18,-2.0594635,-7.808197,-4.8290863,0.046676636,0.15176392,0.55007935,6.4159393,52.791214,-25.910187
1.4666222729630449E18,-0.4156494,-13.176727,-7.380829,-0.5162201,0.47753906,0.62698364,6.674385,53.047943,-25.74253
1.4666222729831864E18,-0.40318298,-17.91774,-0.06593323,-0.06227112,-0.7347717,0.602417,7.019043,53.133583,-25.74253
1.466622273003328E18,-1.7120819,-13.125809,4.383209,0.91825867,-2.201294,0.5116272,7.1912766,53.219223,-25.99392
1.4666222730234696E18,2.1130524,-5.832321,-1.7530823,0.36283875,-1.089386,0.22964478,7.1912766,53.390312,-25.826263
1.4666222730436111E18,-1.067627,-5.032837,0.13516235,0.055221558,-0.31393433,0.20614624,7.7079773,53.390312,-25.74234
1.4666222730637527E18,0.8229523,-4.9399414,1.8839111,0.3809967,0.098358154,-0.07904053,7.7941895,53.304672,-26.245117
1.4666222730838943E18,1.613617,-5.743347,2.1125793,0.800766,0.38461304,-1.2635803,7.966423,53.64685,-26.412582
1.4666222731040358E18,-1.8590546,-10.7530365,0.4767151,0.44721985,-0.48483276,-1.547699,7.4497223,53.7323,-26.831627
1.4666222731241777E18,-1.9982605,-13.712387,-0.88412476,0.23680115,-1.0263672,-0.8544922,6.9330215,53.56121,-27.250671
1.4666222731443192E18,-2.0622253,-9.113251,-0.22216797,0.54655457,-0.5852356,-0.05126953,6.3301086,53.7323,-27.837181
1.4666222731644608E18,-1.255722,-7.2930145,-1.0842285,0.5978241,-0.044769287,0.4496765,5.8994293,53.64666,-28.172493
1.4666222731846024E18,-0.7632904,-7.8701477,-0.87409973,0.63520813,-0.12060547,0.4988098,5.7271957,53.7323,-28.67527
1.466622273204744E18,-0.4102173,-7.884903,0.63848877,0.79008484,-0.5574646,0.47424316,5.124283,53.98884,-29.094315
1.4666222732248855E18,-0.24317932,-7.6279755,1.1961975,0.95137024,-0.39404297,0.18798828,4.865837,54.159927,-29.429436
1.466622273245027E18,0.016525269,-8.785477,-0.028945923,0.8167877,-0.42608643,-0.24139404,4.3491364,54.159927,-30.267334
1.466622273265169E18,-0.9823761,-10.187592,-0.7770233,0.5550995,-0.34170532,-0.52871704,4.3491364,53.9032,-30.770111
1.4666222732853105E18,-1.9636841,-9.906921,0.38885498,0.6597748,-0.30966187,-0.5041504,4.262924,53.73192,-31.691742
1.466622273305452E18,-1.5817871,-9.285522,0.6548157,0.9342804,-0.4453125,-0.4411316,4.0905,53.81756,-32.361984
1.4666222733255936E18,-1.0684357,-9.111038,-0.6691437,0.9641876,-0.2210083,-0.4624939,3.9182663,53.81756,-33.199883
1.4666222733457352E18,-1.0384827,-9.509659,-1.2575836,0.8242645,-0.15905762,-0.53512573,3.6598206,53.47519,-34.121513
