time,ax,ay,az,gx,gy,gz,mx,my,mz
1.466620953778753E18,-0.5442505,5.715851,7.6999054,-7.1086273,-2.3529663,7.4736023,-9.432983,-39.086914,-43.086243
1.4666209537888238E18,-0.38342285,5.654999,7.536392,0.3596344,0.078063965,0.10574341,-8.743286,-38.744354,-43.086243
1.4666209538089654E18,-0.22035217,5.564377,7.240204,0.22505188,0.05029297,0.050201416,-8.283997,-39.314777,-42.639668
1.466620953829107E18,-0.20355225,5.525345,7.165207,0.109695435,0.09088135,0.013885498,-8.571243,-39.77089,-42.91916
1.466620953854284E18,-0.15097046,5.482132,7.299301,-0.02168274,0.08874512,-0.059814453,-8.192139,-40.044556,-42.68463
1.4666209538744256E18,-0.28373718,5.531967,7.437912,-0.10820007,0.096221924,-0.09185791,-7.939402,-39.88495,-42.639923
1.466620953889532E18,-0.40646362,5.557251,7.629944,-0.11994934,0.098358154,-0.113220215,-7.7588763,-39.8686,-42.320686
1.4666209539096735E18,-0.5947571,5.647217,7.7932434,-0.096450806,0.08554077,-0.113220215,-7.6234818,-39.77089,-42.33265
1.466620953929815E18,-0.75431824,5.670578,7.804001,-0.061203003,0.073791504,-0.06942749,-7.278824,-39.5998,-42.500305
1.4666209539499566E18,-0.64753723,5.603546,7.9506836,0.031723022,0.118652344,-0.02456665,-7.278824,-39.77089,-42.33284
1.4666209539700982E18,-0.5675354,5.5526123,7.9365997,0.11503601,0.11972046,-0.013885498,-7.1065903,-39.77089,-42.249107
1.4666209539902397E18,-0.54481506,5.5672455,7.854904,0.13426208,0.09088135,-0.0032043457,-6.7619324,-39.51435,-42.08145
1.4666209540103813E18,-0.5257263,5.605484,7.6861115,0.09580994,0.0663147,-0.008544922,-6.7619324,-39.51435,-42.33284
1.4666209540305231E18,-0.48205566,5.5364685,7.603592,0.006088257,0.044952393,-0.012817383,-6.7619324,-39.42871,-42.249107
1.4666209540506647E18,-0.55973816,5.5523224,7.593277,-0.090042114,0.03640747,-0.018157959,-6.675911,-39.42871,-42.33303
1.4666209540708063E18,-0.58154297,5.4789886,7.751831,-0.14878845,0.0385437,-0.02243042,-6.8481445,-39.42871,-42.2493
1.4666209540909478E18,-0.580307,5.402359,7.881302,-0.16801453,-0.0105896,-0.036315918,-6.762123,-39.77089,-41.914177
1.4666209541110894E18,-0.55644226,5.402359,8.055389,-0.16160583,-0.05758667,-0.04486084,-6.6761017,-39.77089,-41.830444
1.466620954131231E18,-0.5639343,5.4714966,8.046478,-0.10179138,-0.107788086,-0.03845215,-6.8483353,-39.5998,-41.914177
1.4666209541513725E18,-0.68278503,5.5095367,8.000412,-0.05479431,-0.101379395,-0.0010681152,-6.8483353,-39.68525,-41.914177
