Time, x, y, z
6.081760883,-1.685,-2.145,1.379
6.091387033,-1.685,-2.145,1.379
6.366520882,-1.685,-2.145,1.379
6.386769056,-1.685,-2.145,1.379
6.413768053,-1.685,-2.145,1.379
6.446259022,-1.685,-2.145,1.379
6.469898939,-1.685,-2.145,1.379
6.495956898,-1.685,-2.145,1.379
6.519899845,-1.685,-2.145,1.379
6.542232037,-1.685,-2.145,1.379
6.572391033,-1.685,-2.145,1.379
6.589050055,-1.838,-9.04,0.766
6.598752022,-1.838,-9.04,0.766
6.629101038,-1.838,-9.04,0.766
6.656986952,-1.838,-9.04,0.766
6.685091019,-1.838,-9.04,0.766
6.718071938,-1.838,-9.04,0.766
6.746470928,-1.838,-9.04,0.766
6.773323059,-1.838,-9.04,0.766
6.834794044,-1.838,-9.04,0.766
7.056570053,-1.838,-9.04,0.766
7.08534193,-2.758,-14.404,-1.992
7.113020897,-2.758,-14.404,-1.992
7.126319885,-2.758,-14.404,-1.992
7.154206038,-2.758,-14.404,-1.992
7.234340906,-2.758,-14.404,-1.992
7.264061928,-2.758,-14.404,-1.992
7.306144953,-2.758,-14.404,-1.992
7.340806007,-2.758,-14.404,-1.992
7.367032051,-2.758,-14.404,-1.992
7.404736996,-2.758,-14.404,-1.992
7.426170826,-2.758,-14.404,-1.992
7.462271929,-2.758,-14.404,-1.992
7.493275881,-2.758,-14.404,-1.992
7.531301022,-2.758,-14.404,-1.992
7.592830896,-2.758,-14.404,-1.992
7.632336855,-3.217,-5.669,4.29
7.655009985,-3.217,-5.669,4.29
7.704795837,-3.217,-5.669,4.29
7.740200043,-3.217,-5.669,4.29
7.766873837,-3.217,-5.669,4.29
7.80367589,-3.217,-5.669,4.29
7.841478825,-3.217,-5.669,4.29
7.867583036,-3.217,-5.669,4.29
7.901922941,-3.217,-5.669,4.29
7.940393925,-3.217,-5.669,4.29
7.974128008,-3.217,-5.669,4.29
8.005138874,-3.217,-5.669,4.29
8.058042049,-3.217,-5.669,4.29
8.101140022,0.459,-13.024,-5.056
8.132402897,0.459,-13.024,-5.056
8.167181969,0.459,-13.024,-5.056
8.197590828,0.459,-13.024,-5.056
8.241226912,0.459,-13.024,-5.056
8.301168919,0.459,-13.024,-5.056
8.342459936,0.459,-13.024,-5.056
8.365996857,0.459,-13.024,-5.056
8.397861977,0.459,-13.024,-5.056
8.427585859,0.459,-13.024,-5.056
8.460941811,0.459,-13.024,-5.056
8.489553947,0.459,-13.024,-5.056
8.520834942,0.459,-13.024,-5.056
8.551336784,0.459,-13.024,-5.056
8.617464848,0.459,-13.024,-5.056
8.643210001,1.992,-14.25,-11.492
8.672569818,1.992,-14.25,-11.492
8.694609709,1.992,-14.25,-11.492
8.725309916,1.992,-14.25,-11.492
8.751148767,1.992,-14.25,-11.492
8.790846901,1.992,-14.25,-11.492
8.815531807,1.992,-14.25,-11.492
8.857313948,1.992,-14.25,-11.492
8.888337927,1.992,-14.25,-11.492
8.92409976,1.992,-14.25,-11.492
8.949525909,1.992,-14.25,-11.492
8.982920723,1.992,-14.25,-11.492
9.022817926,1.992,-14.25,-11.492
9.067460852,1.992,-14.25,-11.492
9.093416767,1.992,-14.25,-11.492
9.175968723,-0.612,-10.113,-0.153
9.191508846,-0.612,-10.113,-0.153
9.219873743,-0.612,-10.113,-0.153
