Time, x, y, z
5.897900829,0.459,-9.96,-1.225
5.92382885,0.459,-9.96,-1.225
5.943283806,0.459,-9.96,-1.225
5.974705944,0.459,-9.96,-1.225
5.996159801,0.459,-9.96,-1.225
6.021147976,0.459,-9.96,-1.225
6.036283979,0.459,-9.96,-1.225
6.06702281,0.459,-9.96,-1.225
6.096221933,0.459,-9.96,-1.225
6.339435091,0.459,-9.96,-1.225
6.355083933,0.459,-9.96,-1.225
6.390182962,0.459,-9.96,-1.225
6.424704065,-2.604,-9.653,-1.225
6.460663071,-2.604,-9.653,-1.225
6.487492075,-2.604,-9.653,-1.225
6.520726919,-2.604,-9.653,-1.225
6.550405979,-2.604,-9.653,-1.225
6.569761992,-2.604,-9.653,-1.225
6.599770069,-2.604,-9.653,-1.225
6.623739958,-2.604,-9.653,-1.225
6.65666008,-2.604,-9.653,-1.225
6.680221081,-2.604,-9.653,-1.225
6.702295065,-2.604,-9.653,-1.225
6.734954119,-2.604,-9.653,-1.225
6.767306089,-2.604,-9.653,-1.225
6.79281497,-2.604,-9.653,-1.225
6.818119049,-2.604,-9.653,-1.225
7.063872099,-2.604,-9.653,-1.225
7.092934132,-1.685,-9.5,-1.225
7.12242794,-1.685,-9.5,-1.225
7.162294149,-1.685,-9.5,-1.225
7.205903053,-1.685,-9.5,-1.225
7.249767065,-1.685,-9.5,-1.225
7.279045105,-1.685,-9.5,-1.225
7.319128037,-1.685,-9.5,-1.225
7.344764948,-1.685,-9.5,-1.225
7.376462936,-1.685,-9.5,-1.225
7.425452948,-1.685,-9.5,-1.225
7.452126026,-0.612,-9.653,-0.459
7.490755081,-0.612,-9.653,-0.459
7.514409065,-0.612,-9.653,-0.459
7.550830126,-0.612,-9.653,-0.459
7.603893042,-0.612,-9.653,-0.459
7.643098116,-0.612,-9.653,-0.459
7.660522938,-0.612,-9.653,-0.459
7.693598032,-0.612,-9.653,-0.459
7.739282131,-0.612,-9.653,-0.459
7.769932032,-0.612,-9.653,-0.459
7.805402994,-0.612,-9.653,-0.459
7.842117071,-0.612,-9.653,-0.459
7.869076014,-0.612,-9.653,-0.459
7.906351089,-0.612,-9.653,-0.459
7.945037127,-0.766,-10.419,0.459
7.973784924,-0.766,-10.419,0.459
8.020950079,-0.766,-10.419,0.459
8.070210934,-0.766,-10.419,0.459
8.104186058,-0.766,-10.419,0.459
8.143135071,-0.766,-10.419,0.459
8.19976902,-0.766,-10.419,0.459
8.254014015,-0.766,-10.419,0.459
8.299793005,-0.766,-10.419,0.459
8.350036144,-0.766,-10.419,0.459
8.381782055,-0.766,-10.419,0.459
8.431798935,-0.766,-10.419,0.459
8.47568512,-0.919,-9.96,1.225
8.524244804,-0.919,-9.96,1.225
8.559527893,-0.919,-9.96,1.225
8.605039854,-0.919,-9.96,1.225
8.638869782,-0.919,-9.96,1.225
8.679223795,-0.919,-9.96,1.225
8.704548855,-0.919,-9.96,1.225
8.743743916,-0.919,-9.96,1.225
8.778314848,-0.919,-9.96,1.225
8.802013893,-0.919,-9.96,1.225
8.811637898,-0.919,-9.96,1.225
8.835643787,-0.919,-9.96,1.225
8.87255599,-0.919,-9.96,1.225
8.896031876,-0.919,-9.96,1.225
8.932295818,-0.919,-9.96,1.225
8.955995817,-1.072,-10.113,0.766
8.978824873,-1.072,-10.113,0.766
9.001670856,-1.072,-10.113,0.766
9.02559783,-1.072,-10.113,0.766
9.051759977,-1.072,-10.113,0.766
9.069360991,-1.072,-10.113,0.766
9.078977842,-1.072,-10.113,0.766
9.088854809,-1.072,-10.113,0.766
9.098373909,-1.072,-10.113,0.766
9.336830854,-1.072,-10.113,0.766
9.349210024,-1.072,-10.113,0.766
9.379449844,-1.072,-10.113,0.766
9.389009953,-1.072,-10.113,0.766
9.398569822,-1.072,-10.113,0.766
9.408398867,-1.072,-10.113,0.766
9.419667959,-1.072,-10.113,0.766
9.430668831,-1.072,-9.653,1.532
9.440462828,-1.072,-9.653,1.532
9.450181007,-1.072,-9.653,1.532
9.459659815,-1.072,-9.653,1.532
9.46933198,-1.072,-9.653,1.532
9.478923798,-1.072,-9.653,1.532
9.488560915,-1.072,-9.653,1.532
9.498524904,-1.072,-9.653,1.532
9.50812602,-1.072,-9.653,1.532
9.517901897,-1.072,-9.653,1.532
9.527601957,-1.072,-9.653,1.532
9.537467003,-1.072,-9.653,1.532
9.549245834,-1.072,-9.653,1.532
9.559000969,-1.072,-9.653,1.532
9.568624973,-1.072,-9.653,1.532
9.578626871,-1.072,-9.653,1.532
9.588191986,-1.072,-9.653,1.532
9.598016977,-1.072,-9.653,1.532
9.607600927,-1.072,-9.653,1.532
9.617496967,-1.072,-9.653,1.532
9.627160788,-1.072,-9.653,1.532
9.637077808,-1.072,-9.653,1.532
9.656962872,-1.072,-9.653,1.532
9.676661015,-1.072,-9.653,1.532
9.736125946,-1.072,-9.653,1.532
9.785769939,-1.072,-9.653,1.532
9.814636946,-1.072,-9.653,1.532
10.62663202,-1.072,-9.653,1.532
10.64839797,-1.225,-9.653,0.612
10.67273002,-1.225,-9.653,0.612
10.69263892,-1.225,-9.653,0.612
10.71975188,-1.225,-9.653,0.612
10.74401002,-1.225,-9.653,0.612
10.76993089,-1.225,-9.653,0.612
10.79524283,-1.225,-9.653,0.612
10.8169549,-1.225,-9.653,0.612
10.83674102,-1.225,-9.653,0.612
10.86072283,-1.225,-9.653,0.612
10.88423805,-1.225,-9.653,0.612
10.91699986,-1.225,-9.653,0.612
