Time, x, y, z,,,,,,,,,,,,
5.562185774,None,None,None,,,,,,,,,,,,
5.571927795,None,None,None,,,,,,,,,,,,
5.58701993,None,None,None,,,,,,,,,,,,
5.614106903,None,None,None,,,,,,,,,,,,
5.648855934,None,None,None,,,,,,,,,,,,
5.680670986,None,None,None,,,,,,,,,,,,
5.705945978,None,None,None,,,,,,,,,,,,
5.734328995,None,None,None,,,,,,,,,,,,
5.763427982,None,None,None,,,,,,,,,,,,
5.780345926,None,None,None,,,,,,,,,,,,
5.806857834,None,None,None,,,,,,,,,,,,
5.838269959,None,None,None,,,,,,,,,,,,
5.872262964,None,None,None,,,,Lap1,Lap2,Lap3,Lap4,Lap5,Lap6,Lap7,Lap8,Lap9
5.897900829,0.459,-9.96,-1.225,100.912906,0.245541598,,42.89,30.3,33.75,33.92,34.79,35.3,33.07,33.78,34.25
5.92382885,0.459,-9.96,-1.225,100.912906,0.245541598,,41,37,37,36,36,36,37,36,38
5.943283806,0.459,-9.96,-1.225,100.912906,0.245541598,,,,,,,,,,
5.974705944,0.459,-9.96,-1.225,100.912906,0.245541598,,,,,,,,,,
5.996159801,0.459,-9.96,-1.225,100.912906,0.245541598,,Total,,,,,,,,
6.021147976,0.459,-9.96,-1.225,100.912906,0.245541598,,334,,,,,,,,
6.036283979,0.459,-9.96,-1.225,100.912906,0.245541598,,,,,,,,,,
6.06702281,0.459,-9.96,-1.225,100.912906,0.245541598,,,,,,,,,,
6.096221933,0.459,-9.96,-1.225,100.912906,0.245541598,,,,,,,,,,
6.339435091,0.459,-9.96,-1.225,100.912906,0.245541598,,,,,,,,,,
6.355083933,0.459,-9.96,-1.225,100.912906,0.245541598,,,,,,,,,,
6.390182962,0.459,-9.96,-1.225,100.912906,0.245541598,,,,,,,,,,
6.424704065,-2.604,-9.653,-1.225,101.46185,0.272827309,,,,,,,,,,
6.460663071,-2.604,-9.653,-1.225,101.46185,0.272827309,,,,,,,,,,
6.487492075,-2.604,-9.653,-1.225,101.46185,0.272827309,,,,,,,,,,
6.520726919,-2.604,-9.653,-1.225,101.46185,0.272827309,,,,,,,,,,
6.550405979,-2.604,-9.653,-1.225,101.46185,0.272827309,,,,,,,,,,
6.569761992,-2.604,-9.653,-1.225,101.46185,0.272827309,,,,,,,,,,
6.599770069,-2.604,-9.653,-1.225,101.46185,0.272827309,,,,,,,,,,
6.623739958,-2.604,-9.653,-1.225,101.46185,0.272827309,,,,,,,,,,
6.65666008,-2.604,-9.653,-1.225,101.46185,0.272827309,,,,,,,,,,
6.680221081,-2.604,-9.653,-1.225,101.46185,0.272827309,,,,,,,,,,
6.702295065,-2.604,-9.653,-1.225,101.46185,0.272827309,,,,,,,,,,
6.734954119,-2.604,-9.653,-1.225,101.46185,0.272827309,,,,,,,,,,
6.767306089,-2.604,-9.653,-1.225,101.46185,0.272827309,,,,,,,,,,
6.79281497,-2.604,-9.653,-1.225,101.46185,0.272827309,,,,,,,,,,
6.818119049,-2.604,-9.653,-1.225,101.46185,0.272827309,,,,,,,,,,
7.063872099,-2.604,-9.653,-1.225,101.46185,0.272827309,,,,,,,,,,
7.092934132,-1.685,-9.5,-1.225,94.58985,-0.074268665,,,,,,,,,,
7.12242794,-1.685,-9.5,-1.225,94.58985,-0.074268665,,,,,,,,,,
7.162294149,-1.685,-9.5,-1.225,94.58985,-0.074268665,,,,,,,,,,
7.205903053,-1.685,-9.5,-1.225,94.58985,-0.074268665,,,,,,,,,,
7.249767065,-1.685,-9.5,-1.225,94.58985,-0.074268665,,,,,,,,,,
7.279045105,-1.685,-9.5,-1.225,94.58985,-0.074268665,,,,,,,,,,
7.319128037,-1.685,-9.5,-1.225,94.58985,-0.074268665,,,,,,,,,,
7.344764948,-1.685,-9.5,-1.225,94.58985,-0.074268665,,,,,,,,,,
7.376462936,-1.685,-9.5,-1.225,94.58985,-0.074268665,,,,,,,,,,
7.425452948,-1.685,-9.5,-1.225,94.58985,-0.074268665,,,,,,,,,,
7.452126026,-0.612,-9.653,-0.459,93.765634,-0.116734332,,,,,,,,,,
7.490755081,-0.612,-9.653,-0.459,93.765634,-0.116734332,,,,,,,,,,
7.514409065,-0.612,-9.653,-0.459,93.765634,-0.116734332,,,,,,,,,,
7.550830126,-0.612,-9.653,-0.459,93.765634,-0.116734332,,,,,,,,,,
7.603893042,-0.612,-9.653,-0.459,93.765634,-0.116734332,,,,,,,,,,
7.643098116,-0.612,-9.653,-0.459,93.765634,-0.116734332,,,,,,,,,,
7.660522938,-0.612,-9.653,-0.459,93.765634,-0.116734332,,,,,,,,,,
7.693598032,-0.612,-9.653,-0.459,93.765634,-0.116734332,,,,,,,,,,
7.739282131,-0.612,-9.653,-0.459,93.765634,-0.116734332,,,,,,,,,,
7.769932032,-0.612,-9.653,-0.459,93.765634,-0.116734332,,,,,,,,,,
7.805402994,-0.612,-9.653,-0.459,93.765634,-0.116734332,,,,,,,,,,
7.842117071,-0.612,-9.653,-0.459,93.765634,-0.116734332,,,,,,,,,,
7.869076014,-0.612,-9.653,-0.459,93.765634,-0.116734332,,,,,,,,,,
7.906351089,-0.612,-9.653,-0.459,93.765634,-0.116734332,,,,,,,,,,
7.945037127,-0.766,-10.419,0.459,109.352998,0.657198382,,,,,,,,,,
7.973784924,-0.766,-10.419,0.459,109.352998,0.657198382,,,,,,,,,,
8.020950079,-0.766,-10.419,0.459,109.352998,0.657198382,,,,,,,,,,
8.070210934,-0.766,-10.419,0.459,109.352998,0.657198382,,,,,,,,,,
8.104186058,-0.766,-10.419,0.459,109.352998,0.657198382,,,,,,,,,,
8.143135071,-0.766,-10.419,0.459,109.352998,0.657198382,,,,,,,,,,
8.19976902,-0.766,-10.419,0.459,109.352998,0.657198382,,,,,,,,,,
8.254014015,-0.766,-10.419,0.459,109.352998,0.657198382,,,,,,,,,,
8.299793005,-0.766,-10.419,0.459,109.352998,0.657198382,,,,,,,,,,
8.350036144,-0.766,-10.419,0.459,109.352998,0.657198382,,,,,,,,,,
8.381782055,-0.766,-10.419,0.459,109.352998,0.657198382,,,,,,,,,,
8.431798935,-0.766,-10.419,0.459,109.352998,0.657198382,,,,,,,,,,
8.47568512,-0.919,-9.96,1.225,101.546786,0.277042522,,,,,,,,,,
8.524244804,-0.919,-9.96,1.225,101.546786,0.277042522,,,,,,,,,,
8.559527893,-0.919,-9.96,1.225,101.546786,0.277042522,,,,,,,,,,
8.605039854,-0.919,-9.96,1.225,101.546786,0.277042522,,,,,,,,,,
8.638869782,-0.919,-9.96,1.225,101.546786,0.277042522,,,,,,,,,,
8.679223795,-0.919,-9.96,1.225,101.546786,0.277042522,,,,,,,,,,
8.704548855,-0.919,-9.96,1.225,101.546786,0.277042522,,,,,,,,,,
8.743743916,-0.919,-9.96,1.225,101.546786,0.277042522,,,,,,,,,,
8.778314848,-0.919,-9.96,1.225,101.546786,0.277042522,,,,,,,,,,
8.802013893,-0.919,-9.96,1.225,101.546786,0.277042522,,,,,,,,,,
8.811637898,-0.919,-9.96,1.225,101.546786,0.277042522,,,,,,,,,,
8.835643787,-0.919,-9.96,1.225,101.546786,0.277042522,,,,,,,,,,
8.87255599,-0.919,-9.96,1.225,101.546786,0.277042522,,,,,,,,,,
8.896031876,-0.919,-9.96,1.225,101.546786,0.277042522,,,,,,,,,,
8.932295818,-0.919,-9.96,1.225,101.546786,0.277042522,,,,,,,,,,
8.955995817,-1.072,-10.113,0.766,104.008709,0.398466012,,,,,,,,,,
8.978824873,-1.072,-10.113,0.766,104.008709,0.398466012,,,,,,,,,,
9.001670856,-1.072,-10.113,0.766,104.008709,0.398466012,,,,,,,,,,
