Time, x, y, z
5.742063999,6.589,0.919,8.427
5.77316618,6.589,0.919,8.427
5.804360151,6.589,0.919,8.427
5.824379206,7.661,1.379,7.968
5.851388216,7.661,1.379,7.968
5.875409126,7.661,1.379,7.968
5.900521994,7.661,1.379,7.968
5.926297188,7.661,1.379,7.968
5.949340105,7.661,1.379,7.968
5.979996204,7.661,1.379,7.968
6.00261116,7.661,1.379,7.968
6.029676199,7.661,1.379,7.968
6.052698135,7.661,1.379,7.968
6.083353043,7.661,1.379,7.968
6.108858109,7.661,1.379,7.968
6.135847092,7.661,1.379,7.968
6.381169081,7.661,1.379,7.968
6.40972209,6.895,-0.153,8.427
6.439055204,6.895,-0.153,8.427
6.463815212,6.895,-0.153,8.427
6.484453201,6.895,-0.153,8.427
6.516895056,6.895,-0.153,8.427
6.546363115,6.895,-0.153,8.427
6.570701122,6.895,-0.153,8.427
6.597244024,6.895,-0.153,8.427
6.621876001,6.895,-0.153,8.427
6.644960165,6.895,-0.153,8.427
6.682229996,6.895,-0.153,8.427
6.704658031,6.895,-0.153,8.427
6.729478121,6.895,-0.153,8.427
6.755053997,6.895,-0.153,8.427
6.776352167,6.895,-0.153,8.427
6.805627108,6.895,-0.153,8.427
6.839417219,7.202,0.612,7.508
6.865424156,7.202,0.612,7.508
7.110025167,7.202,0.612,7.508
7.130073071,7.202,0.612,7.508
7.158841133,7.202,0.612,7.508
7.183238029,7.202,0.612,7.508
7.213088036,7.202,0.612,7.508
7.233330011,7.202,0.612,7.508
7.263224125,7.202,0.612,7.508
7.276511192,7.202,0.612,7.508
7.286761045,7.202,0.612,7.508
7.321750164,7.202,0.612,7.508
7.354253054,5.363,0,8.734
7.380946159,5.363,0,8.734
7.405486107,5.363,0,8.734
7.423719168,5.363,0,8.734
7.45987916,5.363,0,8.734
7.485606194,5.363,0,8.734
7.507343054,5.363,0,8.734
7.533390999,5.363,0,8.734
7.558222055,5.363,0,8.734
7.586906195,5.363,0,8.734
7.866565237,5.363,0,8.734
7.893271217,4.75,1.685,8.274
7.920232306,4.75,1.685,8.274
7.944017181,4.75,1.685,8.274
7.959810266,4.75,1.685,8.274
7.988093147,4.75,1.685,8.274
8.012044201,4.75,1.685,8.274
8.038757095,4.75,1.685,8.274
8.066055307,4.75,1.685,8.274
8.090066204,4.75,1.685,8.274
8.112611303,4.75,1.685,8.274
8.138772259,4.75,1.685,8.274
8.161551247,4.75,1.685,8.274
8.184744129,4.75,1.685,8.274
8.211264143,4.75,1.685,8.274
8.235930214,4.75,1.685,8.274
8.262946138,4.75,1.685,8.274
8.301177273,4.75,1.685,8.274
8.321260223,4.75,1.685,8.274
8.358497152,3.371,2.298,9.96
8.577089272,3.371,2.298,9.96
8.604701242,3.371,2.298,9.96
8.628452263,3.371,2.298,9.96
8.649158201,3.371,2.298,9.96
8.676792345,3.371,2.298,9.96
8.698680363,3.371,2.298,9.96
8.71450635,3.371,2.298,9.96
8.744656286,3.371,2.298,9.96
8.76580616,3.371,2.298,9.96
8.795927248,3.371,2.298,9.96
8.824421368,3.371,2.298,9.96
8.866663179,3.371,2.298,9.96
8.913147173,3.677,2.758,10.573
8.927693329,3.677,2.758,10.573
8.983860216,3.677,2.758,10.573
9.024962387,3.677,2.758,10.573
9.036312304,3.677,2.758,10.573
9.255770168,3.677,2.758,10.573
9.281160316,3.677,2.758,10.573
9.305994234,3.677,2.758,10.573
9.327963314,3.677,2.758,10.573
9.353525362,3.677,2.758,10.573
9.376567326,3.064,2.298,9.04
9.402245245,3.064,2.298,9.04
9.426765165,3.064,2.298,9.04
9.453240356,3.064,2.298,9.04
9.477508268,3.064,2.298,9.04
9.508057318,3.064,2.298,9.04
9.535095177,3.064,2.298,9.04
9.55826827,3.064,2.298,9.04
9.590966187,3.064,2.298,9.04
9.615236244,3.064,2.298,9.04
9.640018187,3.064,2.298,9.04
9.667118273,3.064,2.298,9.04
9.690511189,3.064,2.298,9.04
9.713540277,3.064,2.298,9.04
9.734257183,3.064,2.298,9.04
9.982169352,3.064,2.298,9.04
10.00270935,4.903,0.612,5.516
10.03135224,4.903,0.612,5.516
10.05863734,4.903,0.612,5.516
10.07891317,4.903,0.612,5.516
10.10620829,4.903,0.612,5.516
10.12993523,4.903,0.612,5.516
10.15959927,4.903,0.612,5.516
10.17537232,4.903,0.612,5.516
10.2076213,4.903,0.612,5.516
10.23755237,4.903,0.612,5.516
10.26710721,4.903,0.612,5.516
10.29377123,4.903,0.612,5.516
10.31849118,4.903,0.612,5.516
10.35257336,4.903,0.612,5.516
10.39019319,4.75,-0.612,8.274
10.4258432,4.75,-0.612,8.274
10.46252128,4.75,-0.612,8.274
10.67752024,4.75,-0.612,8.274
10.70149919,4.75,-0.612,8.274
10.73258539,4.75,-0.612,8.274
10.75820824,4.75,-0.612,8.274
10.79219719,4.75,-0.612,8.274
10.81480928,4.75,-0.612,8.274
10.84790131,4.75,-0.612,8.274
10.87896033,1.685,-1.225,11.186
10.9023933,1.685,-1.225,11.186
10.94391032,1.685,-1.225,11.186
10.98654934,1.685,-1.225,11.186
11.04517027,1.685,-1.225,11.186
11.07445427,1.685,-1.225,11.186
11.09501835,1.685,-1.225,11.186
11.1220872,1.685,-1.225,11.186
11.15622922,1.685,-1.225,11.186
11.37322136,1.685,-1.225,11.186
11.39645334,0.919,-2.145,12.565
11.42413422,0.919,-2.145,12.565
11.45132133,0.919,-2.145,12.565
11.48658319,0.919,-2.145,12.565
11.51342126,0.919,-2.145,12.565
11.54200526,0.919,-2.145,12.565
11.56370731,0.919,-2.145,12.565
11.5970523,0.919,-2.145,12.565
11.62481519,0.919,-2.145,12.565
11.65588327,0.919,-2.145,12.565
11.68222519,0.919,-2.145,12.565
11.70966216,0.919,-2.145,12.565
11.73813029,0.919,-2.145,12.565
11.75908729,0.919,-2.145,12.565
11.79200717,0.919,-2.145,12.565
11.83113118,0.919,-2.145,12.565
11.86839219,0.919,-2.145,12.565
12.1362073,1.072,0.919,9.96
12.16186234,1.072,0.919,9.96
12.18199035,1.072,0.919,9.96
12.21092435,1.072,0.919,9.96
12.22354933,1.072,0.919,9.96
12.23350521,1.072,0.919,9.96
12.24362918,1.072,0.919,9.96
12.26693126,1.072,0.919,9.96
12.28818317,1.072,0.919,9.96
12.30920025,1.072,0.919,9.96
12.32711431,1.072,0.919,9.96
12.36015125,1.072,0.919,9.96
12.37915822,0.612,0.766,10.879
12.40668722,0.612,0.766,10.879
12.41970535,0.612,0.766,10.879
12.44809123,0.612,0.766,10.879
12.46429225,0.612,0.766,10.879
12.48688837,0.612,0.766,10.879
12.50395223,0.612,0.766,10.879
12.52553221,0.612,0.766,10.879
12.53538724,0.612,0.766,10.879
12.54632517,0.612,0.766,10.879
12.55599519,0.612,0.766,10.879
12.56574126,0.612,0.766,10.879
12.57583734,0.612,0.766,10.879
12.58564731,0.612,0.766,10.879
12.59552237,0.612,0.766,10.879
12.60777136,0.612,0.766,10.879
12.6299872,0.612,0.766,10.879
13.0273933,0.459,0.153,12.258
13.05238625,0.459,0.153,12.258
13.09499618,0.459,0.153,12.258
13.12804719,0.459,0.153,12.258
13.17603632,0.459,0.153,12.258
13.20430537,0.459,0.153,12.258
13.22099825,0.459,0.153,12.258
13.23090621,0.459,0.153,12.258
13.26762219,0.459,0.153,12.258
13.29947921,0.459,0.153,12.258
13.32551023,0.459,0.153,12.258
13.3624682,0.459,0.153,12.258
13.39067622,0.153,-0.766,9.653
13.43450733,0.153,-0.766,9.653
13.45542618,0.153,-0.766,9.653
13.47737928,0.153,-0.766,9.653
13.49979325,0.153,-0.766,9.653
13.6887213,0.153,-0.766,9.653
13.70884526,0.153,-0.766,9.653
13.73871243,0.153,-0.766,9.653
13.77003634,0.153,-0.766,9.653
13.80395139,0.153,-0.766,9.653
13.83367837,0.153,-0.766,9.653
13.86942542,0.153,-0.766,9.653
13.89859331,0.153,-0.153,10.113
13.92364634,0.153,-0.153,10.113
13.95111335,0.153,-0.153,10.113
13.98811639,0.153,-0.153,10.113
14.01675237,0.153,-0.153,10.113
14.0505184,0.153,-0.153,10.113
14.08257139,0.153,-0.153,10.113
14.11922825,0.153,-0.153,10.113
14.14810241,0.153,-0.153,10.113
14.18395627,0.153,-0.153,10.113
14.42535437,0,-0.459,10.726
14.45078242,0,-0.459,10.726
14.46451843,0,-0.459,10.726
14.47435034,0,-0.459,10.726
14.5156864,0,-0.459,10.726
14.55107034,0,-0.459,10.726
14.59043444,0,-0.459,10.726
14.62086428,0,-0.459,10.726
14.66321433,0,-0.459,10.726
14.69142735,0,-0.459,10.726
14.71259034,0,-0.459,10.726
14.73052037,0,-0.459,10.726
14.74031246,0,-0.459,10.726
14.76233733,0,-0.459,10.726
14.78784025,0,-0.459,10.726
14.81673539,0,-0.459,10.726
14.83957232,0,-0.459,10.726
14.8716153,0,-0.459,10.726
14.89264834,0,-0.459,10.726
15.14252747,-0.153,-0.153,10.419
15.16527427,-0.153,-0.153,10.419
15.18848742,-0.153,-0.153,10.419
15.19840634,-0.153,-0.153,10.419
15.22226847,-0.153,-0.153,10.419
15.24705041,-0.153,-0.153,10.419
15.27561033,-0.153,-0.153,10.419
15.29963744,-0.153,-0.153,10.419
15.32427347,-0.153,-0.153,10.419
15.35328544,-0.153,-0.153,10.419
15.38732732,-0.153,-0.153,10.419
15.41448224,0.153,-0.153,10.573
15.43025744,0.153,-0.153,10.573
15.44062126,0.153,-0.153,10.573
15.4648403,0.153,-0.153,10.573
15.49028838,0.153,-0.153,10.573
15.52190125,0.153,-0.153,10.573
15.5461334,0.153,-0.153,10.573
15.58181727,0.153,-0.153,10.573
15.61025227,0.153,-0.153,10.573
15.63430131,0.153,-0.153,10.573
15.90316737,0.153,-0.153,10.573
15.91682828,0.153,0,9.04
15.94246448,0.153,0,9.04
15.96144641,0.153,0,9.04
15.98902739,0.153,0,9.04
16.00985826,0.153,0,9.04
