Time, x, y, z,,,
5.804884205,None,None,None,,,
5.844904213,4.443,3.984,9.5,,,
5.864632158,3.677,4.137,6.742,,,
5.887893229,3.677,4.137,6.742,,,
5.913486271,3.677,4.137,6.742,,,
5.931592255,3.677,4.137,6.742,,,
5.941366224,3.677,4.137,6.742,,,
5.951225071,3.677,4.137,6.742,,,
5.975232153,3.677,4.137,6.742,,"Keep walking, hold in hand",
6.00204113,3.677,4.137,6.742,,,
6.031032114,3.677,4.137,6.742,,Lap1,Lap2
6.060198097,3.677,4.137,6.742,,20.4,04:28.9
6.08945611,3.677,4.137,6.742,,,
6.123071222,3.677,4.137,6.742,,Total,
6.153702288,3.677,4.137,6.742,,472,
6.17954114,3.677,4.137,6.742,,,
6.21070817,3.677,4.137,6.742,,,
6.229360132,3.677,4.137,6.742,,,
6.260432272,3.677,4.137,6.742,,,
6.282733231,3.677,4.137,6.742,,,
6.310183077,3.677,4.137,6.742,,,
6.548567085,3.677,4.137,6.742,,,
6.570940285,3.677,3.984,7.355,,,
6.592771082,3.677,3.984,7.355,,,
6.617633133,3.677,3.984,7.355,,,
6.641137152,3.677,3.984,7.355,,,
6.669598131,3.677,3.984,7.355,,,
6.696833162,3.677,3.984,7.355,,,
6.724846153,3.677,3.984,7.355,,,
6.748879223,3.677,3.984,7.355,,,
6.774546175,3.677,3.984,7.355,,,
6.795362263,3.677,3.984,7.355,,,
6.819659262,3.677,3.984,7.355,,,
6.847666292,3.677,3.984,7.355,,,
6.87270215,3.83,4.597,8.427,,,
6.901203184,3.83,4.597,8.427,,,
6.938990154,3.83,4.597,8.427,,,
6.993261137,3.83,4.597,8.427,,,
7.017091312,3.83,4.597,8.427,,,
7.297881165,3.83,4.597,8.427,,,
7.325155296,3.83,4.597,8.427,,,
7.353419342,3.83,4.597,8.427,,,
7.377460279,4.137,3.984,8.734,,,
7.402275362,4.137,3.984,8.734,,,
7.428611317,4.137,3.984,8.734,,,
7.444221296,4.137,3.984,8.734,,,
7.462968149,4.137,3.984,8.734,,,
7.49407629,4.137,3.984,8.734,,,
7.518123188,4.137,3.984,8.734,,,
7.548081198,4.137,3.984,8.734,,,
7.575403252,4.137,3.984,8.734,,,
7.597724237,4.137,3.984,8.734,,,
7.621613302,4.137,3.984,8.734,,,
7.652059355,4.137,3.984,8.734,,,
7.678059139,4.137,3.984,8.734,,,
7.708854237,4.137,3.984,8.734,,,
7.727605143,4.137,3.984,8.734,,,
7.737378159,4.137,3.984,8.734,,,
7.762497225,4.137,3.984,8.734,,,
7.78696517,4.137,3.984,8.734,,,
8.094644394,4.137,3.984,8.734,,,
8.107212391,2.758,3.524,9.04,,,
8.123542156,2.758,3.524,9.04,,,
8.160992002,2.758,3.524,9.04,,,
8.174403048,2.758,3.524,9.04,,,
8.202109194,2.758,3.524,9.04,,,
8.223249054,2.758,3.524,9.04,,,
8.240094996,2.758,3.524,9.04,,,
8.273638105,2.758,3.524,9.04,,,
8.290577984,2.758,3.524,9.04,,,
8.322716093,2.758,3.524,9.04,,,
8.392617083,2.758,3.524,9.04,,,
8.402714109,4.443,0.306,9.807,,,
8.432801104,4.443,0.306,9.807,,,
