Time, x, y, z,,,,,,,,,,,,,,,,,,
5.87072587,2.451,7.968,4.29,,,,,,,,,,,,,,,,,,
5.882561922,2.451,8.887,3.524,,,,,,,,,,,,,,,,,,
5.895377874,2.451,8.887,3.524,,,,,,,,,,,,,,,,,,
5.908467054,2.758,7.968,3.677,,,,,,,,,,,,,,,,,,
5.923112869,3.064,7.661,3.83,,,,,,,,,,,,,,,,,,
5.936452866,2.604,7.508,4.443,,,,,,,,,,,,,,,,,,
5.950000048,1.838,8.121,5.209,,,,,,,,,,,,,,,,,,
5.963597059,1.838,8.121,5.209,,,,,,,,,,,,,,,,,,
5.975502014,1.838,8.121,5.209,,,,,,,,,,,,,,,,,,
5.987551928,2.298,7.048,4.75,,Hold in hand,,,,,,,,,,,,,,,,
6.001740932,2.298,7.048,4.75,,,,,,,,,,,,,,,,,,
6.013621092,1.685,8.121,4.29,,Lap1,Lap2,Lap3,Lap4,Lap5,Lap6,Lap7,Lap8,Lap9,Lap10,Lap11,Lap12,Lap13,Lap14,Lap15,Lap16,Lap17
6.027011871,1.685,8.121,4.29,,14.15,25.8,18.65,5.53,31.7,11.36,5.4,31.37,29.97,4.13,31.08,11.51,5.92,30.43,10.66,5.68,30.42
6.039124966,1.685,8.121,4.29,,wait,46,rotate,wait,56,rotate,wait,56,rotate,wait,56,rotate,wait,55,rotate,wait,57
6.050937891,1.685,8.121,4.29,,,,,,,,,,,,,,,,,,
6.063129902,1.685,8.121,4.29,,,,,,,,,,,,,,,,,,
6.075604916,1.685,8.121,4.29,,Total,,,,,,,,,,,,,,,,
6.088504076,1.685,8.121,4.29,,326,,,,,,,,,,,,,,,,
6.10184598,1.685,8.121,4.29,,,,,,,,,,,,,,,,,,
6.114947081,3.217,8.427,3.677,,,,,,,,,,,,,,,,,,
6.126748085,3.217,8.427,3.677,,,,,,,,,,,,,,,,,,
6.139465094,3.217,8.427,3.677,,,,,,,,,,,,,,,,,,
6.155804873,3.217,8.427,3.677,,,,,,,,,,,,,,,,,,
6.963120937,3.217,8.427,3.677,,,,,,,,,,,,,,,,,,
6.976271868,5.209,6.742,3.984,,,,,,,,,,,,,,,,,,
6.989664078,5.056,6.895,3.064,,,,,,,,,,,,,,,,,,
7.002623081,4.75,7.661,2.298,,,,,,,,,,,,,,,,,,
7.014379025,5.363,7.508,1.685,,,,,,,,,,,,,,,,,,
7.027471066,5.363,7.814,2.604,,,,,,,,,,,,,,,,,,
7.040345907,5.056,8.734,0.612,,,,,,,,,,,,,,,,,,
7.052751064,5.056,8.734,0.612,,,,,,,,,,,,,,,,,,
7.064347029,4.75,8.274,2.298,,,,,,,,,,,,,,,,,,
7.076298952,4.75,8.274,2.298,,,,,,,,,,,,,,,,,,
7.089329004,4.443,8.734,1.685,,,,,,,,,,,,,,,,,,
7.10116601,5.209,8.121,2.758,,,,,,,,,,,,,,,,,,
7.113487959,5.209,8.121,2.758,,,,,,,,,,,,,,,,,,
7.125918865,4.903,9.04,3.217,,,,,,,,,,,,,,,,,,
7.138911009,4.597,8.581,3.83,,,,,,,,,,,,,,,,,,
7.157006979,4.597,8.427,3.83,,,,,,,,,,,,,,,,,,
7.171024084,4.75,8.427,3.984,,,,,,,,,,,,,,,,,,
7.182955027,4.903,8.734,2.911,,,,,,,,,,,,,,,,,,
7.19432497,4.443,8.887,4.597,,,,,,,,,,,,,,,,,,
