Time, x, y, z,,,,,,,,,,,,,,,,,,,,,
5.968113899,0.612,9.04,1.072,,,,,,,,,,,,,,,,,,,,,
5.994851828,0.612,9.04,1.072,,,,,,,,,,,,,,,,,,,,,
6.020302773,0.612,9.04,1.072,,,,,,,,,,,,,,,,,,,,,
6.041013956,1.072,9.04,-1.225,,,,,,,,,,,,,,,,,,,,,
6.055904865,1.072,9.04,-1.225,,,,,,,,,,,,,,,,,,,,,
6.084778786,1.072,9.04,-1.225,,,,,,,,,,,,,,,,,,,,,
6.120108843,1.072,9.04,-1.225,,,,,,,,,,,,,,,,,,,,,
6.145608902,1.072,9.04,-1.225,,,,,,,,,,,,,,,,,,,,,
6.168680906,1.072,9.04,-1.225,,,,,,,,,,,,,,,,,,,,,
6.387167883,1.072,9.04,-1.225,,,,,,,,,,,,,,,,,,,,,
6.412594986,1.072,9.04,-1.225,,hold in hand,,,,,,,,,,,,,,,,,,,
6.428521824,1.072,9.04,-1.225,,,,,,,,,,,,,,,,,,,,,
6.453664732,1.072,9.04,-1.225,,Lap1,Lap2,Lap3,Lap4,Lap5,Lap6,Lap7,Lap8,Lap9,Lap10,Lap11,Lap12,Lap13,Lap14,Lap15,Lap16,Lap17,Lap18,Lap19,Lap20
6.477423859,1.072,9.04,-1.225,,20.26,23.52,10.1,5.51,30.13,9.02,6.16,30.02,8,5.95,30.82,9.07,5.96,29.61,8.85,5.8,30.33,8.96,5.81,29.65
6.503627968,1.072,9.04,-1.225,,wait,42,rotate,wait,55,rotate,wait,54,rotate,wait,54,rotate,wait,53,rotate,wait,54,rotate,wait,54
6.531796885,0,8.121,0.306,,,,,,,,,,,,,,,,,,,,,
6.559924793,0,8.121,0.306,,Total,,,,,,,,,,,,,,,,,,,
6.579916906,0,8.121,0.306,,366,,,,,,,,,,,,,,,,,,,
6.606704903,0,8.121,0.306,,,,,,,,,,,,,,,,,,,,,
6.630937767,0,8.121,0.306,,,,,,,,,,,,,,,,,,,,,
6.654911947,0,8.121,0.306,,,,,,,,,,,,,,,,,,,,,
6.674124908,0,8.121,0.306,,,,,,,,,,,,,,,,,,,,,
6.697954845,0,8.121,0.306,,,,,,,,,,,,,,,,,,,,,
6.725758982,0,8.121,0.306,,,,,,,,,,,,,,,,,,,,,
6.743929815,0,8.121,0.306,,,,,,,,,,,,,,,,,,,,,
6.753512812,0,8.121,0.306,,,,,,,,,,,,,,,,,,,,,
6.772496891,0,8.121,0.306,,,,,,,,,,,,,,,,,,,,,
6.799393845,0,8.121,0.306,,,,,,,,,,,,,,,,,,,,,
6.831401777,0,8.121,0.306,,,,,,,,,,,,,,,,,,,,,
6.853367758,0,8.121,0.306,,,,,,,,,,,,,,,,,,,,,
6.880220842,0,8.121,0.306,,,,,,,,,,,,,,,,,,,,,
7.231389952,0.306,7.968,0.153,,,,,,,,,,,,,,,,,,,,,
7.275234671,0.306,7.968,0.153,,,,,,,,,,,,,,,,,,,,,
7.297852726,0.306,7.968,0.153,,,,,,,,,,,,,,,,,,,,,
7.330834837,0.306,7.968,0.153,,,,,,,,,,,,,,,,,,,,,
7.357367725,0.306,7.968,0.153,,,,,,,,,,,,,,,,,,,,,
7.388082714,0.306,7.968,0.153,,,,,,,,,,,,,,,,,,,,,
7.41051075,0.306,7.968,0.153,,,,,,,,,,,,,,,,,,,,,
7.439454765,0.306,7.968,0.153,,,,,,,,,,,,,,,,,,,,,
7.465435715,0.306,7.968,0.153,,,,,,,,,,,,,,,,,,,,,
7.492540808,0.306,7.968,0.153,,,,,,,,,,,,,,,,,,,,,
7.508775682,1.072,11.952,0.919,,,,,,,,,,,,,,,,,,,,,
7.53494689,1.072,11.952,0.919,,,,,,,,,,,,,,,,,,,,,
7.562422724,1.072,11.952,0.919,,,,,,,,,,,,,,,,,,,,,
7.585580797,1.072,11.952,0.919,,,,,,,,,,,,,,,,,,,,,
