Time, x, y, z,,,,,,
5.107786894,None,None,None,,,,,,
5.113627911,None,None,None,,,,,,
5.119630814,None,None,None,,,,,,
5.12524581,None,None,None,,,,,,
5.131377935,None,None,None,,,,,,
5.137300968,None,None,None,,,,,,
5.143889904,None,None,None,,,,,,
5.149942875,None,None,None,,,,,,
5.155416965,None,None,None,,,,,,
5.16138792,None,None,None,,,,,,
5.169277906,None,None,None,,,,,,
5.173030853,None,None,None,,,,,,
5.178272009,None,None,None,,,,,,
5.182108879,None,None,None,,Lap1,Lap2,Lap3,Lap4,Lap5
5.186911821,None,None,None,,13.31,20.47,7.84,3.96,20.02
5.199512005,None,None,None,,wait,34,rotate,wait,37
5.202841997,None,None,None,,Total,,,,
5.207516909,None,None,None,,71,,,,
5.21250701,None,None,None,,,,,,
5.217073917,None,None,None,,,,,,
5.221938849,None,None,None,,,,,,
5.226468802,None,None,None,,,,,,
5.231269836,None,None,None,,,,,,
5.236119986,None,None,None,,,,,,
5.240447998,None,None,None,,,,,,
5.244861841,None,None,None,,,,,,
5.248534918,None,None,None,,,,,,
5.25224781,None,None,None,,,,,,
5.25632596,None,None,None,,,,,,
5.259763956,None,None,None,,,,,,
5.263041973,None,None,None,,,,,,
5.266438007,None,None,None,,,,,,
5.270483971,None,None,None,,,,,,
5.274448872,None,None,None,,,,,,
5.278542995,None,None,None,,,,,,
5.28254199,None,None,None,,,,,,
5.2873559,None,None,None,,,,,,
5.29259491,None,None,None,,,,,,
5.297012806,None,None,None,,,,,,
5.301664829,None,None,None,,,,,,
5.30606699,None,None,None,,,,,,
5.311095953,None,None,None,,,,,,
5.31512785,None,None,None,,,,,,
5.319297791,None,None,None,,,,,,
5.323344946,None,None,None,,,,,,
5.327476978,None,None,None,,,,,,
5.331588984,None,None,None,,,,,,
5.335651875,None,None,None,,,,,,
5.341329813,-2.1955261,-9.421661,-0.33512878,,,,,,
5.346432924,-2.1526794,-9.4097595,-0.3827362,,,,,,
5.350191832,-2.1526794,-9.4097595,-0.3827362,,,,,,
5.35471487,-2.150299,-9.424042,-0.3827362,,,,,,
5.359922886,-2.1788635,-9.390717,-0.4160614,,,,,,
5.365499973,-2.1764832,-9.433563,-0.32084656,,,,,,
5.373157024,-2.2002869,-9.41452,-0.3589325,,,,,,
5.381495953,-2.1931458,-9.4288025,-0.36131287,,,,,,
5.386655808,-2.2240906,-9.378815,-0.38749695,,,,,,
5.391441822,-2.2597961,-9.402618,-0.37797546,,,,,,
5.395864964,-2.2597961,-9.402618,-0.37797546,,,,,,
