Time, x, y, z
5.131614208,8.518524,-3.8182678,-1.7276459
5.135878086,8.5399475,-3.7849426,-1.7752533
5.140258074,8.597076,-3.730194,-1.7752533
5.14529705,8.575653,-3.7444763,-1.8014374
5.150525093,8.585175,-3.7825623,-1.8085785
5.154978037,8.570892,-3.7206726,-1.7681122
5.16023612,8.604218,-3.7563782,-1.8133392
5.164521217,8.580414,-3.794464,-1.8252411
5.16890502,8.580414,-3.794464,-1.8252411
5.173181057,8.535187,-3.7539978,-1.8276215
5.178105116,8.516144,-3.7920837,-1.837143
5.182737112,8.55423,-3.8158875,-1.7585907
5.187468052,8.530426,-3.8373108,-1.9061737
5.193059206,8.537567,-3.8634949,-1.8300018
5.198284149,8.535187,-3.8753967,-1.7919159
5.205136061,8.535187,-3.8872986,-1.8228607
5.209810019,8.5589905,-3.934906,-1.7966766
5.214329004,8.568512,-3.9587097,-1.7609711
5.218692064,8.568512,-3.9587097,-1.7609711
5.223076105,8.601837,-3.9111023,-1.7228851
5.230412006,8.601837,-3.8992004,-1.8133392
5.238793135,8.604218,-3.83255,-1.9037933
5.243237019,8.656586,-3.8206482,-2.0061493
5.247802019,8.635162,-3.7730408,-1.8966522
5.252140045,8.7065735,-3.7468567,-1.9633026
5.256384134,8.604218,-3.7159119,-1.9561615
5.260719061,8.601837,-3.7397156,-1.8990326
5.265045166,8.547089,-3.7373352,-1.8585663
5.269403219,8.599457,-3.7373352,-1.7443085
5.273672104,8.561371,-3.787323,-1.8133392
5.278332233,8.561371,-3.787323,-1.8133392
5.282633066,8.528046,-3.7516174,-1.7490692
5.286931038,8.520905,-3.8158875,-1.799057
5.291303158,8.525665,-3.76828,-1.780014
5.295628071,8.528046,-3.7897034,-1.8109589
5.300085068,8.587555,-3.806366,-1.7942963
5.304400206,8.55661,-3.7920837,-1.8990326
5.308799028,8.566132,-3.8468323,-1.6752777
5.313047171,8.566132,-3.8468323,-1.6752777
5.317295074,8.485199,-3.8730164,-1.7443085
5.321689129,8.537567,-3.889679,-1.7014618
5.326019049,8.62088,-3.8730164,-1.7514496
5.330328226,8.566132,-3.9134827,-1.7728729
5.334630013,8.582794,-3.8753967,-1.6633759
5.339391232,8.628021,-3.8801575,-1.7133636
5.343647003,8.625641,-3.908722,-1.7252655
5.34713316,8.582794,-3.8920593,-1.7514496
5.350707054,8.582794,-3.8920593,-1.7514496
5.354195118,8.635162,-3.8872986,-1.6800385
5.357776165,8.6185,-3.8801575,-1.7609711
5.36130619,8.6185,-3.8801575,-1.7609711
5.364796162,8.525665,-3.870636,-1.7942963
5.368633032,8.573273,-3.8801575,-1.7942963
5.37215519,8.55423,-3.9039612,-1.7895355
5.375653028,8.55423,-3.9039612,-1.7895355
5.379332066,8.551849,-3.851593,-1.7562103
5.382838011,8.525665,-3.851593,-1.8323822
5.386271,8.525665,-3.851593,-1.8323822
5.389802217,8.5399475,-3.8349304,-1.7562103
5.393298149,8.532806,-3.8682556,-1.7086029
5.397820234,8.532806,-3.8682556,-1.7086029
5.402133226,8.597076,-3.8301697,-1.715744
5.40626812,8.551849,-3.915863,-1.7228851
5.410665035,8.523285,-3.8230286,-1.7062225
5.414897203,8.551849,-3.825409,-1.6776581
5.419290066,8.597076,-3.8230286,-1.715744
5.423604012,8.520905,-3.8492126,-1.7704926
5.428001165,8.568512,-3.851593,-1.7681122
5.432249069,8.568512,-3.851593,-1.7681122
5.436438084,8.568512,-3.8277893,-1.7038422
5.440695047,8.547089,-3.7968445,-1.7704926
5.446082115,8.551849,-3.8016052,-1.6276703
5.450605154,8.504242,-3.8587341,-1.7014618
5.45491004,8.55423,-3.7968445,-1.6276703
