Time, x, y, z,,,,,,,,,,,,
4.908898115,-0.6340027,-9.623993,-0.41844177,,,,,,,,,,,,
4.924818993,-0.6316223,-9.5763855,-0.41130066,,,,,,,,,,,,
4.936352968,-0.5982971,-9.566864,-0.49699402,,,,,,,,,,,,
4.951390982,-0.6244812,-9.588287,-0.47795105,,,,,,,,,,,,
4.966216087,-0.62210083,-9.60733,-0.55174255,,,,,,,,,,,,
4.97669816,-0.6387634,-9.645416,-0.48747253,,,,,,,,,,,,
4.985897064,-0.6839905,-9.635895,-0.45414734,,,,,,,,,,,,
4.998147011,-0.67922974,-9.609711,-0.45176697,,,,,,,,,,,,
5.016180038,-0.6887512,-9.588287,-0.51841736,,,,,,,,,,,,
5.025403976,-0.67684937,-9.559723,-0.4565277,,,,,,,,,,,,
5.034640074,-0.6482849,-9.60257,-0.43510437,,,,,,,,,,,,
5.043936968,-0.57925415,-9.566864,-0.36131287,,,,,,,,,,,,
5.053210974,-0.62210083,-9.574005,-0.3422699,,Lap1,Lap2,Lap3,Lap4,Lap5,Lap6,Lap7,Lap8,Lap9,Lap10,Lap11
5.062314987,-0.655426,-9.585907,-0.40415955,,12.41,21.7,6.43,5.59,21.37,7.95,5.76,11.65,8.13,5.44,11.23
5.072394133,-0.67922974,-9.583527,-0.4160614,,wait,40,rotate,wait,40,rotate,wait,20,rotate,wait,20
5.083035946,-0.71969604,-9.609711,-0.39701843,,,,,,,,,,,,
5.10008812,-0.7244568,-9.5383,-0.41368103,,Total,,,,,,,,,,
5.109128952,-0.6816101,-9.60733,-0.4827118,,120,,,,,,,,,,
5.117138147,-0.655426,-9.595428,-0.432724,,,,,,,,,,,,
5.126235008,-0.655426,-9.585907,-0.36131287,,Step_count,,,,,,,,,,
5.134563923,-0.6316223,-9.626373,-0.38035583,,118,,,,,,,,,,
5.143259048,-0.6316223,-9.578766,-0.39463806,,,,,,,,,,,,
5.160557985,-0.65304565,-9.566864,-0.4232025,,,,,,,,,,,,
5.17553997,-0.6578064,-9.5121155,-0.40415955,,,,,,,,,,,,
5.184922934,-0.6506653,-9.588287,-0.37321472,,,,,,,,,,,,
5.193365097,-0.67922974,-9.593048,-0.48747253,,,,,,,,,,,,
5.201514006,-0.70303345,-9.621613,-0.37797546,,,,,,,,,,,,
5.208418131,-0.67922974,-9.571625,-0.42082214,,,,,,,,,,,,
5.216187,-0.6268616,-9.595428,-0.38511658,,,,,,,,,,,,
5.223075151,-0.62210083,-9.60257,-0.45890808,,,,,,,,,,,,
5.231348038,-0.6244812,-9.60257,-0.38987732,,,,,,,,,,,,
5.23994112,-0.6506653,-9.559723,-0.43034363,,,,,,,,,,,,
5.257482052,-0.66970825,-9.60257,-0.45414734,,,,,,,,,,,,
5.267266989,-0.6720886,-9.581146,-0.43510437,,,,,,,,,,,,
5.274784088,-0.6387634,-9.5763855,-0.45890808,,,,,,,,,,,,
5.282904148,-0.6506653,-9.535919,-0.4898529,,,,,,,,,,,,
5.292855024,-0.6411438,-9.574005,-0.43748474,,,,,,,,,,,,
5.301715136,-0.67684937,-9.574005,-0.4255829,,,,,,,,,,,,
5.314173937,-0.70303345,-9.626373,-0.50413513,,,,,,,,,,,,
5.321502924,-0.7006531,-9.657318,-0.44224548,,,,,,,,,,,,
5.329268932,-0.6649475,-9.590668,-0.50175476,,,,,,,,,,,,
5.337268114,-0.7077942,-9.60257,-0.4565277,,,,,,,,,,,,
5.344110966,-0.71969604,-9.654938,-0.47795105,,,,,,,,,,,,
5.351644039,-0.6982727,-9.650177,-0.48747253,,,,,,,,,,,,
5.358475924,-0.6316223,-9.633514,-0.45890808,,,,,,,,,,,,
5.366200924,-0.66018677,-9.566864,-0.42796326,,,,,,,,,,,,
5.375159025,-0.6006775,-9.562103,-0.4731903,,,,,,,,,,,,
5.385618925,-0.5935364,-9.566864,-0.42082214,,,,,,,,,,,,
5.39480114,-0.6506653,-9.571625,-0.4232025,,,,,,,,,,,,
5.412326097,-0.6506653,-9.623993,-0.4565277,,,,,,,,,,,,
5.42355895,-0.64590454,-9.595428,-0.47795105,,,,,,,,,,,,
5.432003975,-0.6720886,-9.54068,-0.432724,,,,,,,,,,,,
5.438550949,-0.67684937,-9.616852,-0.46366882,,,,,,,,,,,,
5.444965124,-0.6816101,-9.662079,-0.50413513,,,,,,,,,,,,
5.451163054,-0.6887512,-9.621613,-0.54222107,,,,,,,,,,,,
