Time, x, y, z,,,
5.262044907,None,None,None,,,
5.267426014,None,None,None,,,
5.272530079,None,None,None,,,
5.276503086,None,None,None,,,
5.285557032,None,None,None,,,
5.292808056,None,None,None,,,
5.299542904,None,None,None,,,
5.306750059,None,None,None,,,
5.314587116,None,None,None,,,
5.321940899,None,None,None,,,
5.32920289,None,None,None,,,
5.336290121,None,None,None,,,
5.343895912,None,None,None,,,
5.351027966,None,None,None,,,
5.358082056,None,None,None,,,
5.365046978,None,None,None,,,
5.372195959,None,None,None,,Lap1,Lap2
5.379156113,None,None,None,,10.41,01:39.8
5.383407116,None,None,None,,wait,180
5.387705088,None,None,None,,,
5.393852949,None,None,None,,Total,
5.398560047,None,None,None,,180,
5.403186083,None,None,None,,,
5.407501936,None,None,None,,step_count,
5.412092924,None,None,None,,176,
5.416580915,None,None,None,,,
5.420841932,None,None,None,,,
5.425023079,None,None,None,,,
5.429291964,None,None,None,,,
5.433397055,None,None,None,,,
5.437400103,None,None,None,,,
5.441849947,None,None,None,,,
5.446039915,None,None,None,,,
5.451083899,None,None,None,,,
5.456316948,None,None,None,,,
5.460653067,None,None,None,,,
5.46587491,None,None,None,,,
5.471362114,None,None,None,,,
5.475742102,None,None,None,,,
5.481332064,None,None,None,,,
5.485965014,None,None,None,,,
5.493467093,None,None,None,,,
5.499311924,8.666107,-3.8087463,-0.92308044,,,
5.504043102,8.666107,-3.7778015,-0.9611664,,,
5.509669065,8.625641,-3.813507,-0.92308044,,,
5.515487909,8.661346,-3.851593,-0.958786,,,
5.521117926,8.701813,-3.8349304,-0.8921356,,,
5.526789904,8.666107,-3.8016052,-0.97306824,,,
5.531188011,8.675629,-3.83255,-0.9421234,,,
5.534843922,8.656586,-3.8182678,-0.87309265,,,
5.539320946,8.656586,-3.8182678,-0.87309265,,,
5.544344902,8.644684,-3.825409,-0.9207001,,,
5.549309969,8.642303,-3.7730408,-0.894516,,,
5.554361105,8.675629,-3.8492126,-0.8921356,,,
5.559381008,8.637543,-3.8277893,-0.875473,,,
5.564470053,8.661346,-3.8563538,-0.894516,,,
5.569933891,8.656586,-3.8658752,-0.9421234,,,
5.575387001,8.62088,-3.8420715,-0.9040375,,,
5.581202984,8.594696,-3.8206482,-0.9016571,,,
5.588121891,8.637543,-3.7706604,-0.89927673,,,
5.593176126,8.668488,-3.7968445,-0.9683075,,,
5.59838891,8.644684,-3.8087463,-0.9659271,,,
5.603276968,8.658966,-3.8039856,-0.88975525,,,
5.608446121,8.666107,-3.8016052,-0.9373627,,,
5.61353302,8.647064,-3.8682556,-0.91593933,,,
5.618612051,8.670868,-3.8468323,-0.97068787,,,
5.623564959,8.668488,-3.870636,-0.97068787,,,
5.62883997,8.68515,-3.8349304,-0.95402527,,,
5.63376689,8.678009,-3.806366,-0.93974304,,,
5.68860507,8.668488,-3.7897034,-0.98735046,,,
5.694874048,8.635162,-3.794464,-0.9516449,,,
5.700103045,8.649445,-3.8039856,-0.9992523,,,
5.705967903,8.635162,-3.76828,-0.9349823,,,
5.711560965,8.613739,-3.806366,-0.9183197,,,
5.716926098,8.625641,-3.7968445,-1.0040131,,,
5.722826958,8.692291,-3.825409,-0.95640564,,,
5.728327036,8.658966,-3.76828,-1.0135345,,,
5.73338294,8.647064,-3.825409,-0.98735046,,,
5.738718033,8.704193,-3.787323,-0.9516449,,,
5.745204926,8.697052,-3.8087463,-0.95402527,,,
5.751620054,8.7065735,-3.794464,-0.95402527,,,
5.75625205,8.661346,-3.8087463,-0.93974304,,,
5.760562897,8.644684,-3.7658997,-0.97068787,,,
5.764949083,8.678009,-3.761139,-0.9683075,,,
5.769001961,8.647064,-3.7968445,-0.95640564,,,
5.774930954,8.647064,-3.7968445,-0.95640564,,,
5.779961109,8.644684,-3.8111267,-0.93022156,,,
5.784972906,8.625641,-3.7516174,-0.88975525,,,
5.789906025,8.6185,-3.7825623,-0.9421234,,,
5.794781923,8.637543,-3.7658997,-0.9183197,,,
5.80075407,8.613739,-3.7754211,-0.9445038,,,
5.806634903,8.608978,-3.7920837,-0.98973083,,,
5.812829971,8.637543,-3.7516174,-0.9611664,,,
5.818053961,8.637543,-3.7516174,-0.9611664,,,
5.822947025,8.635162,-3.825409,-0.9659271,,,
5.82803607,8.68277,-3.7159119,-0.96354675,,,
5.832983017,8.713715,-3.761139,-0.9825897,,,
5.838098049,8.694672,-3.7516174,-0.977829,,,
5.843300104,8.713715,-3.7468567,-0.9921112,,,
5.848407984,8.668488,-3.7920837,-0.9659271,,,
5.853451014,8.675629,-3.7778015,-0.93022156,,,
5.858217001,8.74942,-3.8230286,-0.94688416,,,
5.862136126,8.758942,-3.8111267,-0.977829,,,
5.865961075,8.758942,-3.8111267,-0.977829,,,
5.869698048,8.756561,-3.83255,-0.9754486,,,
5.873534918,8.701813,-3.8039856,-0.9611664,,,
5.877384901,8.701813,-3.780182,-0.99687195,,,
5.881402969,8.701813,-3.780182,-0.99687195,,,
5.885241985,8.697052,-3.7658997,-0.98020935,,,
5.889102936,8.694672,-3.8039856,-0.9849701,,,
5.897738934,8.604218,-3.8087463,-1.0087738,,,
5.902522087,8.604218,-3.8087463,-1.0087738,,,
5.908132076,8.608978,-3.7658997,-1.0468597,,,
5.912921906,8.587555,-3.7730408,-0.9944916,,,
5.917673111,8.608978,-3.7111511,-0.9611664,,,
5.922478914,8.625641,-3.761139,-0.8921356,,,
5.926505089,8.608978,-3.7968445,-0.9849701,,,
5.930629969,8.611359,-3.76828,-1.0087738,,,
5.934864998,8.62088,-3.8182678,-0.97306824,,,
5.939172983,8.647064,-3.7849426,-0.9921112,,,
5.943851948,8.651825,-3.8182678,-0.96354675,,,
5.948445082,8.668488,-3.780182,-0.9754486,,,
5.952685118,8.670868,-3.7968445,-1.0635223,,,
5.956869125,8.670868,-3.7968445,-1.0635223,,,
5.961272001,8.656586,-3.8373108,-0.97068787,,,
5.970329046,8.689911,-3.8039856,-0.977829,,,
5.978507996,8.689911,-3.787323,-0.96354675,,,
5.984611034,8.668488,-3.7778015,-1.0325775,,,
5.989655018,8.711334,-3.8087463,-1.0492401,,,
5.994414091,8.689911,-3.7706604,-0.9825897,,,
5.999371052,8.658966,-3.8206482,-0.9659271,,,
6.003899097,8.668488,-3.7992249,-0.9992523,,,
6.008462906,8.673248,-3.806366,-0.9421234,,,
6.013089895,8.6875305,-3.8016052,-0.9111786,,,
6.018168926,8.668488,-3.780182,-0.958786,,,
6.023971081,8.694672,-3.8468323,-0.9611664,,,
6.028863907,8.666107,-3.7635193,-0.9373627,,,
6.033802986,8.632782,-3.8039856,-0.98020935,,,
6.038506031,8.670868,-3.7730408,-0.9326019,,,
6.043221951,8.6875305,-3.8039856,-0.99687195,,,
6.048023939,8.673248,-3.806366,-0.9921112,,,
6.052731991,8.6875305,-3.7635193,-1.106369,,,
6.057708979,8.670868,-3.76828,-0.89927673,,,
6.062447071,8.675629,-3.780182,-0.9921112,,,
6.067263126,8.675629,-3.780182,-0.9921112,,,
6.072477102,8.668488,-3.7778015,-0.98735046,,,
6.076749086,8.680389,-3.7397156,-0.9944916,,,
6.080562115,8.680389,-3.7397156,-0.9944916,,,
6.085844994,8.670868,-3.7373352,-0.9992523,,,
6.090841055,8.673248,-3.787323,-1.0849457,,,
6.095206022,8.680389,-3.780182,-1.0373383,,,
6.100243092,8.670868,-3.8039856,-1.042099,,,
6.104604959,8.647064,-3.8111267,-1.0278168,,,
6.108263969,8.6875305,-3.7730408,-1.0016327,,,
6.111949921,8.644684,-3.7658997,-0.977829,,,
6.115588903,8.692291,-3.7754211,-0.9492645,,,
6.119827032,8.692291,-3.7754211,-0.9492645,,,
6.123450994,8.666107,-3.7444763,-1.0468597,,,
6.126964092,8.613739,-3.8016052,-0.9016571,,,
6.130916119,8.670868,-3.7897034,-0.9207001,,,
6.136778116,8.670868,-3.7897034,-0.9207001,,,
6.142335892,8.656586,-3.8396912,-0.9421234,,,
6.147495985,8.663727,-3.8182678,-0.9659271,,,
6.152266979,8.616119,-3.787323,-0.95640564,,,
6.156941891,8.625641,-3.806366,-0.9683075,,,
6.161789894,8.661346,-3.813507,-0.91593933,,,
6.166624069,8.635162,-3.7658997,-0.97306824,,,
6.171336889,8.654205,-3.8158875,-0.9373627,,,
6.175975084,8.654205,-3.8158875,-0.9373627,,,
6.181109905,8.651825,-3.813507,-1.0040131,,,
6.184736013,8.694672,-3.83255,-0.9659271,,,
6.188545942,8.573273,-3.8468323,-0.98735046,,,
6.321702957,8.675629,-3.813507,-1.0301971,,,
6.326538086,8.668488,-3.7706604,-1.0182953,,,
6.331440926,8.661346,-3.7992249,-0.95402527,,,
6.336399078,8.678009,-3.7849426,-1.0016327,,,
6.341535091,8.649445,-3.7730408,-1.0206757,,,
6.34642005,8.642303,-3.813507,-1.0016327,,,
6.351293087,8.654205,-3.8016052,-0.9492645,,,
6.356117964,8.639923,-3.7778015,-0.9421234,,,
6.361469984,8.654205,-3.787323,-0.958786,,,
6.366300106,8.661346,-3.8087463,-0.9849701,,,
6.371314049,8.647064,-3.8158875,-0.9849701,,,
6.376332045,8.639923,-3.7349548,-0.97306824,,,
6.381210089,8.651825,-3.7635193,-1.0016327,,,
6.3864429,8.601837,-3.7730408,-1.0040131,,,
6.391361952,8.673248,-3.7539978,-1.023056,,,
6.396229029,8.630402,-3.7397156,-1.0301971,,,
