Time, x, y, z,,,
4.86976409,None,None,None,,,
4.87411809,None,None,None,,,
4.878270149,None,None,None,,,
4.88254118,None,None,None,,,
4.886836052,None,None,None,,,
4.890938044,None,None,None,,,
4.895055056,None,None,None,,,
4.899157047,None,None,None,,,
4.903242111,None,None,None,,,
4.907746077,None,None,None,,,
4.911847115,None,None,None,,,
4.916093111,None,None,None,,,
4.92020607,None,None,None,,,
4.924398184,None,None,None,,Lap1,Lap2
4.928611994,None,None,None,,11.2,01:48.2
4.9327631,None,None,None,,wait,198
4.936895132,None,None,None,,,
4.940943003,None,None,None,,Total,
4.945569992,None,None,None,,198,
4.95065999,None,None,None,,,
4.955234051,None,None,None,,step_count,
4.959526062,None,None,None,,217,
4.963668108,None,None,None,,,
4.968303204,None,None,None,,,
4.972434044,None,None,None,,,
4.976480007,None,None,None,,,
4.980471134,None,None,None,,,
4.984704018,None,None,None,,,
4.988829136,None,None,None,,,
4.992871046,None,None,None,,,
4.997124195,None,None,None,,,
5.001170158,None,None,None,,,
5.005282164,None,None,None,,,
5.009443998,None,None,None,,,
5.013550043,None,None,None,,,
5.017815113,None,None,None,,,
5.021911144,None,None,None,,,
5.026033163,None,None,None,,,
5.030158997,None,None,None,,,
5.034681082,None,None,None,,,
5.03879714,None,None,None,,,
5.042916059,None,None,None,,,
5.047008991,None,None,None,,,
5.051105022,None,None,None,,,
5.055171013,None,None,None,,,
5.059271097,None,None,None,,,
5.063338995,None,None,None,,,
5.067435026,None,None,None,,,
5.071516037,None,None,None,,,
5.076018095,None,None,None,,,
5.080082178,None,None,None,,,
5.084205151,None,None,None,,,
5.088539124,-0.7792053,-9.557343,0.3004303,,,
5.093038082,-0.81967163,-9.547821,0.30281067,,,
5.09773922,-0.85061646,-9.60733,0.324234,,,
5.102123022,-0.80062866,-9.562103,0.26472473,,,
5.106618166,-0.841095,-9.564484,0.24092102,,,
5.111136198,-0.886322,-9.595428,0.2766266,,,
5.116068125,-0.8387146,-9.609711,0.20759583,,,
5.120005131,-0.8387146,-9.609711,0.20759583,,,
5.124838114,-0.92678833,-9.635895,0.1933136,,,
5.129892111,-0.8720398,-9.554962,0.22187805,,,
5.134679079,-0.8720398,-9.554962,0.22187805,,,
5.139218092,-0.8458557,-9.583527,0.176651,,,
5.144067049,-0.88394165,-9.5763855,0.176651,,,
5.148637056,-0.80300903,-9.564484,0.19569397,,,
5.153156042,-0.80300903,-9.564484,0.1599884,,,
5.157707214,-0.79348755,-9.612091,0.16712952,,,
5.162183046,-0.80300903,-9.578766,0.19093323,,,
5.166710138,-0.8149109,-9.638275,0.18855286,,,
5.171191216,-0.80062866,-9.569244,0.2337799,,,
5.175925016,-0.7958679,-9.609711,0.18141174,,,
