Time, x, y, z,,,
8.802178144,None,None,None,,,
8.808184147,None,None,None,,,
8.814018011,None,None,None,,,
8.820551157,None,None,None,,,
8.825738192,None,None,None,,,
8.830255985,None,None,None,,,
8.835119009,None,None,None,,,
8.839673996,None,None,None,,,
8.844154119,None,None,None,,,
8.848657131,None,None,None,,,
8.853262186,None,None,None,,,
8.857825994,None,None,None,,,
8.862232208,None,None,None,,,
8.86698699,None,None,None,,,
8.871385098,None,None,None,,,
8.875734091,None,None,None,,,
8.879760981,None,None,None,,Lap1,Lap2
8.883970022,None,None,None,,10.4,01:41.6
8.888042212,None,None,None,,wait,189
8.894045115,None,None,None,,,
8.899093151,3.9134827,-8.398682,-2.2042084,,Total,
8.903771162,3.9134827,-8.398682,-2.2042084,,189,
8.908184052,3.9134827,-8.398682,-2.2042084,,,
8.912702084,3.9134827,-8.398682,-2.2042084,,,
8.918616056,3.9134827,-8.398682,-2.2042084,,,
8.926213026,3.9134827,-8.398682,-2.2042084,,,
8.942698002,3.9134827,-8.398682,-2.2042084,,,
8.95938611,3.9074402,-8.415695,-2.1977997,,,
8.97577405,3.9090729,-8.412415,-2.1489868,,,
8.986314058,3.8882904,-8.429932,-2.16922,,,
8.993241072,3.9135284,-8.423401,-2.1648865,,,
9.00011301,3.9002533,-8.398804,-2.1648865,,,
9.007071018,3.92482,-8.426376,-2.1648865,,,
9.014057159,3.9166412,-8.439148,-2.1549225,,,
9.020722151,3.8972626,-8.419754,-2.1648865,,,
9.027916193,3.8900757,-8.430832,-2.1849365,,,
9.034958124,3.8911285,-8.437271,-2.1958618,,,
9.040863991,3.903839,-8.429932,-2.1684723,,,
9.050033093,3.8882904,-8.429932,-2.1493073,,,
9.057960033,3.9028015,-8.43457,-2.1695251,,,
9.064885139,3.894867,-8.429932,-2.1585846,,,
9.076582193,3.8882904,-8.449081,-2.1973572,,,
9.085052013,3.8882904,-8.458069,-2.1445313,,,
9.0896101,3.8738708,-8.453842,-2.1792908,,,
9.094769001,3.8691254,-8.448349,-2.1464539,,,
9.099560022,3.8691254,-8.436066,-2.1710205,,,
9.104132175,3.8924713,-8.449081,-2.1957092,,,
9.108608007,3.8903656,-8.449081,-2.1861267,,,
9.113192081,3.875946,-8.449081,-2.2189484,,,
