Time, x, y, z,,,,
8.928955078,None,None,None,,,,
8.933725119,None,None,None,,,,
8.938487053,None,None,None,,,,
8.94306922,None,None,None,,,,
8.948260069,None,None,None,,,,
8.964607,None,None,None,,,,
8.969600201,None,None,None,,,,
8.973685026,None,None,None,,,,
8.977994204,None,None,None,,,,
8.982128143,None,None,None,,,,
8.986362219,None,None,None,,,,
8.992398024,None,None,None,,,,
8.997006178,None,None,None,,,,
9.001141071,None,None,None,,,,
9.00517416,None,None,None,,,Lap1,Lap2
9.009205103,None,None,None,,,10.5,01:44.2
9.013253212,None,None,None,,,wait,192
9.017248154,None,None,None,,,,
9.021595001,None,None,None,,,Total,
9.02575922,None,None,None,,,192,
9.030465126,6.033066,-6.9117126,-1.780777,,,,
9.034857988,6.033066,-6.9117126,-1.780777,,,,
9.03924799,6.033066,-6.9117126,-1.780777,,,,
9.043758154,6.033066,-6.9117126,-1.780777,,,,
9.051688194,6.033066,-6.9117126,-1.780777,,,,
9.059691191,6.033066,-6.9117126,-1.780777,,,,
9.067533016,6.033066,-6.9117126,-1.780777,,,,
9.07705617,6.033066,-6.9117126,-1.780777,,,,
9.085023165,7.1644897,-5.8470154,-4.4125366,,,,
9.093847036,7.4710236,-5.575348,-3.559845,,,,
9.101954222,7.7509766,-5.744812,-3.5297241,,,,
9.11027503,7.8016205,-5.733658,-3.2150116,,,,
9.118984222,7.567856,-5.9190216,-3.006668,,,,
9.129520178,7.4013824,-5.8627167,-2.882492,,,,
9.137369156,7.175125,-6.045334,-2.797104,,,,
9.144970179,6.981964,-6.2390594,-2.8320007,,,,
9.151859045,6.7911987,-6.310852,-2.8412628,,,,
9.159298182,6.5545654,-6.303665,-2.8165588,,,,
9.166162014,6.458618,-6.5591125,-2.688385,,,,
9.171261072,6.458618,-6.5591125,-2.688385,,,,
9.17763114,6.419693,-6.569214,-2.6558685,,,,
9.182557106,6.298935,-6.6290436,-2.6704712,,,,
9.187477112,6.2451935,-6.685196,-2.719574,,,,
9.192579031,6.2451935,-6.685196,-2.719574,,,,
9.198476076,6.191162,-6.816742,-2.6911469,,,,
9.20830822,6.1579437,-6.863159,-2.9042664,,,,
9.214497089,6.04599,-6.8876953,-2.9886932,,,,
9.220537186,6.06044,-6.956085,-2.9741364,,,,
9.226626158,6.0536194,-6.9926147,-2.931656,,,,
9.232640028,6.092682,-6.8966827,-2.8545837,,,,
9.238454103,5.849411,-6.842621,-2.775116,,,,
9.243065119,5.849411,-6.842621,-2.775116,,,,
9.247731209,6.021591,-6.861206,-2.6844025,,,,
9.252351046,6.0954895,-6.862671,-2.7167664,,,,
9.257043123,5.998062,-6.631424,-2.738449,,,,
9.261582136,5.998062,-6.631424,-2.738449,,,,
9.26642704,6.07666,-6.6673737,-2.7149353,,,,
9.271088123,6.0236053,-6.6361847,-2.6230469,,,,
9.275672197,6.046585,-6.4988403,-2.5737915,,,,
9.280336142,5.991501,-6.4886627,-2.5863647,,,,
9.284925222,5.942108,-6.460373,-2.5710907,,,,
9.289676189,5.9190674,-6.547226,-2.54805,,,,
9.294074059,5.937622,-6.6087036,-2.54805,,,,
9.298611164,5.937622,-6.6087036,-2.54805,,,,
9.303089142,5.895111,-6.5811615,-2.5671997,,,,
9.307479143,5.7691956,-6.702286,-2.6821594,,,,
9.311757088,5.7691956,-6.702286,-2.6821594,,,,
9.316295147,5.63797,-6.784424,-2.7075958,,,,
9.320752144,5.6967316,-6.8242035,-2.7512054,,,,
9.325153112,5.7083282,-6.8198853,-2.752655,,,,
9.329547167,5.76355,-6.7646484,-2.7403717,,,,
9.333978176,5.76355,-6.7646484,-2.7403717,,,,
9.33871913,5.770584,-6.657791,-2.7348328,,,,
9.343113184,5.858139,-6.6447754,-2.7656708,,,,
9.347408056,5.858139,-6.6447754,-2.7656708,,,,
9.351852179,5.961273,-6.6251526,-2.7990417,,,,
9.356672049,6.0256195,-6.583252,-2.816269,,,,
9.361041069,6.020645,-6.5069885,-2.829193,,,,
9.365177155,5.8668213,-6.4942017,-2.835434,,,,
9.474150181,5.8668213,-6.4942017,-2.835434,,,,
9.503432989,5.6658173,-7.548645,-3.0171204,,,,
9.518410206,4.9951477,-8.447159,-3.3210602,,,,
9.523977041,5.0183105,-8.697845,-3.494278,,,,
9.541064024,5.101242,-8.777786,-3.668213,,,,
9.563719988,5.5746613,-8.602203,-3.8220062,,,,
9.589323044,6.9525604,-8.714615,-3.3456573,,,,
9.615111113,9.3224945,-9.730301,-1.1101227,,,,
9.62434411,7.3964844,-7.3199463,-1.5042877,,,,
9.631920099,6.8224945,-6.8811035,-1.4560242,,,,
9.640011072,6.334854,-5.932022,-1.7760162,,,,
9.647691011,6.5232086,-4.84169,-1.8745422,,,,
9.655456066,6.7032013,-4.4392242,-1.7224579,,,,
9.662761211,7.4678802,-4.0253296,-1.0483093,,,,
9.669955015,7.95343,-4.04628,-0.5244446,,,,
9.676415205,8.468445,-4.126892,0.11628723,,,,
9.682033062,9.723785,-4.5081787,0.92678833,,,,
9.688960075,10.146744,-4.6943817,1.0037231,,,,
9.694864035,10.66629,-4.8174744,0.9111481,,,,
9.701830149,11.065002,-4.9109497,0.7584076,,,,
9.708063126,11.578537,-4.9557037,0.24067688,,,,
9.714123011,11.750748,-4.9912415,-0.041427612,,,,
9.719919205,11.853195,-5.072296,-0.32673645,,,,
9.735345125,11.285599,-5.3940277,-1.2479553,,,,
9.747688055,10.203186,-5.518036,-1.1746368,,,,
9.759567022,9.684769,-5.450165,-0.8812866,,,,
9.770964146,9.439545,-4.968567,-0.70062256,,,,
9.782194138,8.818344,-4.1384735,-0.581131,,,,
9.792399168,8.502441,-3.6200104,-0.5035095,,,,
9.800198078,8.203064,-3.1826477,-0.42044067,,,,
9.806009054,8.035156,-3.0841827,-0.4841919,,,,
9.81174922,7.9254456,-3.0073853,-0.5431671,,,,
9.817831039,7.5674133,-2.996399,-0.8793335,,,,
9.823561192,7.333191,-2.988968,-1.1108704,,,,
9.82823205,7.1785583,-3.0690613,-1.4762268,,,,
9.834243059,7.050583,-3.1117096,-1.8332062,,,,
9.846837044,7.1260376,-3.4141846,-1.3911285,,,,
9.857782125,7.1685486,-3.7571106,-1.1695404,,,,
9.871076107,7.0979614,-4.1453094,-1.3602448,,,,
9.881990194,7.202667,-4.358795,-1.3602448,,,,
9.892760038,7.4249268,-4.498596,-1.4790802,,,,
9.904252052,7.4837494,-4.466263,-1.4943542,,,,
9.915312052,7.49498,-4.3350067,-1.9572906,,,,
9.923401117,7.5618744,-4.229477,-2.6127014,,,,
9.929054022,7.4990234,-4.2805176,-2.7869263,,,,
9.93631506,7.4993896,-4.4197693,-2.7396393,,,,
9.942642212,7.3562317,-4.55278,-2.8264313,,,,
9.948894024,7.240982,-4.763565,-3.0581818,,,,
9.955330133,7.1584015,-4.9992676,-3.1360016,,,,
9.962487221,7.102127,-5.0269012,-3.1587372,,,,
10.02255011,7.102127,-5.0269012,-3.1587372,,,,
10.04756713,7.106888,-4.3683777,-2.3610992,,,,
10.07088804,7.375534,-4.1389313,-1.359787,,,,
10.08687615,7.575943,-4.253418,-1.2566528,,,,
10.10353303,7.969452,-4.253128,-1.5723114,,,,
10.1199472,8.280579,-4.239914,-2.6719055,,,,
10.13150406,8.98439,-4.3492126,-2.9886932,,,,
10.14042616,9.170425,-4.466873,-3.1691895,,,,
10.14920211,9.381317,-4.6174316,-3.3910217,,,,
10.15787005,9.523361,-4.947769,-3.5438232,,,,
10.16509914,9.310089,-5.2304993,-3.6592407,,,,
10.17116714,9.366806,-5.5829163,-3.951645,,,,
10.17790914,9.604477,-5.730713,-4.082794,,,,
10.18461609,9.695023,-5.8350983,-4.0210114,,,,
10.19197106,10.190903,-5.9832153,-3.787796,,,,
10.19869399,10.324722,-5.9206543,-3.8123474,,,,
10.20948315,10.978943,-5.231247,-3.9359741,,,,
10.21635222,10.978943,-5.231247,-3.9359741,,,,
10.22191405,11.146606,-4.8838806,-4.074478,,,,
10.22733617,11.262131,-4.7069397,-4.132492,,,,
10.23264718,11.282791,-4.5048676,-4.194763,,,,
10.23783112,11.255402,-4.2637634,-4.2880096,,,,
10.24285507,11.322586,-4.020859,-4.458084,,,,
10.24754214,11.442642,-3.8469086,-4.5273438,,,,
10.25320601,11.360016,-3.664566,-4.4744263,,,,
10.25833106,11.502792,-3.8168335,-4.188324,,,,
10.26359916,11.760544,-4.70665,-3.4143524,,,,
10.26783419,11.760544,-4.70665,-3.4143524,,,,
10.2725122,11.905121,-5.2580414,-3.1192017,,,,
10.27735305,12.119904,-5.896408,-2.9078674,,,,
10.28194118,12.209656,-6.3652954,-2.7614594,,,,
10.28738618,12.095306,-6.5404053,-2.6583862,,,,
10.29234505,11.840164,-6.520691,-2.3504791,,,,
10.29735112,11.243576,-6.2851105,-1.8393402,,,,
10.302212,10.6427,-5.9647675,-1.4618073,,,,
10.30725408,9.853348,-5.662979,-1.3945313,,,,
10.31209302,9.203217,-5.3433533,-1.4578247,,,,
10.31678009,8.539108,-5.0062866,-1.3790894,,,,
10.32228899,8.539108,-5.0062866,-1.3790894,,,,
10.32831907,7.4044952,-4.3408966,-0.80003357,,,,
10.33424807,6.6907806,-4.0253296,-0.2718048,,,,
10.33907104,6.6907806,-4.0253296,-0.2718048,,,,
10.34404421,6.43454,-3.9036407,-0.119277954,,,,
10.34894204,6.20105,-3.9313354,-0.034713745,,,,
10.35364604,6.053604,-4.045517,0.047683716,,,,
10.35849619,6.104843,-4.218231,0.093566895,,,,
10.36341715,6.2293243,-4.4714966,0.08427429,,,,
10.37045121,6.6602936,-5.2952576,0.040100098,,,,
10.37527418,6.6602936,-5.2952576,0.040100098,,,,
