time,ax,ay,az,gx,gy,gz,mx,my,mz
2.6915279589268E14,0.44891283,1.2797008,9.555259,0.08841695,0.06711166,-0.066046394,-27.300001,9.2,-20.7
2.69152983853805E14,0.6775591,1.0654198,9.654618,-0.112918034,0.2247708,0.15020229,-27.7,10.2,-19.5
2.69152993020889E14,0.700304,1.0462662,9.507375,-0.08841695,0.18535602,0.12144015,-26.7,9.6,-20.7
2.69152999618389E14,0.7206547,1.0366893,9.500193,-0.068176925,0.12996227,0.094808534,-27.1,9.6,-20.1
2.69153014686264E14,0.60573304,1.1192893,9.458294,-0.04580637,0.07989483,0.07563378,-28.300001,9.900001,-20.7
2.69153024488972E14,0.6344634,1.1252748,9.397242,-0.026631612,0.0479369,0.06498113,-28.1,10.6,-19.2
2.69153033293764E14,0.6440403,1.1001357,9.32781,-0.018109497,0.036218993,0.04474111,-28.0,9.900001,-20.7
2.69153040230389E14,0.62488663,1.0881647,9.317036,-0.02130529,0.036218993,0.035153728,-27.7,9.900001,-21.300001
2.69153054037639E14,0.48602295,1.0702082,9.443929,-0.037284255,0.04474111,0.007456851,-27.2,10.3,-21.0
2.69153064503222E14,0.4381389,0.94930094,9.503783,-0.04474111,0.05752428,0.002130529,-26.800001,9.400001,-19.1
2.69153074449514E14,0.40102878,0.8822633,9.526528,-0.049002163,0.066046394,0.0031957934,-27.800001,10.2,-21.2
2.69153084327014E14,0.36631286,0.80684596,9.497798,-0.06178534,0.080960095,0.018109497,-28.1,10.0,-20.9
2.69153093463222E14,0.31244332,0.7410054,9.481039,-0.08628642,0.12463594,0.04261058,-28.0,10.2,-20.9
2.69153104810305E14,0.2705448,0.7086837,9.496601,-0.11504856,0.18216023,0.07882957,-27.7,9.900001,-20.800001
2.69153113094514E14,0.25019407,0.7146692,9.460688,-0.1470065,0.23435818,0.12463594,-27.7,10.0,-20.7
2.69153123860264E14,0.2813187,0.7469909,9.532514,-0.17789917,0.28122982,0.17150758,-27.7,10.0,-20.7
2.69153133954139E14,0.23942018,0.81881696,9.583989,-0.19707392,0.3206446,0.20879184,-27.7,10.0,-20.7
2.69153144387097E14,0.21308395,0.81402856,9.604341,-0.19813919,0.35792887,0.23222765,-27.7,10.0,-20.6
2.69153154215222E14,0.18914193,0.7781156,9.56723,-0.19068234,0.38775626,0.2396845,-27.7,10.0,-20.5
2.69153164205264E14,0.17118542,0.7673417,9.488221,-0.18429075,0.39521313,0.23116238,-27.7,10.1,-20.5
2.69153172962972E14,0.24540567,0.81522566,9.379285,-0.18642128,0.3717773,0.21518342,-27.7,10.2,-20.5
2.69153184288305E14,0.19632454,0.81642276,9.3733,-0.19813919,0.3536678,0.1949434,-27.7,10.2,-20.4
2.69153194750847E14,0.08738836,0.7757214,9.465476,-0.221575,0.36751625,0.18322548,-27.6,10.2,-20.4
2.69153204617847E14,-0.06584055,0.7230489,9.464279,-0.2428803,0.4079963,0.18429075,-27.6,10.3,-20.4
2.69153213093972E14,-0.12449849,0.664391,9.494206,-0.25033715,0.4463458,0.1917476,-27.6,10.400001,-20.4
2.69153224144097E14,-0.22984336,0.58538234,9.434352,-0.2514024,0.4644553,0.19920446,-27.6,10.5,-20.4
2.69153233904055E14,-0.2885013,0.5722142,9.38168,-0.25033715,0.45806372,0.20133498,-27.5,10.5,-20.4
2.69153244482972E14,-0.32920274,0.45609543,9.428367,-0.23435818,0.37603834,0.20240025,-27.4,10.6,-20.5
2.69153254392597E14,-0.11611878,0.33279404,9.634268,-0.0031957934,-0.22264028,0.13209279,-27.4,10.8,-20.7
2.6915327369343E14,0.7350199,0.7398083,10.57878,0.23755397,-0.5028048,-0.023435818,-27.300001,10.900001,-20.7
2.69153285405264E14,0.33399114,1.0007763,10.092757,0.29294774,-0.4346279,-0.10013486,-27.300001,10.900001,-20.800001
2.69153293608097E14,0.107739076,0.9935937,9.7240505,0.32597092,-0.18109496,-0.19813919,-27.300001,11.0,-20.800001
2.6915330088793E14,0.06703765,0.94810385,9.490616,0.32277513,-0.08628642,-0.21731395,-27.2,11.1,-20.9
2.69153315474847E14,0.007182605,0.94570965,8.613141,0.26312032,-0.04580637,-0.19600865,-27.2,11.1,-20.9
2.69153325625847E14,-0.22984336,0.92176765,8.285135,0.10652645,0.15765914,-0.16085494,-27.1,11.1,-21.0
2.69153334677514E14,-0.47884035,0.8834604,8.519767,-0.10652645,0.43356264,-0.098004326,-27.1,11.2,-21.0
2.69153342558389E14,-0.4345476,0.9528923,8.699332,-0.27696875,0.6295713,-0.013848438,-27.0,11.3,-21.1
2.69153356079555E14,-0.17357962,0.9935937,9.449914,-0.36432046,0.7456851,0.040480047,-27.0,11.3,-21.1
2.69153366892472E14,-0.051475335,0.94092125,10.287885,-0.3472762,0.85327685,0.058589544,-27.0,11.400001,-21.2
2.69153377307805E14,0.16280572,0.7445967,10.969035,-0.20559604,0.8745821,0.05965481,-26.9,11.5,-21.300001
2.69153386853639E14,0.22385786,0.6356605,10.788273,0.046871636,0.65726817,0.026631612,-26.800001,11.6,-21.300001
2.6915339601868E14,0.1412579,0.2873042,10.086772,0.3089267,0.17470337,-0.07989483,-26.7,11.6,-21.4
2.69153406263555E14,-0.5470751,0.25139117,9.220071,0.4644553,-0.23009712,-0.23542345,-26.7,11.6,-21.4
2.69153416290305E14,-1.4401124,0.34356794,8.63828,0.4676511,-0.3355583,-0.30040458,-26.6,11.7,-21.4
2.69153426553722E14,-1.4532804,0.47165772,8.8884735,0.44528055,-0.4857606,-0.23542345,-26.6,11.7,-21.5
2.69153436127889E14,-0.5494693,1.1504139,9.032125,0.4079963,-0.515588,-0.12250541,-26.6,11.7,-21.5
2.69153445894847E14,-0.19632454,1.3347675,8.893262,0.33449304,-0.43888897,-0.06178534,-26.5,11.8,-21.6
2.69153455593014E14,-0.11851298,1.4065934,8.590396,0.19068234,-0.2790993,-0.07563378,-26.5,11.7,-21.7
2.69153466023514E14,0.044292733,1.1719618,8.981848,0.0063915867,-0.035153728,-0.096939065,-26.5,11.7,-21.7
