time,ax,ay,az,gx,gy,gz,mx,my,mz
8.4258086750153E13,6.229713,-7.5046253,-1.2976574,-0.083090626,0.02876214,-0.027696876,-47.8,21.1,14.2
8.425809956282E13,6.3721676,-7.5082164,-1.2689269,-0.098004326,0.068176925,-0.03195793,-47.8,21.0,14.2
8.4258111579278E13,6.4751186,-7.4723034,-1.2785037,-0.098004326,0.07563378,-0.040480047,-47.9,21.0,14.2
8.4258120026486E13,6.489484,-7.4351935,-1.2210429,-0.10333065,0.06924219,-0.04580637,-47.9,21.0,14.1
8.425813169557E13,6.539762,-7.3166804,-1.22224,-0.111852765,0.068176925,-0.039414786,-47.9,21.0,14.1
8.425814045832E13,6.489484,-7.2340803,-1.2557588,-0.12783173,0.068176925,-0.03195793,-47.8,20.9,14.2
8.4258147789111E13,6.4763155,-7.237672,-1.2665327,-0.13741912,0.06498113,-0.026631612,-47.8,20.9,14.2
8.425815874307E13,6.5230026,-7.177817,-1.2234371,-0.17150758,0.04580637,-0.017044231,-47.8,20.9,14.2
8.4258165942486E13,6.5469446,-7.1670427,-1.2378023,-0.17896444,0.037284255,-0.018109497,-47.8,20.9,14.3
8.4258180826778E13,6.5565214,-7.1730285,-1.292869,-0.19813919,0.010652645,-0.026631612,-47.8,20.9,14.2
8.4258190879611E13,6.5265937,-7.229292,-1.316811,-0.20772657,0.002130529,-0.03195793,-47.9,20.9,14.3
8.4258198817111E13,6.363788,-7.2951326,-1.3072342,-0.20559604,0.002130529,-0.024501082,-47.8,20.800001,14.3
8.4258207329195E13,6.432023,-7.3071036,-1.3383588,-0.2066613,0.0053263223,-0.013848438,-47.8,20.800001,14.3
8.4258219224445E13,6.489484,-7.3729444,-1.2449849,-0.18322548,0.007456851,-0.002130529,-47.8,20.800001,14.3
8.4258226080278E13,6.5325794,-7.3873096,-1.2497733,-0.16937704,0.0063915867,-0.0010652645,-47.8,20.800001,14.3
8.4258239604861E13,6.4068837,-7.417237,-1.3024458,-0.11717909,0.0010652645,-0.014913702,-47.8,20.800001,14.3
8.4258247036236E13,6.3829417,-7.442376,-1.316811,-0.10226539,-0.0010652645,-0.013848438,-47.8,20.7,14.3
8.4258258854445E13,6.4188547,-7.4327993,-1.2689269,-0.039414786,-0.0010652645,-0.0127831735,-47.7,20.7,14.400001
8.425826622282E13,6.4140663,-7.422025,-1.2306197,-0.020240024,0.0,-0.013848438,-47.8,20.7,14.400001
8.4258280163278E13,6.375759,-7.4327993,-1.340753,0.022370555,-0.0031957934,-0.014913702,-47.8,20.7,14.5
8.4258290790236E13,6.408081,-7.4375877,-1.3180081,0.024501082,-0.0127831735,-0.011717909,-47.8,20.6,14.5
8.4258298881695E13,6.4308257,-7.4711065,-1.3024458,0.022370555,-0.020240024,-0.00958738,-47.8,20.6,14.5
8.4258306267945E13,6.405687,-7.463924,-1.2976574,0.022370555,-0.025566347,-0.011717909,-47.9,20.6,14.6
8.4258320726903E13,6.393716,-7.359776,-1.3192052,0.036218993,-0.033023197,-0.017044231,-47.9,20.6,14.6
8.4258330342236E13,6.417658,-7.337031,-1.2988545,0.05219796,-0.034088463,-0.017044231,-47.9,20.6,14.6
8.4258338789153E13,6.4751186,-7.337031,-1.282095,0.068176925,-0.03089267,-0.020240024,-47.9,20.5,14.7
8.4258349179111E13,6.4882865,-7.349002,-1.3156139,0.0777643,-0.025566347,-0.023435818,-48.0,20.5,14.7
8.425835857332E13,6.4427967,-7.3466077,-1.2976574,0.07669904,-0.022370555,-0.024501082,-48.0,20.5,14.7
8.4258365124195E13,6.4427967,-7.303512,-1.3670892,0.07243799,-0.020240024,-0.023435818,-48.0,20.5,14.6
8.4258378248528E13,6.3865333,-7.2448545,-1.3551182,0.054328486,-0.018109497,-0.020240024,-48.0,20.5,14.6
8.4258389785403E13,6.3805475,-7.2628107,-1.3874398,0.040480047,-0.008522116,-0.015978966,-48.0,20.5,14.6
8.4258398000695E13,6.432023,-7.3166804,-1.3970166,0.034088463,-0.002130529,-0.014913702,-48.0,20.5,14.6
8.4258404940695E13,6.4463882,-7.309498,-1.3742718,0.033023197,-0.002130529,-0.0127831735,-48.0,20.4,14.7
8.4258418279361E13,6.4607534,-7.351396,-1.3467385,0.036218993,-0.008522116,-0.014913702,-48.0,20.4,14.7
8.4258428180653E13,6.4511766,-7.321469,-1.3395559,0.04261058,-0.011717909,-0.013848438,-48.0,20.300001,14.7
8.4258438143028E13,6.4499793,-7.303512,-1.3431472,0.0479369,-0.015978966,-0.010652645,-48.0,20.300001,14.7
8.4258444885945E13,6.405687,-7.326257,-1.328782,0.049002163,-0.017044231,-0.007456851,-47.9,20.300001,14.8
8.4258457538736E13,6.417658,-7.393295,-1.3958195,0.05006743,-0.01917476,-0.004261058,-48.0,20.300001,14.900001
8.425846906232E13,6.420052,-7.410054,-1.4269443,0.051132694,-0.017044231,-0.0010652645,-48.0,20.300001,14.8
8.4258478153153E13,6.4044895,-7.4232225,-1.4101849,0.04580637,-0.014913702,-0.002130529,-47.9,20.300001,14.900001
8.4258489290653E13,6.4068837,-7.4088573,-1.4532804,0.041545313,-0.013848438,-0.0053263223,-47.9,20.300001,14.8
8.4258497451403E13,6.4284315,-7.442376,-1.328782,0.039414786,-0.011717909,-0.00958738,-47.9,20.300001,14.8
8.4258504818528E13,6.4224463,-7.428011,-1.3311762,0.040480047,-0.0127831735,-0.0127831735,-47.9,20.300001,14.900001
8.4258517800403E13,6.3829417,-7.4088573,-1.3443443,0.043675844,-0.014913702,-0.013848438,-47.9,20.2,14.900001
8.425852462257E13,6.364985,-7.3873096,-1.3910311,0.03834952,-0.018109497,-0.0127831735,-47.9,20.2,14.900001
8.425853776307E13,6.3601966,-7.3909006,-1.401805,0.03195793,-0.017044231,-0.0127831735,-47.9,20.2,15.0
8.4258544604028E13,6.408081,-7.374141,-1.400608,0.029827405,-0.018109497,-0.0127831735,-47.9,20.2,14.900001
8.4258557604611E13,6.4104753,-7.3729444,-1.400608,0.027696876,-0.02130529,-0.010652645,-47.9,20.2,14.900001
8.425856442532E13,6.4224463,-7.3645644,-1.3802572,0.02876214,-0.020240024,-0.00958738,-47.9,20.2,14.8
8.4258577350528E13,6.432023,-7.3633676,-1.3838485,0.03089267,-0.02130529,-0.008522116,-47.9,20.2,14.8
8.4258588758903E13,6.3829417,-7.398083,-1.3311762,0.033023197,-0.01917476,-0.0063915867,-47.9,20.300001,14.7
