time,ax,ay,az,gx,gy,gz,mx,my,mz
8.3942557613961E13,-0.19033903,1.6184803,9.995792,0.013848438,-0.004261058,0.0127831735,9.8,28.4,-82.4
8.3942744737794E13,0.25617957,1.4736311,9.5385,0.026631612,0.0010652645,0.0053263223,9.400001,28.6,-82.700005
8.3942753301419E13,0.260968,1.4772224,9.554062,0.027696876,0.0053263223,0.0031957934,9.6,28.800001,-82.8
8.3942764043836E13,0.24899697,1.4927847,9.464279,0.037284255,0.0,-0.0010652645,9.1,28.9,-83.3
8.3942773316586E13,0.2825158,1.5143325,9.437943,0.046871636,-0.01917476,-0.00958738,9.6,29.1,-83.8
8.3942784698086E13,0.29568392,1.484405,9.49301,0.053263225,-0.02876214,-0.015978966,9.3,29.2,-82.3
8.3942793834503E13,0.2705448,1.496376,9.500193,0.049002163,-0.015978966,-0.020240024,9.5,28.9,-82.3
8.3942804020128E13,0.25139117,1.5155296,9.482236,0.03834952,0.0010652645,-0.018109497,9.3,29.0,-83.4
8.3942813248003E13,0.18315643,1.4820108,9.478644,0.03089267,0.00958738,-0.0127831735,9.5,29.1,-83.8
8.3942824486753E13,0.037110128,1.2916719,9.539697,0.023435818,0.024501082,0.013848438,9.400001,28.9,-83.1
8.3942834157336E13,0.079008654,1.5682021,9.5013895,0.017044231,0.05752428,0.034088463,9.2,29.2,-83.5
8.3942844504086E13,0.17118542,1.6053122,9.469068,0.033023197,0.043675844,0.03834952,9.2,29.300001,-83.5
8.3942853679836E13,0.32321724,1.4664485,9.4535055,0.04474111,0.029827405,0.033023197,9.2,29.5,-83.8
8.3942864098961E13,0.31364042,1.4915876,9.396045,0.036218993,0.03834952,0.025566347,9.2,29.800001,-84.1
8.3942873241669E13,0.34237084,1.5562311,9.472659,0.02130529,0.05006743,0.01917476,9.2,29.800001,-84.1
8.3942879954544E13,0.34476504,1.5729905,9.5492735,0.020240024,0.053263225,0.013848438,9.2,29.800001,-84.200005
8.3942893689461E13,0.18435353,1.5442601,9.623494,0.035153728,0.056459017,0.002130529,9.3,29.800001,-84.1
8.3942900840378E13,0.16400282,1.5179238,9.613917,0.05965481,0.04474111,0.002130529,9.3,29.800001,-84.200005
8.3942914130669E13,0.06344634,1.578976,9.404425,0.08841695,0.02130529,0.0031957934,9.3,29.800001,-84.1
8.3942924595836E13,0.18674773,1.5897499,9.330204,0.098004326,0.010652645,0.011717909,9.3,29.800001,-84.1
8.3942933890128E13,0.22385786,1.6112977,9.27394,0.082025364,0.022370555,0.013848438,9.400001,29.800001,-84.1
8.3942944438503E13,0.25617957,1.6915035,9.217676,0.060720075,0.04474111,0.008522116,9.400001,29.800001,-84.1
8.3942953298836E13,0.24779987,1.7190368,9.19972,0.05219796,0.041545313,0.0,9.400001,29.7,-84.1
8.3942960060169E13,0.21428105,1.6962919,9.226056,0.051132694,0.017044231,-0.007456851,9.400001,29.7,-84.0
8.3942973520211E13,0.2621651,1.6639702,9.331401,0.05752428,-0.004261058,-0.0031957934,9.400001,29.7,-84.0
8.3942984248628E13,0.33399114,1.6232687,9.372103,0.07137272,-0.020240024,0.002130529,9.5,29.7,-84.0
8.3942993283544E13,0.35434186,1.5921441,9.388862,0.07989483,-0.03195793,0.002130529,9.5,29.6,-84.0
8.3943004195878E13,0.32202014,1.5526398,9.388862,0.09267801,-0.04580637,0.0063915867,9.5,29.6,-84.0
8.3943013697253E13,0.30885202,1.5310919,9.234436,0.099069595,-0.05752428,0.0127831735,9.6,29.5,-84.0
8.3943021248919E13,0.29688102,1.5586253,9.084799,0.094808534,-0.06391586,0.015978966,9.6,29.5,-84.0
8.3943035055294E13,0.29688102,1.6160861,9.118318,0.06391586,-0.09267801,0.023435818,9.5,29.5,-84.0
8.3943045294628E13,0.32680854,1.6723499,9.308656,0.041545313,-0.10333065,0.023435818,9.5,29.5,-84.0
8.3943053925628E13,0.38067806,1.6531962,9.467871,0.023435818,-0.08628642,0.025566347,9.5,29.5,-84.0
8.3943061431544E13,0.37469256,1.6053122,9.510966,0.01917476,-0.06924219,0.026631612,9.5,29.5,-84.1
8.3943074814794E13,0.23702596,1.6244658,9.476251,0.011717909,-0.020240024,0.03195793,9.400001,29.5,-84.1
8.3943082680878E13,0.1328782,1.567005,9.08001,0.0127831735,-0.010652645,0.037284255,9.400001,29.5,-84.1
8.3943098468211E13,0.29927522,1.8088194,9.202114,-0.029827405,-0.010652645,0.0628506,9.400001,29.5,-84.200005
8.3943115631711E13,0.24779987,1.6986861,9.3661175,-0.07137272,0.039414786,0.04261058,9.400001,29.5,-84.1
8.3943126553211E13,0.20949265,1.5777789,9.345766,-0.05752428,0.05219796,0.046871636,9.400001,29.5,-84.1
8.3943134772628E13,0.35553896,1.6555905,9.281123,-0.04580637,0.043675844,0.046871636,9.3,29.4,-84.1
8.3943142221461E13,0.3866636,1.638831,9.234436,-0.046871636,0.041545313,0.046871636,9.400001,29.4,-84.1
8.3943156266086E13,0.61530983,1.6017209,9.27394,-0.05965481,0.035153728,0.043675844,9.3,29.4,-84.0
8.3943166983586E13,0.736217,1.6795325,9.437943,-0.06711166,0.03834952,0.029827405,9.3,29.4,-84.1
8.3943175834336E13,0.7026982,1.6412252,9.616311,-0.06391586,0.049002163,0.0063915867,9.3,29.4,-84.1
8.3943186868169E13,0.51954174,1.6017209,9.776723,-0.037284255,0.03834952,-0.017044231,9.3,29.4,-84.0
8.3943195459211E13,0.39624038,1.6244658,9.779117,0.011717909,0.01917476,-0.027696876,9.3,29.4,-84.0
