time,ax,ay,az,gx,gy,gz,mx,my,mz
1.456434210883868E18,2.470581,-8.85141,-2.279831,-0.010009766,-0.01133728,-0.01234436,-7.393074,46.837807,21.221924
1.4564342109040095E18,2.5280457,-8.889725,-2.2670593,-0.0046691895,-0.019882202,-0.009140015,-7.2208405,46.581078,21.305847
1.456434210924151E18,2.470581,-8.866837,-2.2569275,-0.0014648438,-0.03163147,-0.014480591,-7.048607,46.49563,21.557236
1.4564342109442926E18,2.3556213,-8.889725,-2.279831,-0.007873535,-0.00920105,-0.007003784,-7.134819,46.41018,21.808624
1.4564342109644342E18,2.337967,-8.867584,-2.3004913,-3.9672852E-4,0.012161255,4.7302246E-4,-6.9625854,46.66691,22.143745
1.456434210984576E18,2.3939362,-8.889725,-2.3162384,-0.016418457,0.030319214,0.002609253,-6.8763733,47.009087,22.478867
1.4564342110047176E18,2.5088959,-8.870575,-2.272934,-0.013214111,0.022842407,-0.0027313232,-6.8763733,47.094536,22.56279
1.4564342110248591E18,2.4609222,-8.860931,-2.270172,-0.015350342,0.016433716,-0.0037994385,-6.7041397,47.179985,22.814178
1.4564342110450007E18,2.432251,-8.889725,-2.298996,-0.0057373047,0.010025024,-0.0027313232,-6.7041397,47.094536,23.065567
1.4564342110651423E18,2.4470978,-8.836578,-2.3904724,-0.013214111,0.008956909,-5.950928E-4,-6.790352,47.265625,23.233032
1.4564342110852838E18,2.4676514,-8.829346,-2.386032,-0.0046691895,0.015365601,0.0036773682,-6.790352,47.351074,23.316765
1.4564342111054254E18,2.4897308,-8.83226,-2.336258,0.011352539,0.01109314,0.0015411377,-6.7041397,47.436523,23.232841
1.4564342111255672E18,2.432251,-8.814148,-2.317093,-0.002532959,0.0068206787,0.009017944,-6.6179276,47.350883,23.316574
1.4564342111457088E18,2.4833374,-8.883347,-2.3372955,6.713867E-4,0.0014801025,-5.950928E-4,-6.7041397,47.350883,23.316574
1.4564342111658504E18,2.4716034,-8.85141,-2.3574982,-0.011077881,4.119873E-4,-0.011276245,-6.790161,47.094345,23.400307
