time,ax,ay,az,gx,gy,gz,mx,my,mz
1.4666243252562757E18,-0.8035431,4.351593,7.2821198,0.4643097,0.104766846,-0.55755615,-5.2490234,-42.01355,-33.917236
1.466624325261311E18,-0.8622284,4.386963,7.2372437,-0.7768402,-0.1302185,0.19760132,-4.9049377,-42.697906,-34.92279
1.4666243252713818E18,-0.9396057,4.367813,7.1885223,-0.72984314,-0.085357666,0.048065186,-5.479431,-42.01355,-35.03418
1.4666243252965588E18,-1.0248566,4.1355286,7.3079224,-1.006485,-0.11312866,0.061950684,-5.5942535,-42.01355,-34.92241
1.4666243253116652E18,-0.9396057,3.7678986,7.235855,-1.1399994,-0.12594604,0.08010864,-5.9387207,-41.739807,-35.39154
1.4666243253318067E18,-0.7359009,3.317093,6.9231873,-1.293808,-0.09817505,0.095062256,-6.0536704,-41.44338,-35.704296
1.4666243253519483E18,-0.7541199,2.9370117,6.75679,-1.4999542,-0.107788086,0.10040283,-6.2340875,-40.840584,-36.214993
1.4666243253720899E18,-0.7756653,2.5351715,6.892624,-1.6537628,-0.062927246,0.0630188,-6.2833786,-40.04631,-36.598015
1.4666243253922314E18,-0.9121094,2.1537933,7.172592,-1.6932831,0.03640747,0.095062256,-6.5418243,-39.105415,-37.435913
1.466624325412373E18,-0.9091034,2.046112,7.4901886,-1.8257294,0.18487549,0.21469116,-6.714058,-37.651253,-38.189888
1.4666243254325146E18,-0.4816742,1.9538574,8.424713,-1.8940887,0.27139282,0.3503418,-6.627846,-36.36818,-39.195442
1.4666243254526564E18,0.039230347,1.8393402,9.9114685,-1.8086395,0.23614502,0.33538818,-6.714058,-34.657288,-40.28473
1.466624325472798E18,0.37205505,1.838913,11.201965,-1.5800629,0.28634644,0.27130127,-6.6280365,-32.860947,-41.038895
1.4666243254929395E18,0.50276184,1.8635559,12.026062,-1.2735138,0.33761597,0.20080566,-6.5418243,-31.150055,-41.960526
1.466624325513081E18,0.4441223,1.8352051,12.482559,-0.7811127,0.20837402,0.090789795,-6.197357,-29.439163,-42.882156
1.4666243255332227E18,0.30337524,1.7515411,12.459015,-0.43397522,0.04067993,0.019226074,-6.024933,-28.07045,-43.720055
1.4666243255533642E18,0.101242065,1.7453003,11.750061,-0.10179138,-0.09710693,-0.066223145,-5.9389114,-26.872826,-44.22264
1.4666243255735058E18,-0.04335022,1.6431427,10.973526,-0.007797241,-0.08001709,-0.07797241,-6.0251236,-26.01738,-44.725418
1.466624325598683E18,-0.13970947,1.5181122,10.4127655,0.048812866,-0.003112793,-0.04486084,-5.9389114,-25.247383,-45.06054
1.4666243256137892E18,-0.13494873,1.5186157,10.068283,0.048812866,0.015045166,-0.027770996,-5.8526993,-24.734116,-45.311928
1.4666243256339308E18,-0.18225098,1.5030365,9.805756,0.054153442,0.026794434,-0.0491333,-5.8526993,-24.563026,-45.64705
1.4666243256540723E18,-0.30737305,1.4555969,9.604614,0.07872009,-0.044769287,-0.04699707,-5.9389114,-24.306297,-45.814705
1.466624325674214E18,-0.32504272,1.3982697,9.446548,0.13105774,-0.14944458,-0.057678223,-6.024933,-24.391747,-45.814705
1.4666243256943555E18,-0.4144745,1.3294983,9.223007,0.15242004,-0.22528076,-0.05126953,-6.197357,-24.562836,-45.814705
1.466624325714497E18,-0.411438,1.340805,9.182114,0.09474182,-0.2487793,-0.041656494,-6.197357,-24.562836,-45.98236
1.4666243257346386E18,-0.29989624,1.2949829,9.2534485,0.07551575,-0.18682861,-0.05126953,-6.111145,-24.562836,-45.730972
1.4666243257547804E18,-0.44148254,1.3390198,9.198669,7.4768066E-4,-0.15585327,-0.010681152,-6.2835693,-24.648476,-45.64724
1.466624325774922E18,-0.32313538,1.3058777,9.5408325,0.0050201416,-0.103515625,0.05126953,-6.3697815,-24.563026,-45.64724
1.466624325790028E18,-0.25079346,1.3421173,9.539963,0.027450562,-0.020202637,0.08117676,-6.2835693,-24.391937,-45.39585
1.466624325815205E18,-0.13427734,1.4904938,9.498962,0.024246216,-0.018066406,0.11001587,-6.111145,-24.477577,-45.31212
1.4666243258353467E18,0.22015381,1.5234833,9.434784,0.009292603,0.018249512,0.028839111,-6.111145,-24.306488,-45.228386
1.4666243258554883E18,0.09246826,1.5981903,9.570801,0.031723022,9.1552734E-5,-0.04058838,-6.111145,-24.220848,-45.06073
1.4666243258756298E18,-0.02243042,1.5215912,9.606674,0.07765198,-0.01272583,-0.092926025,-6.1971664,-24.306297,-44.893074
1.466624325900807E18,-0.17835999,1.3931732,9.358246,0.08833313,-0.042633057,-0.10040283,-6.1109543,-24.306297,-45.144463
1.4666243259159132E18,-0.19917297,1.323883,9.387558,0.08299255,-0.06185913,-0.10040283,-6.1969757,-24.135208,-44.976807
1.4666243259360548E18,-0.3265381,1.3358917,9.493164,0.10649109,-0.13342285,-0.09933472,-6.1107635,-24.220657,-45.06054
1.4666243259561964E18,-0.28138733,1.2956238,9.464203,0.1492157,-0.12808228,-0.113220215,-6.282997,-24.306107,-44.976807
1.466624325976338E18,-0.39318848,1.282486,9.177658,0.113967896,-0.060791016,-0.090789795,-6.7136765,-24.391556,-44.976807
1.4666243259964795E18,-0.5372772,1.2917633,9.094009,0.033859253,-0.021270752,-0.036315918,-7.144356,-24.648285,-44.893074
1.466624326016621E18,-0.5340729,1.2977142,9.374832,0.011428833,-0.004180908,0.030975342,-7.402611,-24.733925,-44.976997
1.4666243260367626E18,-0.3027649,1.3982697,9.670319,0.046676636,9.1552734E-5,0.045928955,-7.5748444,-24.733925,-44.893265
1.4666243260569044E18,-0.24754333,1.4952393,9.597122,0.0861969,9.1552734E-5,0.045928955,-7.83329,-24.819374,-44.641876
1.466624326077046E18,-0.16160583,1.5015411,9.525421,0.10115051,-0.03729248,0.028839111,-7.83329,-25.075912,-44.72561
1.4666243260971876E18,-0.1030426,1.5962372,9.515289,0.113967896,-0.013793945,0.013885498,-8.005524,-25.247002,-44.641876
1.4666243261173292E18,-0.11853027,1.636383,9.455994,0.10435486,9.1552734E-5,0.014953613,-8.005524,-25.247002,-44.893265
1.4666243261374707E18,-0.04547119,1.6686707,9.470505,0.12571716,-9.765625E-4,0.004272461,-7.7472687,-25.332642,-44.976997
1.4666243261576123E18,-8.392334E-4,1.7239685,9.349243,0.113967896,0.006500244,-0.012817383,-7.575035,-25.332642,-45.144463
1.4666243261777539E18,-0.03916931,1.7239685,9.368408,0.10649109,-0.014862061,-0.023498535,-7.4028015,-25.41809,-45.06054
1.4666243261978954E18,-0.11550903,1.7242584,9.331299,0.09580994,0.0022277832,-0.0491333,-7.31678,-25.41809,-45.228195
1.4666243262180372E18,-0.18704224,1.7239685,9.349243,0.09794617,0.046020508,-0.04699707,-7.1445465,-25.41809,-45.228195
1.4666243262381788E18,-0.22540283,1.7048035,9.324753,0.091537476,0.041748047,-0.036315918,-7.058525,-25.50373,-45.144463
1.4666243262583204E18,-0.2618103,1.7477722,9.181488,0.08833313,0.042816162,-0.05340576,-7.1447372,-25.58937,-44.976807
1.466624326278462E18,-0.36135864,1.7239685,9.22908,0.04988098,0.042816162,-0.043792725,-7.058716,-25.93155,-44.80915
