time,ax,ay,az,gx,gy,gz,mx,my,mz
1.466623677542672E18,-0.44692993,3.4044495,7.7045135,7.4166718,-0.8789673,7.4960327,-16.544342,18.746185,-39.192963
1.4666236775577782E18,-0.5485687,3.3873138,7.964798,-0.5108795,-0.27548218,-0.29159546,-16.773987,18.289694,-39.19322
1.46662367757792E18,-1.0508881,2.8934326,7.9702606,-0.78752136,-0.43569946,-0.2659607,-17.061234,18.574905,-38.690567
1.4666236775980616E18,-1.3257751,3.4246674,8.552277,-0.7821808,-0.35131836,0.056610107,-17.371216,18.746033,-38.65692
1.4666236776182031E18,-0.44148254,3.4956818,8.792023,-0.6369171,-0.6856384,0.14099121,-17.463175,19.088236,-38.63449
1.4666236776383447E18,0.19589233,3.2070923,8.639008,-0.5098114,-0.7668152,-0.010681152,-17.430332,19.528198,-38.714382
1.4666236776584863E18,0.52809143,2.7693024,9.227707,-0.38697815,-0.44317627,-0.14419556,-17.491913,19.77253,-38.7743
1.4666236776836634E18,-0.07165527,2.423523,9.951843,-0.12635803,-0.2626648,-0.24246216,-17.577934,20.029068,-38.43918
1.4666236776987694E18,-0.4855957,2.3331604,10.144257,0.16416931,-0.040496826,-0.25100708,-18.094826,20.285606,-38.104057
1.4666236777189112E18,-0.44148254,2.2795563,8.665543,0.19941711,0.65270996,-0.26489258,-18.439484,20.713425,-38.020134
1.4666236777390528E18,-0.914978,2.074829,8.28952,-0.2855072,0.8171997,-0.28625488,-18.353271,20.969963,-38.1876
1.4666236777591944E18,-1.4144592,1.858078,8.825134,-0.6155548,0.6121216,-0.1612854,-18.26725,21.226501,-38.355255
1.466623677779336E18,-1.5124512,1.714447,9.277451,-0.6091461,0.64630127,-0.02243042,-18.095016,21.48304,-38.355255
1.4666236777994775E18,-1.7744904,1.3889923,9.024155,-0.7148895,0.5074463,0.08224487,-17.922783,21.654129,-38.1876
1.466623677819619E18,-2.1798248,1.3650208,9.712128,-0.68925476,-0.019134521,0.21469116,-17.922783,21.996307,-37.93621
1.4666236778397606E18,-1.7934113,1.3048401,10.364639,-0.3827057,-0.38336182,0.36209106,-17.664528,22.253036,-38.27133
1.4666236778599022E18,-1.1855621,1.6318817,9.821976,-0.25453186,-0.37695313,0.4624939,-17.578316,22.680855,-38.27133
1.466623677880044E18,-0.7224884,1.8452911,9.017181,-0.44892883,-0.14517212,0.44326782,-17.233658,23.194122,-38.27133
1.4666236779001856E18,-0.8305359,1.9455109,8.78627,-0.73625183,0.08660889,0.39733887,-17.061424,23.878479,-38.103867
1.4666236779203272E18,-0.8011322,1.7110901,9.558075,-0.8174286,-0.03515625,0.40481567,-17.061424,24.562836,-37.852478
1.4666236779404687E18,-0.33888245,1.6743622,10.026611,-0.58457947,-0.19003296,0.36956787,-17.233658,24.990654,-37.60109
1.4666236779606103E18,0.02960205,1.7927246,10.223679,-0.2150116,-0.255188,0.20507813,-17.405891,25.418282,-37.433434
1.466623677980752E18,-0.46200562,1.6090088,9.828659,-0.05052185,-0.26159668,0.0843811,-17.405891,25.8461,-37.265778
1.4666236780008934E18,-0.7983093,1.4335785,9.459412,0.091537476,-0.20071411,0.050201416,-17.31968,26.444817,-37.3497
1.466623678021035E18,-0.9970703,1.4098511,8.722824,-0.1028595,-0.14624023,0.16448975,-17.233658,26.872444,-37.182045
1.4666236780411768E18,-0.5187683,1.6139526,9.508987,-0.24705505,0.0385437,0.20507813,-17.233658,27.300072,-36.930656
1.4666236780613184E18,0.037475586,1.378006,10.0017395,-0.17549133,0.1368103,0.07904053,-17.405891,27.300072,-36.679268
1.46662367808146E18,0.30656433,1.5248871,10.184738,-0.013137817,-0.0874939,-0.054473877,-17.405891,27.300072,-36.42788
1.466623678106637E18,0.74632263,1.8600311,10.420151,0.32972717,-0.30966187,-0.24673462,-17.31968,27.55661,-36.511803
1.4666236781267786E18,0.5248871,1.9400482,10.493408,0.64375305,-0.40899658,-0.31082153,-17.491913,27.64225,-36.595726
1.4666236781418847E18,0.25726318,1.9947052,10.008652,0.80397034,-0.20498657,-0.2883911,-17.664146,27.55661,-36.847115
1.4666236781620262E18,-0.6984253,1.7852936,8.814758,0.6394806,-0.14730835,-0.113220215,-17.922592,27.300072,-36.511803
1.466623678182168E18,-0.11593628,2.614746,8.015335,0.07872009,0.18487549,-0.14312744,-17.922592,26.957893,-36.76319
1.4666236782023096E18,-0.04875183,2.0400696,8.9086,-0.4264984,0.43267822,-0.41656494,-17.922592,26.615715,-36.930847
1.4666236782224512E18,-0.3983612,1.693634,10.315033,-0.37843323,0.26498413,-0.4496765,-18.008804,26.530266,-37.098312
1.4666236782425928E18,-0.6179657,1.5399323,10.839554,0.0861969,-0.09603882,-0.4336548,-18.181038,26.359177,-37.182045
1.4666236782677699E18,-0.46543884,1.6904297,9.545624,0.43547058,-0.4656067,-0.41870117,-18.439484,25.93155,-37.09812
1.466623678282876E18,-0.50286865,1.6492767,8.989151,0.26991272,-0.22634888,-0.3866577,-18.525696,25.58937,-37.265587
1.4666236783030175E18,-0.8721771,1.5997925,8.674118,0.019973755,0.10903931,-0.36636353,-18.611908,25.418282,-37.433243
1.466623678323159E18,-1.19133,1.4841156,8.602066,-0.2780304,0.38568115,-0.28945923,-18.784142,25.247192,-37.68463
1.4666236783433009E18,-1.1694946,1.2742157,9.000595,-0.431839,0.39956665,-0.10360718,-18.784142,25.418282,-37.852287
1.4666236783634424E18,-0.85617065,1.33461,9.5392,-0.2790985,0.10583496,0.039520264,-19.042587,25.332832,-37.852287
1.466623678383584E18,-0.29249573,1.4990234,9.374802,-0.047317505,-0.2284851,-0.0064086914,-19.042587,25.247192,-37.93621
1.4666236784037256E18,-0.055038452,1.6585541,8.775848,-0.07081604,-0.30218506,-0.1538086,-19.042587,25.247192,-38.103867
1.4666236784238671E18,-0.3948059,1.552887,8.833328,-0.12528992,-0.13449097,-0.18051147,-18.956375,25.247192,-38.18779
1.4666236784440087E18,-0.7288666,1.5202484,8.924774,-0.19792175,-0.029815674,-0.048065186,-19.128609,25.247192,-37.9364
1.4666236784641503E18,-0.5735016,1.5908966,9.498932,-0.15733337,-0.15585327,0.08224487,-18.956184,25.418282,-37.852478
1.4666236784842918E18,0.08088684,1.7604828,10.018005,0.06376648,-0.3043213,0.030975342,-18.869972,25.50373,-37.60109
1.4666236785044337E18,0.1207428,1.7814331,9.749619,0.20155334,-0.34490967,-0.09613037,-18.955994,25.332642,-37.433434
1.4666236785245752E18,-0.20141602,1.7267914,9.282791,0.22505188,-0.3534546,-0.12924194,-19.042206,25.50373,-37.182045
1.4666236785447168E18,-0.46875,1.677536,9.215134,0.22505188,-0.3673401,-0.08972168,-19.300652,25.418282,-37.09812
1.4666236785648584E18,-0.4980774,1.7056885,9.175934,0.20689392,-0.2979126,-0.023498535,-19.559097,25.418282,-37.181854
1.466623678585E18,-0.22361755,1.8197632,9.0355835,0.10221863,-0.14089966,0.008544922,-19.731522,25.50373,-37.09793
1.4666236786051415E18,-0.1991272,1.890152,8.971878,0.0039520264,0.03427124,-0.010681152,-19.559288,25.58918,-37.265587
1.466623678625283E18,-0.21159363,1.866272,9.19873,-0.08576965,0.049224854,-0.068359375,-19.989967,25.50373,-37.09812
1.466623678645425E18,-0.26045227,1.7900543,9.485291,-0.08683777,0.015045166,-0.11642456,-20.162392,25.50373,-37.182045
1.4666236786655665E18,-0.40663147,1.7239685,9.640076,-0.05265808,-0.042633057,-0.1538086,-20.593071,25.58937,-37.098312
1.466623678685708E18,-0.54577637,1.6505432,9.701553,0.011428833,-0.07040405,-0.12924194,-20.679092,25.67482,-37.26597
1.4666236787058496E18,-0.34509277,1.6476288,9.560593,0.015701294,-0.05331421,-0.055541992,-20.851326,25.67482,-37.517357
1.4666236787259912E18,-0.05831909,1.7784576,9.543808,-0.02381897,0.09942627,-0.06515503,-20.851326,25.67482,-37.433624
1.4666236787461327E18,-0.23982239,1.6800079,9.65921,-0.036636353,0.16244507,-0.08331299,-21.02356,25.50373,-37.60128
1.4666236787662743E18,-0.5059509,1.5323792,9.866516,0.07978821,0.0043640137,-0.057678223,-21.195793,25.418282,-37.34989
1.466623678786416E18,-0.37319946,1.445755,10.028137,0.2335968,-0.12060547,-0.013885498,-20.937538,25.247192,-37.34989
1.4666236788065577E18,-0.3356018,1.4940643,9.962311,0.3948822,-0.21994019,-0.019226074,-21.195793,24.990654,-37.182236
1.4666236788266993E18,-0.42233276,1.5628204,9.534012,0.4643097,-0.2562561,-0.0074768066,-21.109772,24.905014,-37.098312
1.466623678851876E18,-0.3683014,1.6717224,8.960846,0.35643005,-0.23382568,0.037384033,-21.282005,24.306297,-37.182045
1.4666236788669824E18,-0.30020142,1.7814331,9.0546875,0.24641418,-0.1932373,0.07369995,-21.626472,24.135208,-37.098312
1.466623678887124E18,-0.12986755,1.8772278,9.267532,0.22398376,-0.13235474,0.10253906,-21.54026,23.964119,-36.930656
1.4666236789072655E18,-0.005783081,1.9971008,9.047653,0.170578,-0.09390259,0.10360718,-21.798706,23.964119,-36.930656
1.466623678927407E18,0.075790405,2.049652,9.052231,0.11076355,-0.13235474,0.07904053,-21.97094,23.878479,-37.098312
1.466623678947549E18,0.12805176,2.0606842,9.319687,0.13426208,-0.24130249,0.066223145,-22.315407,23.70739,-37.098312
1.4666236789676905E18,0.17158508,2.0919342,9.494919,0.22505188,-0.28189087,0.055541992,-22.315407,23.70739,-37.182045
1.4666236789928673E18,0.25749207,2.1309204,9.000366,0.1844635,-0.2135315,0.07369995,-22.48764,23.5363,-37.182045
1.4666236790079736E18,0.4188385,2.1855469,8.884064,0.091537476,-0.11526489,0.06729126,-22.746086,23.62175,-37.182045
1.4666236790281152E18,0.28652954,2.207367,8.902817,-0.036636353,0.010772705,0.064086914,-22.573853,23.7072,-37.265778
1.4666236790482568E18,0.38941956,2.113144,9.312027,-0.06333923,0.06417847,0.07476807,-22.832298,23.62175,-37.517166
1.4666236790683983E18,0.5075226,2.1351776,9.505264,0.035995483,0.05456543,0.05126953,-22.659874,23.365211,-37.6009
1.46662367908854E18,0.34780884,2.2029266,9.581055,0.16416931,-0.14624023,0.025634766,-23.004532,23.108673,-37.6009
1.466623679113717E18,0.536911,2.2260742,9.483353,0.27845764,-0.2701416,-0.0032043457,-23.348999,23.023033,-38.019753
1.4666236791338586E18,0.5086365,2.3714447,9.307053,0.29341125,-0.24557495,-0.034179688,-23.607445,22.766304,-38.355064
1.4666236791489649E18,0.34162903,2.3765259,9.133759,0.22612,-0.171875,-0.029907227,-23.693657,22.766304,-38.52272
1.4666236791691064E18,0.24821472,2.3370361,9.080597,0.12571716,-0.056518555,0.016021729,-23.693657,22.595215,-38.52272
1.466623679189248E18,0.30569458,2.3945007,9.342865,0.116104126,-0.009521484,0.041656494,-23.77987,22.338676,-38.606644
1.4666236792093896E18,0.32933044,2.427124,9.392059,0.15028381,-0.043701172,0.05340576,-23.866081,22.167587,-38.7743
1.4666236792295311E18,0.48028564,2.4604492,9.366226,0.20689392,-0.107788086,0.035247803,-23.866081,22.081947,-38.52291
1.4666236792496727E18,0.49726868,2.581604,9.277084,0.2549591,-0.14624023,0.004272461,-23.693848,22.167397,-38.690376
1.4666236792698145E18,0.3778534,2.5934296,9.165024,0.26350403,-0.15371704,0.0021362305,-23.34938,22.167397,-38.271523
1.466623679289956E18,0.45895386,2.6056824,8.85025,0.21437073,-0.09176636,0.0074768066,-23.34938,22.167397,-37.93621
1.4666236793100977E18,0.49102783,2.656479,8.742416,0.10328674,-0.027679443,-0.005340576,-23.435402,22.081947,-37.93621
1.4666236793302392E18,0.42840576,2.6627197,8.906525,0.030654907,0.01184082,0.0032043457,-23.521614,21.65432,-38.019943
1.4666236793503808E18,0.3478241,2.6090698,9.088699,0.0231781,0.026794434,0.033111572,-23.435402,21.39759,-37.93602
1.4666236793705224E18,0.4123993,2.65448,9.089264,0.032791138,0.02999878,0.059814453,-23.435402,21.31195,-37.68463
1.466623679390664E18,0.5662079,2.674179,9.016006,0.032791138,0.07272339,0.045928955,-23.607826,21.39759,-37.768555
1.4666236794108058E18,0.505188,2.7010345,9.02356,0.006088257,0.0524292,0.028839111,-23.78006,21.39759,-37.768555
1.4666236794359826E18,0.50234985,2.6576233,9.134613,0.006088257,0.0043640137,0.004272461,-23.866272,21.055412,-38.103676
1.466623679451089E18,0.4948883,2.645935,9.179199,0.010360718,0.023590088,0.0010681152,-24.038506,20.713234,-38.52272
1.4666236794712305E18,0.4255371,2.6912231,9.195984,0.017837524,0.053497314,0.02029419,-24.038506,20.798683,-38.606453
1.466623679491372E18,0.4414215,2.7148895,9.195984,0.046676636,0.010772705,0.025634766,-24.038506,21.22631,-38.438988
1.4666236795115136E18,0.5305023,2.7303314,9.142471,0.0723114,-0.016998291,0.023498535,-24.124718,21.22631,-38.52291
1.4666236795316552E18,0.4781189,2.80513,8.990997,0.062698364,-0.027679443,0.014953613,-24.038506,21.055222,-38.355255
