time,ax,ay,az,gx,gy,gz,mx,my,mz
1.4666238025716493E18,-1.3162079,3.890564,8.49884,-0.2855072,-0.08215332,0.090789795,-19.300842,11.218262,-39.193726
1.466623802606897E18,-1.1862793,3.7799072,9.018799,-0.58457947,0.6473694,-0.034179688,-19.989777,11.218262,-39.528656
1.4666238026169677E18,-1.3074799,3.9886475,9.215134,-0.2577362,0.21691895,0.06942749,-19.760132,11.6744995,-40.086872
1.4666238026371092E18,-1.2377472,3.676239,9.009094,-0.13917542,-0.21780396,0.17089844,-19.817734,11.902618,-39.863586
1.466623802657251E18,-0.77456665,3.5548096,8.481247,-0.24598694,-0.4239502,0.22537231,-19.714355,11.902466,-39.99756
1.4666238026773926E18,-0.755249,3.6677399,8.798386,-0.2780304,-0.5382385,0.24353027,-20.104727,12.472789,-39.863586
1.4666238026975342E18,-0.66223145,3.280243,8.234665,-0.28123474,-0.58096313,0.25527954,-20.285252,12.782288,-39.863586
1.4666238027176758E18,-0.2895813,3.1342773,7.202179,-0.4745636,0.027862549,0.14846802,-20.334435,12.928963,-39.612198
1.4666238027378173E18,-0.65089417,2.9866333,7.766693,-0.68925476,0.27459717,0.108947754,-20.765114,13.35659,-39.528275
1.466623802757959E18,-0.20262146,2.8159943,9.45163,-0.5877838,0.0032958984,0.054473877,-20.851326,13.869858,-39.36062
1.4666238027781005E18,0.14112854,2.8103485,9.8090515,-0.31755066,-0.45706177,-0.088653564,-21.109772,14.383125,-38.941765
1.466623802798242E18,-0.11402893,3.0109863,9.636505,-0.04197693,-0.5029907,0.004272461,-21.195793,14.981842,-38.690376
1.466623802818384E18,-0.6455231,2.6352081,9.059418,0.006088257,-0.2135315,0.15808105,-21.368027,15.5807495,-38.690376
1.4666238028385254E18,0.46272278,3.1378937,8.786362,-0.088974,-0.25839233,0.059814453,-21.195793,15.751839,-38.77411
1.466623802858667E18,0.3511963,3.0674744,8.494324,-0.24064636,-0.26800537,-0.025634766,-21.281815,15.922928,-38.52272
1.466623802883844E18,0.01222229,2.6526184,9.138504,-0.2641449,-0.18255615,-0.11642456,-21.54026,16.265106,-38.52272
1.4666238028989501E18,-0.23965454,2.4497375,9.112671,-0.2641449,-0.08215332,-0.12390137,-21.281815,16.607285,-38.438988
1.4666238029190917E18,-0.6329193,2.375351,9.306046,-0.2790985,0.012908936,-0.043792725,-21.367836,16.607285,-38.355255
1.4666238029392333E18,-0.6905365,2.2603912,9.50116,-0.18617249,0.06417847,0.03845215,-21.367836,16.692734,-38.438988
1.466623802959375E18,-0.80049133,2.3653107,9.343338,-0.12315369,-0.05117798,0.10253906,-21.626282,16.692734,-38.606453
1.4666238029795167E18,-0.6330719,2.2603912,8.848724,-0.16801453,-0.01272583,0.16448975,-21.798515,16.692734,-38.27133
1.4666238029996582E18,-0.6792755,2.3212585,8.674225,-0.33570862,0.07058716,0.23712158,-21.970749,17.034912,-38.103676
1.466623803024835E18,-0.6845703,2.3310394,9.0469055,-0.43824768,0.04067993,0.32470703,-21.970749,17.37709,-38.27133
1.4666238030399414E18,-0.5265045,2.2919617,9.395645,-0.3976593,-0.06506348,0.32684326,-21.884537,17.804718,-38.355064
1.466623803060083E18,-0.28422546,2.298706,9.886566,-0.19151306,-0.09710693,0.30548096,-22.05677,18.061447,-38.18741
1.4666238030802245E18,-0.2942505,2.2915955,9.58847,-0.074020386,0.018249512,0.3076172,-21.970749,18.489075,-38.18741
1.466623803100366E18,-0.28822327,2.3329163,9.072556,-0.2086029,0.15924072,0.29907227,-21.798515,18.745804,-38.019943
1.466623803120508E18,-0.30397034,2.2711945,9.47406,-0.25453186,0.2276001,0.3086853,-21.626282,19.087982,-38.1876
1.4666238031406495E18,-0.34968567,2.2566528,10.012085,-0.12528992,0.20410156,0.33111572,-21.454048,19.60125,-38.1876
1.4666238031658263E18,-0.28494263,2.2187805,9.421997,-0.029159546,0.21905518,0.370636,-21.195793,19.60125,-38.1876
1.4666238031809326E18,-0.24931335,2.298706,9.042114,-0.08149719,0.22973633,0.38024902,-21.109772,19.943428,-38.019943
1.4666238032010742E18,-0.23703003,2.3049927,8.9340515,-0.17015076,0.21585083,0.36849976,-21.02375,19.943428,-37.93621
1.4666238032212157E18,-0.23854065,2.2681732,9.289688,-0.18937683,0.17419434,0.370636,-20.851517,20.114517,-38.1876
1.4666238032413573E18,-0.20780945,2.2642365,9.402817,-0.1103363,0.12612915,0.3300476,-20.851517,20.456696,-38.103867
1.4666238032614991E18,-0.2983551,2.298706,9.234299,-0.10179138,0.07485962,0.34072876,-20.851517,20.627785,-38.355255
1.4666238032816407E18,-0.24990845,2.356186,9.272202,-0.096450806,0.035339355,0.33218384,-20.593071,20.969963,-38.1876
1.4666238033017823E18,-0.12709045,2.375351,9.3797,-0.090042114,0.07272339,0.30654907,-20.420837,21.141052,-38.1876
1.466623803326959E18,-0.18196106,2.2743073,9.627945,-0.047317505,0.07058716,0.287323,-20.248413,21.65432,-38.1876
1.4666238033420654E18,-0.17565918,2.2172852,9.47139,0.011428833,0.06097412,0.2734375,-20.07618,21.65432,-38.103867
1.466623803362207E18,-0.14505005,2.2603912,9.349243,-0.015274048,0.049224854,0.24887085,-19.903946,21.911049,-38.103867
1.4666238033823485E18,-0.2029419,2.237732,9.272614,-0.08149719,0.051361084,0.19546509,-19.731712,22.082138,-38.103867
1.46662380340249E18,-0.29794312,2.1648712,9.492264,-0.076156616,0.00970459,0.19439697,-19.473267,22.167778,-38.438988
1.466623803422632E18,-0.15119934,2.098999,9.450241,-0.05052185,-9.765625E-4,0.15274048,-19.473267,22.082138,-38.438988
1.4666238034427735E18,-0.2078247,2.107132,9.2534485,-0.09111023,0.023590088,0.1260376,-19.473267,21.911049,-38.355255
1.4666238034679503E18,-0.13494873,2.134964,9.215134,-0.11781311,0.07165527,0.057678223,-19.387054,22.082138,-38.52291
1.4666238034830566E18,-0.17326355,2.1646118,9.124252,-0.14024353,0.1015625,0.005340576,-19.473267,21.996498,-38.690567
1.4666238035031982E18,-0.18585205,2.1029358,9.238495,-0.14665222,0.09729004,-0.04486084,-19.300842,22.253227,-38.858032
1.4666238035233398E18,-0.37142944,2.0753632,9.591751,-0.056930542,-0.056518555,-0.061950684,-19.21463,22.509766,-38.941765
1.4666238035434813E18,-0.33657837,2.1787415,9.933426,0.20155334,-0.1505127,-0.054473877,-19.386864,22.680855,-38.941765
1.466623803563623E18,-0.16119385,2.3491058,9.543961,0.34681702,-0.16973877,-0.07583618,-19.473076,22.595215,-38.690376
1.4666238035837647E18,-0.17837524,2.4819794,9.024231,0.32225037,-0.15478516,-0.13031006,-19.559097,22.766304,-38.85784
1.4666238036039063E18,-0.2811432,2.4973755,8.87738,0.19087219,-0.15371704,-0.16555786,-19.73133,22.766304,-39.44435
1.466623803624048E18,-0.3257904,2.2183228,9.140762,0.0723114,-0.1505127,-0.19332886,-20.248222,22.595215,-39.69555
1.4666238036441894E18,-0.3648529,1.8861389,9.51619,0.0018157959,-0.040496826,-0.16448975,-20.420456,22.424126,-39.44416
1.466623803664331E18,-0.50491333,1.7371674,9.719208,0.011428833,0.10369873,-0.09185791,-20.59288,22.338486,-39.528084
1.4666238036844726E18,-0.5148468,1.7239685,9.593658,0.10542297,0.098358154,-0.023498535,-20.59288,21.910858,-39.69574
1.4666238037046141E18,-0.38865662,1.8725891,9.269333,0.17912292,9.1552734E-5,0.014953613,-20.420647,21.654129,-39.779663
