time,ax,ay,az,gx,gy,gz,mx,my,mz
1.466624060948119E18,-0.17625427,3.9281616,8.724258,-0.9669647,-0.3320923,0.017089844,-8.964539,-27.790833,-51.92871
1.4666240609531543E18,-0.1631012,3.8753815,8.993027,-0.7351837,-0.14944458,-0.072631836,-8.620453,-27.106476,-51.25885
1.466624060973296E18,-0.27619934,3.400528,9.452179,-0.6070099,-0.24557495,-0.07476807,-8.735148,-26.194254,-51.25885
1.4666240609934374E18,-0.24990845,3.1894226,9.090164,-0.552536,-0.2701416,-0.06088257,-8.96492,-25.738144,-51.426315
1.4666240610186145E18,-0.30737305,2.9368286,9.361053,-0.5589447,-0.33636475,-0.06088257,-8.827209,-25.05371,-51.392822
1.4666240610337208E18,-0.34568787,2.8233185,9.461365,-0.44892883,-0.30752563,-0.032043457,-8.850098,-24.48349,-51.482136
1.4666240610538624E18,-0.35317993,2.8584747,8.941864,-0.4329071,-0.15371704,0.012817383,-8.8664465,-23.978315,-51.258633
1.466624061074004E18,-0.43971252,2.8507385,8.098618,-0.5877838,-0.09176636,0.054473877,-8.96492,-23.513985,-51.091003
1.4666240610941455E18,-0.2759552,2.6592712,7.900116,-0.830246,-0.144104,0.06729126,-9.137154,-22.402,-51.091003
1.466624061114287E18,-0.16719055,2.5103302,8.497528,-0.93278503,-0.30218506,0.054473877,-9.309387,-21.290016,-51.3422
1.4666240611344287E18,0.099594116,2.317871,8.97403,-0.8889923,-0.47842407,-0.028839111,-9.567833,-20.43457,-51.509666
1.4666240611545702E18,0.36480713,2.1925201,8.839096,-0.86335754,-0.55426025,-0.18157959,-9.826279,-19.408035,-51.509666
1.4666240611747118E18,0.275589,1.9758453,8.842911,-0.93385315,-0.48269653,-0.3086853,-10.342979,-18.46714,-51.67713
1.4666240611948536E18,-0.2963562,1.8061066,9.49678,-0.89967346,-0.42822266,-0.2734375,-10.515213,-17.440605,-52.012253
1.4666240612200305E18,-0.17991638,1.8005981,10.260254,-0.56214905,-0.43463135,-0.035247803,-10.945892,-16.49971,-52.51503
1.4666240612351368E18,0.2902527,1.882309,9.968765,-0.4190216,-0.29577637,0.09399414,-11.204338,-15.558624,-53.185463
1.4666240612552783E18,0.9395294,2.1175232,9.753204,-0.404068,0.001159668,0.16662598,-11.462784,-14.703178,-53.43685
1.46662406127542E18,1.1605377,2.1956482,9.962311,-0.33570862,0.23614502,0.11856079,-11.72123,-13.933182,-53.855896
1.4666240612955615E18,0.96095276,2.21698,9.952148,-0.24598694,0.291687,-0.0010681152,-11.979675,-12.992096,-54.107285
1.466624061315703E18,0.75190735,2.1153717,9.970566,-0.1455841,0.2350769,-0.054473877,-11.893463,-12.564278,-54.358673
1.4666240613358449E18,0.5355835,2.0610352,9.908997,-0.02809143,0.11331177,-0.0769043,-11.72123,-12.05101,-54.693985
1.4666240613610217E18,0.5825653,1.9390411,9.789886,0.040267944,0.08126831,-0.054473877,-11.635208,-11.879921,-54.52652
1.466624061376128E18,0.8082886,1.8963928,9.769226,0.066970825,0.17953491,-0.08544922,-11.376762,-11.794281,-54.52652
1.4666240613962696E18,0.7301483,1.8731842,9.590225,0.06803894,0.2778015,-0.13031006,-11.118317,-11.623192,-54.358864
1.4666240614164111E18,0.48968506,1.8255463,9.534149,0.09474182,0.22332764,-0.14633179,-10.687637,-11.708641,-54.27513
1.4666240614365527E18,0.35528564,1.6811981,9.242172,0.10542297,0.08981323,-0.13778687,-10.429192,-11.708641,-54.1914
1.4666240614566943E18,0.3031006,1.6556091,9.215134,0.08085632,0.005432129,-0.10574341,-9.998512,-12.050819,-54.275322
1.4666240614768358E18,0.21765137,1.6473389,9.230652,0.06590271,-0.034088135,-0.066223145,-9.740067,-11.96537,-54.52671
1.466624061502013E18,0.20950317,1.6664886,9.310928,0.058425903,-0.05758667,-0.028839111,-9.826279,-12.392998,-54.1914
1.4666240615171192E18,0.28652954,1.7053833,9.235489,0.04560852,-0.016998291,-0.010681152,-9.9123,-12.564087,-54.52652
1.4666240615372608E18,0.30256653,1.7301941,9.320297,0.024246216,0.018249512,0.0010681152,-9.998512,-12.906265,-54.52652
1.4666240615574024E18,0.35559082,1.7506866,9.431671,0.060562134,0.012908936,0.018157959,-9.9123,-13.077354,-54.52652
1.466624061577544E18,0.41822815,1.7490997,9.272614,0.042404175,-0.011657715,-0.004272461,-10.084534,-12.906265,-54.442596
1.4666240615976855E18,0.45895386,1.7239685,9.367584,0.046676636,0.016113281,-0.043792725,-10.084534,-13.077354,-54.358673
1.466624061617827E18,0.28652954,1.6933289,9.322403,0.022109985,0.039611816,-0.041656494,-10.170555,-12.991905,-54.191017
1.4666240616379686E18,0.28330994,1.6632843,9.338074,0.009292603,0.016113281,-0.045928955,-10.429001,-13.077354,-54.107285
1.4666240616631457E18,0.075790405,1.6906891,9.384598,-0.012069702,-0.014862061,-0.010681152,-10.429001,-13.077354,-54.191208
1.466624061678252E18,0.15242004,1.642868,9.619705,0.042404175,-0.07254028,0.016021729,-10.429001,-12.906265,-53.856087
1.4666240616983936E18,0.22425842,1.7335358,9.5168915,0.07978821,-0.105651855,0.033111572,-10.342789,-12.735176,-53.772354
1.4666240617185352E18,0.3959961,1.793747,9.632523,0.091537476,-0.076812744,0.02670288,-10.256767,-12.735176,-53.6047
1.4666240617386767E18,0.524765,1.8488922,9.659134,0.16096497,-0.03729248,-0.019226074,-10.084534,-12.991905,-53.856087
1.4666240617588183E18,0.30340576,1.8557892,9.404449,0.15242004,-0.021270752,-0.0074768066,-10.256767,-12.991905,-53.68862
1.46662406177896E18,0.22904968,1.8532562,9.219955,0.14601135,-0.047973633,0.034179688,-10.170746,-13.077354,-53.772354
1.466624061804137E18,0.3520813,1.9649353,9.111267,0.09687805,-0.06399536,0.039520264,-10.256958,-13.077354,-53.520966
1.4666240618192433E18,0.4050598,1.9167328,9.045105,0.048812866,-0.036224365,0.021362305,-9.998512,-12.991905,-53.6047
1.4666240618393848E18,0.40533447,1.900238,9.349243,0.057357788,-0.0020446777,0.009613037,-10.170937,-13.419533,-53.6047
1.4666240618595264E18,0.24177551,1.864502,9.291779,0.062698364,-0.0063171387,0.014953613,-9.998703,-13.505173,-53.6047
1.466624061879668E18,0.20423889,1.858078,9.234299,0.06590271,0.013977051,0.041656494,-10.34317,-13.676262,-53.68862
1.4666240618998095E18,0.24821472,1.8409729,9.187439,0.044540405,-0.014862061,0.056610107,-10.601616,-13.761711,-53.521156
1.466624061919951E18,0.44319153,1.8501892,9.207275,0.050949097,-0.023406982,0.05126953,-10.515404,-13.676262,-53.68862
1.4666240619400927E18,0.5738983,1.9272461,9.207687,0.038131714,-0.011657715,0.010681152,-10.601425,-13.847351,-53.437233
1.4666240619602345E18,0.53497314,1.9535522,9.195389,0.03492737,-0.018066406,-0.034179688,-10.601425,-14.10408,-53.437233
1.466624061980376E18,0.36018372,1.950882,9.147415,0.006088257,-0.0052490234,-0.04058838,-10.687447,-14.275169,-53.520966
1.4666240620005176E18,0.42063904,1.9427795,9.234299,0.007156372,-0.03942871,-0.039520264,-10.429001,-14.275169,-53.68843
1.4666240620206592E18,0.44389343,1.9080048,9.241837,-3.2043457E-4,-0.03729248,-0.037384033,-10.687447,-14.189529,-53.855896
1.4666240620408008E18,0.36315918,1.9347076,9.310928,-0.0013885498,-0.052246094,-0.034179688,-10.687447,-14.446259,-54.02336
1.4666240620609423E18,0.3440094,1.9347076,9.299591,0.0028839111,-0.045837402,-0.021362305,-10.773659,-14.360809,-54.02336
1.466624062081084E18,0.4094391,1.9650421,9.360443,0.026382446,-0.05758667,-0.004272461,-10.859871,-14.617348,-53.855896
1.466624062106261E18,0.4781189,2.0352783,9.411514,0.022109985,-0.0063171387,-0.012817383,-10.946083,-14.446259,-53.93982
1.4666240621213673E18,0.47421265,1.9730225,9.477524,0.048812866,0.021453857,-0.019226074,-11.0321045,-14.446259,-53.772163
1.4666240621415089E18,0.37771606,1.9492493,9.306335,0.066970825,-0.031951904,0.0032043457,-10.946083,-14.446259,-53.520775
1.4666240621616504E18,0.39489746,1.9286652,9.234848,0.028518677,-0.07254028,0.02243042,-11.0321045,-14.275169,-53.185654
1.466624062181792E18,0.4638672,1.9779358,9.407242,0.024246216,-0.07040405,0.037384033,-11.118317,-14.275169,-53.185654
1.4666240622019336E18,0.5738983,2.0113373,9.483353,0.032791138,-0.026611328,0.021362305,-11.118317,-14.10408,-52.7668
1.4666240622220751E18,0.55781555,2.0305023,9.513641,0.057357788,-0.034088135,0.012817383,-11.0321045,-14.360619,-52.850533
1.4666240622422167E18,0.60035706,2.0040283,9.4095,0.09260559,-0.07254028,-0.0064086914,-11.0321045,-14.275169,-52.76661
1.4666240622623585E18,0.5526428,2.0485992,9.311981,0.091537476,-0.07147217,-0.019226074,-11.0321045,-14.360809,-52.76661
1.4666240622825E18,0.4936676,2.0580292,9.330093,0.091537476,-0.06933594,-0.016021729,-10.859871,-14.446259,-53.017998
1.4666240623026417E18,0.46098328,2.0419006,9.24205,0.0723114,-0.03729248,-0.013885498,-11.118317,-14.360619,-53.269386
1.4666240623227832E18,0.4315796,2.0140686,9.250732,0.055221558,0.013977051,-0.0064086914,-11.204529,-14.360619,-53.520775
1.4666240623429248E18,0.44171143,2.0515747,9.338715,0.055221558,-0.003112793,0.0,-11.204529,-14.531708,-53.269386
1.4666240623630664E18,0.54597473,2.0792084,9.318054,0.093673706,0.006500244,-0.017089844,-11.204529,-14.617157,-53.269386
1.466624062383208E18,0.5123749,2.0688171,9.103714,0.06163025,-0.0105896,-0.035247803,-11.376762,-14.446068,-52.934265
1.4666240624033495E18,0.47766113,2.0113373,9.081329,0.01890564,-0.021270752,-0.050201416,-11.548996,-14.702606,-53.10192
1.4666240624234913E18,0.42063904,2.0469513,9.31633,-0.002456665,0.020385742,-0.016021729,-11.635208,-14.788055,-53.185654
1.466624062443633E18,0.3355255,2.049652,9.349243,0.01890564,0.019317627,-0.0032043457,-11.807442,-14.788055,-53.10192
1.4666240624637745E18,0.45159912,1.9685364,9.322754,0.052017212,-0.004180908,0.011749268,-11.979675,-15.044785,-52.934456
1.466624062483916E18,0.46949768,2.077423,9.183517,0.060562134,-0.025543213,0.004272461,-12.065887,-15.215874,-52.934456
1.466624062509093E18,0.43978882,2.1257477,9.082077,0.040267944,-0.031951904,0.0074768066,-11.979675,-15.301514,-53.3535
1.4666240625241992E18,0.5199127,2.110611,9.1228485,0.012496948,-0.008453369,0.012817383,-12.065887,-15.472603,-53.94001
1.4666240625493763E18,0.50190735,2.1454468,9.291779,0.009292603,-0.019134521,-0.010681152,-12.1521,-15.729332,-54.358864
1.4666240625644826E18,0.4781189,2.1262817,9.364548,0.027450562,-0.020202637,-0.009613037,-12.1521,-15.814972,-54.52652
1.466624062584624E18,0.40592957,2.107132,9.259262,0.03492737,-0.047973633,-0.009613037,-11.893654,-15.900612,-54.358864
1.4666240626047657E18,0.42063904,2.107132,9.227875,0.038131714,-0.034088135,-0.0021362305,-11.893654,-15.815163,-54.52633
1.4666240626249073E18,0.5108795,2.1508484,9.18779,0.014633179,-0.011657715,-0.0021362305,-11.548996,-15.986252,-54.27494
