time,ax,ay,az,gx,gy,gz,mx,my,mz
1.466623262907645E18,-0.99871826,2.5094604,8.810287,-1.0598907,0.7819519,-0.4560852,-3.452301,-21.631622,-54.610443
1.466623262922751E18,-1.2844543,2.6270752,9.120682,-0.62409973,0.09729004,-0.09613037,-3.2226563,-20.947266,-55.28056
1.4666232629428925E18,-1.1266022,2.8711548,9.074158,-0.6860504,-0.103515625,-0.06515503,-3.1078339,-20.947266,-55.615616
1.466623262963034E18,-0.9678192,2.8516235,8.491882,-0.8548126,-0.05758667,0.14633179,-3.17688,-20.126038,-55.548706
1.466623262983176E18,-0.38659668,2.0548096,7.9341125,-1.154953,-0.03942871,0.13458252,-3.2229106,-19.578552,-55.839283
1.4666232630033175E18,-0.068725586,1.6536255,7.876251,-1.3899384,0.051361084,0.09399414,-3.0587332,-18.79643,-56.04684
1.466623263023459E18,-0.034698486,1.410614,8.35643,-1.4070282,0.12719727,-0.07583618,-3.194046,-17.86766,-56.453705
1.4666232630436006E18,-0.22976685,0.84465027,8.091522,-1.5052948,0.082336426,-0.20614624,-3.0218124,-16.413498,-57.123947
1.4666232630637422E18,-0.70910645,1.5171204,9.544739,-1.4305267,-0.0736084,0.04272461,-3.194046,-14.788246,-57.5428
1.4666232630838838E18,0.0053710938,1.5674286,11.242218,-1.0470734,0.16778564,0.40481567,-3.2802582,-13.248444,-57.961845
1.4666232631040253E18,0.8121033,0.9248047,12.1188965,-0.43611145,-0.0020446777,0.26382446,-3.2802582,-11.366463,-58.38089
1.466623263124167E18,0.70521545,1.2066956,10.877609,-0.017410278,-0.3182068,-0.08331299,-3.2802582,-10.083389,-58.883476
1.4666232631443087E18,-0.15686035,1.1672668,11.517975,0.39060974,-0.8106079,-0.34606934,-3.4524918,-8.885765,-59.05094
1.4666232631644503E18,-0.6016083,0.28125,11.901749,0.9470978,-1.0573425,-0.5255127,-3.883171,-8.287048,-59.386063
1.466623263184592E18,-1.0767212,-0.34005737,11.455734,1.3679352,-0.95373535,-0.57037354,-4.0554047,-8.03051,-59.469986
1.466623263209769E18,-1.0354004,-0.17271423,9.91922,1.542038,-0.5585327,-0.35888672,-4.5721054,-8.287048,-59.30252
1.466623263224875E18,-1.0814514,0.26228333,9.04451,1.3732758,-0.34170532,-0.259552,-5.0027847,-9.056854,-59.051132
1.4666232632450166E18,-1.2519379,0.935791,8.492935,0.9481659,0.0032958984,-0.22216797,-5.6056976,-9.826851,-58.71601
1.4666232632651581E18,-0.8815918,1.3791199,8.378754,0.5006256,0.1506958,-0.28625488,-6.2086105,-11.110115,-58.38089
