time,ax,ay,az,gx,gy,gz,mx,my,mz
1.466623964933093E18,-1.232666,3.5248413,8.657471,-0.094314575,0.9165344,0.6387329,-8.964539,-21.974182,-47.236633
1.4666239649582702E18,-1.3679352,3.5743713,9.607346,-0.12956238,0.010772705,-0.052337646,-8.735148,-21.86025,-47.013348
1.4666239649784118E18,-0.9095459,3.7081604,8.9543,0.012496948,-0.1793518,0.2456665,-8.448029,-21.803284,-47.40448
1.4666239649985533E18,-0.6857147,2.9644012,8.803345,0.07444763,-0.24343872,0.21469116,-8.275757,-21.769104,-47.63916
1.4666239650237304E18,-0.14015198,2.910141,8.679001,0.15989685,-0.29470825,0.15167236,-8.505504,-21.746317,-47.57207
1.4666239650388365E18,0.0015258789,2.7298431,8.211777,-0.03236389,-0.06399536,0.13244629,-8.669608,-21.632168,-47.42846
1.466623965058978E18,0.023208618,2.5384064,8.401596,-0.28871155,0.039611816,0.064086914,-8.620453,-21.375465,-47.488213
1.4666239650791196E18,0.2098999,2.349289,8.678711,-0.35707092,0.16671753,-0.12176514,-8.534431,-21.118927,-47.40429
1.4666239650992614E18,0.43014526,3.3159943,9.021652,-0.28871155,0.36645508,-0.25527954,-8.362198,-20.862198,-47.320557
1.466623965119403E18,-0.67359924,2.9223938,9.011841,-0.17228699,0.5715332,-0.1121521,-8.448219,-20.691109,-47.655678
1.4666239651395446E18,-0.61390686,2.7804108,8.717804,-0.24812317,0.35256958,-0.15274048,-8.362007,-20.43438,-47.571754
1.4666239651596861E18,-0.6294403,3.0422516,8.674576,-0.3058014,-0.15692139,-0.2883911,-8.362007,-20.092201,-47.571754
1.4666239651798277E18,-0.34272766,2.6597443,8.637436,-0.34318542,-0.5788269,-0.3791809,-8.103561,-20.006561,-47.571754
1.4666239651999693E18,-0.28822327,2.5628815,8.939896,-0.36775208,-0.8244934,-0.4550171,-7.931328,-19.835472,-47.73922
1.4666239652201108E18,-0.41653442,2.3428192,9.261032,-0.292984,-0.8319702,-0.4774475,-8.189583,-19.664383,-47.823143
1.4666239652402524E18,-0.64678955,2.107483,9.262848,-0.31114197,-0.65252686,-0.41229248,-8.447838,-19.407654,-47.907066
1.4666239652603942E18,-0.8831482,1.8953705,9.491425,-0.33677673,-0.3887024,-0.25741577,-8.706284,-19.407654,-47.9908
1.4666239652805358E18,-0.8585663,1.8856964,9.700714,-0.29405212,-0.22955322,-0.12817383,-9.050941,-18.979836,-47.73941
1.4666239653006774E18,-0.71746826,2.0113373,9.801743,-0.16694641,-0.14517212,-0.04058838,-9.395599,-18.637657,-47.9908
1.466623965320819E18,-0.7103119,2.165207,9.599503,-0.087905884,-0.20178223,-0.009613037,-9.740067,-18.209839,-47.9908
1.4666239653409605E18,-0.677475,2.1389008,9.745041,0.008224487,-0.28295898,0.037384033,-10.084534,-17.611122,-48.158455
1.466623965361102E18,-0.47561646,2.1512756,9.52916,0.058425903,-0.26159668,0.08331299,-10.515213,-17.268944,-48.32611
1.4666239653812436E18,-0.27677917,2.3218536,9.314667,0.07444763,-0.22314453,0.07904053,-10.515213,-17.440033,-48.409843
1.4666239654013855E18,-0.07748413,2.3673248,8.935791,-0.0259552,-0.17614746,0.061950684,-10.773659,-17.183495,-48.661232
1.466623965421527E18,-0.28961182,2.238449,9.05719,-0.10820007,-0.19430542,0.06942749,-11.0321045,-16.841316,-48.745155
1.4666239654416686E18,-0.16342163,2.090149,9.325165,-0.027023315,-0.18469238,0.09613037,-11.0321045,-16.755867,-48.91281
1.4666239654668454E18,-0.16459656,2.1976776,8.941681,-0.08683777,-0.06185913,0.08972168,-11.548805,-16.670418,-48.661423
1.4666239654819517E18,-0.22816467,2.1454468,8.897736,-0.15412903,0.043884277,0.111083984,-12.23793,-16.927147,-48.5775
1.4666239655020933E18,-0.25897217,2.087967,8.96608,-0.1797638,0.087677,0.14312744,-12.410355,-17.098236,-48.828888
1.466623965522235E18,-0.24263,2.087967,8.804596,-0.19792175,-0.06506348,0.13565063,-12.582588,-17.098236,-48.828888
1.4666239655423764E18,-0.03916931,2.0356293,9.175934,-0.17442322,-0.14089966,0.09399414,-12.7550125,-16.756058,-48.828888
1.4666239655625183E18,-0.05831909,1.9320221,9.562668,-0.092178345,-0.13449097,0.09399414,-12.927246,-16.670418,-48.828888
1.4666239655826598E18,0.018310547,1.8351746,9.556259,-0.067611694,-0.13342285,0.13244629,-13.271713,-16.41388,-48.91262
1.4666239656078367E18,0.11843872,1.838913,9.436371,-0.116744995,-0.07147217,0.18371582,-13.61618,-16.41388,-49.080086
1.466623965622943E18,0.19372559,1.8212585,9.288788,-0.19151306,0.018249512,0.19546509,-13.61618,-16.15715,-49.415398
1.4666239656430845E18,0.29310608,1.9197235,9.149292,-0.3346405,0.13360596,0.16769409,-13.357735,-15.729332,-49.75071
1.466623965663226E18,0.26167297,1.89534,9.298523,-0.376297,0.11651611,0.11428833,-13.61599,-15.472603,-49.583054
1.4666239656833677E18,0.2913208,1.8111267,9.457489,-0.26307678,0.022521973,0.07156372,-13.702011,-15.216064,-49.666786
1.4666239657035092E18,0.20874023,1.752121,9.321091,-0.24171448,-0.08428955,0.034179688,-13.960266,-14.788437,-49.834442
1.466623965723651E18,0.2074585,1.6448975,9.379196,-0.2224884,-0.12487793,0.005340576,-13.874245,-14.5318985,-50.08583
1.4666239657437926E18,0.09132385,1.562912,9.33371,-0.24385071,-0.08428955,0.034179688,-14.046478,-14.275169,-50.42095
1.4666239657639342E18,0.07519531,1.6095886,9.618652,-0.2363739,0.0022277832,0.08331299,-13.788033,-13.932991,-50.33722
1.4666239657840758E18,0.3276825,1.589859,9.719543,-0.14878845,0.05029297,0.119628906,-13.702011,-13.676453,-50.169563
1.4666239658042173E18,0.36894226,1.6990051,9.613464,-0.08149719,0.075927734,0.115356445,-13.788223,-13.334274,-49.918175
1.466623965824359E18,0.3746338,1.7507935,9.368408,-0.12315369,0.016113281,0.0843811,-13.702202,-12.821007,-50.001907
1.4666239658445005E18,0.30569458,1.8479462,9.474335,-0.1103363,-0.0052490234,0.08224487,-13.529968,-12.478828,-50.169563
1.4666239658646423E18,0.4121704,1.8665314,9.551529,-0.08576965,0.006500244,0.05340576,-13.529968,-12.222099,-50.169563
1.466623965884784E18,0.37768555,1.884491,9.617462,-0.051589966,-0.003112793,0.019226074,-13.61599,-11.96537,-50.169563
