time,ax,ay,az,gx,gy,gz,mx,my,mz
1.466624277596229E18,7.566681,-0.13438416,-6.29364,-0.015274048,-0.011657715,0.009613037,-873.03766,576.3176,-32.743927
1.466624277616371E18,7.566681,-0.14642334,-6.30307,-0.017410278,-0.023406982,0.014953613,-873.03766,576.57416,-32.743927
1.4666242776365125E18,7.547516,-0.13438416,-6.2456055,-0.02809143,-0.007385254,0.019226074,-873.1239,576.31744,-32.743927
1.466624277656654E18,7.6029816,-0.15153503,-6.2541656,-0.017410278,-0.014862061,0.027770996,-873.0377,576.4029,-32.49273
1.4666242776767956E18,7.624161,-0.20925903,-6.265335,-0.020614624,-0.020202637,0.035247803,-873.20996,576.31726,-32.660194
1.4666242776969372E18,7.640167,-0.10580444,-6.242447,-0.035568237,-0.018066406,0.039520264,-873.20996,576.06055,-32.57627
1.4666242777170788E18,7.6049957,0.022888184,-6.2112885,-0.02809143,-0.0052490234,0.035247803,-873.20996,576.06055,-32.82766
1.4666242777372204E18,7.594284,0.029571533,-6.2433624,-0.02381897,-0.0052490234,0.02456665,-873.20996,576.06055,-32.82766
1.4666242777573622E18,7.5888214,-0.011367798,-6.267746,-0.0035247803,-0.014862061,0.027770996,-873.0377,575.80383,-32.82766
1.4666242777775037E18,7.560196,-0.096069336,-6.31575,-0.011001587,-0.018066406,0.025634766,-872.9517,575.5473,-32.57627
1.4666242777976453E18,7.596451,-0.11808777,-6.281067,-0.013137817,-0.009521484,0.023498535,-873.21014,575.5473,-32.660004
1.4666242778228221E18,7.6101837,-0.10127258,-6.2456055,-0.015274048,-0.016998291,0.039520264,-873.2964,575.3762,-32.82747
1.4666242778379284E18,7.624161,-0.036239624,-6.250351,-0.006729126,-0.01272583,0.032043457,-873.2964,575.3762,-32.82747
1.46662427785807E18,7.619217,-0.019439697,-6.2987366,-0.012069702,-0.026611328,0.029907227,-873.3824,575.2908,-32.82747
1.4666242778782116E18,7.6089935,0.014862061,-6.322235,-0.016342163,-0.018066406,0.02670288,-873.29614,575.3764,-32.659813
1.4666242778983532E18,7.594803,0.017684937,-6.3898773,-0.012069702,-0.03942871,0.032043457,-873.21014,575.2053,-32.57608
1.466624277918495E18,7.624161,-0.019439697,-6.4207764,-0.006729126,-0.06826782,0.028839111,-873.29614,575.5475,-32.743546
1.4666242779386365E18,7.6970367,0.011383057,-6.483429,-0.002456665,-0.09069824,0.027770996,-873.1239,575.804,-32.82728
1.466624277958778E18,7.8281097,0.07972717,-6.5487366,-3.2043457E-4,-0.11740112,0.029907227,-873.0377,575.804,-32.57589
1.4666242779789197E18,7.907074,0.091049194,-6.6773376,0.0050201416,-0.1366272,0.018157959,-872.8655,575.88965,-32.659622
1.4666242779990612E18,7.77742,0.014831543,-6.647934,7.4768066E-4,-0.15585327,0.008544922,-872.521,575.88965,-32.659622
1.4666242780192028E18,7.636627,-0.051086426,-6.653717,-0.0056610107,-0.16546631,0.005340576,-872.26276,576.2318,-32.659622
1.4666242780393444E18,7.5568695,-0.06712341,-6.5815277,-0.030227661,-0.17828369,0.0064086914,-872.349,576.31726,-32.659622
1.466624278059486E18,7.528366,-0.0075683594,-6.470886,-0.031295776,-0.18896484,0.008544922,-872.17676,576.48834,-32.57589
1.4666242780796278E18,7.5218353,0.082458496,-6.431061,-0.0398407,-0.20605469,0.009613037,-872.17676,576.4029,-32.57589
1.4666242780997693E18,7.528366,0.1146698,-6.382904,-0.03236389,-0.20925903,0.0074768066,-872.52124,576.4029,-32.32469
1.466624278119911E18,7.566086,0.076934814,-6.3994446,-0.030227661,-0.22314453,0.008544922,-872.2628,576.4885,-32.57608
1.4666242781400525E18,7.5635223,0.09550476,-6.449753,-0.019546509,-0.2348938,-0.0010681152,-872.17664,576.574,-32.57608
1.466624278160194E18,7.4918213,0.20288086,-6.4371796,-0.006729126,-0.2487793,-0.004272461,-872.09045,576.91614,-32.24096
1.4666242781803356E18,7.3942566,0.25476074,-6.5138245,0.03492737,-0.27334595,-0.009613037,-872.09045,576.8305,-32.24096
1.4666242782004772E18,7.2683105,0.28709412,-6.5276184,0.0861969,-0.30752563,-0.033111572,-871.83203,576.74506,-32.073494
1.466624278220619E18,7.0371857,0.20393372,-6.634445,0.16523743,-0.3534546,-0.06942749,-871.83203,576.91614,-31.989761
1.4666242782407606E18,6.738556,0.079315186,-6.631729,0.20475769,-0.37374878,-0.08972168,-871.6598,577.2583,-31.738373
1.4666242782558666E18,6.8053436,-0.171875,-6.6741486,0.2335968,-0.4175415,-0.07797241,-871.2291,577.4294,-31.98957
1.4666242782810437E18,7.602722,-0.44726563,-6.4904327,0.18553162,-0.45812988,-0.041656494,-870.9707,577.60046,-31.822105
1.4666242783011853E18,8.131836,-0.728302,-6.36055,0.11717224,-0.46133423,-0.018157959,-870.8847,577.6861,-31.486984
1.4666242783213268E18,8.004196,-0.7548828,-6.062622,0.02104187,-0.3673401,0.0021362305,-870.79846,577.8572,-31.403252
1.4666242783414684E18,7.8640747,-0.7565918,-5.794037,-0.08683777,-0.28936768,0.02456665,-870.7123,578.3706,-31.06813
1.46662427836161E18,7.8797455,-0.588562,-5.504959,-0.11994934,-0.29364014,0.023498535,-870.8845,578.71277,-30.48162
1.4666242783817518E18,7.975876,-0.25323486,-5.6621704,-0.09538269,-0.26052856,0.0021362305,-871.14276,579.14056,-29.811188
1.4666242784018934E18,8.064789,0.2718048,-5.7743073,-0.069747925,-0.24130249,-0.035247803,-871.65967,579.99603,-29.057213
1.466624278422035E18,7.929352,0.63327026,-5.843277,-0.035568237,-0.21673584,-0.0769043,-872.1766,581.2793,-27.884193
1.4666242784421765E18,7.497528,0.9692993,-5.7013702,0.04560852,-0.21246338,-0.111083984,-872.6935,582.56256,-27.046295
