time,ax,ay,az,gx,gy,gz,mx,my,mz
1.466623431261219E18,-6.3664093,6.8200684,1.9200134,-0.04624939,-0.036224365,0.19226074,6.3669205,-39.34059,8.315277
1.4666234312863962E18,-6.392502,6.858383,1.8044891,-0.06440735,-0.016998291,0.19760132,5.936241,-39.51168,8.3992
1.4666234313065377E18,-6.3629,6.9909973,1.8421783,-0.069747925,-0.008453369,0.20187378,5.7640076,-39.68277,8.3992
1.4666234313266793E18,-6.3339386,6.9691772,1.8858337,-0.0750885,0.00970459,0.21148682,5.7640076,-39.85386,8.231735
1.4666234313468209E18,-6.2464447,6.921646,1.9167328,-0.07936096,0.015045166,0.20401001,5.6777954,-39.93931,8.064079
1.4666234313669624E18,-6.2186127,6.6958313,1.8478851,-0.10713196,0.043884277,0.21148682,5.6777954,-40.110397,8.231735
1.466623431387104E18,-6.1552734,6.5710144,1.9587555,-0.12208557,0.041748047,0.22323608,5.4193497,-40.195847,8.315468
1.4666234314072456E18,-6.1822968,6.6026306,2.0690918,-0.121017456,0.05670166,0.23498535,5.2469254,-40.281296,8.3992
1.4666234314273874E18,-6.469925,6.714615,2.199997,-0.12956238,0.049224854,0.27023315,4.9022675,-40.195847,8.3992
1.466623431447529E18,-6.8223877,6.937378,2.4127655,-0.13917542,0.051361084,0.33966064,4.6440125,-40.195847,8.315277
1.4666234314676705E18,-6.849716,7.244812,2.48732,-0.14772034,0.0385437,0.36956787,4.6440125,-40.110207,8.147621
1.466623431487812E18,-6.510483,7.3373413,2.348999,-0.15092468,0.06951904,0.4058838,4.3855667,-40.024757,7.8962326
1.4666234315079537E18,-6.2598267,7.2523804,2.241516,-0.14131165,0.13253784,0.42938232,4.127121,-40.110397,7.7287674
1.4666234315280952E18,-6.1424255,7.000717,2.1922913,-0.15092468,0.19662476,0.44433594,3.9548874,-40.281487,7.3936462
1.4666234315482368E18,-6.2136536,6.8200684,2.279831,-0.19044495,0.24041748,0.44433594,3.6104202,-40.281487,7.3936462
1.466623431573414E18,-6.5529785,6.7343597,2.550583,-0.19792175,0.20516968,0.4197693,3.265953,-40.281487,7.058525
1.4666234315885202E18,-6.503891,6.975708,2.6083374,-0.18190002,0.17526245,0.4208374,3.007698,-40.538025,7.058525
1.4666234316086618E18,-6.3672028,7.403717,2.5863647,-0.1519928,0.13467407,0.43792725,2.8354645,-40.623474,6.89106
1.4666234316288033E18,-6.064453,7.6773987,2.567215,-0.088974,0.12612915,0.463562,2.2325516,-40.880203,6.89106
1.466623431648945E18,-5.8292694,7.8162994,2.4108276,-0.0398407,0.14855957,0.45394897,1.9741058,-40.794563,7.226181
1.4666234316690865E18,-5.778427,7.7779846,2.3674011,0.0028839111,0.20303345,0.46035767,1.5434265,-40.623474,7.3936462
1.466623431689228E18,-5.970886,7.53183,2.406601,0.0050201416,0.2350769,0.46569824,1.1127472,-40.538025,7.3936462
1.4666234317093696E18,-5.966873,7.211014,2.4444733,-0.002456665,0.2553711,0.44754028,0.85430145,-40.794754,7.058525
1.4666234317295114E18,-5.835205,7.0499725,2.4297028,-0.034500122,0.26712036,0.41656494,0.3376007,-40.880394,7.1422577
1.466623431749653E18,-5.690857,7.0882874,2.2976685,-0.03236389,0.23828125,0.34072876,-0.00705719,-40.966034,7.3099136
1.4666234317697946E18,-5.7253265,7.107437,2.241516,-0.031295776,0.18807983,0.29159546,-0.52394867,-40.880585,7.3936462
1.466623431789936E18,-5.601166,7.2354584,2.1387634,-0.015274048,0.16137695,0.27664185,-0.69618225,-40.709496,7.058525
1.4666234318100777E18,-5.472107,7.2990265,2.0398407,-0.018478394,0.1720581,0.26275635,-1.2990952,-40.880585,6.89106
1.4666234318302193E18,-5.434387,7.2884827,2.0690918,-0.02809143,0.17419434,0.231781,-1.6435623,-40.966034,6.5559387
1.4666234318503608E18,-5.505142,7.4898224,2.1648865,-0.022750854,0.17419434,0.1826477,-1.9018173,-41.051483,6.6396713
1.4666234318705024E18,-5.5255585,7.9541626,2.2869568,-0.022750854,0.19128418,0.10681152,-1.9018173,-40.880394,6.8073273
1.4666234318906442E18,-5.5006104,8.6427765,2.3555908,0.008224487,0.23187256,-0.045928955,-1.9880295,-41.136932,6.5559387
1.4666234319107858E18,-6.1463623,8.790405,2.1516724,0.0018157959,0.26498413,-0.18478394,-2.2464752,-41.22238,6.136894
1.4666234319309274E18,-6.5751343,8.973877,2.2440796,0.040267944,0.2564392,-0.31082153,-2.0742416,-41.56456,5.969429
1.466623431951069E18,-6.864868,8.927475,2.0829163,0.113967896,0.25003052,-0.42617798,-2.1604538,-41.47892,6.137085
1.4666234319712105E18,-6.82959,8.829285,2.0990295,0.19941711,0.2553711,-0.49560547,-1.9882202,-41.73565,6.137085
1.466623431991352E18,-6.6621094,8.735901,2.2481842,0.28807068,0.24575806,-0.5479431,-1.5575409,-41.73565,6.3884735
1.4666234320114936E18,-6.6908417,9.100204,2.61557,0.39595032,0.24468994,-0.5255127,-1.2992859,-41.82129,6.304741
1.4666234320316355E18,-7.185211,9.693802,2.3309326,0.49101257,0.23721313,-0.44540405,-1.2132645,-42.077827,6.3884735
1.466623432051777E18,-6.924469,9.553864,1.6875916,0.5294647,0.12185669,-0.49667358,-0.78258514,-41.73565,6.7235947
1.4666234320719186E18,-5.942154,9.71756,0.967865,0.48033142,0.09088135,-0.43151855,-0.35190582,-41.6502,6.974983
1.4666234320920602E18,-4.881424,9.535751,0.80226135,0.3607025,0.018249512,-0.40374756,-0.007247925,-41.39347,7.3101044
1.4666234321122017E18,-3.8988953,8.935043,0.71821594,0.36817932,-0.09283447,-0.50735474,0.33740997,-41.47911,7.4775696
1.4666234321323433E18,-4.6397095,8.265762,0.68865967,0.34254456,-0.06719971,-0.52124023,0.7680893,-41.22238,7.8964233
1.4666234321524849E18,-5.6125946,7.507248,0.62971497,0.32865906,-0.04156494,-0.4133606,0.85430145,-41.136932,8.2315445
