time,ax,ay,az,gx,gy,gz,mx,my,mz
1.4666232195981757E18,-0.85658264,3.543991,8.333862,0.064834595,0.10583496,0.29693604,-22.918892,22.595215,-38.438988
1.4666232196183173E18,-0.84381104,3.6488495,8.516388,0.21757507,-0.2904358,0.3375244,-22.574234,22.509766,-38.355064
1.4666232196384591E18,-0.9164429,3.6513672,8.441238,0.27204895,-0.5371704,0.3289795,-22.488213,22.595406,-38.355064
1.4666232196586007E18,-0.82569885,3.627365,8.76001,0.13746643,-0.27975464,0.40908813,-22.402,22.595406,-38.355064
1.4666232196787423E18,-0.6905365,3.7478027,9.690765,0.038131714,0.15176392,0.47424316,-22.488022,22.595406,-38.690186
1.4666232196988838E18,-0.6324768,3.7930603,10.305969,0.1353302,0.52560425,0.5938721,-22.488022,22.851944,-39.10904
1.4666232197190254E18,-0.36917114,3.9492798,10.044891,0.21864319,0.5800781,0.6451416,-22.40181,22.595215,-39.360428
1.466623219739167E18,1.029068,3.9114532,10.707397,0.2549591,0.86206055,0.5276489,-22.057152,22.680855,-39.611816
1.4666232197593085E18,1.6659241,4.7808228,11.51384,0.34361267,1.3352356,0.21362305,-21.798706,22.766495,-40.03067
1.46662321977945E18,1.0011749,4.6547394,11.916458,0.5572357,1.5007935,-0.1473999,-21.195793,22.595406,-40.198326
1.466623219799592E18,-0.559494,4.3659973,11.276886,0.8167877,1.1824951,-0.3289795,-20.075989,22.167587,-40.701103
1.4666232198197335E18,-1.5627136,4.358368,9.865921,0.8360138,0.94644165,-0.33111572,-19.128418,21.739769,-41.287613
1.466623219839875E18,-1.9486084,4.460388,9.186401,0.58180237,0.56726074,-0.16448975,-18.26706,21.055412,-41.622734
1.4666232198600166E18,-1.5832062,3.564804,9.033295,0.21543884,0.24362183,-0.12817383,-17.233276,20.199966,-41.79039
1.4666232198801582E18,-1.8115997,3.242691,9.472885,0.0018157959,0.2414856,-0.008544922,-16.199684,19.34452,-42.04178
1.4666232199002998E18,-1.5622559,2.940506,9.890472,-0.07295227,0.17312622,0.13458252,-15.3383255,18.660164,-42.3769
1.4666232199204413E18,-1.2147064,2.4600525,9.597717,-0.05052185,-0.12594604,0.2456665,-14.735413,18.403435,-42.62829
1.4666232199405832E18,-0.2775421,2.1587982,9.325195,-0.03236389,-0.35559082,0.29266357,-14.476967,17.975616,-43.047142
1.4666232199607247E18,0.6222534,2.3480988,8.833038,-0.02168274,-0.42715454,0.24673462,-14.304733,17.719078,-43.047142
1.4666232199808663E18,1.0186157,2.326004,8.456955,-0.1306305,-0.4250183,0.064086914,-14.218712,17.46254,-42.544365
1.466623220001008E18,0.94989014,2.1250763,8.313507,-0.26628113,-0.4175415,-0.14846802,-14.218712,17.54818,-42.544365
1.4666232200211494E18,0.4282074,1.9652863,8.123108,-0.34638977,-0.46881104,-0.21469116,-14.391136,17.63382,-42.544365
1.466623220041291E18,0.29281616,1.8197632,8.155014,-0.37095642,-0.4794922,-0.2243042,-14.649582,17.975998,-42.460632
1.4666232200614326E18,0.2098999,1.8197632,8.151337,-0.33250427,-0.41220093,-0.2104187,-14.99424,18.147087,-42.12551
1.4666232200815741E18,0.12924194,1.8121796,7.881195,-0.28016663,-0.35986328,-0.19760132,-15.338707,18.147087,-41.958046
1.466623220101716E18,-0.102508545,1.928833,7.5292053,-0.32182312,-0.39938354,-0.18478394,-15.769386,18.660355,-41.622925
1.4666232201218575E18,-0.4885559,2.1001892,8.072723,-0.33677673,-0.46240234,-0.115356445,-16.286087,18.916893,-41.45527
1.466623220141999E18,-0.2672882,2.2418213,8.640396,-0.06440735,-0.56173706,0.025634766,-16.802788,19.34452,-41.539
1.4666232201621407E18,0.35821533,2.4959717,8.159943,0.17591858,-0.4389038,0.029907227,-17.061234,19.42997,-41.371536
1.4666232201822822E18,0.54374695,2.7065277,6.9816437,0.16950989,-0.27868652,-0.037384033,-17.233467,19.42997,-41.20388
1.4666232202024238E18,0.33891296,2.9168549,6.5572357,-0.011001587,-0.27120972,-0.12710571,-17.750359,19.51561,-41.20388
1.4666232202225654E18,0.23529053,3.0182648,7.037781,-0.13490295,-0.35986328,-0.18692017,-18.094826,19.601059,-41.287613
1.466623220242707E18,0.049819946,3.0143585,7.7868805,-0.14344788,-0.38549805,-0.19439697,-18.439484,19.601059,-41.287613
1.4666232202628488E18,0.12980652,2.892624,8.327576,-0.07722473,-0.32354736,-0.19760132,-18.956375,19.51561,-41.706657
1.4666232202829903E18,0.024734497,2.9692535,8.67215,-0.033432007,-0.30859375,-0.16983032,-19.387054,19.259071,-41.79058
1.466623220303132E18,-0.28822327,3.160843,9.467804,0.18766785,-0.27868652,-0.10574341,-19.731712,19.002533,-41.958237
1.4666232203232735E18,-0.54649353,3.4903717,9.464203,0.3446808,-0.25732422,0.0032043457,-20.162392,19.002533,-41.958237
