time,ax,ay,az,gx,gy,gz,mx,my,mz
1.4666238134531377E18,2.2483978,-9.291916,0.23376465,-0.017410278,-0.5019226,0.14953613,10.587502,51.595688,-16.485977
1.4666238134732792E18,2.1065674,-9.668182,0.0418396,-0.13703918,-0.54571533,0.17410278,10.3292465,51.4246,-16.485977
1.4666238134934208E18,2.172943,-9.902161,-0.092819214,-0.3827057,-0.6685486,0.17730713,10.243034,51.4246,-16.56971
1.4666238135135624E18,2.5129242,-10.0937195,-0.4840393,-0.635849,-0.7550659,0.11642456,10.157013,51.33915,-16.653442
1.466623813533704E18,2.6813202,-10.339966,-0.46647644,-0.9156952,-0.78604126,0.04699707,9.984779,51.681328,-16.485977
1.4666238135538455E18,2.6708374,-10.508911,-0.8028412,-1.0641632,-0.7881775,-0.028839111,9.640312,51.852417,-16.318512
1.4666238135739873E18,2.002304,-10.358398,-0.4295044,-1.0310516,-0.9377136,0.008544922,9.295845,52.109146,-16.067123
1.466623813594129E18,1.6268158,-8.617752,0.04562378,-0.65400696,-1.0220947,0.2798462,9.381866,52.109146,-15.480614
1.4666238136142705E18,1.978836,-7.9733276,-1.4592133,-0.5877838,-1.1000671,0.3919983,9.209442,52.280235,-14.810371
1.466623813634412E18,2.2371063,-9.0920105,-0.7418213,-0.4895172,-0.84265137,0.3503418,9.209442,52.622414,-14.47525
1.4666238136545536E18,1.9278564,-10.166748,-0.9444275,-0.4264984,-0.84158325,0.31082153,9.12323,52.708054,-13.888741
1.4666238136746952E18,1.7884369,-10.226807,-1.4212646,-0.542923,-0.6493225,0.18051147,8.864784,52.964592,-13.385963
1.4666238136948367E18,1.6826782,-9.597397,-0.6669464,-0.4959259,-0.40792847,-0.029907227,8.778572,52.964592,-13.385963
1.4666238137149783E18,1.6961517,-8.810104,-0.6250305,-0.41047668,-0.33102417,-0.16983032,8.520126,53.05004,-13.134575
1.46662381373512E18,1.9660645,-8.570435,-0.89404297,-0.376297,-0.28723145,-0.22109985,8.433914,53.30658,-12.715721
1.4666238137552617E18,2.058319,-8.669067,-1.3687744,-0.34959412,-0.32247925,-0.20828247,7.9172134,53.563118,-12.548065
