time,ax,ay,az,gx,gy,gz,mx,my,mz
1.4666217675347146E18,1.8278656,1.466629,10.985977,-1.5736542,1.3074646,-1.9706726,-27.003479,20.453644,-43.421936
1.4666217675498207E18,1.3918152,1.8040161,10.064545,-0.0013885498,-0.047973633,-0.4763794,-27.577719,19.769287,-43.980408
1.4666217675699625E18,1.4815521,2.0424347,9.363693,-0.008865356,-0.05545044,-0.39093018,-27.692413,19.598389,-43.924713
1.466621767590104E18,1.470932,1.9538574,9.388626,0.14173889,0.19342041,-0.30441284,-27.348022,19.632568,-43.489075
1.4666217676102456E18,1.4317017,2.1646118,9.294876,0.2474823,0.38568115,-0.23925781,-27.233124,19.427237,-43.31029
1.4666217676303872E18,1.1673584,2.0679169,9.232086,0.29981995,0.4230652,-0.18371582,-27.052744,19.4761,-43.086895
1.4666217676505288E18,1.1618195,1.9317017,9.045715,0.19514465,0.33547974,-0.14846802,-27.089691,19.512749,-43.17074
1.4666217676706703E18,1.3571625,1.8524323,9.025787,0.1278534,0.25857544,-0.15594482,-26.917458,19.598389,-43.338394
1.466621767690812E18,1.5930634,1.8885498,8.985245,0.04560852,0.24362183,-0.2243042,-26.745224,19.170761,-43.087006
1.4666217677109535E18,1.3485718,1.8772278,9.110184,-0.0013885498,0.20196533,-0.2670288,-26.314545,19.085312,-42.835617
1.4666217677310953E18,1.0507355,1.858078,9.215134,-0.0035247803,0.11972046,-0.2734375,-26.142311,19.085312,-42.66796
1.4666217677512369E18,0.99858093,1.8931732,9.203964,0.009292603,0.018249512,-0.24993896,-26.056099,18.914223,-42.835426
1.4666217677764137E18,1.2827606,1.9639587,8.830948,0.007156372,0.03213501,-0.29159546,-26.142311,18.743134,-43.003082
1.46662176779152E18,1.2613678,2.0901947,8.5998535,-0.06227112,0.096221924,-0.3012085,-26.314545,18.572044,-43.170547
1.4666217678116616E18,1.0189972,1.9872742,8.6310425,-0.19151306,0.16778564,-0.3215027,-26.056099,18.315506,-43.170547
1.4666217678318031E18,0.6943207,2.0386963,9.064621,-0.24705505,0.15924072,-0.27877808,-25.883675,18.058777,-43.086815
1.4666217678519447E18,0.5996094,1.964447,9.281189,-0.23744202,0.11437988,-0.20614624,-25.969887,18.058777,-43.25428
1.4666217678720865E18,0.8062134,1.858078,9.234299,-0.22996521,0.05029297,-0.17410278,-26.14212,17.973137,-43.338203
1.466621767892228E18,1.1025085,1.731781,9.276138,-0.22355652,0.06417847,-0.17730713,-26.056099,17.716408,-43.421936
1.466621767917405E18,1.0145416,1.6431427,9.245071,-0.18937683,0.11117554,-0.17730713,-26.142311,17.802048,-43.421936
1.4666217679325112E18,1.010498,1.7458038,9.390259,-0.22676086,0.06097412,-0.15914917,-26.056099,18.144226,-43.50567
1.4666217679526528E18,0.86935425,1.7158813,9.698135,-0.2577362,-0.10031128,-0.092926025,-26.056099,18.315315,-43.589592
1.4666217679727944E18,1.1344147,1.589859,9.694092,-0.21394348,-0.21566772,-0.10787964,-26.228333,18.486404,-43.338203
1.466621767992936E18,1.2365723,1.6090088,9.724548,-0.040908813,-0.16012573,-0.12069702,-26.659012,18.400955,-43.25428
1.4666217680130775E18,1.1439514,1.6196747,9.458252,0.08192444,-0.026611328,-0.15274048,-26.831245,18.315315,-43.338203
1.4666217680332193E18,0.8421173,1.79216,9.310928,0.10328674,-0.020202637,-0.12176514,-26.659012,18.572044,-43.086815
1.466621768053361E18,0.77012634,1.7265472,9.246216,0.071243286,-0.08428955,-0.113220215,-26.659012,18.743134,-43.003082
1.4666217680735025E18,0.66922,1.7426453,9.138504,0.04988098,-0.14837646,-0.14419556,-26.917267,18.486404,-43.17074
1.466621768093644E18,0.50009155,1.7463837,8.853958,0.057357788,-0.12487793,-0.14099121,-27.003479,18.400955,-43.003082
1.4666217681137856E18,0.40730286,1.9080658,8.454651,-0.04838562,-0.021270752,-0.0982666,-26.917267,18.229866,-43.003082
1.4666217681339272E18,0.4092102,1.8772278,8.774902,-0.16267395,0.102630615,-0.034179688,-27.003479,18.058777,-43.338203
1.4666217681540687E18,0.5738983,1.7541962,9.14151,-0.18403625,0.13574219,-0.04058838,-26.917458,17.887688,-43.338203
1.4666217681742103E18,0.669693,1.8005981,9.291306,-0.16481018,0.15924072,-0.019226074,-26.917458,17.973328,-43.170547
1.466621768194352E18,0.82780457,1.858078,9.291779,-0.1242218,0.21157837,0.0021362305,-27.089691,17.887688,-43.170547
1.466621768219529E18,0.9238281,1.9819946,9.460312,-0.098587036,0.30236816,0.028839111,-27.003479,17.887688,-43.086815
1.4666217682346353E18,0.858902,1.9347076,9.413864,-0.118881226,0.29275513,0.030975342,-26.745224,18.058777,-43.086815
1.4666217682547768E18,0.79888916,1.9676819,9.651337,-0.12528992,0.20730591,0.039520264,-26.57299,18.144226,-42.91935
1.4666217682749184E18,0.7080078,1.8457947,9.691071,-0.060134888,0.12826538,0.0769043,-26.400757,18.058777,-43.003082
1.46662176829506E18,0.6505432,1.7134247,9.81958,0.022109985,0.06417847,0.108947754,-26.400757,18.400955,-42.66796
1.4666217683152015E18,0.7080078,1.8032532,9.773407,0.0723114,0.019317627,0.1260376,-26.056099,18.486404,-42.66796
1.4666217683353434E18,0.7384949,1.8658905,9.73671,0.14387512,0.016113281,0.16448975,-26.14212,18.657494,-42.751694
