time,ax,ay,az,gx,gy,gz,mx,my,mz
1.4666226340213727E18,-1.3223267,3.5627136,10.1622925,0.050949097,-0.21139526,0.22964478,-5.8303833,14.633179,-44.53659
1.4666226340415142E18,-1.6097107,3.837906,9.30307,-0.06440735,-0.26052856,0.010681152,-5.945333,14.861043,-44.983418
1.4666226340616558E18,-1.2050934,3.680832,8.848404,-0.055862427,-0.09176636,0.023498535,-5.8303833,15.1462555,-44.871902
1.4666226340817974E18,-0.775589,3.620636,8.518417,-0.074020386,-0.05758667,0.0064086914,-5.623474,15.317383,-44.670715
1.466622634101939E18,-0.80363464,3.4828033,8.535965,-0.1306305,-0.11419678,0.004272461,-5.6004844,15.5454,-44.53659
1.4666226341220808E18,-0.65567017,3.2138672,8.403641,-0.19258118,-0.17828369,-0.08010864,-5.682591,15.708269,-44.5367
1.4666226341422223E18,-1.0541077,3.352417,8.661774,-0.31007385,-0.2284851,-0.054473877,-5.657959,16.1726,-44.369125
1.466622634162364E18,-0.7683716,2.9997864,9.026566,-0.2993927,-0.1643982,-0.058746338,-5.313492,16.600227,-44.452858
1.4666226341825055E18,-0.9219513,3.1204224,9.076843,-0.26307678,-0.0949707,-0.035247803,-5.4857254,17.027855,-44.369125
1.466622634202647E18,-0.88212585,2.9026947,9.289764,-0.16481018,-0.20285034,-0.016021729,-5.571747,17.027855,-44.034004
1.4666226342227886E18,-0.77253723,2.8652802,9.070053,-0.12956238,-0.2904358,-0.059814453,-5.8301926,17.113304,-43.95008
1.4666226342429302E18,-0.6307068,2.920166,8.82962,-0.12208557,-0.22634888,-0.08224487,-6.002617,17.198753,-43.782616
1.4666226342630717E18,-0.6330719,2.9692535,8.53392,-0.15306091,-0.2071228,-0.072631836,-6.1748505,17.284393,-43.782616
1.4666226342882488E18,-0.39808655,2.835144,8.641586,-0.3196869,-0.26480103,-0.05340576,-6.260872,17.541122,-43.531227
1.4666226343033551E18,-0.50346375,2.835144,9.148529,-0.30900574,-0.33636475,-0.028839111,-6.605339,17.370033,-43.698883
1.4666226343234967E18,-0.4272766,2.8444214,9.501923,-0.08149719,-0.28082275,0.02243042,-7.0360184,17.455673,-43.61515
1.4666226343436383E18,-0.5877838,2.836914,8.803925,0.015701294,-0.18682861,0.0769043,-6.949806,17.541313,-43.36376
1.4666226343637798E18,-0.4780426,2.974411,8.016876,-0.24919128,-0.105651855,0.1687622,-6.949806,17.969131,-43.28003
1.4666226343839214E18,-0.23146057,2.9105988,8.130936,-0.59632874,-0.22528076,0.24139404,-7.0358276,18.22586,-43.112564
1.466622634404063E18,0.27212524,2.802826,8.381699,-1.0470734,-0.36413574,0.13885498,-7.208061,18.653679,-43.02864
1.46662263442924E18,1.1049805,2.0028687,10.892761,-0.9391937,0.06845093,-0.07476807,-7.466507,19.252396,-42.861176
1.4666226344443464E18,0.60954285,1.9297943,11.545319,-0.17015076,0.6356201,-0.2584839,-7.466507,19.423485,-43.112564
1.466622634464488E18,-0.8188629,2.1984558,9.463318,0.25282288,0.19342041,-0.19760132,-7.208252,19.594574,-42.861176
1.4666226344846295E18,-0.68344116,1.9281311,8.29007,0.057357788,-0.09176636,-0.117492676,-7.2942734,19.851112,-42.94491
1.466622634504771E18,-0.47206116,1.8287201,9.200058,-0.008865356,-0.08642578,-0.050201416,-7.2942734,20.022202,-43.02864
1.4666226345249126E18,-0.44148254,1.7518158,9.427521,0.11289978,0.005432129,0.014953613,-7.6389313,20.27874,-43.02864
1.4666226345450542E18,-0.35888672,1.8529663,8.582031,0.015701294,0.042816162,0.12283325,-7.7251434,20.27874,-43.28003
1.4666226345702313E18,0.19432068,2.108307,8.872681,-0.114608765,0.02999878,0.15274048,-7.7251434,20.36419,-43.28003
1.4666226345853376E18,0.44215393,2.2412415,9.291779,-0.0750885,0.015045166,0.08224487,-7.4666977,20.27874,-43.36376
1.4666226346054792E18,0.366745,2.1759644,9.115158,-0.027023315,0.020385742,-0.045928955,-7.55291,20.36419,-43.27984
1.4666226346256207E18,-0.22511292,2.0305023,8.799759,-0.065475464,-0.008453369,-0.059814453,-7.4666977,20.792007,-43.27984
1.4666226346457623E18,-0.41384888,1.9815063,8.804337,-0.087905884,-0.058654785,-0.004272461,-7.3806763,20.706558,-43.112373
1.466622634665904E18,-0.28910828,2.0596771,8.86116,-0.10499573,-0.07040405,0.016021729,-7.3806763,20.792007,-43.196297
1.4666226346860454E18,-0.3265381,2.107132,8.851135,-0.16053772,-0.026611328,-0.013885498,-7.1222305,20.792007,-43.36376
1.466622634706187E18,-0.40316772,2.168335,9.126846,-0.18403625,-0.011657715,-0.0064086914,-6.7777634,21.048546,-43.196106
1.4666226347263288E18,-0.40168762,2.2228088,9.349243,-0.20219421,0.0385437,-0.017089844,-6.7777634,21.134186,-43.28003
1.4666226347464704E18,-0.38061523,2.2275696,9.538757,-0.19151306,0.051361084,-0.027770996,-6.7777634,20.963097,-43.36376
1.466622634766612E18,-0.47979736,2.0939484,9.853363,-0.07722473,-0.009521484,-0.008544922,-7.036209,21.134186,-43.28003
1.4666226347867535E18,-0.52130127,2.0224915,9.708435,-0.012069702,-0.08001709,0.04486084,-7.294655,21.048546,-43.531418
1.466622634806895E18,-0.3526001,2.0391693,9.58783,-3.2043457E-4,-0.04156494,0.07797241,-7.3806763,21.219635,-43.698883
1.4666226348270367E18,-0.1237793,2.0081177,9.464203,-0.027023315,-0.028747559,0.05126953,-7.55291,21.390724,-43.36357
1.4666226348471782E18,-0.070739746,1.941452,9.388672,-0.031295776,-0.03942871,0.032043457,-7.6389313,21.390724,-43.112183
1.4666226348673198E18,-0.24961853,1.9155426,9.310181,-0.038772583,-0.054382324,0.054473877,-7.811165,21.476364,-43.02845
1.4666226348874616E18,0.013366699,1.882904,9.198837,-0.04838562,-0.036224365,0.086517334,-7.6389313,21.476364,-43.447304
1.4666226349076032E18,0.28652954,1.9730225,9.508011,-0.0259552,0.026794434,0.017089844,-7.4666977,21.818542,-43.36357
1.4666226349277448E18,-0.16014099,1.9508514,9.419876,0.040267944,0.037475586,-0.02029419,-7.12204,21.733093,-43.531227
1.4666226349478863E18,-0.32722473,1.830368,8.879532,0.014633179,0.013977051,0.035247803,-7.12204,21.904182,-43.36357
1.466622634968028E18,-0.20776367,1.9117126,8.88179,-0.045181274,0.02999878,0.08331299,-7.0360184,22.16072,-43.531227
1.4666226349881695E18,0.11088562,1.8165436,8.96608,-0.067611694,-0.009521484,0.055541992,-6.949997,21.989632,-43.86654
1.4666226350133466E18,-0.015670776,2.087967,8.9518585,-0.09324646,-0.030883789,0.023498535,-6.949997,22.16072,-44.034195
1.4666226350284526E18,-0.09248352,2.0284119,9.087265,-0.12315369,-0.03302002,-0.033111572,-6.863785,22.24617,-44.20166
1.4666226350485944E18,0.18107605,1.7527771,9.588501,-0.08363342,-0.014862061,-0.059814453,-6.7775726,22.502708,-43.698883
1.466622635068736E18,0.2155304,1.8400116,9.834961,0.010360718,0.06524658,-0.10040283,-7.12204,22.24598,-43.531227
1.4666226350888776E18,-0.017471313,1.959671,9.46257,0.053085327,0.05029297,-0.12283325,-7.2942734,22.331429,-43.61496
1.4666226351090191E18,-0.28822327,2.0366669,9.081024,-0.019546509,0.01184082,-0.108947754,-7.466507,22.07489,-43.782616
1.4666226351291607E18,-0.23405457,1.838913,9.215134,-0.043045044,0.055633545,-0.09399414,-7.5525284,21.903801,-43.531227
1.4666226351543378E18,-0.44987488,1.9580383,8.985245,-0.04624939,0.06417847,-0.034179688,-7.380295,22.16053,-43.531227
1.4666226351694438E18,-0.41560364,2.0906525,8.853836,-0.07722473,0.001159668,-0.016021729,-7.2942734,22.33162,-43.447495
1.4666226351895857E18,-0.13899231,2.0032501,9.070999,-0.12849426,-0.045837402,-0.058746338,-7.3804855,22.502708,-43.28003
1.4666226352097272E18,-0.09663391,1.8063812,9.561783,-0.1455841,-0.0105896,-0.09399414,-7.552719,22.41726,-43.363953
1.4666226352298688E18,-0.38194275,1.6770935,10.03894,-0.034500122,-0.011657715,-0.07156372,-7.294464,22.759438,-43.61534
1.4666226352500104E18,-0.52827454,1.6766357,9.7864685,0.04560852,-0.015930176,-0.02670288,-7.2084427,22.930527,-43.28022
1.466622635270152E18,-0.4702301,1.7335358,9.416306,0.014633179,0.00970459,0.013885498,-6.8639755,23.101616,-42.861176
1.4666226352902935E18,-0.33424377,1.6856537,9.471909,0.012496948,0.021453857,0.02456665,-6.8639755,23.272705,-42.777443
1.466622635310435E18,-0.2472229,1.6856537,9.365723,0.031723022,0.047088623,0.04058838,-7.036209,23.358154,-42.777443
