time,ax,ay,az,gx,gy,gz,mx,my,mz
1.4666220009003343E18,-2.7204437,4.823593,7.1104126,-0.7063446,-0.74331665,0.24673462,4.004669,-38.059998,-56.492615
1.4666220009305467E18,-2.175827,4.7161713,8.571823,-0.8537445,-1.1107483,-0.24887085,3.660075,-37.946064,-56.939697
1.4666220009506885E18,-0.9641876,4.594742,9.007996,-0.82917786,-1.3745728,-0.30334473,3.3153534,-37.37564,-57.49855
1.4666220009758653E18,-1.2043762,4.4308167,9.634537,-0.68711853,-1.6287842,-0.20614624,2.8329468,-37.033386,-57.967834
1.4666220009909716E18,-0.49417114,4.625244,9.9644165,-0.5439911,-1.766571,-0.1687622,2.166748,-36.5771,-58.50398
1.4666220010111132E18,0.45672607,4.991562,7.886093,-0.8879242,-2.6231995,-0.26916504,1.1989049,-36.153522,-58.69555
1.4666220010312548E18,-0.2526703,3.2154083,8.869324,-0.28016663,-1.3168945,-0.02670288,0.5590439,-35.83584,-58.67157
1.4666220010513964E18,0.020217896,2.567749,8.621231,0.09580994,0.14108276,-0.10253906,-0.47454834,-35.15148,-59.25808
1.466622001071538E18,-0.47058105,3.2436066,12.461899,0.7591095,0.6195984,-0.18692017,-1.5081406,-34.552574,-59.677124
1.4666220010916795E18,0.5138397,4.299759,9.6058655,0.97273254,0.43481445,-0.16448975,-2.3694992,-34.124756,-59.760857
1.4666220011168566E18,0.57925415,4.300827,6.4995728,0.72706604,0.09194946,-0.32791138,-3.1446457,-34.295845,-59.5932
1.466622001131963E18,0.10076904,3.8885345,6.134247,0.20796204,0.013977051,-0.58425903,-3.4891129,-34.466934,-59.25808
1.4666220011521044E18,-0.15188599,3.3999329,5.995056,-0.348526,0.4241333,-0.8843994,-3.4029007,-34.466934,-58.839226
1.466622001172246E18,-1.0037842,4.201126,7.90567,-0.8740387,0.77020264,-0.80963135,-2.7999878,-34.552383,-58.839226
1.4666220011923876E18,-2.5466309,4.5965576,9.048813,-0.98191833,1.1226807,-0.23712158,-2.1108627,-34.637833,-59.00688
1.4666220012125292E18,-1.1863861,4.663803,9.845474,-0.8900604,1.533905,0.014953613,-1.1632919,-34.466743,-58.67176
1.4666220012326707E18,-0.32125854,4.9445343,13.29982,-0.37843323,0.40063477,-0.03845215,-0.21591187,-34.210014,-58.67176
1.466622001247777E18,0.50453186,5.5560913,15.16893,0.38206482,-0.61621094,-0.34713745,0.4732132,-34.124565,-58.588028
1.466622001272954E18,0.9628601,5.360031,13.96106,0.50276184,0.03213501,-0.6515503,1.420784,-33.782387,-58.588028
1.4666220012930957E18,0.051834106,4.9958344,15.288925,0.977005,0.8727417,-0.7839966,2.2821426,-33.52585,-58.588028
1.4666220013132372E18,-0.10813904,4.5966034,17.279694,1.6509857,0.08554077,-0.741272,3.0572891,-33.696938,-58.252907
1.4666220013333788E18,0.51364136,4.865158,19.97731,3.0224457,-1.6042175,-1.1631775,3.5739899,-34.466934,-57.41501
1.4666220013535204E18,0.5136719,3.7574768,20.354324,4.637436,-2.1446838,-1.6374207,3.918457,-35.57911,-56.24199
1.466622001373662E18,-0.8227844,3.299347,16.265625,5.6521454,-2.4031677,-1.8211365,3.918457,-37.54673,-54.398727
1.4666220013938035E18,-0.66786194,2.869934,13.805878,6.1990204,-3.907074,-2.2676086,4.176903,-40.284348,-51.8013
1.4666220014139453E18,0.014678955,2.2795563,12.521835,7.068466,-4.9420776,-2.9907227,4.3491364,-43.021774,-48.53344
1.466622001434087E18,-0.46435547,1.5739594,9.411484,7.47435,-5.556244,-3.7619019,4.6073914,-46.10138,-44.260216
1.4666220014592637E18,0.24821472,0.5936279,7.2801514,7.45726,-6.223816,-5.059662,5.2103043,-49.266434,-39.06517
1.46662200147437E18,0.053894043,-0.33335876,5.676605,7.1827545,-5.883087,-5.877838,6.3301086,-52.17495,-33.45127
1.4666220014945116E18,-4.458603,-1.2237244,3.631546,6.642288,-5.641693,-6.2698364,8.311272,-54.39911,-27.250862
1.4666220015146532E18,-7.514679,-1.2543335,1.8711395,5.965103,-5.565857,-5.9365845,11.067581,-55.767822,-21.050453
1.4666220015347948E18,-8.778458,-0.28196716,0.5105591,4.8168793,-5.670532,-5.2711487,14.512825,-56.19545,-15.60421
1.4666220015599718E18,-7.5318604,1.219101,-0.8447571,3.090805,-4.0875854,-4.4636536,18.47496,-55.340004,-10.995674
1.4666220015750781E18,-8.040756,2.0866241,-1.0077515,2.1102753,-3.2106628,-3.9840698,22.953796,-53.8002,-7.30896
1.4666220015952197E18,-9.133865,2.1506348,0.42965698,1.2013092,-2.599701,-3.1658936,27.260399,-51.404953,-4.962921
1.4666220016153613E18,-9.33313,2.5039673,1.5354156,0.79862976,-2.4875488,-2.2975159,31.136322,-48.496437,-3.8736343
1.4666220016355028E18,-7.7870026,3.4926147,0.91212463,0.72813416,-2.1692505,-1.8157959,34.667778,-45.58792,-3.6222458
1.4666220016556444E18,-7.324005,4.2159424,-0.13223267,0.5540314,-1.3756409,-1.6491699,37.51011,-42.508316,-4.292488
1.466622001675786E18,-6.736374,4.589508,0.12857056,0.19514465,-0.3192749,-1.622467,39.40506,-39.7707,-5.381775
1.466622001700963E18,-8.611755,4.1013794,4.1244354,0.41838074,-0.101379395,-1.0499573,40.955353,-37.11872,-6.5547943
1.4666220017160694E18,-8.489624,4.1762238,2.6260529,0.7932892,-0.43463135,-0.66223145,41.988945,-34.89437,-7.7280045
1.466622001736211E18,-7.155365,4.861908,-0.05834961,0.8787384,-0.55532837,-0.56396484,42.936516,-33.18329,-8.649826
1.4666220017563525E18,-6.578583,5.741043,-1.1363525,0.52305603,0.0043640137,-0.8128357,43.453407,-31.814575,-9.236336
1.466622001776494E18,-7.3608093,5.4539948,0.6851349,0.43013,0.21798706,-1.0414124,44.05632,-30.445862,-9.65538
1.4666220017966356E18,-8.391174,4.76149,1.7501373,0.87553406,-0.22314453,-0.94955444,44.487,-29.162598,-9.823036
1.4666220018167772E18,-8.642258,4.8855743,1.0983276,1.0304108,-0.653595,-0.6932068,44.831467,-28.221512,-9.823036
1.4666220018369188E18,-8.21283,5.2036133,-0.46372986,0.977005,-0.08001709,-0.69747925,45.43438,-27.280617,-9.906769
1.4666220018570604E18,-8.201645,5.2205048,-1.4177094,0.48033142,-0.014862061,-0.59921265,45.779037,-26.76735,-9.822845
1.4666220018772022E18,-8.243225,4.912262,-0.49246216,0.21330261,0.16137695,-0.4699707,46.037292,-26.082993,-9.320068
1.4666220018973437E18,-8.155899,4.514679,0.83657837,0.31584167,0.16351318,-0.4144287,46.209526,-25.227547,-9.320068
1.4666220019174853E18,-8.34993,4.321869,0.71673584,0.39274597,0.1293335,-0.3652954,46.640205,-24.3721,-9.403801
1.466622001937627E18,-8.565628,4.147232,0.13259888,0.3532257,0.09194946,-0.28305054,46.726418,-23.944283,-9.152412
1.4666220019577684E18,-8.665009,4.4015045,-0.16448975,0.28059387,0.020385742,-0.15274048,46.89865,-23.602104,-9.152412
1.46662200197791E18,-8.494095,4.5724335,0.11645508,0.2902069,-0.03515625,-0.066223145,46.984863,-23.174286,-9.152412
1.4666220019980516E18,-8.795395,4.4052277,0.5376282,0.4087677,-0.14944458,0.04058838,47.070885,-22.917557,-8.984756
1.4666220020181934E18,-8.459915,4.357544,-0.0075531006,0.5219879,-0.1932373,0.15487671,46.89865,-22.746468,-9.06868
1.466622002038335E18,-8.293396,4.767578,-1.117157,0.31904602,-0.0020446777,0.16662598,46.81263,-22.832108,-9.152412
1.4666220020584765E18,-8.246109,5.152954,-1.2733307,0.0050201416,0.06845093,0.10147095,46.81263,-22.917747,-9.152412
1.466622002078618E18,-8.610611,5.162491,0.04298401,0.07978821,-0.008453369,0.15914917,46.468163,-23.088837,-9.06868
1.4666220020987597E18,-8.1219635,5.1361237,0.31770325,0.22291565,-9.765625E-4,0.27130127,46.38195,-23.088837,-8.649826
1.4666220021189012E18,-7.5127563,5.285553,-1.1377563,-0.027023315,0.2906189,0.27877808,46.209717,-23.174477,-8.565903
1.4666220021440783E18,-8.000931,5.1050873,-0.55378723,-0.30259705,0.3611145,0.13244629,46.29574,-23.345566,-8.3984375
1.4666220021591844E18,-8.330215,4.8467712,0.26164246,-0.21607971,0.051361084,0.034179688,46.123505,-23.431206,-8.063316
1.4666220021793262E18,-8.483185,4.631241,1.0249786,0.0231781,-0.4175415,-0.033111572,46.46797,-23.345757,-8.063316
1.4666220021994678E18,-8.174606,4.7906494,0.581604,0.16630554,-0.49017334,-0.057678223,46.29574,-23.345757,-8.063316
1.4666220022196093E18,-8.341049,4.8637695,-0.22773743,-0.0013885498,-0.2637329,-0.013885498,46.209526,-23.260117,-8.147049
1.466622002239751E18,-8.477982,4.953369,-0.20239258,-0.10499573,-0.1302185,0.08010864,46.209526,-23.345566,-8.147049
1.4666220022598925E18,-8.28511,5.0879364,-0.1690216,-0.19151306,0.02999878,0.13244629,46.123505,-23.516655,-8.733559
1.466622002280034E18,-8.3155365,5.218628,0.12965393,-0.23851013,0.118652344,0.13244629,46.209526,-23.516655,-8.733559
1.4666220023001756E18,-8.254074,5.19429,0.7498627,-0.19898987,0.03427124,0.13031006,46.123505,-23.687744,-8.984947
1.4666220023203172E18,-8.047333,5.2530823,0.82380676,-0.056930542,-0.023406982,0.12176514,46.209717,-24.029922,-9.320068
1.466622002340459E18,-8.046234,5.281372,0.68478394,0.06590271,-0.043701172,0.1399231,46.037483,-24.115372,-9.320068
1.4666220023606006E18,-8.247406,5.4661255,0.37057495,0.1278534,-0.05331421,0.21148682,46.123505,-24.37191,-9.403801
1.4666220023807421E18,-7.899109,5.651413,-0.28030396,-0.0056610107,-0.014862061,0.27236938,46.037483,-24.62864,-9.152412
