time,ax,ay,az,gx,gy,gz,mx,my,mz
1.4666223969748547E18,-1.513443,3.07016,8.731064,2.218155,3.6701355,-4.4700623,0.5592346,-24.3721,-66.54739
1.4666223969949962E18,-1.1188812,2.8515625,9.142609,-0.95521545,-0.9515991,-0.17410278,-0.7039388,-22.661337,-67.21802
1.4666223970151378E18,-0.53030396,2.406662,9.910934,-0.7042084,-0.9238281,-0.25741577,-1.5079498,-22.49031,-67.21802
1.4666223970352794E18,-0.6559143,2.1694183,9.628387,-0.5888519,-0.8255615,-0.0982666,-1.852417,-21.976929,-67.35199
1.466622397055421E18,-0.7702484,2.6052399,9.527679,-0.40620422,-1.0210266,-0.07583618,-2.426656,-21.634674,-67.21802
1.466622397080598E18,0.027740479,1.8136139,9.273376,-0.3837738,-1.1257019,-0.05126953,-3.1321933,-21.194675,-67.50532
1.4666223970957043E18,0.10391235,2.0583344,10.570892,-0.31221008,-0.8597412,-0.029907227,-3.7473679,-20.950317,-67.55314
1.466622397115846E18,0.8118744,1.7854614,11.255051,0.07658386,-0.6119385,0.041656494,-4.9531937,-20.009422,-67.720795
1.4666223971359875E18,0.004638672,2.2535553,10.453751,0.6982269,-0.8511963,0.03845215,-6.2452316,-19.325066,-67.720795
1.466622397156129E18,0.29322815,2.1904602,9.372253,0.7185211,-1.0317078,0.086517334,-7.1928024,-19.325066,-67.469406
1.4666223971762706E18,1.1715851,2.4902954,8.717163,0.5070343,-0.811676,0.17410278,-8.398628,-19.239426,-67.469406
1.4666223971964122E18,0.79896545,1.8813477,8.325638,0.32652283,-0.93237305,0.16769409,-9.43222,-19.581604,-67.134285
1.4666223972165537E18,0.45117188,2.3064728,8.443634,0.2197113,-1.3510742,0.2883911,-10.638046,-19.667244,-67.21802
1.4666223972366956E18,1.2885437,2.2370758,7.276001,-0.42115784,-0.8864441,0.51483154,-11.585426,-19.838333,-66.799164
1.466622397256837E18,2.3404694,1.944046,8.328064,-0.9594879,-0.5499878,0.28411865,-12.619019,-19.752693,-66.6317
1.4666223972769787E18,1.1164703,2.5423737,9.771484,-0.63264465,-0.21994019,0.34500122,-13.652611,-19.581604,-66.71543
1.4666223972971203E18,1.3081512,2.2662964,8.902039,-0.5642853,0.47006226,0.34820557,-14.513969,-19.239426,-66.71543
1.4666223973172618E18,2.16951,2.0562134,9.22937,-0.6070099,0.717865,0.21148682,-15.03067,-18.811607,-66.8829
1.4666223973374034E18,1.4854279,2.2885437,14.407608,-0.08042908,0.31304932,0.09719849,-15.202904,-18.041801,-66.8829
1.466622397357545E18,0.5631561,1.8458099,8.731583,-0.24171448,0.21798706,0.092926025,-15.547562,-17.271996,-67.21802
1.4666223973776865E18,1.4507294,1.761383,10.075485,-0.40299988,-0.5286255,0.056610107,-15.547562,-16.501999,-67.38567
1.4666223973978284E18,1.5318146,1.4003601,9.109467,-0.42222595,-0.8159485,-0.037384033,-15.719795,-15.988731,-67.720795
1.46662239741797E18,1.2827606,1.4204102,9.641724,-0.14985657,-0.8095398,-0.21255493,-15.806007,-15.561104,-67.88826
1.4666223974381115E18,1.8219299,1.8279572,8.889114,0.053085327,-0.2915039,-0.25527954,-15.719795,-15.218925,-67.80453
1.466622397458253E18,2.210556,1.8328857,8.408859,-0.047317505,0.106903076,-0.2243042,-15.547562,-14.962196,-67.88845
1.4666223974783946E18,1.1372223,2.3985596,6.524994,-0.23851013,1.1664734,0.039520264,-15.46154,-14.620018,-67.88845
1.4666223974985362E18,1.3745728,1.9967957,3.627533,-0.2011261,4.128357,0.054473877,-14.772606,-14.448929,-68.05611
1.4666223975237133E18,1.1611176,1.2201538,18.207169,-0.42436218,1.0105286,0.14312744,-14.255714,-14.021111,-68.22376
1.4666223975388196E18,0.80067444,0.9963989,10.23587,-0.017410278,-0.07147217,-0.16769409,-13.480568,-14.021111,-68.307495
1.4666223975589612E18,0.51257324,1.2883606,10.862747,-0.23316956,-0.73690796,-0.43899536,-12.6194,-13.935661,-68.39123
1.4666223975791027E18,0.50650024,1.5132294,10.50647,-0.065475464,-0.8811035,-0.4496765,-11.758041,-13.935661,-68.39123
1.4666223975992443E18,0.25654602,1.9605713,9.954788,0.0028839111,-0.74224854,-0.33325195,-11.069107,-13.850021,-68.81008
1.4666223976193859E18,0.60865784,1.8855896,9.674942,0.010360718,-0.51260376,-0.2029419,-10.552216,-13.850021,-68.81008
1.4666223976395274E18,0.87612915,1.7239685,9.598297,0.04774475,-0.25732422,-0.17410278,-10.29377,-13.850021,-68.97774
1.4666223976647045E18,0.91012573,1.7814331,9.608856,0.10542297,-0.06506348,-0.15060425,-10.638237,-13.764381,-68.97774
1.4666223976798106E18,0.97772217,1.7062988,9.312439,0.054153442,-0.06933594,-0.1399231,-10.810471,-13.850021,-68.894005
1.4666223976999524E18,1.0994873,1.6856537,9.336777,-0.029159546,-0.12808228,-0.1826477,-11.068916,-13.764572,-68.81027
1.466622397720094E18,1.0590057,1.7054901,9.029724,-0.17121887,-0.12915039,-0.15487671,-11.327171,-13.678932,-68.55888
1.4666223977402355E18,1.0700836,1.4490356,9.239105,-0.33891296,-0.05758667,-0.15808105,-11.499405,-13.422203,-68.64281
