time,ax,ay,az,gx,gy,gz,mx,my,mz
1.4666226495707215E18,-8.914352,-0.7234192,3.0510712,-0.04838562,-0.20071411,-0.0021362305,28.323936,-8.098793,-36.062622
1.466622649590863E18,-8.918472,-0.67985535,3.0985718,-0.055862427,-0.21673584,0.005340576,28.237915,-7.927513,-35.7275
1.4666226496110047E18,-8.940475,-0.60150146,3.096344,-0.030227661,-0.23596191,0.010681152,28.151703,-8.013153,-35.7275
1.4666226496311462E18,-8.944031,-0.67082214,3.1190643,-0.02809143,-0.2487793,0.0064086914,28.324127,-7.927704,-35.7275
1.4666226496512878E18,-9.024399,-0.8323517,3.027008,-0.031295776,-0.24343872,0.004272461,27.807426,-7.927704,-35.64377
1.4666226496714294E18,-9.086334,-0.83880615,2.9297333,-0.047317505,-0.23275757,-0.017089844,27.721405,-7.7566147,-35.560036
1.4666226496915712E18,-9.004196,-0.8009033,2.805191,-0.05052185,-0.19430542,-0.036315918,27.807617,-7.7566147,-35.476303
1.4666226497117128E18,-8.761887,-0.85672,2.8230133,-0.040908813,-0.1932373,-0.068359375,27.635384,-7.8422546,-35.895157
1.4666226497318543E18,-8.698715,-0.929245,2.978897,-0.0035247803,-0.18469238,-0.07583618,27.549171,-7.6709747,-36.146355
1.466622649751996E18,-8.578873,-0.9581909,2.9646454,0.01890564,-0.171875,-0.111083984,27.376747,-8.013344,-36.397743
1.4666226497721375E18,-8.387512,-0.8624115,2.840271,7.4768066E-4,-0.17294312,-0.12283325,27.46296,-8.013344,-36.732864
1.466622649792279E18,-8.028168,-0.9137726,2.7043915,-0.049453735,-0.21673584,-0.1335144,27.290535,-7.7566147,-36.816597
1.4666226498124206E18,-8.838821,-1.1550293,2.7404022,-0.096450806,-0.32888794,-0.04272461,27.462769,-7.6709747,-36.984253
1.4666226498325622E18,-9.677124,-1.727951,2.9955292,-0.10606384,-0.29257202,0.008544922,27.11811,-7.585335,-37.23564
1.466622649852704E18,-9.758514,-1.6749268,2.9895935,-0.08149719,-0.25091553,0.030975342,26.859665,-7.585335,-37.73842
1.4666226498728456E18,-9.45816,-0.9079132,2.7902374,-0.08042908,-0.29257202,0.066223145,26.515198,-7.585335,-37.989807
1.4666226498929871E18,-8.976883,-0.6133423,2.5693054,-0.11994934,-0.34918213,0.08758545,26.256943,-7.842064,-38.241196
1.4666226499131287E18,-8.691864,-0.94589233,2.7697144,-0.1872406,-0.37161255,0.086517334,25.912476,-7.756424,-38.157463
1.4666226499332703E18,-8.748474,-1.065445,2.4791412,-0.2150116,-0.38656616,0.07476807,25.65403,-7.670784,-38.241196
1.4666226499584474E18,-8.408356,-1.0756989,1.899231,-0.18510437,-0.36627197,0.0630188,25.223541,-7.756233,-38.576508
1.4666226499735534E18,-8.088333,-0.90341187,1.6560974,-0.1306305,-0.32995605,0.0630188,24.792862,-7.756233,-38.91163
1.4666226499936952E18,-8.014374,-0.82943726,1.3112335,-0.12956238,-0.30645752,0.08972168,24.792862,-7.670784,-39.163017
1.4666226500138368E18,-8.066483,-0.91659546,1.2803192,-0.16481018,-0.24984741,0.12390137,24.70684,-7.3286057,-39.163017
1.4666226500339784E18,-7.909363,-1.2005768,1.6237183,-0.1872406,-0.23382568,0.15060425,24.448395,-7.0718765,-39.49833
1.46662265005412E18,-7.9718933,-1.2587585,2.1469269,-0.12956238,-0.2210083,0.15487671,24.534416,-6.8151474,-39.83364
1.4666226500742615E18,-8.235626,-1.2647247,2.372345,-0.05479431,-0.20391846,0.16342163,24.534416,-6.644058,-40.503883
1.466622650094403E18,-8.685852,-1.3924103,2.2192993,0.033859253,-0.17721558,0.16021729,24.362183,-6.644058,-40.67154
1.4666226501145446E18,-9.262039,-1.3988342,2.030777,0.09794617,-0.16012573,0.17730713,24.448204,-6.815338,-40.755272
1.4666226501346862E18,-9.644058,-1.5757599,1.998169,0.18019104,-0.1579895,0.19332886,24.362183,-6.900978,-40.755272
1.466622650154828E18,-10.680481,-1.9352722,2.198761,0.27098083,-0.081085205,0.23391724,24.276161,-7.0720673,-40.839005
1.4666226501749696E18,-11.917908,-2.1764069,2.4331055,0.35749817,-0.018066406,0.30334473,24.017715,-7.4998856,-41.090393
1.4666226501951112E18,-12.296722,-2.6902313,2.3181458,0.34788513,0.019317627,0.3567505,24.276161,-7.842064,-41.090393
1.4666226502152527E18,-13.2968445,-2.7731934,2.3481598,0.3115692,0.115448,0.40481567,24.276161,-8.269882,-41.090393
1.4666226502353943E18,-14.157288,-2.2710419,2.9839478,0.28379822,0.40811157,0.46035767,24.362373,-8.526611,-40.67154
1.466622650255536E18,-13.547104,-1.2767639,3.5454712,0.30088806,0.6954346,0.42297363,24.534607,-8.86879,-40.587807
1.4666226502756774E18,-12.3172455,-0.8815613,4.2214203,0.2902069,0.7894287,0.3439331,24.965286,-9.125328,-40.42015
1.4666226502958193E18,-10.480438,-1.4307709,5.4537354,0.37672424,0.8855591,0.29159546,25.395775,-9.552956,-40.252495
1.4666226503159608E18,-8.049713,-2.0965576,6.128586,0.48033142,0.77020264,0.29693604,25.912476,-10.066223,-39.83364
1.4666226503361024E18,-7.6934967,-1.8302155,6.422226,0.5123749,0.5982361,0.28625488,26.429176,-10.322762,-39.24713
1.466622650356244E18,-8.751205,-0.6734619,6.1891785,0.4728546,0.35256958,0.1965332,26.773643,-11.007118,-38.91182
1.4666226503763855E18,-8.041504,0.5794525,5.39682,0.3382721,0.07272339,0.09613037,26.945877,-11.349297,-38.157654
1.466622650396527E18,-7.7203064,0.7655945,4.560135,0.1353302,-0.15478516,-0.032043457,27.376556,-11.862564,-37.989998
1.4666226504166687E18,-6.845749,0.2984619,4.7159424,0.31904602,-0.25411987,-0.1335144,27.807236,-12.204742,-37.570953
1.4666226504368102E18,-5.7163086,-0.45021057,4.31691,0.67152405,-0.34277344,-0.23284912,27.97947,-12.461472,-37.654877
1.466622650456952E18,-4.723892,-0.33355713,3.2771149,0.93214417,-0.34490967,-0.35461426,28.237915,-12.632561,-37.40349
1.4666226504770936E18,-4.5494537,0.45666504,2.1732788,0.93748474,-0.35131836,-0.42190552,28.151894,-12.632561,-37.40349
1.4666226504972352E18,-5.255081,1.0782623,1.6162415,0.79008484,-0.4175415,-0.4421997,28.41034,-13.060379,-37.40349
1.4666226505173768E18,-5.91185,1.3054352,1.4589996,0.6384125,-0.4250183,-0.4560852,28.324127,-13.060379,-37.236023
1.4666226505375183E18,-6.69487,1.4529572,1.5162964,0.45256042,-0.4111328,-0.44754028,28.496552,-12.97493,-37.319756
1.46662265055766E18,-7.6496124,1.4006348,1.9492493,0.18980408,-0.4805603,-0.41763306,28.582573,-13.060379,-37.068367
1.4666226505778015E18,-8.518555,1.293335,2.3012848,0.008224487,-0.5350342,-0.3503418,28.582573,-13.146019,-37.319756
1.466622650597943E18,-9.058716,0.9807892,2.5819244,-0.13597107,-0.47735596,-0.29586792,28.582573,-13.231468,-36.984444
1.4666226506180849E18,-9.8745575,0.9103241,2.9042816,-0.2086029,-0.3619995,-0.2947998,28.238106,-13.060379,-37.1521
1.4666226506382264E18,-10.935242,1.3119202,2.9503784,-0.23744202,-0.28723145,-0.2947998,28.238106,-12.97493,-37.40349
1.466622650658368E18,-11.533554,1.9816284,2.2329102,-0.27375793,-0.05331421,-0.3781128,27.97966,-12.718201,-37.654877
1.4666226506785096E18,-10.554092,2.566925,1.5921936,-0.34318542,0.16885376,-0.4550171,28.238106,-12.290573,-37.570953
1.4666226506986511E18,-9.434906,2.368805,1.0695953,-0.34959412,0.41238403,-0.48919678,28.41034,-12.119484,-37.906075
1.4666226507187927E18,-13.142838,2.5944672,1.2698364,-0.38591003,0.5555115,-0.37490845,28.582573,-11.691856,-38.07373
1.4666226507389343E18,-13.867264,1.1533966,2.2957153,-0.515152,0.8513794,0.018157959,28.668785,-11.349678,-37.822342
