time,ax,ay,az,gx,gy,gz,mx,my,mz
1.4666223608005683E18,-0.38684082,-9.401367,-0.4023285,-0.006729126,-0.056518555,-0.019226074,-1.0774612,52.619934,-32.110214
1.4666223608207101E18,-0.42771912,-9.349533,-0.3885498,0.0028839111,-0.06185913,-0.02456665,-0.9914398,52.791023,-31.942749
1.4666223608408517E18,-0.4989624,-9.35762,-0.39424133,0.0039520264,-0.04156494,-0.018157959,-0.90522766,52.962303,-31.775284
1.4666223608609933E18,-0.46688843,-9.358002,-0.33638,0.007156372,-0.011657715,-0.030975342,-0.90522766,53.133392,-32.110596
1.4666223608811348E18,-0.42807007,-9.356247,-0.37071228,0.015701294,0.013977051,-0.033111572,-1.0774612,53.219032,-32.27825
1.4666223609012764E18,-0.39030457,-9.368683,-0.4023285,0.03492737,0.020385742,-0.03845215,-0.9914398,53.30448,-32.27825
1.466622360921418E18,-0.3265381,-9.384689,-0.47261047,0.030654907,0.03213501,-0.052337646,-0.90522766,53.30448,-32.52964
1.4666223609415596E18,-0.32209778,-9.330368,-0.44508362,0.0370636,0.0385437,-0.06088257,-0.6467819,53.21884,-32.613373
1.466622360961701E18,-0.2546997,-9.330368,-0.3592224,0.04774475,0.046020508,-0.06729126,-0.9914398,53.30448,-32.948494
1.466622360981843E18,-0.13494873,-9.373001,-0.3374176,0.07017517,0.057769775,-0.088653564,-1.0774612,53.133392,-33.11596
1.4666223610070198E18,-0.09663391,-9.380676,-0.2370758,0.0723114,0.04815674,-0.10574341,-1.1636734,52.962112,-33.19969
1.466622361022126E18,-0.008071899,-9.430878,-0.268219,0.06590271,0.026794434,-0.1335144,-1.2498856,52.876663,-33.032036
1.4666223610422676E18,-0.07748413,-9.353287,-0.31071472,0.066970825,-0.009521484,-0.14953613,-1.077652,52.876663,-32.948303
1.4666223610624092E18,-0.21653748,-9.276611,-0.4196167,0.07658386,-0.024475098,-0.1612854,-1.335907,52.791214,-33.11596
1.4666223610825508E18,-0.4459839,-9.178619,-0.49812317,0.0861969,-0.016998291,-0.16983032,-1.5083313,52.962303,-33.11596
1.4666223611026924E18,-0.5330963,-9.362106,-0.51068115,0.09580994,-0.01272583,-0.16662598,-1.6805649,52.962303,-33.032227
1.466622361122834E18,-0.5303955,-9.420776,-0.5540924,0.10328674,-0.0052490234,-0.17410278,-1.6805649,52.705574,-32.697105
1.4666223611429757E18,-0.5754547,-9.474136,-0.64172363,0.11717224,-0.011657715,-0.18478394,-1.5083313,52.619934,-32.78103
1.4666223611631173E18,-0.52516174,-9.471527,-0.7733612,0.069107056,-0.003112793,-0.19973755,-1.6805649,52.534485,-32.78103
1.466622361183259E18,-0.46064758,-9.42186,-0.8046417,0.04774475,-0.025543213,-0.19546509,-1.766777,52.363205,-32.78103
1.4666223612034004E18,-0.49617004,-9.355133,-0.84576416,0.040267944,-0.060791016,-0.1965332,-1.766777,52.191925,-33.032417
1.466622361223542E18,-0.7490692,-9.235626,-0.8823242,0.04988098,-0.06826782,-0.1612854,-1.9390106,52.106285,-33.032417
1.4666223612436836E18,-0.7743683,-9.24176,-0.8657074,0.06590271,-0.042633057,-0.12390137,-2.2834778,52.106285,-33.032417
1.4666223612638252E18,-0.81837463,-9.330368,-0.88157654,0.05949402,-0.016998291,-0.108947754,-2.5419235,52.277374,-33.283806
1.466622361283967E18,-0.85272217,-9.404327,-0.80197144,0.10221863,-0.038360596,-0.09613037,-2.714157,52.448463,-33.70285
1.4666223613041085E18,-0.90530396,-9.832504,-1.0688477,-0.012069702,0.049224854,-0.08224487,-3.1448364,52.619743,-33.70285
1.46662236132425E18,-1.13797,-9.842056,-0.9511261,-0.21073914,0.2489624,-0.07904053,-3.0586243,52.534103,-33.70285
1.4666223613443917E18,-0.57199097,-9.83197,-1.1460114,-0.3068695,0.3055725,-0.07583618,-3.3168793,52.534103,-33.619118
1.4666223613645332E18,0.1693573,-9.612839,-1.1690979,-0.47669983,0.3322754,-0.08758545,-3.4029007,52.876472,-33.36773
1.4666223613846748E18,0.29670715,-8.868774,-1.2009735,-0.6785736,0.46472168,-0.039520264,-3.3168793,53.21865,-33.032417
1.4666223614048164E18,-0.012435913,-8.215179,-0.9828491,-0.74372864,0.81399536,0.08117676,-3.0584335,53.47538,-32.864952
1.4666223614249574E18,-0.38327026,-8.181625,-1.6508789,-0.59846497,1.0190735,0.25421143,-2.9722214,53.56102,-32.52964
1.466622361445099E18,0.55252075,-8.9339905,-1.5543365,-0.3912506,0.866333,0.22003174,-2.6277542,53.81775,-31.94313
1.4666223614652406E18,0.31253052,-9.942749,-1.7621307,-0.2288971,0.6687317,0.027770996,-2.1108627,53.9032,-31.775475
1.4666223614853821E18,-0.76023865,-11.45903,-3.032135,-0.3410492,0.5768738,-0.15060425,-1.9386292,54.331017,-31.440353
1.4666223615105592E18,-1.4065399,-10.008347,-2.741562,-0.63371277,0.2628479,-0.2809143,-1.6803741,54.587746,-31.021309
1.4666223615256653E18,-1.1289673,-9.0407715,-2.3062592,-0.6166229,0.09515381,-0.2809143,-1.4219284,54.929924,-30.4348
1.4666223615458068E18,-0.12388611,-8.501038,-2.6734772,-0.5813751,0.09088135,-0.26916504,-1.1634827,55.101013,-30.015945
