time,deviceID,height,location,ax,ay,az,gx,gy,gz,mx,my,mz
1470430110754864463,1749368951,,,0.334442138671875,10.05810546875,0.2804107666015625,0.029144287109375,-0.229766845703125,0.0230712890625,-14.0350341796875,-48.175048828125,20.84197998046875,
1470430110759899864,1749368951,,,0.3834991455078125,9.988800048828125,0.283172607421875,0.0501708984375,-0.21405029296875,0.0230712890625,-14.0350341796875,-48.175048828125,20.84197998046875,
1470430110764935264,1749368951,,,0.3874664306640625,9.961761474609375,0.2965545654296875,0.068115234375,-0.195037841796875,0.02227783203125,-14.0350341796875,-48.175048828125,20.84197998046875,
1470430110769970665,1749368951,,,0.2979736328125,10.021957397460938,0.2763824462890625,0.08203125,-0.165130615234375,0.022003173828125,-14.0350341796875,-48.175048828125,20.84197998046875,
1470430110764935264,1749368951,,,0.2979736328125,10.021957397460938,0.2763824462890625,0.08203125,-0.165130615234375,0.022003173828125,-14.28985595703125,-48.406982421875,20.84197998046875,
1470430110775006065,1749368951,,,0.2593841552734375,10.061798095703125,0.359222412109375,0.0836334228515625,-0.11590576171875,0.0176544189453125,-14.28985595703125,-48.406982421875,20.84197998046875,
1470430110780041465,1749368951,,,0.2343292236328125,10.07293701171875,0.4283599853515625,0.076416015625,-0.0482330322265625,0.0096435546875,-14.28985595703125,-48.406982421875,20.84197998046875,
1470430110785076866,1749368951,,,0.2237701416015625,10.123550415039063,0.3500518798828125,0.06781005859375,0.0279998779296875,0.00103759765625,-14.28985595703125,-48.406982421875,20.84197998046875,
1470430110790112266,1749368951,,,0.2185516357421875,10.10369873046875,0.3217620849609375,0.0627593994140625,0.09588623046875,-0.007598876953125,-14.28985595703125,-48.406982421875,20.84197998046875,
1470430110785076866,1749368951,,,0.2185516357421875,10.10369873046875,0.3217620849609375,0.0627593994140625,0.09588623046875,-0.007598876953125,-14.48516845703125,-48.504638671875,20.84197998046875,
1470430110795147666,1749368951,,,0.212188720703125,10.094253540039063,0.2563018798828125,0.061248779296875,0.138153076171875,-0.0173492431640625,-14.48516845703125,-48.504638671875,20.84197998046875,
1470430110800183067,1749368951,,,0.1906280517578125,10.051193237304688,0.198883056640625,0.0637054443359375,0.16754150390625,-0.0277252197265625,-14.48516845703125,-48.504638671875,20.84197998046875,
1470430110805218467,1749368951,,,0.1559600830078125,10.051483154296875,0.129547119140625,0.0716094970703125,0.1779022216796875,-0.037567138671875,-14.48516845703125,-48.504638671875,20.84197998046875,
1470430110810253868,1749368951,,,0.1220855712890625,9.975982666015625,-0.0689697265625,0.0802154541015625,0.1798553466796875,-0.0453948974609375,-14.48516845703125,-48.504638671875,20.84197998046875,
1470430110805218467,1749368951,,,0.1220855712890625,9.975982666015625,-0.0689697265625,0.0802154541015625,0.1798553466796875,-0.0453948974609375,-12.73651123046875,-48.15216064453125,21.185302734375,
1470430110815289268,1749368951,,,0.103271484375,9.954315185546875,-0.1112518310546875,0.08782958984375,0.17718505859375,-0.0510101318359375,-12.73651123046875,-48.15216064453125,21.185302734375,
1470430110820324668,1749368951,,,0.065185546875,9.910476684570313,-0.1895294189453125,0.0897369384765625,0.17108154296875,-0.05548095703125,-12.73651123046875,-48.15216064453125,21.185302734375,
1470430110825360069,1749368951,,,0.0290679931640625,9.92694091796875,-0.2544097900390625,0.0863037109375,0.1641693115234375,-0.056854248046875,-12.73651123046875,-48.15216064453125,21.185302734375,
1470430110830395469,1749368951,,,-0.04974365234375,9.914352416992188,-0.2869873046875,0.0760345458984375,0.1523895263671875,-0.057037353515625,-12.73651123046875,-48.15216064453125,21.185302734375,
1470430110825360069,1749368951,,,-0.04974365234375,9.914352416992188,-0.2869873046875,0.0760345458984375,0.1523895263671875,-0.057037353515625,-13.458251953125,-48.01025390625,20.6298828125,
1470430110835430870,1749368951,,,-0.0496826171875,9.879898071289063,-0.317626953125,0.0632476806640625,0.1356201171875,-0.057037353515625,-13.458251953125,-48.01025390625,20.6298828125,
