time,ax,ay,az,gx,gy,gz,mx,my,mz
1.466621272811668E18,-1.8400421,-8.956345,-1.8099976,-0.020614624,-0.0020446777,-0.010681152,1.3343811,48.599052,-27.334404
1.4666212728318095E18,-1.8400421,-8.973724,-1.7979584,-0.018478394,-0.0020446777,-0.014953613,1.248169,48.513412,-27.334404
1.466621272851951E18,-1.9049988,-8.974152,-1.8392029,-0.016342163,-0.007385254,-0.010681152,1.1619568,48.6845,-27.50206
1.4666212728720927E18,-1.9064636,-8.907623,-1.8392029,-0.0259552,0.006500244,-0.018157959,1.248169,48.77014,-27.334595
1.4666212728922342E18,-1.8400421,-8.969055,-1.8035583,-0.029159546,-0.011657715,-0.035247803,1.248169,48.513412,-27.334595
1.4666212729123758E18,-1.8168793,-8.924042,-1.8392029,-0.03236389,-0.01272583,-0.029907227,1.3341904,48.599052,-26.999474
1.4666212729325176E18,-1.9041138,-8.915482,-1.922409,-0.0259552,0.0032958984,-0.029907227,1.4204025,48.85559,-26.664352
1.4666212729526592E18,-2.0118713,-8.937927,-1.9250946,-0.02809143,0.024658203,-0.028839111,1.4204025,48.85559,-26.496887
1.4666212729728008E18,-2.0845032,-8.920776,-1.9614105,-0.030227661,0.018249512,-0.019226074,1.248169,48.94104,-26.496887
1.4666212729929423E18,-1.9745483,-8.940689,-1.9288635,-0.037704468,-9.765625E-4,-0.027770996,1.3343811,49.19777,-26.496887
1.466621273013084E18,-1.8655853,-9.148376,-2.0052338,-0.055862427,-0.014862061,-0.02670288,1.2483597,49.02668,-26.329231
1.4666212730332255E18,-1.859787,-9.272888,-1.9152374,-0.053726196,-0.029815674,-0.037384033,1.0761261,48.94104,-26.58062
1.466621273053367E18,-1.9738617,-9.222015,-1.9029388,-0.05265808,-0.049041748,-0.041656494,0.98991394,49.28322,-26.496696
1.4666212730735086E18,-2.146576,-9.069733,-1.9082489,-0.043045044,-0.049041748,-0.0630188,0.81768036,49.368668,-26.915741
1.4666212730936504E18,-2.089096,-8.900513,-1.9158325,-0.05265808,-0.023406982,-0.066223145,0.98991394,49.454308,-27.250862
1.466621273113792E18,-1.9795074,-8.71167,-1.795227,-0.06867981,0.0075683594,-0.08117676,0.98991394,49.539948,-27.418327
1.4666212731339336E18,-1.7960358,-8.557526,-1.6928711,-0.053726196,-0.024475098,-0.11642456,0.9037018,49.625587,-27.669716
1.4666212731540751E18,-1.714859,-8.465286,-1.6697388,-0.02809143,-0.023406982,-0.113220215,0.7314682,49.36886,-27.669716
1.4666212731691814E18,-1.6551361,-8.493668,-1.762558,0.0135650635,-0.003112793,-0.119628906,0.47302246,49.454308,-28.004837
1.4666212731943583E18,-1.7487488,-8.561798,-1.8605957,0.0231781,0.084472656,-0.119628906,0.5590439,49.36886,-27.837181
1.4666212732144998E18,-1.8400421,-8.607269,-1.930069,0.007156372,0.12719727,-0.108947754,0.47302246,49.36886,-27.837181
1.4666212732346417E18,-1.9975128,-8.693954,-1.9424591,-0.020614624,0.12826538,-0.09933472,0.38700104,49.36886,-27.418137
1.4666212732547832E18,-2.089096,-8.784882,-2.0297394,-0.038772583,0.08874512,-0.07797241,-0.12989044,49.19777,-27.166748
1.4666212732749248E18,-2.246811,-8.817551,-2.0971375,-0.06227112,0.041748047,-0.055541992,-0.21591187,49.11213,-27.083015
1.4666212732950664E18,-2.2955322,-8.857651,-2.1605682,-0.069747925,-0.015930176,-0.041656494,-0.1296997,49.19758,-26.747894
1.466621273315208E18,-2.3254242,-8.915298,-2.1725464,-0.10179138,-0.09817505,-0.005340576,-0.30212402,49.454308,-26.58043
1.4666212733353495E18,-2.283371,-9.059479,-2.1114044,-0.121017456,-0.1643982,0.0010681152,-0.2161026,49.539948,-26.161575
1.466621273355491E18,-2.2193298,-8.920258,-1.9694061,-0.13383484,-0.2776184,-0.02029419,-0.30212402,49.711037,-26.161575
1.4666212733756326E18,-2.089096,-8.6210785,-1.8457336,-0.12742615,-0.3320923,-0.03845215,-0.30212402,49.539948,-26.161575
1.4666212733957745E18,-1.9364319,-8.353897,-1.7724304,-0.118881226,-0.3320923,-0.021362305,-0.30212402,49.711037,-26.077843
1.466621273415916E18,-1.7473755,-8.264938,-1.7434082,-0.096450806,-0.27975464,0.005340576,0.042533875,49.796486,-25.826454
1.4666212734360576E18,-1.5401154,-8.435883,-1.5841827,-0.04838562,-0.25946045,0.018157959,-0.043678284,49.967575,-25.575066
1.4666212734561992E18,-1.5058594,-8.678848,-1.8965149,0.0050201416,-0.11526489,0.032043457,-0.30212402,50.053215,-25.491142
1.4666212734763407E18,-1.3798065,-9.179794,-2.2236938,-0.0056610107,0.1581726,0.017089844,-0.30212402,50.138664,-25.491142
1.4666212734964823E18,-1.2844543,-9.4674835,-2.439087,-0.02168274,0.48181152,-0.02670288,-0.1296997,50.224113,-25.407219
1.466621273516624E18,-1.2822266,-9.598587,-2.907608,-0.090042114,0.83428955,-0.06942749,-0.21591187,50.56629,-25.407219
1.4666212735367654E18,-1.6375427,-9.412399,-3.0680237,-0.121017456,1.0115967,-0.041656494,-0.30212402,50.82302,-25.239754
1.4666212735569073E18,-1.9192047,-9.125427,-3.1911163,-0.06867981,1.0201416,-0.034179688,-0.38833618,50.90866,-25.15583
1.4666212735770488E18,-1.9808655,-9.022873,-3.590271,-0.043045044,0.9346924,-0.018157959,-0.56056976,50.9943,-25.490952
1.4666212735971904E18,-2.146576,-8.822464,-3.7425385,-0.04411316,0.74884033,-0.013885498,-0.2161026,50.90885,-25.490952
1.4666212736122964E18,-2.0461884,-8.622284,-3.9895172,-0.15519714,0.35577393,-0.008544922,0.30059814,50.90885,-25.407219
1.4666212736374735E18,-1.7421722,-8.191727,-3.7596283,-0.28871155,0.100494385,-0.18692017,0.73127747,50.90885,-25.323296
