time,ax,ay,az,gx,gy,gz,mx,my,mz
1.4666200653025213E18,8.126755,5.749298,0.27241516,-0.040908813,0.010772705,-0.10147095,-19.881248,-42.321014,-9.140396
1.466620065322663E18,7.844696,5.809433,0.24430847,-0.069747925,0.017181396,-0.12817383,-19.881248,-42.321014,-8.97274
1.4666200653428045E18,7.758255,5.847473,0.28004456,-0.092178345,0.044952393,-0.14419556,-19.709015,-42.321014,-8.889008
1.466620065362946E18,7.6816254,5.9012146,0.3256836,-0.07295227,0.055633545,-0.16021729,-19.709015,-42.492104,-8.805275
1.466620065383088E18,7.707367,5.899872,0.28736877,-0.07936096,0.1293335,-0.16555786,-19.622993,-42.577744,-9.056473
1.4666200654032294E18,7.494385,5.943115,0.4406433,-0.07295227,0.09942627,-0.14312744,-19.622993,-42.492104,-9.056473
1.466620065423371E18,7.509201,5.88414,0.4406433,-0.0056610107,0.19021606,-0.10574341,-19.622993,-42.492104,-9.140205
1.4666200654435126E18,7.5702667,5.7819214,0.337677,0.09046936,0.25003052,-0.06088257,-19.709015,-42.406654,-8.97274
1.4666200654636541E18,8.053497,5.5977936,-0.0038604736,0.08406067,0.22546387,-0.06515503,-19.709015,-42.406654,-8.805084
1.4666200654837957E18,8.741913,5.638687,-0.025436401,0.042404175,0.2276001,-0.1335144,-19.53659,-42.748833,-8.721352
1.4666200655039373E18,9.166916,5.5758057,0.2671814,0.028518677,0.23294067,-0.2809143,-19.278145,-42.834282,-8.889008
1.466620065524079E18,8.841888,5.636444,0.6588745,0.10115051,0.09408569,-0.4208374,-19.192123,-43.00537,-8.889008
1.4666200655442207E18,8.327316,5.7156067,0.62654114,0.22184753,0.08340454,-0.4133606,-19.01989,-43.00537,-8.889008
1.4666200655643622E18,8.014252,5.6548767,0.30819702,0.34147644,0.1506958,-0.35888672,-18.761444,-43.34755,-8.889008
1.4666200655845038E18,7.9698944,5.593933,-0.020050049,0.39060974,0.21051025,-0.2798462,-18.58902,-43.689728,-8.805275
1.4666200656046454E18,8.086792,5.552765,-0.073776245,0.3243866,0.15283203,-0.2798462,-18.330765,-43.946266,-8.721542
1.466620065624787E18,7.900528,5.4160156,0.051986694,0.22932434,0.07272339,-0.34072876,-18.158531,-44.288445,-8.63781
1.4666200656449285E18,7.602463,5.2820435,0.0904541,0.18125916,0.028930664,-0.35995483,-17.814064,-44.459534,-8.470154
1.46662006566507E18,7.2302856,5.3150177,-0.010696411,0.116104126,0.00970459,-0.31188965,-17.727852,-44.545174,-8.135033
1.466620065685212E18,7.246811,5.440674,-0.05747986,0.07765198,0.0524292,-0.20721436,-17.469406,-44.545174,-8.135033
1.4666200657053535E18,7.6115723,5.4981537,0.0,0.060562134,0.13574219,-0.15167236,-17.555428,-44.887352,-7.7999115
1.4666200657204595E18,7.807953,5.5686646,0.06442261,0.04347229,0.14001465,-0.1399231,-17.21096,-45.05844,-7.548523
1.4666200657456366E18,7.9287415,5.385132,-0.08052063,-0.0035247803,0.0663147,-0.20080566,-17.038727,-45.31498,-7.380867
1.4666200657657782E18,7.7827606,5.421509,-0.258255,-0.0750885,0.05883789,-0.21469116,-17.21096,-45.31498,-7.1294785
1.4666200657859197E18,7.71994,5.500534,-0.10057068,-0.11994934,0.16137695,-0.17303467,-17.038727,-45.48607,-7.045746
1.4666200658060613E18,8.046524,5.632263,0.19203186,-0.045181274,0.26498413,-0.13244629,-17.038727,-45.40062,-7.045746
1.466620065826203E18,8.401855,5.7855225,0.31222534,-0.022750854,0.27352905,-0.16235352,-16.780281,-45.742798,-6.9618225
1.4666200658463447E18,8.564529,5.887985,0.195755,-0.051589966,0.21798706,-0.24993896,-16.608047,-45.828247,-7.045555
1.4666200658664863E18,8.190369,6.029251,0.16976929,-0.1103363,0.17312622,-0.3086853,-16.349602,-45.999336,-7.1294785
1.4666200658866278E18,7.931732,6.1707764,0.021270752,-0.23744202,-0.06613159,-0.31402588,-16.435623,-45.657158,-7.213211
1.4666200659067694E18,7.9232635,6.524658,0.33624268,-0.32182312,-0.11206055,-0.2670288,-16.521835,-45.48607,-7.380867
1.466620065926911E18,7.9818726,6.9409943,0.86183167,-0.26200867,-0.058654785,-0.17089844,-16.091156,-45.742798,-7.6322556
1.4666200659470525E18,7.9293365,7.222397,1.0728607,-0.11994934,0.062042236,-0.057678223,-16.091156,-45.828438,-7.548332
1.466620065967194E18,8.007019,7.4677277,1.0422821,-0.030227661,0.1368103,0.03845215,-15.918922,-45.999527,-7.4645996
1.466620065987336E18,8.068787,7.495056,0.9258423,-0.043045044,-0.030883789,0.068359375,-16.091347,-45.828438,-7.4645996
1.4666200660074775E18,7.8623962,7.591324,0.8370819,-0.06333923,-0.24130249,0.17410278,-16.177368,-45.74299,-7.4645996
1.466620066027619E18,7.835037,7.3946686,0.68955994,-0.13169861,-0.36947632,0.2883911,-16.522026,-45.82863,-7.3806763
1.4666200660477606E18,8.254135,7.219574,0.91737366,-0.16481018,-0.37054443,0.3567505,-16.780472,-45.91427,-7.3806763
1.4666200660679022E18,8.748489,7.211609,1.4446564,-0.08576965,-0.35131836,0.3161621,-16.866493,-45.82882,-7.1292877
1.4666200660880438E18,8.872543,6.8949127,1.9176178,0.10115051,-0.25091553,0.14846802,-17.124939,-45.74318,-6.877899
1.4666200661081853E18,7.9649506,6.5880737,1.6498566,0.35108948,-0.25198364,-0.090789795,-17.383385,-45.74318,-6.877899
1.466620066128327E18,6.735504,6.627228,0.68110657,0.35108948,-0.40472412,-0.16235352,-17.900085,-45.65754,-6.961632
1.4666200661484687E18,5.9864197,6.810791,-0.01586914,0.1844635,-0.44210815,-0.088653564,-18.15834,-45.74299,-6.710243
1.4666200661686103E18,6.043518,6.8168488,0.24893188,-0.031295776,-0.40899658,0.023498535,-18.330574,-45.828438,-6.1237335
1.466620066188752E18,6.626129,6.8200684,0.87564087,-0.1028595,-0.2562561,0.066223145,-18.502808,-45.742798,-5.7886124
1.4666200662088934E18,7.2308044,6.7760468,1.3309021,-0.10072327,-0.2487793,-0.061950684,-18.58902,-45.913887,-5.453491
1.466620066229035E18,7.3367767,6.884659,1.3793945,-0.10072327,-0.28936768,-0.19973755,-18.675232,-46.084976,-5.2021027
1.4666200662491766E18,7.231247,6.925583,1.0144958,-0.1028595,-0.3684082,-0.31829834,-18.847466,-46.170616,-4.950714
1.4666200662693181E18,7.1137085,6.87204,0.71702576,-0.088974,-0.36520386,-0.36849976,-19.0197,-46.170616,-4.3642044
1.4666200662894597E18,6.755783,6.666809,0.30029297,-0.071884155,-0.3395691,-0.38879395,-19.0197,-46.341705,-3.9453506
1.4666200663096015E18,6.4582977,6.5490417,0.060287476,-0.057998657,-0.35772705,-0.36743164,-19.105911,-46.512794,-3.6102295
1.466620066329743E18,6.3605957,6.4003754,-0.32836914,-0.12528992,-0.35772705,-0.28625488,-19.01989,-46.683884,-3.693962
1.4666200663498847E18,6.440048,6.326248,-0.46350098,-0.24491882,-0.33422852,-0.27130127,-18.761444,-46.854973,-3.6102295
1.4666200663700262E18,6.448807,6.162445,-0.07751465,-0.38163757,-0.32781982,-0.315094,-18.675232,-47.11151,-3.358841
1.4666200663901678E18,6.305496,6.00502,0.18283081,-0.39872742,-0.32781982,-0.36315918,-18.675232,-47.2826,-3.358841
1.4666200664103094E18,6.034607,6.038162,0.5088959,-0.34318542,-0.19216919,-0.3781128,-18.675232,-47.36805,-3.191185
1.466620066430451E18,5.6071777,6.1617737,0.55026245,-0.23851013,-0.09710693,-0.30975342,-18.416786,-47.53914,-3.2751083
1.4666200664505928E18,5.5897217,6.2882385,0.47169495,-0.20219421,-0.0949707,-0.24887085,-18.330765,-47.881317,-3.1913757
1.4666200664707343E18,5.8428802,6.6292267,0.45994568,-0.17015076,-0.058654785,-0.14633179,-17.986298,-48.052406,-3.275299
1.466620066490876E18,6.034012,7.15654,0.46788025,-0.21821594,0.03640747,-0.072631836,-17.727852,-48.138046,-3.1915665
1.4666200665110175E18,6.1458435,7.5258026,0.80688477,-0.32182312,0.021453857,0.019226074,-17.727852,-48.394775,-3.275299
1.466620066531159E18,6.3755646,7.9405212,1.3774567,-0.3271637,-0.043701172,0.119628906,-17.64183,-48.565865,-3.6104202
1.4666200665513006E18,6.991028,8.480148,1.9771729,-0.17869568,0.055633545,0.27236938,-17.383385,-48.480225,-3.8618088
1.4666200665714422E18,8.014526,8.671478,2.2973328,0.07658386,0.36218262,0.34820557,-17.383385,-48.480225,-4.19693
1.4666200665915837E18,8.852356,8.681824,2.2640991,0.27311707,0.5202637,0.29052734,-17.383385,-48.565674,-4.2806625
1.4666200666117256E18,8.560516,8.779007,1.999649,0.4226532,0.4657898,0.113220215,-17.297173,-48.394585,-4.4481277
1.4666200666318671E18,7.940933,8.882019,1.3807526,0.49742126,0.106903076,0.06729126,-17.383194,-48.394585,-4.5318604
1.4666200666520087E18,7.1957855,8.160385,0.83428955,0.62345886,0.12719727,0.108947754,-17.64164,-48.394585,-4.280472
1.4666200666721503E18,6.683609,7.4104004,0.050354004,0.7292023,0.012908936,0.15487671,-17.555618,-48.394585,-4.1130066
1.4666200666922918E18,6.3405457,6.9445953,-1.1111755,0.6170502,-0.085357666,0.19973755,-17.555618,-48.480225,-3.8618088
1.4666200667124334E18,6.5337524,7.400009,-1.6110687,0.31370544,0.13787842,0.32684326,-17.555618,-48.565865,-3.3590317
1.466620066732575E18,7.6606903,7.2063446,-0.5573578,0.1844635,0.23934937,0.27877808,-17.64164,-49.079132,-3.0239105
1.4666200667527165E18,8.198898,7.194412,-0.3094635,0.25175476,0.23828125,0.045928955,-17.64164,-48.993683,-2.6887894
1.4666200667728584E18,7.690979,7.185852,-0.9039917,0.2058258,0.100494385,-0.21575928,-17.727852,-49.079323,-2.3536682
1.466620066793E18,7.035736,7.2607117,-1.4032898,0.11503601,-0.13235474,-0.33325195,-17.555618,-49.250412,-2.018547
1.4666200668131415E18,6.851822,7.014038,-1.8272247,0.012496948,-0.11419678,-0.42190552,-17.555618,-49.50695,-1.8508911
1.466620066833283E18,6.1375275,6.822006,-1.4532013,-0.051589966,-0.06826782,-0.47851563,-17.469406,-49.50695,-1.7669678
1.4666200668534246E18,5.442795,6.4910736,-1.1494904,-0.04624939,-0.09603882,-0.46783447,-17.21096,-49.50695,-1.7669678
1.4666200668735662E18,4.8195343,6.053314,-1.3544006,-0.088974,-0.07147217,-0.38345337,-17.124939,-49.934578,-1.5155792
1.4666200668937078E18,4.421112,5.812454,-1.3183136,-0.16908264,9.1552734E-5,-0.23284912,-16.780472,-49.84913,-1.7669678
