time,ax,ay,az,gx,gy,gz,mx,my,mz
1.4666197904350994E18,-0.8096924,5.364044,7.575012,0.26029968,0.2062378,-0.4058838,-4.463196,-45.999146,-29.585266
1.4666197904502057E18,-0.721756,5.3257294,7.680832,-0.15626526,-0.22528076,-0.0491333,-4.9224854,-46.22752,-29.696655
1.4666197904703473E18,-0.5499573,5.249008,7.7973633,-0.20433044,-0.3128662,-0.06942749,-4.9800873,-46.512604,-29.584885
1.4666197904904888E18,-0.40316772,5.1219025,7.841049,-0.24812317,-0.2979126,-0.09933472,-5.290222,-46.546936,-29.651794
1.4666197905106304E18,-0.39413452,5.037277,8.135376,-0.20646667,-0.23916626,-0.1260376,-5.4969788,-46.341705,-29.473114
1.466619790530772E18,-0.6193085,4.904236,8.255875,-0.13169861,-0.1643982,-0.14846802,-5.4478235,-46.390644,-29.536875
1.4666197905509135E18,-1.1240692,4.9577026,8.138275,-0.09965515,-0.20071411,-0.11856079,-5.4109573,-46.512794,-29.584694
1.4666197905710554E18,-1.0939789,5.0131683,7.9446716,-0.13169861,-0.2776184,-0.056610107,-5.669403,-46.598434,-29.50077
1.466619790591197E18,-0.67796326,5.046829,7.714508,-0.12849426,-0.34277344,-0.03845215,-5.927849,-46.512985,-29.416847
1.4666197906113385E18,-0.45573425,5.029999,7.2776947,-0.19258118,-0.3256836,-0.017089844,-5.8418274,-46.427345,-29.50077
1.46661979063148E18,-0.20097351,5.0191956,7.4694366,-0.28230286,-0.23809814,0.018157959,-6.014061,-46.085167,-29.668427
1.4666197906516216E18,-0.034713745,4.9115906,8.002365,-0.25346375,-0.13876343,0.018157959,-6.1000824,-45.828438,-29.75235
1.4666197906717632E18,0.018753052,4.7309113,8.317383,-0.15412903,-0.004180908,0.013885498,-6.1000824,-45.742798,-29.836082
1.4666197906919048E18,0.025497437,4.636032,8.522446,-0.059066772,0.080200195,-0.011749268,-6.186104,-45.48607,-29.920006
1.4666197907120463E18,-0.03916931,4.5571594,8.368759,-0.007797241,0.075927734,-0.039520264,-6.444359,-45.14389,-30.255318
1.4666197907321882E18,-0.10014343,4.8081665,8.176819,-0.05052185,-0.015930176,-0.055541992,-6.444359,-44.801712,-30.506706
1.4666197907523297E18,-0.34568787,4.884247,8.180588,-0.11140442,-0.023406982,-0.02029419,-6.185913,-44.544983,-30.506706
1.4666197907724713E18,-0.47129822,4.4827576,8.731934,-0.087905884,-0.19857788,-0.0064086914,-6.5303802,-44.288445,-30.590439
1.4666197907926129E18,-0.68777466,4.559387,8.5720825,0.058425903,-0.5093994,0.04058838,-6.5303802,-44.374084,-30.757904
1.46661979081779E18,0.09138489,4.7701263,6.637253,-0.022750854,-0.58309937,0.18478394,-6.444359,-44.545174,-30.757904
1.466619790832896E18,0.8033447,4.7892914,6.0902557,-0.25239563,-0.41540527,0.1751709,-6.6165924,-44.630814,-31.093025
1.4666197908530376E18,1.5172577,4.5403748,6.7334747,-0.63371277,-0.20178223,0.07797241,-6.9612503,-44.630814,-31.26049
1.4666197908731791E18,1.6199341,4.188675,8.716064,-0.69566345,-0.10031128,-0.20935059,-7.1336746,-44.459724,-31.176567
1.466619790893321E18,0.98950195,4.2137146,9.856537,-0.42970276,-0.049041748,-0.41656494,-7.3921204,-44.288635,-31.511879
1.4666197909134625E18,-0.054489136,4.4022827,9.644287,-0.18083191,0.04815674,-0.43258667,-7.7365875,-44.117546,-31.84719
1.466619790933604E18,-0.58981323,4.6007843,9.033478,-0.07829285,0.18167114,-0.3161621,-7.305908,-44.031906,-31.930923
