time,ax,ay,az,gx,gy,gz,mx,my,mz
1.46662072213525E18,-0.33059692,4.409607,8.851135,4.2240753,3.9649353,4.382477,3.8024902,-49.25232,-46.717834
1.4666207221453207E18,-0.3925476,4.3380127,8.972519,-0.2288971,0.012908936,-0.14099121,3.113556,-49.25232,-47.052765
1.466620722160427E18,-0.4989624,4.431061,9.081024,-0.08576965,0.053497314,-0.06088257,3.1133015,-49.708557,-46.717834
1.4666207221805686E18,-0.26307678,4.3294983,8.647583,0.04347229,0.100494385,-0.016021729,2.9411316,-49.594498,-46.55037
1.4666207222007101E18,-0.03916931,4.378784,8.1887665,-0.040908813,0.07913208,-0.061950684,3.1134033,-49.799805,-46.583862
1.4666207222158164E18,-0.11955261,4.3982086,8.245163,-0.14131165,0.021453857,-0.09719849,3.1133015,-49.59437,-46.49455
1.4666207222409933E18,-0.0657959,4.2986298,8.495575,-0.15306091,0.0032958984,-0.13244629,3.113229,-49.83869,-46.33484
1.4666207222661704E18,-0.6279907,4.3818665,8.496124,-0.12315369,0.051361084,-0.095062256,3.1131744,-49.936485,-46.215057
1.4666207222812767E18,-0.59251404,4.34639,8.652817,-0.10713196,0.031066895,-0.066223145,2.9409409,-49.850845,-46.131325
1.4666207223014182E18,-0.19618225,4.487686,8.698471,-0.07295227,0.047088623,-0.054473877,2.9409409,-49.850845,-45.96386
1.4666207223215598E18,0.114105225,4.437454,8.81282,-0.008865356,0.098358154,-0.13565063,3.1131744,-49.594116,-46.131325
1.4666207223417014E18,-0.11520386,4.4213257,8.79985,0.029586792,0.104766846,-0.17303467,3.285408,-49.594116,-46.131325
1.466620722361843E18,-0.51560974,4.406128,8.944412,0.11930847,0.09088135,-0.1335144,3.1131744,-49.423027,-46.131325
1.4666207223819845E18,-0.39535522,4.5324097,8.6184845,0.21757507,0.19021606,-0.0982666,3.3716202,-49.508667,-46.0474
1.4666207224071616E18,-0.44404602,4.5210724,8.108307,0.057357788,0.09729004,-0.10467529,3.630066,-49.16649,-46.0474
1.466620722422268E18,-0.8069916,4.5034027,8.299988,-0.040908813,-0.10671997,-0.0630188,3.8022995,-48.9954,-46.0474
1.4666207224424095E18,-0.5443268,4.429306,8.487122,0.009292603,0.047088623,-0.004272461,3.974533,-49.25213,-45.963478
1.466620722462551E18,-0.51034546,4.340866,8.364395,0.07658386,0.16137695,0.041656494,4.1467667,-49.16649,-46.04721
1.4666207224826926E18,-0.2642517,4.195389,8.100784,-0.019546509,0.07485962,0.037384033,3.8885117,-49.25213,-45.795822
1.4666207225028342E18,-0.52960205,4.0612793,8.501114,-0.087905884,-0.07788086,0.037384033,3.974533,-49.337578,-45.879555
1.4666207225229757E18,-0.5296478,3.9999237,8.889572,-0.013137817,-0.14303589,0.06729126,3.888321,-49.423027,-45.795822
1.4666207225431173E18,-0.5708313,4.033722,8.824829,0.14067078,-0.031951904,0.12924194,3.888321,-49.508476,-45.879745
1.4666207225632591E18,-0.17549133,4.0988464,8.353012,0.21009827,0.17633057,0.10253906,3.5438538,-49.508476,-45.96367
1.4666207225834007E18,-0.2373352,4.1477814,8.487122,0.198349,0.13574219,0.066223145,3.4578323,-49.679565,-46.131325
1.4666207226035423E18,-0.31332397,4.245575,8.339813,0.17591858,0.042816162,0.025634766,3.2855988,-49.679565,-46.21525
1.4666207226236838E18,-0.46064758,4.3722076,8.142273,0.1353302,0.04067993,0.035247803,3.3716202,-49.850655,-46.047592
1.4666207226438254E18,-0.721344,4.5032806,8.124496,0.07978821,0.07272339,0.055541992,3.5438538,-49.936104,-46.21525
1.466620722663967E18,-0.95132446,4.551941,8.32756,0.054153442,0.05883789,0.12390137,3.3716202,-49.850655,-46.131516
