time,ax,ay,az,gx,gy,gz,mx,my,mz
1.4666245810042698E18,-1.7655029,2.5094604,8.755203,-3.2043457E-4,0.0022277832,-0.0032043457,-5.9387207,-30.380249,-52.685547
1.46662458106973E18,-0.32414246,2.657547,9.881805,-0.007797241,-0.18362427,0.0,-5.0201416,-29.695639,-52.46226
1.4666245810949071E18,-1.0148163,2.317505,8.970215,0.3735199,-0.44638062,-0.036315918,-5.2497864,-29.69551,-52.51808
1.4666245811100132E18,-1.0220642,2.5198822,8.3042755,0.20048523,-0.4100647,0.035247803,-5.5255127,-29.695435,-52.551575
1.4666245811351903E18,-0.7288666,2.6627197,8.157425,-0.10072327,-0.12808228,0.070495605,-5.70933,-29.467264,-52.573902
1.4666245811502966E18,-0.8267517,2.72229,8.32518,-0.23744202,-0.0949707,0.10040283,-5.7421002,-29.499817,-52.58985
1.4666245811704381E18,-0.54685974,2.8207703,8.860718,-0.27696228,-0.1643982,0.11001587,-5.85289,-29.69532,-52.601814
1.4666245811905797E18,-0.064086914,2.8610077,9.265915,-0.2427826,-0.030883789,0.08331299,-5.939102,-29.438591,-52.51808
1.4666245812107213E18,-0.049942017,2.9093933,9.134872,-0.20967102,0.033203125,0.036315918,-6.455803,-29.267502,-52.685547
1.4666245812308628E18,-0.1754303,2.8521423,9.02356,-0.20219421,0.023590088,-0.0032043457,-6.542015,-29.010773,-52.936935
1.4666245812510044E18,-0.23074341,2.7663727,9.439621,-0.14451599,-0.015930176,-0.030975342,-6.8864822,-28.754234,-53.35598
1.466624581271146E18,-0.099090576,2.684311,9.449921,-0.049453735,-0.03942871,-0.0769043,-6.8864822,-28.583145,-53.775024
1.4666245812912876E18,-0.3265381,2.6052399,9.235489,-0.06867981,-0.040496826,-0.0982666,-7.1447372,-28.668785,-54.026413
1.4666245813114294E18,-0.47595215,2.4442444,9.422028,-3.2043457E-4,-0.11633301,-0.09613037,-7.2309494,-28.497696,-54.19407
1.466624581331571E18,-0.5245056,2.3306427,9.330093,0.01676941,-0.11526489,-0.10787964,-7.2309494,-27.984428,-54.361725
1.4666245813517125E18,-0.55371094,2.2412415,8.938721,-0.017410278,-0.07788086,-0.11642456,-7.316971,-27.89898,-54.361725
1.466624581371854E18,-0.5717163,2.2297058,8.946915,-0.061203003,-0.06719971,-0.117492676,-7.2309494,-27.89898,-54.19426
1.4666245813919956E18,-0.6395111,2.214096,9.180054,-0.06333923,-0.052246094,-0.1260376,-7.1447372,-27.72789,-53.94287
1.4666245814121372E18,-0.8672638,2.2337952,9.141647,-0.002456665,-0.058654785,-0.11642456,-7.058716,-27.5568,-53.691483
