time,ax,ay,az,gx,gy,gz,mx,my,mz
1.4666247894345805E18,-2.49234,4.3687134,7.927887,0.37245178,0.143219,-0.55114746,-15.585327,-1.6357422,-41.960144
1.4666247894446513E18,-2.5337524,4.356659,7.866043,-0.002456665,-0.044769287,0.08544922,-15.585327,-2.3200989,-40.61966
1.466624789454722E18,-2.600891,4.2843323,7.9328766,-0.016342163,0.012908936,0.061950684,-16.274515,-2.5482178,-39.949543
1.4666247894748636E18,-2.5489044,4.2815094,8.075302,7.4768066E-4,0.017181396,0.06515503,-16.102219,-2.3200989,-40.62004
1.4666247894950052E18,-2.4722595,4.3294983,8.035095,-3.2043457E-4,-0.0052490234,0.052337646,-15.861206,-2.4569702,-40.48584
1.4666247895151468E18,-2.5512085,4.3294983,8.142273,0.017837524,0.006500244,0.04272461,-15.930176,-2.5482178,-40.396374
1.4666247895352883E18,-2.5911865,4.360092,8.138535,0.04133606,-0.018066406,0.07156372,-15.97944,-2.711269,-40.42838
1.4666247895554301E18,-2.5098267,4.389206,7.9108734,0.007156372,-0.01272583,0.06729126,-15.757942,-2.7479172,-40.452385
1.4666247895755717E18,-2.5232086,4.4252777,7.9698486,-0.020614624,-0.01272583,0.068359375,-15.844154,-2.7479172,-40.200996
1.4666247895957133E18,-2.4205933,4.431061,8.0273285,-0.04197693,9.1552734E-5,0.064086914,-15.758133,-2.8335571,-40.28473
1.4666247896158548E18,-2.407135,4.4099426,8.169098,-0.0259552,-0.009521484,0.054473877,-15.585899,-2.662468,-40.536118
1.4666247896359964E18,-2.4430542,4.406128,8.055588,-0.020614624,-0.030883789,0.0491333,-15.585899,-2.748108,-40.117073
1.466624789656138E18,-2.4255524,4.367813,8.024963,-0.030227661,-0.022338867,0.052337646,-15.671921,-2.919197,-40.200996
1.4666247896762796E18,-2.3812408,4.406128,7.953903,-0.047317505,-0.020202637,0.05126953,-15.757942,-2.919197,-40.03353
1.4666247897014566E18,-2.3905945,4.386963,7.9900513,-0.07081604,-0.058654785,0.029907227,-15.585709,-2.919197,-40.03353
1.466624789716563E18,-2.357315,4.36557,8.244751,-0.051589966,-0.052246094,0.021362305,-15.930176,-3.004837,-39.949608
1.4666247897367045E18,-2.3190002,4.3534393,8.357803,-0.030227661,-0.027679443,0.033111572,-15.843964,-3.004837,-40.117264
1.466624789756846E18,-2.3515778,4.348648,8.269684,0.009292603,-0.06399536,0.034179688,-16.102219,-2.919197,-39.9498
1.4666247897769876E18,-2.3594818,4.3699493,8.076309,-0.0045928955,-0.06506348,0.028839111,-16.016006,-2.919197,-39.9498
1.4666247897971292E18,-2.2830963,4.35701,8.018967,-0.02381897,-0.05758667,0.032043457,-15.757561,-2.8335571,-40.03353
1.4666247898172708E18,-2.2713776,4.357956,8.199753,0.0039520264,-0.08215332,0.014953613,-15.757561,-2.5770187,-39.865875
1.466624789842448E18,-2.3190002,4.33757,7.980942,0.0018157959,-0.06399536,0.013885498,-15.757561,-2.3204803,-39.865875
1.466624789857554E18,-2.3213959,4.3690033,7.9339294,-0.020614624,-0.049041748,0.021362305,-15.929794,-2.3204803,-39.865875
1.4666247898776957E18,-2.3342743,4.363907,8.0542755,-0.030227661,-0.06826782,0.02456665,-15.929794,-2.3204803,-39.9498
1.4666247898978373E18,-2.3124695,4.323395,8.117035,-0.037704468,-0.076812744,0.02243042,-15.929794,-2.4061203,-39.69841
1.466624789917979E18,-2.3931885,4.291168,8.144745,-0.040908813,-0.052246094,0.029907227,-15.757561,-2.2350311,-39.69841
1.4666247899381204E18,-2.447281,4.3294983,8.040649,-0.071884155,-0.034088135,0.052337646,-16.016006,-2.2350311,-39.530754
1.466624789958262E18,-2.2503052,4.371109,8.26384,-0.08042908,-0.018066406,0.045928955,-16.446686,-2.4061203,-39.614677
1.4666247899784036E18,-2.2691956,4.360138,8.364517,-0.006729126,-0.06613159,0.036315918,-16.446686,-2.4061203,-39.69841
1.4666247899985452E18,-2.2803955,4.348938,8.237488,-0.016342163,-0.03942871,0.029907227,-16.446686,-2.5772095,-39.782143
1.466624790018687E18,-2.33815,4.326645,8.254379,-0.037704468,-0.007385254,0.02243042,-16.61892,-2.3204803,-39.69822
1.4666247900388285E18,-2.2696228,4.323944,8.155899,-0.045181274,0.021453857,0.02243042,-16.61892,-2.2348404,-39.69822
1.46662479005897E18,-2.2615204,4.348648,8.294174,-0.027023315,-9.765625E-4,0.036315918,-16.877365,-2.1492004,-39.78195
1.4666247900791117E18,-2.213913,4.3103333,8.141739,0.007156372,-0.024475098,0.034179688,-17.049599,-2.1492004,-39.949417
1.4666247900992532E18,-2.2040558,4.348648,7.9593353,-0.031295776,-0.011657715,0.027770996,-17.049599,-2.1492004,-40.03315
1.4666247901193948E18,-2.2261963,4.3177032,8.100983,-0.057998657,-0.015930176,0.013885498,-16.963577,-1.9781113,-39.949226
1.466624790144572E18,-2.2423706,4.2720184,8.2285,-0.0398407,-0.014862061,0.02456665,-17.04979,-1.8070221,-39.69803
1.466624790159678E18,-2.2595825,4.291168,8.136444,-0.0398407,-0.019134521,0.034179688,-17.136002,-1.8070221,-39.78176
1.4666247901798198E18,-2.199463,4.3195343,8.022736,-0.067611694,-0.009521484,0.025634766,-17.04979,-1.8070221,-39.614296
1.4666247901999613E18,-2.1980286,4.316345,8.039917,-0.1028595,0.012908936,0.023498535,-16.791534,-1.7215729,-39.614296
1.466624790220103E18,-2.2506256,4.282913,8.046478,-0.14878845,0.023590088,0.023498535,-16.705322,-1.6361237,-39.3631
1.4666247902402445E18,-2.2528992,4.2078094,8.114487,-0.18296814,0.0032958984,0.04486084,-16.6193,-1.7217636,-39.3631
1.466624790260386E18,-2.2505188,4.2035217,8.2548065,-0.18617249,0.015045166,0.056610107,-16.447067,-1.5506744,-39.3631
1.4666247902805276E18,-2.1923828,4.149582,8.506287,-0.118881226,0.010772705,0.056610107,-16.188622,-1.3795853,-39.279366
1.4666247903006692E18,-2.1256256,4.2136383,8.373077,-0.07722473,-0.008453369,0.048065186,-16.10241,-1.2939453,-39.614487
1.4666247903208108E18,-2.0650482,4.1535034,8.438126,-0.033432007,-0.026611328,0.013885498,-16.016197,-1.0372162,-39.614487
1.4666247903409526E18,-2.2232056,4.1639404,8.199753,-0.019546509,-0.036224365,0.023498535,-15.930176,-0.866127,-39.614487
1.4666247903610941E18,-2.2483978,4.1842957,8.076736,-0.05052185,-0.042633057,0.036315918,-16.18843,-0.69503784,-39.614487
1.4666247903812357E18,-2.127411,4.1762238,8.159348,-0.10072327,9.1552734E-5,0.029907227,-16.10241,-0.69503784,-39.949608
1.4666247904013773E18,-2.127411,4.137909,8.435532,-0.06227112,-0.011657715,0.019226074,-16.360855,-0.6093979,-39.69841
1.4666247904215188E18,-2.1160126,4.1073303,8.364044,-0.038772583,-0.026611328,0.018157959,-16.446877,-0.6093979,-39.614677
1.466624790446696E18,-2.089096,4.1132507,8.295532,-0.06227112,0.008636475,-0.012817383,-16.446877,-0.43830872,-39.614677
1.466624790461802E18,-2.247467,4.140442,8.312164,-0.07295227,0.027862549,-0.0010681152,-16.533089,-0.3528595,-39.530754
1.4666247904819438E18,-2.1534119,4.1518707,8.250397,-0.053726196,0.012908936,-0.008544922,-16.360855,-0.52394867,-39.44702
