time,ax,ay,az,gx,gy,gz,mx,my,mz
1.4666247048600125E18,-0.91207886,4.219925,8.734085,-0.20646667,0.21157837,0.08972168,-20.495224,2.8978348,-39.782143
1.4666247048851894E18,-0.75650024,4.3294983,8.451935,-0.09965515,0.28100586,0.10467529,-20.495224,2.8978348,-40.03353
1.4666247049002957E18,-0.6115265,4.465988,8.379364,-0.12849426,0.24468994,0.058746338,-20.236778,3.2400131,-40.117264
1.4666247049204372E18,-0.565506,4.4827576,8.899551,-0.07081604,0.14428711,0.011749268,-19.978333,3.4965515,-40.201187
1.4666247049405788E18,-0.5372772,4.555496,8.743973,0.06376648,0.118652344,-0.005340576,-19.633865,3.4965515,-40.28511
1.4666247049607204E18,-0.55778503,4.771469,7.89946,-0.020614624,0.25003052,-0.03845215,-19.633865,3.4109116,-40.452576
1.4666247049808622E18,-0.7455292,4.954483,7.871567,-0.088974,0.24362183,-0.061950684,-19.547844,3.8385391,-40.787697
1.4666247050010038E18,-0.7863312,5.0000305,8.434555,-0.10499573,0.18380737,-0.061950684,-19.37561,3.8385391,-40.787697
1.4666247050211453E18,-0.8739166,5.1423492,8.837448,-0.045181274,0.17419434,-0.061950684,-19.203377,3.9239883,-40.787697
1.466624705041287E18,-1.0530701,5.2520447,8.88797,-0.019546509,0.18914795,-0.057678223,-18.85891,4.0094376,-40.87143
1.4666247050614285E18,-1.0888367,5.3257294,9.005463,-0.0398407,0.13146973,-0.068359375,-18.772888,4.0950775,-40.955162
1.46662470508157E18,-1.2214966,5.27507,9.383408,-0.065475464,0.15390015,-0.08010864,-18.8591,3.7528992,-41.122627
1.4666247051017116E18,-1.4655609,5.153885,9.645905,-0.04411316,0.18273926,-0.0491333,-18.772888,3.58181,-41.374016
1.4666247051218532E18,-1.487915,4.9954224,9.799103,-0.04197693,0.16992188,-0.012817383,-18.42823,3.4107208,-41.290283
1.466624705141995E18,-1.616272,4.878952,10.019791,0.011428833,0.17739868,0.02243042,-18.169785,3.1541824,-41.374016
1.4666247051621366E18,-1.7975464,4.8296967,9.808899,0.07017517,0.20944214,0.072631836,-17.997551,3.1541824,-41.45775
1.4666247051822781E18,-1.935257,4.7701263,9.462433,0.05949402,0.21905518,0.13671875,-17.997551,2.897644,-41.45775
1.4666247052024197E18,-1.9229584,4.6457367,9.077896,-0.007797241,0.20303345,0.12710571,-17.652893,2.7265549,-41.625404
1.4666247052225613E18,-1.9798431,4.100189,9.054092,-0.116744995,0.14535522,0.0769043,-17.308235,2.640915,-41.960716
1.4666247052427028E18,-2.344162,3.060257,9.847366,-0.26307678,-0.016998291,0.1121521,-16.705322,2.7265549,-41.79325
1.4666247052628444E18,-2.6173706,2.5942535,11.273834,-0.15412903,-0.14196777,0.2883911,-16.533089,2.897644,-41.79325
1.466624705282986E18,-2.3263702,2.4323883,11.514969,0.18873596,-0.13555908,0.5479431,-16.360855,2.983284,-41.876984
