time,ax,ay,az,gx,gy,gz,mx,my,mz
1.4666249589060285E18,0.06300354,-9.298447,-0.8429718,-0.52156067,-0.32247925,0.25527954,9.823418,64.23454,8.899307
1.46662495892617E18,0.26602173,-9.293396,-1.1289825,-0.7533417,-0.5841675,0.2883911,9.90963,64.40563,9.234428
1.4666249589463117E18,0.501709,-9.234573,-1.6520538,-1.0737762,-0.95373535,0.27557373,10.168076,64.40563,9.904861
1.4666249589714888E18,1.5928497,-9.56073,-1.9915619,-1.3696442,-1.3564148,0.09613037,10.168076,64.32018,10.239983
1.4666249589865948E18,1.703125,-10.041458,-1.9805145,-1.4625702,-1.3574829,-0.043792725,10.254097,64.32018,10.910225
1.4666249590067364E18,0.76412964,-11.287064,-1.7616577,-1.6388092,-1.2731018,-0.23712158,10.426331,64.40582,11.831856
1.466624959026878E18,-0.08937073,-12.74115,-1.5123138,-1.6163788,-1.5550842,-0.49987793,10.426331,64.063644,12.753677
1.4666249590470198E18,-1.5326233,-12.2174835,-1.5362091,-1.5886078,-2.1713867,-0.5479431,10.512543,63.721466,13.591576
1.4666249590671613E18,-2.6013641,-10.349304,-1.0876007,-1.8342743,-2.6883545,-0.1121521,10.512543,63.636017,14.429474
1.466624959087303E18,-2.7256622,-9.138947,-1.56633,-1.5757904,-2.9500427,0.19332886,10.943222,63.464928,15.351105
1.4666249591074445E18,-1.3248596,-8.496277,-3.3144379,-1.5234528,-1.9641724,0.28625488,11.029434,63.464928,16.272736
1.466624959127586E18,0.42611694,-8.968445,-3.481903,-1.386734,-0.7668152,0.2029419,10.943222,63.29384,17.697144
1.4666249591477276E18,-0.17593384,-8.468536,-1.1529846,-1.0844574,-0.598053,-0.037384033,11.373901,63.0373,18.870163
1.4666249591678692E18,-1.1048584,-7.3528748,-1.4302673,-1.0075531,-1.2891235,-0.06088257,11.632347,62.78057,19.540596
1.4666249591880108E18,-1.0291748,-6.7801056,-2.1987457,-0.8761749,-1.1385193,0.037384033,12.063026,62.60948,20.29457
1.4666249592081526E18,-1.2973328,-6.2689514,-2.8533783,-0.728775,-0.93984985,-0.041656494,12.321281,62.352943,21.383858
1.4666249592282941E18,-1.4286652,-7.031967,-3.2570496,-0.6027374,-0.74331665,-0.086517334,12.751961,62.010765,22.389412
1.4666249592484357E18,-1.4760284,-7.3938904,-3.7167053,-0.5301056,-0.45385742,-0.15701294,13.010216,61.582947,23.394966
1.4666249592685773E18,-1.661377,-7.361389,-3.9466095,-0.42756653,-0.16333008,-0.10147095,13.096237,61.326218,23.981476
1.4666249592887188E18,-1.8138123,-7.1109314,-4.067383,-0.3421173,0.120788574,-0.12390137,13.69915,61.326218,24.40052
1.4666249593088604E18,-1.7861633,-7.2265625,-4.482147,-0.25987244,0.27566528,-0.088653564,13.69915,61.15513,24.98703
1.466624959329002E18,-1.7816772,-7.518814,-4.75972,-0.19044495,0.2692566,-0.07797241,13.7851715,61.15513,25.657272
1.4666249593491438E18,-1.8776093,-7.3762207,-4.7274475,-0.094314575,0.11437988,-0.08331299,13.871384,61.326218,26.076317
1.4666249593692854E18,-1.8909912,-7.371338,-4.3937683,0.07978821,-0.14517212,-0.08972168,13.785362,61.497307,26.076317
1.466624959389427E18,-1.5017395,-7.700882,-4.2148285,0.27418518,-0.30859375,-0.11428833,13.785362,61.753845,26.076317
1.4666249594095685E18,-1.4292603,-7.923355,-4.7519073,0.374588,-0.26586914,-0.22750854,13.785362,62.181664,26.243782
1.46662495942971E18,-1.7862091,-8.354279,-5.3104706,0.37779236,-0.15371704,-0.28518677,13.699341,62.438393,26.578903
1.4666249594548872E18,-2.1493988,-8.339645,-5.7557983,0.5273285,0.2211914,-0.42510986,13.613129,62.69493,26.662636
1.4666249594699932E18,-2.3680115,-8.4192505,-6.225998,0.48246765,0.34295654,-0.49346924,13.354874,63.293648,26.578903
1.4666249594901348E18,-2.5436707,-7.9822693,-6.473694,0.40983582,0.3269348,-0.5116272,13.096619,63.892555,26.327515
1.4666249595102766E18,-2.0103912,-7.2095947,-5.556198,0.44935608,0.17098999,-0.5116272,12.665939,64.66255,26.076126
1.4666249595304182E18,-1.3506165,-6.4566193,-4.0259247,0.5401459,-0.009521484,-0.58532715,12.407494,65.60364,25.824738
1.4666249595505597E18,-3.0342407,-7.8249207,-2.1732025,0.9834137,0.23614502,-0.6376648,11.976814,66.459274,25.573349
1.4666249595707013E18,-3.7486877,-12.263992,0.22392273,1.5463104,1.3010559,-0.12710571,11.201668,67.22927,24.819374
1.466624959590843E18,-1.2911377,-16.830978,-2.2283173,1.4768829,1.5221558,0.30014038,10.943222,67.99927,23.981476
1.4666249596109844E18,4.906952,-18.262482,-1.8392029,-0.27482605,0.087677,0.052337646,10.426521,68.512726,23.478699
1.466624959631126E18,1.4553375,-6.1658783,-0.7513428,-0.68177795,-0.6140747,-0.25527954,10.081863,69.026184,22.892189
1.4666249596512676E18,0.24310303,0.33857727,7.484009,1.7129364,2.2709045,-0.69854736,9.47876,69.62509,22.30568
1.4666249596714094E18,-3.1425018,-5.2093964,0.14878845,2.2128143,2.8914795,-0.40802002,8.961868,69.96727,21.71917
1.466624959691551E18,0.18403625,-13.096985,-1.5375671,1.0197296,3.1243286,0.3503418,8.272743,70.3949,20.965004
1.4666249597116925E18,4.91893,-12.7243805,3.5532684,1.4149323,3.7609253,0.39733887,7.4115753,70.737076,20.29457
1.466624959731834E18,5.2812805,-9.693283,0.9398804,1.7513885,3.1350098,-0.52124023,6.722641,71.25034,19.456673
1.4666249597519757E18,-0.042282104,-7.0615234,-1.3293304,1.2899628,1.5691528,-0.48599243,5.689049,71.9347,18.618774
1.4666249597721172E18,-2.0939026,-5.988159,-0.22720337,1.2878265,1.6770325,0.21362305,4.9139023,72.790146,17.445755
1.4666249597922588E18,0.03147888,-9.16394,-0.883667,1.1799469,2.322174,0.31723022,4.138756,73.4745,16.4402
1.4666249598124006E18,3.7679749,-11.4765625,0.7418213,0.6394806,2.079712,-0.08224487,3.535843,73.81668,15.267181
1.4666249598325422E18,3.7203217,-9.165527,2.8884583,0.8370819,1.0650024,-0.546875,2.7606964,74.32995,14.094162
1.4666249598526838E18,1.4360199,-8.136169,0.9962311,1.1468353,-0.078948975,-0.3994751,2.1577835,75.185394,13.088608
1.4666249598728253E18,0.58810425,-9.258682,-1.0224152,1.0037079,-0.25091553,-0.25634766,1.8131256,75.9552,11.748123
1.4666249598879316E18,1.0068665,-9.561676,-0.381073,0.828537,0.36218262,-0.22537231,1.4684677,76.46847,10.826492
1.4666249599131085E18,0.8470154,-8.456528,1.4823303,0.9759369,1.0810242,-0.287323,1.0377884,76.810646,9.653473
1.46662495993325E18,0.34953308,-7.58696,1.4455566,1.0763397,0.6890259,-0.1260376,0.34866333,77.067184,8.312798
1.4666249599533916E18,0.8634949,-8.443298,0.21609497,1.0667267,0.22653198,0.15167236,-0.16822815,77.40936,6.637001
1.4666249599735334E18,2.0579376,-9.784439,-0.16641235,0.9962311,0.7798157,0.16555786,-0.6849289,77.6659,5.380249
1.466624959993675E18,2.0208282,-10.259079,0.3120575,0.9983673,0.8876953,0.15487671,-0.8571625,78.09372,4.2072296
1.4666249600138166E18,1.9900055,-10.9039,-0.66574097,0.865921,0.57366943,0.20935059,-0.8571625,77.92263,2.866745
1.4666249600339581E18,2.3986206,-10.556503,-0.8500061,0.5572357,0.80010986,0.26168823,-0.7709503,77.83718,1.9449234
1.4666249600540997E18,2.9727173,-10.968246,-0.5226593,0.25923157,0.95285034,0.1687622,-0.85697174,78.00827,1.0231018
1.4666249600742413E18,2.9624481,-11.142395,-1.0706177,0.107559204,0.7242737,0.095062256,-0.42629242,78.26481,0.4365921
