time,ax,ay,az,gx,gy,gz,mx,my,mz
8.3834274199784E13,0.05626374,2.4121583,9.279925,0.14913702,0.049002163,0.0031957934,11.7,29.4,-83.700005
8.3834460852409E13,1.0055647,0.21906945,9.890448,-1.0492855,0.4676511,0.6956177,12.0,29.5,-83.6
8.3834481123701E13,0.2789245,0.9564836,10.516531,-0.9267801,0.4463458,0.737163,12.0,29.5,-83.0
8.3834490363076E13,0.32441434,1.0726024,10.275913,-0.7456851,0.35792887,0.7797736,12.1,29.6,-83.5
8.3834500836784E13,0.6715736,1.2174516,10.284293,-0.5219796,0.21518342,0.777643,12.0,30.0,-84.1
8.3834510460326E13,1.1623849,1.4329298,10.309433,-0.29188246,0.12144015,0.700944,11.900001,30.1,-84.1
8.3834521278951E13,1.3551182,1.6843209,10.629059,-0.0777643,0.12996227,0.5635249,12.5,29.7,-83.4
8.3834529701659E13,1.0666169,1.851915,10.69849,0.12357068,0.21837921,0.42077947,12.2,29.6,-83.9
8.3834540739993E13,0.52073884,1.8171991,10.469844,0.30999196,0.37284255,0.33981937,12.6,29.5,-83.4
8.3834551665243E13,-0.011971008,1.2916719,10.08318,0.46978164,0.53476274,0.36325517,12.6,29.300001,-83.700005
8.3834560614951E13,-0.34117374,0.62967503,9.67018,0.58056915,0.6327671,0.5006743,12.900001,29.2,-83.6
8.3834569663284E13,0.18914193,0.035913024,9.186552,0.62531024,0.6892261,0.6423545,13.2,29.300001,-83.700005
8.3834581129493E13,0.7781156,0.60693014,8.291121,0.5550028,0.6125271,0.5049353,13.5,29.300001,-83.8
8.3834590130534E13,-0.24181437,1.970428,8.475474,0.38562572,0.43888897,0.17044231,13.5,29.4,-83.9
8.3834600843368E13,-0.8451532,2.743755,9.115923,0.23329292,0.5571333,0.036218993,13.5,29.5,-83.9
8.3834611333701E13,-0.04070143,2.5965118,8.689755,0.10865697,0.8543421,0.03834952,13.5,29.5,-83.8
8.3834621661451E13,0.34237084,2.243367,8.139089,-0.018109497,0.9821738,-0.053263225,13.5,29.6,-83.8
8.3834630232451E13,-0.415394,1.9680338,8.519767,-0.08841695,0.850081,-0.19068234,13.5,29.6,-83.700005
8.3834640760368E13,-1.2078748,1.5478514,9.155427,-0.039414786,0.6125271,-0.24607609,13.7,29.6,-83.700005
8.3834649742743E13,-1.5155296,1.0534488,9.520543,0.099069595,0.37603834,-0.21198763,13.7,29.6,-83.6
8.3834661341868E13,-1.5466543,0.8583213,9.412804,0.24181503,0.20559604,-0.14061491,13.8,29.7,-83.700005
8.3834670523534E13,-1.3371617,0.9708488,9.028535,0.32597092,0.10652645,-0.060720075,13.900001,29.7,-83.6
8.3834680659159E13,-0.6847417,1.3551182,8.529344,0.3206446,0.09161274,-0.00958738,13.900001,29.7,-83.6
8.3834689766868E13,0.02873042,1.8291701,8.371326,0.23009712,0.13848437,-0.02130529,14.0,29.7,-83.6
8.3834701560076E13,0.2789245,2.0638018,9.003395,0.17576863,0.16831179,-0.05219796,14.1,29.800001,-83.6
