time,ax,ay,az,gx,gy,gz,mx,my,mz
8.4058592332016E13,5.436035,-2.3834279,7.515399,0.007456851,0.026631612,-0.0063915867,-21.5,-3.1000001,-36.5
8.4058780969183E13,5.3019595,-2.3762453,7.548918,0.10333065,-0.10546118,-0.0063915867,-21.2,-3.5,-35.5
8.4058791666683E13,5.3079453,-2.336741,7.607576,0.09374327,-0.13528858,0.0063915867,-21.6,-3.4,-36.5
8.405880096535E13,5.368997,-2.3403323,7.6710224,0.10652645,-0.165116,0.007456851,-22.5,-2.9,-34.9
8.405881121285E13,5.445612,-2.3175871,7.5165963,0.1107875,-0.17576863,0.010652645,-21.300001,-3.1000001,-36.5
8.4058820657225E13,5.4767365,-2.2876596,7.441179,0.08628642,-0.15978967,0.0053263223,-21.300001,-3.4,-35.8
8.4058831150808E13,5.5258174,-2.3942018,7.4256167,0.039414786,-0.07989483,0.0053263223,-21.300001,-3.1000001,-37.100002
8.40588413036E13,5.602432,-2.3439236,7.574057,0.0031957934,-0.022370555,0.007456851,-21.6,-3.3,-35.8
8.4058852112516E13,5.6060233,-2.3475149,7.4854717,-0.002130529,0.014913702,-0.0010652645,-21.6,-3.1000001,-36.5
8.4058861275141E13,5.674258,-2.291251,7.2963295,0.0,0.010652645,-0.010652645,-21.300001,-3.7,-37.7
8.4058870838016E13,5.759252,-2.1667526,7.0940194,0.0053263223,-0.02876214,-0.03195793,-22.2,-3.2,-34.9
8.4058877391475E13,5.6682725,-2.1691468,6.88333,-0.0127831735,-0.066046394,-0.060720075,-21.6,-3.8,-36.100002
8.4058891606891E13,5.517438,-2.1883004,6.611588,-0.11824436,-0.05752428,-0.07989483,-21.9,-3.0,-36.4
8.4058911703975E13,5.434838,-2.3535004,7.4028716,-0.18748654,-0.025566347,-0.080960095,-21.9,-3.0,-36.4
8.4058920648516E13,5.449203,-2.4181437,7.7189064,-0.19600865,-0.01917476,-0.084155895,-21.9,-3.0,-36.4
8.4058930972808E13,5.410896,-2.4624364,7.678205,-0.16937704,-0.002130529,-0.09054748,-21.9,-2.9,-36.4
8.405894069535E13,5.261258,-2.44448,7.511808,-0.1587244,0.029827405,-0.09161274,-21.9,-2.9,-36.3
8.4058951297141E13,5.189432,-2.4289176,7.4723034,-0.165116,0.040480047,-0.09054748,-21.9,-2.9,-36.3
8.4058960943683E13,5.094861,-2.4349031,7.216124,-0.18535602,0.058589544,-0.07669904,-21.9,-2.9,-36.3
8.4058971599433E13,5.377377,-2.3750482,7.207744,-0.2247708,0.07989483,-0.04580637,-21.9,-2.9,-36.3
8.4058980619141E13,5.517438,-2.3403323,7.3609734,-0.2695119,0.08735169,-0.023435818,-21.9,-2.9,-36.3
8.4058991318391E13,5.650316,-2.540248,7.845799,-0.27377295,0.0777643,-0.026631612,-21.9,-2.9,-36.4
8.4059000631683E13,5.711368,-2.60968,8.031349,-0.21731395,0.056459017,-0.04580637,-21.9,-2.8,-36.4
8.4059011418933E13,5.8322754,-2.5462334,7.9667063,-0.17044231,0.08841695,-0.06498113,-22.0,-2.8,-36.3
8.4059020588016E13,5.8478374,-2.5905263,7.8589673,-0.14807177,0.14168017,-0.08522116,-22.0,-2.8,-36.3
8.4059032068225E13,5.3235073,-2.585738,7.8158712,-0.11611383,0.13102753,-0.1107875,-22.0,-2.7,-36.3
8.4059040741266E13,5.3247046,-2.5689783,7.94037,-0.06178534,0.04261058,-0.13848437,-22.0,-2.7,-36.3
8.4059050737225E13,5.3402667,-2.621651,7.7811556,-0.02130529,0.040480047,-0.15446335,-22.0,-2.6000001,-36.4
8.4059057366016E13,5.2804117,-2.6910827,7.589619,-0.023435818,0.07563378,-0.1555286,-22.0,-2.6000001,-36.4
8.40590721996E13,4.8482585,-2.6443958,7.067683,-0.058589544,0.098004326,-0.13102753,-22.0,-2.6000001,-36.4
8.4059081900766E13,4.618415,-2.670732,7.0245876,-0.08628642,0.04261058,-0.101200126,-22.0,-2.5,-36.4
8.4059092804266E13,4.7907977,-2.7461493,7.4567413,-0.12996227,0.022370555,-0.05752428,-22.0,-2.5,-36.4
8.4059101860141E13,5.145139,-2.7246015,8.321048,-0.13741912,0.026631612,-0.025566347,-22.0,-2.4,-36.5
