time,ax,ay,az,gx,gy,gz,mx,my,mz
1.4616854918993147E18,3.4442291,-8.426514,2.838852,-0.059677124,0.19326782,0.07585144,-24.148941,65.43388,-4.77314
1.4616854919194563E18,3.513794,-8.417664,2.7866364,-0.06288147,0.16442871,0.08119202,-24.062729,65.43388,-4.6056747
1.461685491939598E18,3.4999084,-8.244446,2.5794067,-0.025497437,0.10461426,0.11109924,-23.890495,65.262794,-4.6894073
1.4616854919597396E18,3.578186,-8.130539,2.344452,0.0033416748,0.036254883,0.13993835,-23.804283,65.091705,-4.5217514
1.4616854919798812E18,3.6583862,-8.065918,2.1171265,-0.009475708,0.012756348,0.14100647,-23.804283,65.348434,-4.6894073
1.4616854920000228E18,3.8308105,-7.855179,1.9927979,-0.07569885,0.038391113,0.03526306,-23.545837,65.51952,-4.6056747
1.4616854920201644E18,3.7498322,-7.9701233,2.1988678,-0.104537964,0.071502686,-0.07902527,-23.804283,65.60516,-4.6894073
1.461685492040306E18,3.7385712,-8.292419,2.1457214,-0.10774231,-0.008605957,-0.09825134,-23.976517,65.77625,-4.521942
1.4616854920604475E18,4.1373444,-9.168884,1.9152374,-0.10240173,-0.09939575,-0.090774536,-24.14875,65.69061,-4.6894073
1.461685492080589E18,4.377121,-9.640793,1.6889343,-0.08744812,-0.17843628,-0.06513977,-24.062729,65.94734,-5.0245285
1.461685492100731E18,3.8351135,-9.973145,1.1475677,-0.18571472,-0.45721436,0.119644165,-24.234962,66.03279,-5.0245285
1.4616854921208724E18,3.6242218,-10.165848,0.9591675,-0.31495667,-0.6569519,0.27772522,-24.148941,65.94715,-4.6894073
1.461685492141014E18,3.447647,-9.088791,1.1330414,-0.3598175,-0.47857666,0.3749237,-24.06292,66.20369,-4.354286
1.4616854921611556E18,3.75766,-8.354187,1.34021,-0.21669006,-0.20407104,0.24461365,-23.804474,66.11824,-4.019165
1.4616854921812972E18,4.2270355,-8.518753,0.97706604,-0.15367126,-0.30981445,-0.021347046,-23.63224,66.20388,-3.6003113
1.4616854922014387E18,3.6254578,-8.356903,1.1809387,-0.045791626,-0.2980652,-0.1302948,-23.373795,66.20388,-3.5165787
1.4616854922215803E18,3.2752228,-7.848358,0.68969727,-0.066085815,-0.2361145,-0.050186157,-23.201561,66.37516,-3.1814575
1.461685492241722E18,3.3222198,-7.2683105,0.5120392,-0.14512634,-0.11328125,0.03526306,-23.373795,66.28971,-2.6786804
1.4616854922618637E18,3.4944305,-7.28891,0.53912354,-0.19532776,-0.0011291504,0.03526306,-23.115349,66.63208,-2.0921707
1.4616854922820052E18,3.7733307,-7.9318085,0.68969727,-0.18998718,0.04373169,-0.029891968,-23.20137,66.97426,-1.8407822
1.4616854923021468E18,3.5039825,-8.017471,0.19416809,-0.33525085,-0.03744507,-0.0181427,-23.20137,67.0599,-1.5893936
1.4616854923222884E18,4.079117,-7.794449,-0.53108215,-0.6044159,-0.40808105,-0.18583679,-23.459816,67.14535,-1.4217377
1.46168549234243E18,3.553009,-8.220383,1.1261597,-0.3672943,0.4229126,-0.19865417,-23.63205,67.31644,-1.1703491
1.4616854923625715E18,4.904709,-9.281067,0.89881897,-0.21775818,0.3609619,-0.4250946,-24.062729,67.573166,-0.9189606
1.461685492382713E18,4.520508,-8.747253,0.62609863,-0.18785095,0.051208496,-0.4528656,-24.234962,67.744255,-0.5838394
1.461685492402855E18,4.818573,-8.283798,0.6429138,-0.08103943,0.027709961,-0.34284973,-24.407196,67.915344,-0.33245087
1.4616854924229965E18,4.993347,-8.860413,0.25231934,-0.06929016,-0.17416382,-0.22322083,-24.837875,68.00079,-0.24852753
1.461685492443138E18,4.769882,-9.619995,0.36401367,-0.032974243,-0.31622314,-0.09291077,-25.096321,67.915344,0.08659363
1.4616854924632796E18,4.633072,-10.224579,-0.027770996,-0.027633667,-0.40808105,0.060897827,-25.613022,67.829704,0.67310333
1.4616854924834212E18,4.497452,-10.4361725,-0.17092896,-0.088516235,-0.54800415,0.16664124,-25.699234,68.08643,1.0082245
1.4616854925035628E18,4.8459015,-10.642487,-0.15341187,-0.066085815,-0.5661621,0.08973694,-25.95768,68.42861,1.5110016
1.4616854925237043E18,5.265732,-10.963913,-0.2592163,-0.019088745,-0.5586853,-0.068344116,-25.785446,68.51406,1.8463135
1.461685492543846E18,5.550598,-10.880859,-0.9458771,-0.14726257,-0.6633606,-0.23176575,-26.043892,68.59951,2.0139694
1.4616854925639877E18,5.5428314,-10.322723,-1.517395,-0.40574646,-0.69433594,-0.34284973,-26.216125,68.94169,2.6842117
1.4616854925841293E18,5.4562683,-9.709045,-2.1051483,-0.7945404,-0.7391968,-0.47209167,-26.560593,68.94169,3.186798
1.4616854926042708E18,4.6845703,-9.448105,-0.8858032,-0.8703766,-0.30981445,-0.49345398,-26.90506,69.02714,3.5219193
1.4616854926244124E18,3.921997,-10.03923,1.1050873,-0.22843933,0.35668945,-0.29692078,-26.90506,69.19823,3.7733078
1.461685492644554E18,2.9199677,-9.608246,3.337265,1.0565033,1.3019714,-0.08970642,-27.42176,69.02714,3.940773
1.4616854926646956E18,1.35672,-8.578751,3.2177124,2.2271576,1.7879639,0.3119049,-27.766228,68.85605,3.27034
1.461685492684837E18,1.4676514,-7.243469,2.3056793,2.407669,1.1438904,0.63127136,-28.196907,69.11278,2.7675629
1.461685492704979E18,2.3409119,-6.7958374,2.33049,1.7977753,0.53292847,0.5148468,-28.36914,69.28387,1.845932
1.4616854927251205E18,2.6569366,-7.6566925,3.0775757,0.9016266,0.41116333,0.21043396,-28.36914,69.02714,0.33779144
1.461685492745262E18,3.649063,-9.003265,4.474243,0.016159058,0.75616455,-0.21788025,-28.28312,68.94169,-1.0026932
1.4616854927654036E18,3.6998138,-10.102798,5.5872498,-0.48692322,0.8864746,-0.5447235,-28.28312,68.94169,-2.3431778
1.4616854927855452E18,3.6202087,-9.859619,5.621475,-0.5264435,0.8501587,-0.67503357,-28.627586,68.7706,-3.8513184
1.4616854928056868E18,3.4093323,-8.046173,4.2651215,-0.51789856,0.6173096,-0.59599304,-28.627586,68.94169,-5.024338
1.4616854928258284E18,3.4987335,-6.616287,3.2377625,-0.5275116,0.049072266,-0.41975403,-28.79982,68.85605,-5.359459
1.46168549284597E18,3.3358002,-5.8701477,2.7545013,-0.3939972,-0.38565063,-0.22428894,-29.144287,68.59932,-5.6108475
1.4616854928661117E18,3.1985931,-5.3404694,2.4976654,-0.051132202,-0.32156372,0.04914856,-29.488754,68.42823,-5.2757263
1.4616854928862533E18,3.1896057,-5.466385,2.3564758,0.28959656,-0.004333496,0.1847992,-29.833221,68.42823,-4.772949
1.461685492906395E18,3.0753174,-5.9534607,2.3756256,0.34407043,0.06402588,0.17198181,-30.2639,68.34259,-4.6892166
1.4616854929265364E18,2.866211,-6.5408325,2.6322632,0.24900818,0.18792725,0.15275574,-30.350113,68.34259,-4.6892166
1.461685492946678E18,2.7202148,-6.9436646,2.8923187,0.11656189,0.23812866,0.101486206,-30.350113,68.34259,-4.270363
1.4616854929668196E18,2.3345337,-7.301529,3.2707214,0.05354309,0.24133301,0.11857605,-30.522346,68.34259,-4.1864395
1.4616854929869612E18,2.4427338,-7.7263184,3.5779724,0.13365173,-0.028900146,0.23500061,-30.436134,68.34259,-4.1864395
1.461685493007103E18,2.7866821,-7.8903046,3.4580688,0.22871399,-0.56295776,0.34181213,-30.436134,68.51368,-4.270172
1.4616854930272445E18,3.009369,-7.895279,3.352707,0.4113617,-1.0574951,0.55329895,-30.2639,68.68477,-4.856682
1.461685493047386E18,3.219818,-8.452225,3.2346191,0.608963,-1.3544312,0.739151,-29.833412,68.85586,-5.191803
1.4616854930675277E18,3.8050537,-9.0455475,3.3601837,0.7136383,-1.7539063,0.82032776,-29.574966,69.369125,-5.359459
1.4616854930876692E18,4.8648987,-9.836502,3.278305,0.7713165,-2.0722046,0.7551727,-29.2305,69.540215,-5.4433823
1.4616854931078108E18,5.797821,-10.782211,3.0231323,0.8044281,-2.030548,0.590683,-28.886032,69.88239,-5.9459686
1.4616854931279524E18,6.79187,-11.473282,1.7878265,0.5235138,-1.7101135,0.22431946,-28.369331,70.31002,-5.862236
1.461685493148094E18,8.040726,-11.155029,-2.6040192,-0.6663666,-1.0735168,-0.3695526,-28.024864,70.73784,-5.862236
1.4616854931682358E18,8.570923,-10.780838,-4.1704254,-2.561203,0.50302124,-1.3212433,-28.024864,70.65239,-5.3596497
1.4616854931883773E18,7.6444244,-11.116562,1.2855225,-2.8453217,1.8200073,-2.060379,-28.541565,70.73803,-4.270363
1.461685493208519E18,7.9399567,-11.101624,1.9090881,-2.3368988,1.1994324,-2.514328,-29.919624,70.65258,-3.1812668
