time,ax,ay,az,gx,gy,gz,mx,my,mz
1.4587644382672666E18,-1.0021362,1.5414429,10.35054,-0.0683136,-0.07066345,0.051452637,16.329575,-45.817375,-29.434776
1.458764438287408E18,-0.48220825,1.8508911,9.33728,0.047042847,-0.09095764,0.16467285,16.415596,-45.389557,-29.434776
1.4587644383075497E18,-0.19242859,2.2415314,8.523666,0.038497925,-0.16893005,0.18283081,16.501617,-45.132828,-29.26712
1.4587644383276913E18,-0.058151245,2.4521484,8.218735,0.012863159,-0.17747498,0.1678772,16.329384,-44.96174,-29.26712
1.4587644383478328E18,-0.04725647,2.5916138,8.071182,-0.05015564,-0.1582489,0.14437866,15.984917,-44.96174,-29.26712
1.4587644383679744E18,0.15242004,2.6326294,8.303772,-0.10462952,-0.17640686,0.092041016,15.812683,-44.79065,-29.26712
1.458764438388116E18,0.16334534,2.5696259,8.774353,-0.14094543,-0.13368225,0.042907715,15.812683,-44.8761,-29.26712
1.4587644384082578E18,0.13890076,2.5037994,9.288361,-0.120651245,-0.108047485,-0.008361816,15.726662,-44.70501,-29.350853
1.4587644384283994E18,0.037475586,2.477066,9.384598,-0.100357056,-0.12727356,-0.032928467,15.554428,-44.44847,-29.434776
1.458764438448541E18,-0.06967163,2.4328156,9.497314,-0.09074402,-0.105911255,-0.058563232,15.3821945,-44.36302,-29.5187
1.4587644384686825E18,-0.19242859,2.3933716,9.716644,-0.102493286,-0.11338806,-0.059631348,15.3821945,-44.191933,-29.770088
1.458764438488824E18,0.014419556,2.4238281,9.986572,-0.07685852,-0.12834167,-0.04147339,15.3821945,-43.935204,-29.770088
1.4587644385089656E18,0.2942505,2.4519806,10.188507,-0.07044983,-0.12834167,-0.07458496,15.295982,-43.764114,-29.854012
1.4587644385291072E18,0.37542725,2.2900238,10.277542,-0.035202026,-0.15397644,-0.084198,15.3821945,-43.593025,-30.189133
1.458764438549249E18,0.55607605,2.2398987,10.146622,-0.03199768,-0.18495178,-0.11090088,14.951515,-43.507576,-30.189133
1.4587644385693906E18,0.48493958,2.2603912,10.157318,-0.03413391,-0.14970398,-0.120513916,15.037537,-43.507576,-30.021477
1.4587644385895322E18,0.27035522,2.4208221,9.946152,-0.04588318,-0.11872864,-0.1194458,14.865112,-43.250847,-29.937553
1.4587644386096737E18,0.2098999,2.4883575,9.846085,-0.046951294,-0.08668518,-0.116241455,14.606667,-42.994118,-29.769897
1.4587644386298153E18,0.13327026,2.3231049,9.770142,-0.080062866,-0.056777954,-0.1333313,14.262199,-42.82303,-29.434776
1.4587644386499569E18,-0.1174469,2.0394745,10.09642,-0.069381714,-0.021530151,-0.13012695,14.175987,-42.90867,-29.351044
1.4587644386700984E18,-0.087509155,1.5780182,9.893921,-0.042678833,-1.6784668E-4,-0.1194458,14.262199,-42.90867,-29.183388
1.45876443869024E18,-0.05204773,1.2322693,9.879257,-0.07044983,-0.010848999,-0.07992554,14.089775,-42.65213,-28.68061
