time,ax,ay,az,gx,gy,gz,mx,my,mz
1.4587667261719173E18,-0.42591858,-10.802109,-1.0300446,-2.2114105,-0.09158325,-0.41607666,19.987297,63.103676,9.880447
1.458766726192059E18,0.86997986,-11.278427,-3.3613892,-2.1548004,-0.40454102,-0.7685547,19.298363,63.018036,11.891365
1.4587667262122004E18,-2.3407135,-9.963348,-5.189499,-2.3513336,-1.1415405,-0.6168823,18.953896,62.846947,13.902283
1.458766726232342E18,-4.2096863,-9.679718,-2.1062012,-2.077896,-1.9372864,-0.2291565,18.69545,62.24823,15.745735
1.4587667262524836E18,-3.24115,-8.648163,-0.9427948,-1.8439789,-1.0197754,0.10195923,18.953896,61.307335,17.505264
1.4587667262726252E18,1.106308,-8.954788,-2.9049225,-1.3302155,0.21069336,0.014373779,18.953896,60.45189,19.43245
1.458766726292767E18,1.3460693,-9.389526,-2.6630096,-0.77693176,0.14233398,-0.34451294,18.781662,59.93862,20.94059
1.4587667263129085E18,-0.53907776,-7.6769257,-3.21904,-0.83461,-0.5316467,-0.39257813,18.69564,59.254265,22.364998
1.45876672633305E18,-0.4771881,-6.7589874,-3.3910217,-0.9040375,-1.0357971,-0.36053467,18.69564,58.740997,23.705673
1.4587667263531917E18,-0.0021820068,-6.284195,-3.2555695,-0.75556946,-1.0304565,-0.42889404,18.867874,57.97119,24.543571
1.4587667263733332E18,0.03955078,-6.4439087,-3.50177,-0.48106384,-0.67263794,-0.48550415,19.12613,57.286835,25.213814
1.4587667263934748E18,-0.18405151,-6.571579,-3.8963013,-0.29307556,-0.36395264,-0.5389099,19.12613,56.944656,25.800323
1.4587667264136164E18,-0.95758057,-6.5180054,-4.3171997,-0.21083069,-0.47610474,-0.5431824,19.12613,57.115746,26.219368
1.458766726433758E18,-0.8126831,-7.014618,-5.0338287,-0.09867859,-0.54125977,-0.4609375,18.781662,57.286835,26.55449
1.4587667264538998E18,-0.34658813,-7.241226,-5.209854,0.01133728,-0.4387207,-0.4043274,18.867683,57.201195,26.973534
1.4587667264740413E18,-0.5542145,-6.786209,-5.3726654,0.027359009,-0.5295105,-0.3904419,18.781471,57.372284,26.889801
1.458766726494183E18,-0.33642578,-6.7170715,-6.019287,0.06794739,-0.487854,-0.33703613,18.350792,57.543373,26.722145
1.4587667265143245E18,0.21166992,-7.1525726,-6.1903534,0.09465027,-0.46969604,-0.33169556,18.350792,58.14209,26.55449
1.458766726534466E18,0.53967285,-7.3762207,-6.2182465,0.042312622,-0.42910767,-0.3562622,18.092537,58.655357,26.470757
1.4587667265546076E18,-0.06768799,-7.2773285,-6.2562866,-0.0644989,-0.5284424,-0.31781006,18.092537,58.997536,26.387024
1.4587667265747492E18,-0.7618408,-7.3517303,-5.903427,-0.11042786,-0.7730408,-0.26974487,17.661858,59.339714,26.55449
1.458766726594891E18,-1.1503448,-7.529648,-5.5560455,-0.13926697,-1.0272522,-0.23129272,18.006325,59.596252,26.55449
1.4587667266150326E18,-1.0545502,-7.6444397,-5.9773865,-0.10935974,-1.1212463,-0.22167969,18.092537,60.02407,26.219177
1.4587667266351741E18,-0.97283936,-7.7100067,-6.9216766,0.11921692,-0.73779297,-0.20993042,18.17875,60.02407,25.967789
1.4587667266553157E18,-1.875824,-7.759384,-7.545822,0.35206604,0.020568848,-0.3060608,18.437195,60.622787,25.632668
1.4587667266754573E18,-2.5981445,-7.573349,-8.010864,0.24952698,0.18078613,-0.35733032,18.264961,60.964966,25.297546
1.4587667266955988E18,-2.6472473,-6.933502,-7.217575,0.19184875,-0.25500488,-0.28897095,18.350983,61.307144,25.12989
