time,ax,ay,az,gx,gy,gz,mx,my,mz
1.4658458211842035E18,0.114105225,0.2487793,9.461243,-3.2043457E-4,0.0022735596,-0.0033721924,-12.954712,16.072083,-43.237305
1.4658458211993098E18,0.11872864,0.26792908,9.502518,-0.015274048,0.008682251,0.0019683838,-13.643646,15.729523,-42.23175
1.4658458212194514E18,0.15242004,0.26792908,9.425873,-0.0013885498,-0.0030670166,-0.0012359619,-13.873291,16.071573,-42.343647
1.465845821239593E18,0.12107849,0.2487793,9.45723,-0.0035247803,0.0012054443,0.0062408447,-13.988113,16.071701,-42.567062
1.4658458212597345E18,0.114105225,0.25360107,9.445038,0.0039520264,0.00440979,-0.005508423,-13.643494,16.482239,-42.70111
1.465845821279876E18,0.12957764,0.26423645,9.483353,0.007156372,1.373291E-4,0.00730896,-13.184102,16.527811,-42.566936
1.4658458213000177E18,0.13682556,0.23316956,9.483353,-0.007797241,-0.0062713623,0.003036499,-13.249642,16.560364,-42.471096
1.4658458213201595E18,0.099121094,0.26792908,9.479172,0.008224487,0.0022735596,9.0026855E-4,-13.298798,16.670418,-42.315483
1.465845821340301E18,0.114105225,0.2487793,9.457382,0.009292603,0.0033416748,0.0019683838,-13.384819,16.755867,-42.23175
1.4658458213604426E18,0.13369751,0.26792908,9.465088,0.0039520264,-0.0030670166,-0.0012359619,-13.040161,16.755867,-42.399406
1.4658458213805842E18,0.13903809,0.2487793,9.467102,-0.007797241,0.00440979,0.0051727295,-12.867928,16.670418,-42.23175
1.4658458214007258E18,0.09965515,0.253479,9.492798,-3.2043457E-4,1.373291E-4,0.010513306,-12.781715,17.012596,-42.48314
1.4658458214208673E18,0.114105225,0.2487793,9.483353,0.0028839111,-9.3078613E-4,0.0019683838,-12.609482,17.012596,-42.650795
1.465845821441009E18,0.117630005,0.25228882,9.436462,-0.0013885498,0.0033416748,0.0019683838,-12.867928,17.012596,-42.48333
1.4658458214611507E18,0.11878967,0.26324463,9.459518,-3.2043457E-4,0.0012054443,0.0062408447,-12.867928,16.927147,-42.650986
1.4658458214812923E18,0.089141846,0.29464722,9.47757,-0.002456665,-9.3078613E-4,-0.0012359619,-12.867928,16.670418,-42.902374
1.4658458215014339E18,0.114105225,0.25708008,9.472519,-0.0013885498,-0.0019989014,9.0026855E-4,-12.609482,16.756058,-42.73472
1.4658458215215754E18,0.114105225,0.2487793,9.469589,0.0050201416,-0.005203247,0.0051727295,-12.695694,17.098236,-42.48333
1.465845821541717E18,0.114105225,0.2487793,9.476059,-0.007797241,-0.0030670166,-0.0012359619,-12.867928,17.183685,-42.567062
1.4658458215618586E18,0.12521362,0.2487793,9.440063,7.4768066E-4,0.0054779053,0.0019683838,-12.781906,16.841507,-42.315674
1.465845821582E18,0.11836243,0.2487793,9.494003,-0.002456665,0.0022735596,-0.0044403076,-13.126373,16.841507,-42.064285
1.4658458216021417E18,0.114105225,0.25726318,9.455704,-0.0013885498,-0.0030670166,0.0041046143,-13.298607,16.756058,-42.064285
1.4658458216222835E18,0.13327026,0.23440552,9.478577,-0.002456665,-0.0073394775,0.0019683838,-13.384819,16.927147,-41.729164
1.465845821642425E18,0.12593079,0.27241516,9.471542,7.4768066E-4,0.00440979,-0.005508423,-13.298798,17.098236,-41.477776
1.4658458216625667E18,0.114105225,0.26792908,9.463455,7.4768066E-4,0.0012054443,-0.0023040771,-13.298798,17.012596,-41.64543
1.4658458216827082E18,0.12727356,0.2487793,9.439056,7.4768066E-4,0.008682251,-0.005508423,-13.040352,16.841507,-41.64543
1.4658458217028498E18,0.1292572,0.24476624,9.445038,0.006088257,0.009750366,0.0041046143,-12.609673,16.756058,-41.477966
1.4658458217229914E18,0.12919617,0.25282288,9.475235,-0.0056610107,0.0065460205,-0.010848999,-12.437248,16.670418,-41.142845
1.465845821743133E18,0.1322174,0.2498169,9.464203,7.4768066E-4,-9.3078613E-4,9.0026855E-4,-12.092781,16.41388,-40.97519
1.4658458217632745E18,0.1486969,0.26420593,9.44133,-0.0035247803,0.0033416748,-0.005508423,-11.834335,16.584969,-41.05892
1.4658458217834163E18,0.12696838,0.26164246,9.457916,-0.0056610107,1.373291E-4,-0.0023040771,-11.57589,16.499329,-41.142654
1.465845821803558E18,0.13327026,0.25767517,9.465546,-0.0045928955,0.00440979,9.0026855E-4,-11.661911,16.32824,-41.31031
1.4658458218236995E18,0.13726807,0.256485,9.456482,0.0028839111,1.373291E-4,-0.0012359619,-12.09259,16.32824,-41.477776
1.465845821843841E18,0.10900879,0.26792908,9.454025,-0.007797241,1.373291E-4,-0.0044403076,-12.351036,16.32824,-41.56151
1.4658458218639826E18,0.12942505,0.2487793,9.445038,-0.002456665,-9.3078613E-4,9.0026855E-4,-12.781715,16.499329,-41.64524
1.4658458218841242E18,0.12838745,0.26304626,9.459335,0.0028839111,0.00440979,-1.6784668E-4,-12.95414,16.841507,-41.56151
1.4658458219042657E18,0.13711548,0.27938843,9.445038,-0.0013885498,0.0033416748,0.003036499,-13.040161,17.012596,-41.56151
1.4658458219244076E18,0.13327026,0.26257324,9.497177,-3.2043457E-4,-9.3078613E-4,-1.6784668E-4,-13.040161,16.926956,-41.729164
1.465845821944549E18,0.12532043,0.23754883,9.472137,-0.0045928955,0.0033416748,-0.006576538,-13.212395,16.841507,-41.812897
1.4658458219646907E18,0.114105225,0.28709412,9.445038,0.0039520264,-0.004135132,0.0019683838,-13.126373,17.098236,-41.56151
1.4658458219848323E18,0.14633179,0.27401733,9.495544,0.0050201416,-0.0019989014,9.0026855E-4,-12.609673,17.012787,-41.226387
1.4658458220049738E18,0.12982178,0.2487793,9.479919,-0.0035247803,0.0033416748,-1.6784668E-4,-12.609673,17.012787,-41.31012
1.4658458220251154E18,0.098480225,0.26437378,9.457108,-0.0013885498,-0.0030670166,0.0051727295,-12.52346,16.927147,-41.226387
1.465845822045257E18,0.08494568,0.26792908,9.445038,-3.2043457E-4,-0.0030670166,0.00730896,-12.437248,16.927147,-41.477585
1.4658458220653985E18,0.13938904,0.2531128,9.493851,-0.008865356,0.0033416748,-0.0044403076,-12.52346,16.841507,-41.728973
1.4658458220855404E18,0.114105225,0.2487793,9.445038,-0.0045928955,-0.0030670166,-1.6784668E-4,-12.695694,16.584969,-41.89644
1.465845822105682E18,0.104522705,0.2487793,9.445038,-0.0045928955,0.00440979,-0.006576538,-12.52346,16.670418,-41.812706
1.4658458221258235E18,0.11929321,0.2487793,9.45723,-0.006729126,0.0012054443,-0.0033721924,-12.52346,16.499329,-42.064095
1.465845822145965E18,0.11856079,0.25767517,9.459747,-3.2043457E-4,1.373291E-4,-0.0012359619,-12.95414,16.584778,-42.147827
1.4658458221661066E18,0.114105225,0.26348877,9.483353,-3.2043457E-4,0.0076141357,-0.0012359619,-13.040352,16.670418,-42.147827
1.4658458221862482E18,0.13327026,0.2487793,9.483353,0.0039520264,-0.0019989014,0.008377075,-12.868118,16.841507,-42.315292
1.4658458222063898E18,0.114105225,0.26792908,9.47995,0.0018157959,0.0076141357,9.0026855E-4,-12.95433,16.584969,-42.23156
1.4658458222265313E18,0.12098694,0.26792908,9.495636,-0.0013885498,-0.004135132,0.003036499,-12.95433,16.670609,-41.89644
1.4658458222466732E18,0.12271118,0.26986694,9.456482,-0.0013885498,0.0012054443,-0.0023040771,-12.782097,17.012787,-41.477585
1.4658458222668147E18,0.12524414,0.27593994,9.509201,-0.0013885498,0.00440979,-0.0076446533,-13.040543,16.927338,-41.477585
1.4658458222869563E18,0.13327026,0.26257324,9.4374695,7.4768066E-4,0.0012054443,-0.0033721924,-12.868118,16.841698,-41.30993
1.4658458223070979E18,0.105895996,0.2624817,9.486191,0.0039520264,0.0033416748,0.0051727295,-12.781906,16.756248,-40.891075
1.4658458223272394E18,0.12214661,0.27903748,9.441025,0.0050201416,-0.0062713623,0.0051727295,-12.867928,16.756248,-40.639877
1.465845822347381E18,0.1071167,0.23773193,9.525742,-0.0045928955,0.008682251,-0.0023040771,-12.95414,16.756248,-40.556145
1.4658458223675226E18,0.12820435,0.2820282,9.450104,0.0050201416,0.0012054443,0.0041046143,-12.867928,16.927338,-40.556145
1.4658458223876644E18,0.114105225,0.23724365,9.4565735,0.010360718,-9.3078613E-4,0.00730896,-13.040161,16.841698,-40.72361
1.465845822407806E18,0.12434387,0.25901794,9.464203,-0.0035247803,0.0054779053,9.0026855E-4,-13.212395,16.927147,-41.05873
1.4658458224279475E18,0.06939697,0.32540894,9.457825,-0.002456665,-9.3078613E-4,-0.1091156,-13.040161,17.012596,-41.31012
1.465845822448089E18,0.07203674,0.32165527,9.495041,0.0028839111,1.373291E-4,-0.32807922,-13.040161,17.183685,-41.393852
1.4658458224682307E18,0.094940186,0.3062439,9.475693,0.010360718,-0.005203247,-0.42955017,-13.040161,17.098045,-42.148018
1.4658458224883722E18,0.20031738,0.16255188,9.5121,-0.006729126,0.0065460205,-0.33235168,-12.781715,16.841316,-42.56687
1.4658458225085138E18,0.17573547,0.16381836,9.468369,0.010360718,0.0022735596,-0.11659241,-13.126183,16.499138,-42.734528
1.4658458225286554E18,0.15242004,0.21713257,9.464203,-0.0035247803,1.373291E-4,-0.029006958,-13.298416,16.328049,-42.985916
1.4658458225487972E18,0.08505249,0.2963562,9.47348,0.0018157959,0.0054779053,-0.10484314,-13.212395,16.15696,-43.488693
1.4658458225689388E18,0.32363892,0.25610352,9.526169,7.4768066E-4,-0.004135132,-0.298172,-13.298607,15.729332,-43.572426
1.4658458225890803E18,0.15641785,0.19529724,9.4717865,-0.006729126,0.0022735596,-0.44343567,-13.47084,15.387154,-43.74008
1.465845822609222E18,1.3125305,-0.047836304,9.423279,0.008224487,1.373291E-4,-0.7190094,-13.557053,14.873886,-43.824005
1.4658458226293635E18,0.6620331,-0.057769775,9.548492,0.011428833,0.0033416748,-0.8995209,-13.729286,14.617348,-43.74008
1.465845822649505E18,0.8287201,0.022750854,9.552017,-0.0013885498,-0.0030670166,-1.0917816,-14.1599655,14.275169,-43.823814
1.4658458226696466E18,0.33262634,0.14100647,9.414505,-0.006729126,-9.3078613E-4,-1.2039337,-14.246178,13.847542,-44.158936
1.4658458226897884E18,0.118881226,0.06915283,9.539642,-0.007797241,-0.005203247,-1.1387787,-14.246178,13.248634,-44.075203
