time,ax,ay,az,gx,gy,gz,mx,my,mz
8.3600977888215E13,1.9512744,2.8514943,12.004527,0.28336033,-1.2953615,-0.24074976,6.0,26.1,-82.700005
8.3601164565798E13,0.34835634,2.0219033,10.697293,-0.101200126,-1.5883093,0.21731395,4.7000003,26.1,-82.1
8.3601174331006E13,0.842759,2.360683,12.11107,0.29827404,-1.365669,0.14913702,3.5,25.7,-81.200005
8.3601195170423E13,1.8734628,2.2732944,11.03727,0.41225734,-0.737163,0.07137272,4.2000003,25.6,-81.200005
8.3601204867631E13,2.3020248,2.3666685,10.436325,0.4708469,-0.59122175,0.06391586,3.6000001,24.9,-83.4
8.360121435759E13,2.445677,2.4983494,10.048465,0.49321744,-0.50173956,-0.00958738,2.9,25.4,-81.8
8.360122465009E13,2.0697873,2.2266076,9.41879,0.43356264,-0.2514024,-0.07563378,2.6000001,25.6,-82.5
8.3601233853965E13,1.5969325,1.9907787,9.033323,0.3206446,0.15233281,-0.06924219,3.0,25.4,-80.6
8.360124483984E13,1.4401124,1.9728222,8.677784,0.18216023,0.55287224,-0.05752428,3.9,24.6,-80.9
8.360125482234E13,1.6687586,2.3570917,8.805874,0.08522116,0.74781567,-0.0777643,4.5,24.6,-82.700005
8.3601264651465E13,2.067393,2.7461493,8.626308,0.082025364,0.64555025,-0.15339808,3.6000001,25.4,-81.6
8.3601273894798E13,2.3199813,2.9879637,8.627506,0.14274544,0.28975195,-0.257794,4.3,25.0,-80.700005
8.3601284642923E13,2.2948422,2.9855695,8.696938,0.22050974,-0.13954964,-0.38456047,6.0,25.1,-81.700005
8.3601293713298E13,1.7393875,2.7569232,8.961497,0.29188246,-0.45806372,-0.49747851,5.8,25.1,-81.6
8.3601300285215E13,1.3503298,2.5270798,9.053674,0.34301516,-0.531567,-0.5305017,5.6,25.0,-81.6
8.3601314224881E13,0.9684546,2.4313118,8.471883,0.3387541,-0.43888897,-0.49641323,5.4,25.0,-81.6
8.3601324713548E13,1.3934253,2.5222914,8.208521,0.2545982,-0.294013,-0.45912898,5.2000003,25.0,-81.5
8.3601334184673E13,2.3199813,2.966416,7.872135,0.09267801,-0.035153728,-0.44847634,5.1,25.0,-81.6
8.3601344849631E13,3.3051953,3.6236243,7.681796,-0.13209279,0.22583607,-0.5251754,4.9,25.0,-81.5
8.3601353953048E13,2.6024973,3.9612067,7.93199,-0.24927188,0.3472762,-0.59867865,4.9,25.0,-81.6
8.360136459184E13,0.06703765,3.9612067,8.26239,-0.45912898,0.57098174,-0.7275756,4.8,25.0,-81.6
8.3601374930923E13,-0.7769185,3.252523,8.221688,-0.6135923,0.753142,-0.67218184,4.8,25.1,-81.700005
8.360138475909E13,-0.4333505,2.12246,8.525752,-0.69348717,0.7765778,-0.4857606,4.7000003,25.1,-81.700005
