time,ax,ay,az,gx,gy,gz,mx,my,mz
1.458593903833791E18,-2.0558777,1.7077942,8.932861,-0.16950989,-0.18566895,0.023284912,19.918251,-36.81774,-44.193077
1.4585939038438618E18,-1.8377686,1.7921448,9.000183,-0.22505188,-0.10876465,0.0435791,20.262718,-36.646652,-44.360733
1.4585939038690388E18,-1.5078735,1.838913,9.509003,0.07722473,-0.17926025,-0.104888916,19.918442,-36.7321,-45.1149
1.4585939038992512E18,-1.3072052,1.7187195,8.863266,0.030227661,-0.26257324,-0.11129761,20.004654,-36.475563,-45.366287
1.4585939039294636E18,-1.2965393,1.6535797,9.017319,-0.08192444,-0.20596313,-0.049346924,20.2631,-36.304474,-45.19863
1.4585939039445699E18,-1.123291,1.7014465,9.076492,-0.107559204,-0.20062256,-0.06643677,19.918442,-36.218834,-45.45002
1.4585939039647114E18,-1.1503448,1.7048035,9.004395,-0.16950989,-0.22518921,-0.05895996,19.83223,-35.962296,-45.78533
1.458593903984853E18,-0.9194336,1.7534485,9.282959,-0.19407654,-0.19421387,-0.07070923,19.143105,-35.791206,-45.7016
1.4585939040049946E18,-0.77197266,1.886795,9.655777,-0.11076355,-0.23800659,-0.11663818,18.798637,-35.620117,-45.533943
1.458593904025136E18,-0.6979523,1.9272919,9.250641,-0.0370636,-0.2529602,-0.14013672,18.626213,-35.19249,-45.366478
1.4585939040452777E18,-0.67030334,1.9248505,8.841827,-0.1353302,-0.27111816,-0.19567871,18.453789,-35.10704,-45.45021
1.4585939040704548E18,-0.92655945,1.7484131,9.69574,-0.13746643,-0.3576355,-0.21810913,18.10913,-35.0214,-45.282555
1.4585939040855608E18,-0.9396057,1.579834,9.7964325,-0.0723114,-0.32666016,-0.22131348,17.850685,-35.19249,-45.45021
1.4585939041057027E18,-1.0879517,1.6059113,9.526611,-0.066970825,-0.27645874,-0.2298584,17.936897,-34.85031,-45.534134
1.4585939041308795E18,-1.2890167,1.4995422,9.65123,-0.033859253,-0.1408081,-0.1807251,17.936897,-34.76467,-45.534134
1.4585939041459858E18,-1.2857971,1.4160767,9.483353,-0.042404175,-0.03186035,-0.15188599,18.02311,-34.593582,-45.785522
1.4585939041661274E18,-1.3132019,1.4748993,9.29657,-0.048812866,0.06427002,-0.14654541,17.764664,-34.507942,-46.03691
1.458593904186269E18,-1.4020386,1.43396,9.491623,-0.008224487,-0.037200928,-0.09420776,17.678642,-34.336853,-45.952988
1.458593904211446E18,-1.2256622,1.4055328,9.375671,-0.011428833,-0.059631348,-0.033325195,17.678642,-34.336853,-46.03672
1.458593904226552E18,-1.112854,1.446579,9.455048,-0.009292603,-0.0030212402,-0.008758545,17.678642,-34.336853,-46.28811
1.4585939042466936E18,-0.9204407,1.5515442,9.436829,0.0035247803,0.02154541,-0.016235352,17.59262,-33.909035,-46.204376
1.4585939042668355E18,-0.9754791,1.589859,9.156448,-0.024246216,0.07388306,0.0019226074,17.59262,-33.994675,-46.204376
1.458593904286977E18,-0.842926,1.6130066,9.410736,-0.028518677,0.051452637,0.017944336,17.59262,-34.080315,-46.120453
1.4585939043071186E18,-0.7732086,1.5767059,9.451065,-0.019973755,0.042907715,-0.005554199,17.59262,-34.080315,-46.03653
1.4585939043272602E18,-0.914978,1.518692,9.584625,0.027023315,-0.029724121,-0.011962891,17.678642,-33.909225,-46.204185
1.4585939043524372E18,-0.9778137,1.4174347,9.4131775,-0.0039520264,0.0012512207,0.004058838,17.678642,-34.165764,-46.539497
1.4585939043675433E18,-0.94088745,1.3982697,9.475708,0.0045928955,0.042907715,-0.004486084,17.764854,-34.165764,-46.62342
1.4585939043876849E18,-1.0577393,1.4205933,9.280609,-0.006088257,0.0012512207,0.022216797,17.937279,-34.165764,-46.62342
1.4585939044078267E18,-0.90463257,1.4828033,9.337997,-0.025314331,0.016204834,0.0029907227,18.0233,-34.251404,-46.95854
1.4585939044430743E18,-1.0155029,1.4564819,9.542328,0.011001587,-0.009429932,0.029693604,18.109322,-33.909035,-47.042465
1.4585939044682514E18,-1.0279694,1.4823303,9.207703,0.009933472,-0.001953125,0.03930664,18.281555,-33.823586,-47.12639
1.458593904488393E18,-0.9012909,1.5121613,9.205032,-0.01676941,-0.024383545,0.0435791,18.367767,-33.909225,-46.958733
1.4585939045085345E18,-0.83380127,1.4465942,9.339233,-0.044540405,0.022613525,0.020080566,18.712234,-33.738136,-46.87481
1.458593904528676E18,-0.9490204,1.4076843,9.454468,-0.027450562,-0.0030212402,0.027557373,18.626022,-33.652496,-46.95854
1.4585939045488177E18,-0.7939911,1.4864044,9.491013,-0.012496948,1.8310547E-4,0.01473999,18.626022,-33.652496,-46.87481
1.4585939045689595E18,-0.89308167,1.5296326,9.289047,-0.029586792,0.052520752,0.015808105,18.54,-33.566856,-46.791077
1.458593904589101E18,-0.96099854,1.5132294,9.354889,-0.040267944,0.03543091,0.01687622,18.367767,-33.566856,-46.62342
1.4585939046092426E18,-0.9280548,1.4557495,9.48703,-0.044540405,0.01727295,0.01687622,18.540192,-33.737946,-46.707153
1.4585939046293842E18,-0.9507141,1.4204712,9.467255,-0.019973755,0.007659912,0.030761719,18.626404,-33.737946,-46.62323
1.4585939046545613E18,-0.83883667,1.4890747,9.535858,-0.0039520264,0.008728027,0.01687622,18.367958,-33.737946,-46.706963
1.4585939046747028E18,-0.7863312,1.5142059,9.272614,-0.017837524,0.031158447,-0.004486084,18.195724,-33.909035,-46.706963
1.458593904689809E18,-0.8134918,1.5212097,9.25029,-0.010360718,0.0033874512,-0.014099121,18.281937,-33.737946,-46.37184
1.4585939047099505E18,-0.8414917,1.4748993,9.2534485,-0.0231781,0.025817871,-0.024780273,18.195724,-33.737946,-46.287918
1.4585939047300923E18,-0.76441956,1.4228668,9.26442,-0.035995483,0.03756714,-0.037597656,18.281746,-33.823586,-46.287918
1.4585939047502339E18,-0.76474,1.4174347,9.215134,-0.057357788,0.045043945,-0.05895996,18.195534,-33.823586,-46.204185
1.4585939047703754E18,-0.85154724,1.3828125,9.28035,-0.08085632,0.04824829,-0.06323242,18.195534,-33.909225,-46.03653
1.458593904790517E18,-0.9109802,1.3504791,9.416412,-0.071243286,0.056793213,-0.05255127,18.195534,-33.738136,-46.03653
1.4585939048106586E18,-0.9316406,1.3631592,9.507294,-0.053085327,0.03543091,-0.07498169,18.367767,-33.567047,-45.869064
1.4585939048308E18,-0.9988251,1.3303375,9.58786,-0.02104187,-0.001953125,-0.068573,18.45398,-33.395958,-45.869064
